datetime,open,high,low,close,volume
2019-09-19T09:30:00+05:30,1210.0,1210.0,1210.0,1210.0,77848
2022-09-08T09:15:00+05:30,431.89,456.25,431.69,434.63,14480
2022-09-08T09:30:00+05:30,434.63,435.0,434.63,435.0,5840
2022-09-08T09:45:00+05:30,435.0,437.5,435.0,437.5,10012
2022-09-08T10:00:00+05:30,437.5,437.5,433.79,436.24,11856
2022-09-08T10:15:00+05:30,436.25,438.75,436.25,437.0,7836
2022-09-08T10:30:00+05:30,438.23,438.51,434.99,438.36,6412
2022-09-08T10:45:00+05:30,438.09,443.5,438.09,441.46,30968
2022-09-08T11:00:00+05:30,441.46,443.75,441.25,443.13,33044
2022-09-08T11:15:00+05:30,443.09,443.48,441.14,443.48,7680
2022-09-08T11:30:00+05:30,443.5,445.0,442.41,443.59,11024
2022-09-08T11:45:00+05:30,443.59,449.75,442.78,447.94,34744
2022-09-08T12:00:00+05:30,447.26,451.25,446.28,450.35,52736
2022-09-08T12:15:00+05:30,450.0,450.0,448.1,448.6,1600
2022-09-08T12:30:00+05:30,448.03,450.0,447.85,449.18,4488
2022-09-08T12:45:00+05:30,449.75,450.0,448.01,448.5,4444
2022-09-08T13:00:00+05:30,447.71,449.01,447.5,447.5,2032
2022-09-08T13:15:00+05:30,447.29,449.25,447.08,448.49,6556
2022-09-08T13:30:00+05:30,448.49,448.49,448.0,448.38,1320
2022-09-08T13:45:00+05:30,448.48,449.5,447.5,447.5,2036
2022-09-08T14:00:00+05:30,447.19,448.0,447.18,447.98,1600
2022-09-08T14:15:00+05:30,447.64,451.25,447.5,451.25,17696
2022-09-08T14:30:00+05:30,451.51,453.75,447.5,449.03,64620
2022-09-08T14:45:00+05:30,449.45,450.0,447.5,449.93,5024
2022-09-08T15:00:00+05:30,449.93,449.93,447.69,449.7,6748
2022-09-08T15:15:00+05:30,448.66,449.64,447.5,448.71,16976
2022-09-16T09:15:00+05:30,425.49,454.5,422.71,449.19,49436
2022-09-16T09:30:00+05:30,448.76,469.25,445.95,457.68,203316
2022-09-16T09:45:00+05:30,456.25,458.75,444.05,445.75,132720
2022-09-16T10:00:00+05:30,445.28,446.25,437.01,440.86,58604
2022-09-16T10:15:00+05:30,440.75,445.29,440.75,443.8,16576
2022-09-16T10:30:00+05:30,444.65,445.33,438.0,442.46,12788
2022-09-16T10:45:00+05:30,442.46,443.75,439.9,440.73,7416
2022-09-16T11:00:00+05:30,441.28,442.5,436.48,438.65,10584
2022-09-16T11:15:00+05:30,438.33,441.25,436.25,438.74,30428
2022-09-16T11:30:00+05:30,438.18,440.96,437.55,439.11,6500
2022-09-16T11:45:00+05:30,438.15,439.11,437.55,437.55,2840
2022-09-16T12:00:00+05:30,437.99,439.84,436.75,439.26,6532
2022-09-16T12:15:00+05:30,438.49,442.54,438.49,442.54,11712
2022-09-16T12:30:00+05:30,442.49,444.49,442.14,443.73,13104
2022-09-16T12:45:00+05:30,443.73,443.73,443.04,443.13,4348
