datetime,open,high,low,close,volume
2016-10-03T09:15:00+05:30,40.04,40.5,40.04,40.47,270709
2016-10-03T09:30:00+05:30,40.47,40.85,40.37,40.71,225040
2016-10-03T09:45:00+05:30,40.71,40.8,40.58,40.71,91662
2016-10-03T10:00:00+05:30,40.64,40.77,40.64,40.71,79466
2016-10-03T10:15:00+05:30,40.74,40.8,40.61,40.64,48252
2016-10-03T10:30:00+05:30,40.71,40.8,40.55,40.58,55721
2016-10-03T10:45:00+05:30,40.58,40.74,40.52,40.71,116853
2016-10-03T11:00:00+05:30,40.64,40.74,40.58,40.58,29977
2016-10-03T11:15:00+05:30,40.58,40.61,40.34,40.5,116749
2016-10-03T11:30:00+05:30,40.52,40.58,40.4,40.5,61079
2016-10-03T11:45:00+05:30,40.55,40.55,40.4,40.55,48028
2016-10-03T12:00:00+05:30,40.55,40.61,40.44,40.61,63507
2016-10-03T12:15:00+05:30,40.61,40.64,40.52,40.64,56105
2016-10-03T12:30:00+05:30,40.61,40.74,40.55,40.68,92149
2016-10-03T12:45:00+05:30,40.71,40.74,40.55,40.58,51410
2016-10-03T13:00:00+05:30,40.58,40.64,40.52,40.55,35373
2016-10-03T13:15:00+05:30,40.58,40.58,40.5,40.52,28707
2016-10-03T13:30:00+05:30,40.55,40.64,40.55,40.61,34481
2016-10-03T13:45:00+05:30,40.61,40.68,40.5,40.61,49163
2016-10-03T14:00:00+05:30,40.61,40.64,40.47,40.61,67413
2016-10-03T14:15:00+05:30,40.61,40.77,40.55,40.77,76547
2016-10-03T14:30:00+05:30,40.77,40.77,40.52,40.58,54059
2016-10-03T14:45:00+05:30,40.52,40.68,40.52,40.64,47688
2016-10-03T15:00:00+05:30,40.58,40.74,40.52,40.68,155924
2016-10-03T15:15:00+05:30,40.71,40.8,40.52,40.64,223739
2016-10-04T09:15:00+05:30,40.95,41.37,40.64,41.28,256976
2016-10-04T09:30:00+05:30,41.28,41.41,41.04,41.07,326291
2016-10-04T09:45:00+05:30,41.07,41.19,40.98,41.1,83818
2016-10-04T10:00:00+05:30,41.16,41.25,41.07,41.16,77446
2016-10-04T10:15:00+05:30,41.16,41.68,40.8,41.22,884110
2016-10-04T10:30:00+05:30,41.28,41.28,40.92,41.25,464652
2016-10-04T10:45:00+05:30,41.22,41.22,41.07,41.16,65764
2016-10-04T11:00:00+05:30,41.13,41.22,41.1,41.16,57818
2016-10-04T11:15:00+05:30,41.16,41.19,41.01,41.07,72805
2016-10-04T11:30:00+05:30,41.07,41.07,40.74,40.88,207893
2016-10-04T11:45:00+05:30,40.88,41.07,40.85,40.92,53997
2016-10-04T12:00:00+05:30,40.95,41.07,40.95,41.01,41698
2016-10-04T12:15:00+05:30,41.04,41.07,40.92,41.04,34051
2016-10-04T12:30:00+05:30,41.04,41.07,40.95,41.01,25745
2016-10-04T12:45:00+05:30,41.01,41.1,40.92,41.01,96011
2016-10-04T13:00:00+05:30,41.04,41.31,41.01,41.1,416596
2016-10-04T13:15:00+05:30,41.13,41.16,40.95,41.04,103068
2016-10-04T13:30:00+05:30,41.04,41.22,41.04,41.1,70126
2016-10-04T13:45:00+05:30,41.13,41.22,41.04,41.19,60936
2016-10-04T14:00:00+05:30,41.22,41.22,40.95,40.95,133147
2016-10-04T14:15:00+05:30,40.92,41.1,40.85,41.04,101898
2016-10-04T14:30:00+05:30,41.04,41.25,41.01,41.22,97698
2016-10-04T14:45:00+05:30,41.22,41.25,41.13,41.19,51455
2016-10-04T15:00:00+05:30,41.16,41.25,41.07,41.22,159874
2016-10-04T15:15:00+05:30,41.19,41.37,41.13,41.25,328076
2016-10-05T09:15:00+05:30,41.49,41.74,41.34,41.65,293352
2016-10-05T09:30:00+05:30,41.65,41.71,41.44,41.49,106546
2016-10-05T09:45:00+05:30,41.44,41.49,41.13,41.41,194530
2016-10-05T10:00:00+05:30,41.34,41.44,41.19,41.22,74657
2016-10-05T10:15:00+05:30,41.19,41.22,41.07,41.22,120123
2016-10-05T10:30:00+05:30,41.22,41.22,41.04,41.1,67916
2016-10-05T10:45:00+05:30,41.07,41.13,40.92,41.01,101887
2016-10-05T11:00:00+05:30,41.04,41.22,40.98,41.19,73065
2016-10-05T11:15:00+05:30,41.16,41.31,41.07,41.07,73867
2016-10-05T11:30:00+05:30,41.13,41.28,41.1,41.19,76638
2016-10-05T11:45:00+05:30,41.25,41.25,41.16,41.19,41239
2016-10-05T12:00:00+05:30,41.16,41.16,40.98,41.04,86858
2016-10-05T12:15:00+05:30,41.07,41.07,40.95,41.04,90963
2016-10-05T12:30:00+05:30,41.04,41.07,40.71,40.92,179443
2016-10-05T12:45:00+05:30,40.95,41.01,40.88,40.98,51308
2016-10-05T13:00:00+05:30,41.01,41.07,40.92,41.01,95895
2016-10-05T13:15:00+05:30,41.04,41.04,40.8,40.92,73648
2016-10-05T13:30:00+05:30,40.92,40.98,40.88,40.98,23592
2016-10-05T13:45:00+05:30,41.01,41.1,40.98,41.07,121490
2016-10-05T14:00:00+05:30,41.1,41.19,40.88,40.98,125907
2016-10-05T14:15:00+05:30,41.04,41.13,40.98,41.13,21714
2016-10-05T14:30:00+05:30,41.13,41.13,40.95,41.04,78277
2016-10-05T14:45:00+05:30,41.04,41.07,40.88,40.98,82377
2016-10-05T15:00:00+05:30,41.01,41.13,40.98,41.07,161717
2016-10-05T15:15:00+05:30,41.07,41.13,40.95,41.04,190055
2016-10-06T09:15:00+05:30,41.25,41.37,41.1,41.19,143460
2016-10-06T09:30:00+05:30,41.25,41.37,41.19,41.34,55320
2016-10-06T09:45:00+05:30,41.34,41.44,41.28,41.28,60105
2016-10-06T10:00:00+05:30,41.28,41.34,41.25,41.25,38251
2016-10-06T10:15:00+05:30,41.31,41.34,41.25,41.25,24080
2016-10-06T10:30:00+05:30,41.31,41.58,41.28,41.49,112756
2016-10-06T10:45:00+05:30,41.52,41.58,41.41,41.41,55204
2016-10-06T11:00:00+05:30,41.41,41.49,41.31,41.34,31069
2016-10-06T11:15:00+05:30,41.34,41.41,41.25,41.34,31759
2016-10-06T11:30:00+05:30,41.31,41.46,41.28,41.46,16133
2016-10-06T11:45:00+05:30,41.37,41.44,41.34,41.41,19252
2016-10-06T12:00:00+05:30,41.37,41.44,41.31,41.37,19299
2016-10-06T12:15:00+05:30,41.37,41.44,41.31,41.41,27673
2016-10-06T12:30:00+05:30,41.37,41.44,41.34,41.37,38632
2016-10-06T12:45:00+05:30,41.37,41.41,41.31,41.31,39884
2016-10-06T13:00:00+05:30,41.31,41.41,41.31,41.41,32187
2016-10-06T13:15:00+05:30,41.37,41.41,41.13,41.16,73065
2016-10-06T13:30:00+05:30,41.19,41.19,40.83,40.92,162774
2016-10-06T13:45:00+05:30,40.88,41.01,40.77,40.98,88240
2016-10-06T14:00:00+05:30,40.92,40.92,40.34,40.61,244410
2016-10-06T14:15:00+05:30,40.61,40.74,40.55,40.71,40012
2016-10-06T14:30:00+05:30,40.64,40.71,40.37,40.5,83455
2016-10-06T14:45:00+05:30,40.47,40.5,40.13,40.25,174569
2016-10-06T15:00:00+05:30,40.25,40.8,40.16,40.71,774390
2016-10-06T15:15:00+05:30,40.74,40.8,40.44,40.5,301979
2016-10-07T09:15:00+05:30,40.74,40.83,40.52,40.77,110894
2016-10-07T09:30:00+05:30,40.77,40.8,40.52,40.58,99336
2016-10-07T09:45:00+05:30,40.64,40.74,40.61,40.61,70496
2016-10-07T10:00:00+05:30,40.58,40.88,40.58,40.88,62437
2016-10-07T10:15:00+05:30,40.88,40.95,40.71,40.8,63651
2016-10-07T10:30:00+05:30,40.8,40.92,40.8,40.88,42348
2016-10-07T10:45:00+05:30,40.88,40.88,40.74,40.8,34715
2016-10-07T11:00:00+05:30,40.8,40.85,40.77,40.8,13071
2016-10-07T11:15:00+05:30,40.71,40.85,40.68,40.8,51818
2016-10-07T11:30:00+05:30,40.8,40.8,40.52,40.64,48566
2016-10-07T11:45:00+05:30,40.64,40.83,40.5,40.64,150877
2016-10-07T12:00:00+05:30,40.71,40.71,40.58,40.71,29751
2016-10-07T12:15:00+05:30,40.64,40.85,40.64,40.83,41312
2016-10-07T12:30:00+05:30,40.85,40.85,40.74,40.74,39269
2016-10-07T12:45:00+05:30,40.74,40.83,40.74,40.77,23386
2016-10-07T13:00:00+05:30,40.8,40.8,40.58,40.68,52684
2016-10-07T13:15:00+05:30,40.68,40.68,40.22,40.5,343209
2016-10-07T13:30:00+05:30,40.52,40.71,40.5,40.58,57804
2016-10-07T13:45:00+05:30,40.64,40.77,40.64,40.71,50521
2016-10-07T14:00:00+05:30,40.74,40.92,40.71,40.88,60439
2016-10-07T14:15:00+05:30,40.95,41.25,40.8,40.88,243925
2016-10-07T14:30:00+05:30,40.85,41.41,40.83,41.31,919383
2016-10-07T14:45:00+05:30,41.31,41.34,40.92,41.01,624633
2016-10-07T15:00:00+05:30,41.01,41.46,41.01,41.19,790433
2016-10-07T15:15:00+05:30,41.19,41.25,40.85,41.16,836559
2016-10-10T09:15:00+05:30,41.46,41.46,41.16,41.34,195726
2016-10-10T09:30:00+05:30,41.37,41.46,41.25,41.41,141263
2016-10-10T09:45:00+05:30,41.44,41.44,41.28,41.28,31939
2016-10-10T10:00:00+05:30,41.28,41.41,41.28,41.34,40281
2016-10-10T10:15:00+05:30,41.31,41.71,41.07,41.68,468313
2016-10-10T10:30:00+05:30,41.68,41.77,41.1,41.13,652545
2016-10-10T10:45:00+05:30,41.13,41.55,41.07,41.34,679298
2016-10-10T11:00:00+05:30,41.34,41.37,41.31,41.34,28439
2016-10-10T11:15:00+05:30,41.34,41.37,41.28,41.37,47386
2016-10-10T11:30:00+05:30,41.37,41.44,41.31,41.37,27655
2016-10-10T11:45:00+05:30,41.34,41.41,41.25,41.34,45664
2016-10-10T12:00:00+05:30,41.34,41.37,41.28,41.37,8611
2016-10-10T12:15:00+05:30,41.34,41.34,41.28,41.31,21647
2016-10-10T12:30:00+05:30,41.31,41.34,41.25,41.31,25359
2016-10-10T12:45:00+05:30,41.28,41.34,41.13,41.16,33641
2016-10-10T13:00:00+05:30,41.16,41.22,40.71,40.85,466032
2016-10-10T13:15:00+05:30,40.85,40.95,40.8,40.92,74653
2016-10-10T13:30:00+05:30,40.92,40.98,40.85,40.92,18558
2016-10-10T13:45:00+05:30,40.85,40.95,40.8,40.83,27484
2016-10-10T14:00:00+05:30,40.88,42.62,40.83,42.56,2511263
2016-10-10T14:15:00+05:30,42.62,42.68,42.01,42.13,1182906
2016-10-10T14:30:00+05:30,42.1,42.13,41.95,42.04,299295
2016-10-10T14:45:00+05:30,42.04,42.13,41.92,42.1,207123
2016-10-10T15:00:00+05:30,42.13,42.13,41.92,41.95,242008
2016-10-10T15:15:00+05:30,41.98,42.01,41.68,41.89,641471
2016-10-13T09:15:00+05:30,41.82,42.28,41.68,41.89,675111
2016-10-13T09:30:00+05:30,41.92,42.04,41.89,42.01,173804
2016-10-13T09:45:00+05:30,42.01,42.04,41.89,41.95,116589
2016-10-13T10:00:00+05:30,41.98,41.98,41.55,41.71,212593
2016-10-13T10:15:00+05:30,41.71,41.71,41.44,41.55,123200
2016-10-13T10:30:00+05:30,41.52,41.74,41.49,41.74,69912
2016-10-13T10:45:00+05:30,41.77,41.79,41.62,41.62,75339
2016-10-13T11:00:00+05:30,41.65,41.65,41.44,41.46,130057
2016-10-13T11:15:00+05:30,41.52,41.55,41.46,41.49,61547
2016-10-13T11:30:00+05:30,41.52,41.52,41.22,41.31,191322
2016-10-13T11:45:00+05:30,41.28,41.41,41.28,41.31,23050
2016-10-13T12:00:00+05:30,41.31,41.37,41.13,41.19,88069
2016-10-13T12:15:00+05:30,41.19,41.34,41.13,41.19,53572
2016-10-13T12:30:00+05:30,41.19,41.34,41.07,41.16,118145
2016-10-13T12:45:00+05:30,41.19,41.19,40.85,41.13,188892
2016-10-13T13:00:00+05:30,41.16,41.16,40.88,41.07,71546
2016-10-13T13:15:00+05:30,41.07,41.22,41.01,41.07,67862
2016-10-13T13:30:00+05:30,41.1,41.19,41.01,41.13,150580
2016-10-13T13:45:00+05:30,41.16,41.16,40.95,40.98,85575
2016-10-13T14:00:00+05:30,40.95,40.98,40.68,40.88,209858
2016-10-13T14:15:00+05:30,40.92,41.01,40.8,41.01,75281
2016-10-13T14:30:00+05:30,41.04,41.1,40.88,40.92,42179
2016-10-13T14:45:00+05:30,40.95,40.95,40.77,40.83,120428
2016-10-13T15:00:00+05:30,40.8,40.88,40.74,40.85,190885
2016-10-13T15:15:00+05:30,40.85,41.01,40.77,40.88,291621
2016-10-14T09:15:00+05:30,41.13,41.19,40.77,41.04,235263
2016-10-14T09:30:00+05:30,41.07,41.19,40.95,41.19,118186
2016-10-14T09:45:00+05:30,41.13,41.19,40.71,40.95,178440
2016-10-14T10:00:00+05:30,40.95,41.04,40.92,40.92,64698
2016-10-14T10:15:00+05:30,40.92,41.31,40.92,41.13,107539
2016-10-14T10:30:00+05:30,41.13,41.16,41.01,41.07,24736
2016-10-14T10:45:00+05:30,41.07,41.16,41.07,41.13,17587
2016-10-14T11:00:00+05:30,41.1,41.13,40.98,41.01,43619
2016-10-14T11:15:00+05:30,41.07,41.16,41.01,41.1,17982
2016-10-14T11:30:00+05:30,41.16,41.16,41.1,41.1,20977
2016-10-14T11:45:00+05:30,41.13,41.16,41.04,41.04,15539
2016-10-14T12:00:00+05:30,41.07,41.55,41.04,41.41,720710
2016-10-14T12:15:00+05:30,41.41,41.41,40.77,41.07,747564
2016-10-14T12:30:00+05:30,41.1,41.22,41.04,41.19,76562
2016-10-14T12:45:00+05:30,41.22,41.25,41.16,41.22,37145
2016-10-14T13:00:00+05:30,41.19,41.22,40.85,41.04,90006
2016-10-14T13:15:00+05:30,40.98,41.13,40.95,41.07,39649
2016-10-14T13:30:00+05:30,41.07,41.31,41.01,41.16,141040
2016-10-14T13:45:00+05:30,41.1,41.19,41.01,41.07,62332
2016-10-14T14:00:00+05:30,41.04,41.04,40.83,40.85,144923
2016-10-14T14:15:00+05:30,40.88,40.98,40.74,40.98,127165
2016-10-14T14:30:00+05:30,40.98,41.07,40.95,41.07,92710
2016-10-14T14:45:00+05:30,41.01,41.13,40.98,41.04,67824
2016-10-14T15:00:00+05:30,41.04,41.1,40.95,41.01,134968
2016-10-14T15:15:00+05:30,41.01,41.07,40.95,41.01,229867
2016-10-17T09:15:00+05:30,41.19,41.41,41.07,41.37,267062
2016-10-17T09:30:00+05:30,41.34,41.58,41.34,41.49,140332
2016-10-17T09:45:00+05:30,41.46,41.46,41.31,41.37,75915
2016-10-17T10:00:00+05:30,41.37,41.46,41.34,41.37,95754
2016-10-17T10:15:00+05:30,41.37,41.46,40.98,41.07,420281
2016-10-17T10:30:00+05:30,41.07,41.65,41.04,41.44,971880
2016-10-17T10:45:00+05:30,41.37,41.49,41.37,41.44,61289
2016-10-17T11:00:00+05:30,41.44,41.82,41.41,41.79,155837
2016-10-17T11:15:00+05:30,41.77,41.77,41.49,41.49,68205
2016-10-17T11:30:00+05:30,41.49,41.55,41.37,41.41,71212
2016-10-17T11:45:00+05:30,41.41,41.44,41.01,41.13,202701
2016-10-17T12:00:00+05:30,41.16,41.28,40.95,41.1,142374
2016-10-17T12:15:00+05:30,41.07,41.07,40.34,40.8,283539
2016-10-17T12:30:00+05:30,40.8,40.85,40.68,40.83,62817
2016-10-17T12:45:00+05:30,40.85,40.92,40.74,40.77,53665
2016-10-17T13:00:00+05:30,40.8,41.22,40.8,41.04,162573
2016-10-17T13:15:00+05:30,41.04,41.04,40.88,41.01,47684
2016-10-17T13:30:00+05:30,41.01,41.1,40.92,41.01,38043
2016-10-17T13:45:00+05:30,40.98,41.04,40.83,40.92,182066
2016-10-17T14:00:00+05:30,40.95,40.98,40.88,40.98,27890
2016-10-17T14:15:00+05:30,40.95,41.01,40.83,40.83,49553
2016-10-17T14:30:00+05:30,40.83,41.28,40.68,40.68,411747
2016-10-17T14:45:00+05:30,40.71,40.92,40.52,40.71,623718
2016-10-17T15:00:00+05:30,40.74,40.98,40.68,40.92,176774
2016-10-17T15:15:00+05:30,40.85,41.04,40.83,40.88,235243
2016-10-18T09:15:00+05:30,41.22,41.44,41.07,41.34,162455
2016-10-18T09:15:00+05:30,41.22,41.44,41.07,41.34,162455
2016-10-18T09:30:00+05:30,41.34,41.49,41.31,41.37,95170
2016-10-18T09:45:00+05:30,41.37,41.41,41.25,41.34,149350
2016-10-18T10:00:00+05:30,41.31,41.34,41.16,41.25,46859
2016-10-18T10:15:00+05:30,41.25,41.34,41.19,41.28,27088
2016-10-18T10:30:00+05:30,41.31,41.34,41.16,41.16,23987
2016-10-18T10:45:00+05:30,41.13,41.34,41.1,41.31,34552
2016-10-18T11:00:00+05:30,41.25,41.31,41.16,41.25,22854
2016-10-18T11:15:00+05:30,41.22,41.25,41.16,41.22,20835
2016-10-18T11:30:00+05:30,41.19,41.28,41.19,41.19,29087
2016-10-18T11:45:00+05:30,41.25,41.44,41.19,41.25,89318
2016-10-18T12:00:00+05:30,41.31,41.31,41.22,41.28,19125
2016-10-18T12:15:00+05:30,41.25,41.28,41.16,41.19,30292
2016-10-18T12:30:00+05:30,41.22,41.34,41.19,41.31,38505
2016-10-18T12:45:00+05:30,41.31,41.37,41.25,41.31,50164
2016-10-18T13:00:00+05:30,41.31,41.44,41.28,41.41,50130
2016-10-18T13:15:00+05:30,41.44,41.62,41.37,41.37,145077
2016-10-18T13:30:00+05:30,41.37,41.46,41.31,41.37,34247
2016-10-18T13:45:00+05:30,41.34,41.52,41.34,41.49,88745
