datetime,open,high,low,close,volume
2018-11-05T09:30:00+05:30,72.0,72.0,72.0,72.0,533218
2018-11-05T10:00:00+05:30,75.6,75.6,75.6,75.6,1591124
2018-11-05T10:15:00+05:30,75.6,75.6,75.6,75.6,139466
2018-11-05T10:30:00+05:30,75.6,75.6,75.6,75.6,41302
2018-11-05T10:45:00+05:30,75.6,75.6,75.6,75.6,37876
2018-11-05T11:00:00+05:30,75.6,75.6,75.6,75.6,104632
2018-11-05T11:15:00+05:30,75.6,75.6,75.6,75.6,13130
2018-11-05T11:30:00+05:30,75.6,75.6,75.6,75.6,12080
2018-11-05T11:45:00+05:30,75.6,75.6,75.6,75.6,497624
2018-11-05T12:00:00+05:30,75.6,75.6,75.6,75.6,14450
2018-11-05T12:15:00+05:30,75.6,75.6,75.6,75.6,40862
2018-11-05T12:30:00+05:30,75.6,75.6,75.6,75.6,56748
2018-11-05T12:45:00+05:30,75.6,75.6,75.6,75.6,2992
2018-11-05T13:00:00+05:30,75.6,75.6,75.6,75.6,1942
2018-11-05T13:15:00+05:30,75.6,75.6,75.6,75.6,10916
2018-11-05T13:30:00+05:30,75.6,75.6,75.6,75.6,1770
2018-11-05T13:45:00+05:30,75.6,75.6,75.6,75.6,12068
2018-11-05T14:00:00+05:30,75.6,75.6,75.6,75.6,1452
2018-11-05T14:15:00+05:30,75.6,75.6,75.6,75.6,5620
2018-11-05T14:30:00+05:30,75.6,75.6,75.6,75.6,15390
2018-11-05T14:45:00+05:30,75.6,75.6,75.6,75.6,123120
2018-11-05T15:00:00+05:30,75.6,75.6,75.6,75.6,3344
2018-11-05T15:15:00+05:30,75.6,75.6,75.6,75.6,12158
2018-11-06T09:15:00+05:30,77.0,79.35,75.7,79.35,1232529
2018-11-06T09:30:00+05:30,79.35,79.35,77.3,78.0,211073
2018-11-06T09:45:00+05:30,78.0,79.2,77.5,77.6,151717
2018-11-06T10:00:00+05:30,77.6,78.0,77.0,77.5,94241
2018-11-06T10:15:00+05:30,77.35,78.0,77.0,77.65,55524
2018-11-06T10:30:00+05:30,77.65,78.0,77.2,77.9,64774
2018-11-06T10:45:00+05:30,77.9,78.0,77.0,77.5,46376
2018-11-06T11:00:00+05:30,77.5,78.0,77.0,77.9,35861
2018-11-06T11:15:00+05:30,77.05,77.9,76.05,77.1,100407
2018-11-06T11:30:00+05:30,77.35,77.5,76.75,77.0,89124
2018-11-06T11:45:00+05:30,77.3,77.3,76.5,77.1,25022
2018-11-06T12:00:00+05:30,77.1,77.8,77.0,77.6,36930
2018-11-06T12:15:00+05:30,77.6,77.8,77.0,77.7,21940
2018-11-06T12:30:00+05:30,77.7,77.8,77.2,77.75,27569
2018-11-06T12:45:00+05:30,77.7,77.75,76.9,77.4,23276
2018-11-06T13:00:00+05:30,77.4,77.75,77.0,77.6,7276
2018-11-06T13:15:00+05:30,77.6,77.95,77.15,77.15,44924
2018-11-06T13:30:00+05:30,77.7,78.0,77.35,78.0,22658
2018-11-06T13:45:00+05:30,78.0,78.1,77.35,77.65,25753
2018-11-06T14:00:00+05:30,77.55,78.2,76.9,77.1,53538
2018-11-06T14:15:00+05:30,77.1,78.2,76.75,77.0,30685
2018-11-06T14:30:00+05:30,77.0,77.9,76.75,77.2,16873
2018-11-06T14:45:00+05:30,77.25,78.2,77.25,78.2,53235
2018-11-06T15:00:00+05:30,78.0,78.25,77.5,78.2,39071
2018-11-06T15:15:00+05:30,78.3,78.45,77.75,78.1,18485
2018-11-07T17:15:00+05:30,79.4,79.4,79.4,79.4,6722
2018-11-07T17:30:00+05:30,79.8,80.5,78.5,80.0,328036
2018-11-07T17:45:00+05:30,79.95,81.0,79.9,80.75,181242
2018-11-07T18:00:00+05:30,80.75,81.2,80.1,81.2,232866
2018-11-07T18:15:00+05:30,81.2,82.0,81.0,82.0,229122
2018-11-09T09:15:00+05:30,84.0,84.0,79.0,80.8,304813
2018-11-09T09:30:00+05:30,80.0,80.8,79.6,79.8,163834
2018-11-09T09:45:00+05:30,80.0,80.25,78.8,78.8,115309
2018-11-09T10:00:00+05:30,78.8,78.85,77.25,77.25,154697
2018-11-09T10:15:00+05:30,77.25,77.25,77.25,77.25,88615
2018-11-09T10:30:00+05:30,77.25,78.05,77.25,77.6,203513
2018-11-09T10:45:00+05:30,77.6,77.6,77.25,77.25,60444
2018-11-09T11:00:00+05:30,77.25,77.5,77.25,77.25,95477
2018-11-09T11:15:00+05:30,77.25,77.5,77.25,77.25,65359
2018-11-09T11:30:00+05:30,77.3,77.4,77.25,77.25,54482
2018-11-09T11:45:00+05:30,77.25,78.0,77.25,77.4,52943
2018-11-09T12:00:00+05:30,77.4,77.9,77.3,77.3,47087
2018-11-09T12:15:00+05:30,77.3,77.4,77.25,77.3,51213
2018-11-09T12:30:00+05:30,77.25,78.0,77.25,77.75,114235
2018-11-09T12:45:00+05:30,77.8,77.8,77.25,77.25,47524
2018-11-09T13:00:00+05:30,77.25,77.4,77.25,77.25,46442
2018-11-09T13:15:00+05:30,77.75,77.75,77.25,77.25,38601
2018-11-09T13:30:00+05:30,77.25,77.3,77.25,77.25,14903
2018-11-09T13:45:00+05:30,77.25,77.25,77.25,77.25,15777
2018-11-09T14:00:00+05:30,77.25,77.25,77.25,77.25,24466
2018-11-09T14:15:00+05:30,77.25,77.25,77.25,77.25,14979
2018-11-09T14:30:00+05:30,77.25,77.25,77.25,77.25,1866
2018-11-09T14:45:00+05:30,77.25,78.3,77.25,78.3,47883
2018-11-09T15:00:00+05:30,78.5,80.0,77.3,79.5,43602
2018-11-09T15:15:00+05:30,80.0,81.0,79.0,79.95,56964
2018-11-12T09:15:00+05:30,79.8,79.8,77.0,78.4,55827
2018-11-12T09:30:00+05:30,78.3,78.5,76.45,76.5,54217
2018-11-12T09:45:00+05:30,76.8,77.5,76.5,77.0,43751
2018-11-12T10:00:00+05:30,77.0,77.9,76.8,77.0,57842
2018-11-12T10:15:00+05:30,77.0,77.9,76.8,77.0,22665
2018-11-12T10:30:00+05:30,77.0,77.4,76.5,76.75,62248
2018-11-12T10:45:00+05:30,76.75,76.95,76.5,76.5,27729
2018-11-12T11:00:00+05:30,76.5,76.55,76.4,76.5,97976
2018-11-12T11:15:00+05:30,76.55,76.6,76.25,76.25,67534
2018-11-12T11:30:00+05:30,76.4,76.75,76.4,76.75,49830
2018-11-12T11:45:00+05:30,76.9,77.25,76.8,77.05,27527
2018-11-12T12:00:00+05:30,77.2,77.4,77.05,77.15,39023
2018-11-12T12:15:00+05:30,77.15,77.15,76.8,76.8,33017
2018-11-12T12:30:00+05:30,76.8,76.95,76.75,76.95,24245
2018-11-12T12:45:00+05:30,76.95,77.15,76.95,77.0,21347
2018-11-12T13:00:00+05:30,77.0,77.1,76.75,76.75,24755
2018-11-12T13:15:00+05:30,77.0,77.0,76.75,76.8,6346
2018-11-12T13:30:00+05:30,76.95,77.0,76.55,76.75,19254
2018-11-12T13:45:00+05:30,76.75,76.8,76.5,76.7,26035
2018-11-12T14:00:00+05:30,76.7,76.75,76.25,76.3,140487
2018-11-12T14:15:00+05:30,76.5,76.5,76.1,76.1,143501
2018-11-12T14:30:00+05:30,76.1,76.3,76.1,76.3,34935
2018-11-12T14:45:00+05:30,76.2,76.25,76.0,76.05,110089
2018-11-12T15:00:00+05:30,76.05,76.1,76.0,76.0,128810
2018-11-12T15:15:00+05:30,76.0,76.05,76.0,76.0,174443
2018-11-13T09:15:00+05:30,72.5,74.7,72.5,72.6,106137
2018-11-13T09:30:00+05:30,72.6,73.2,72.5,73.0,86452
2018-11-13T09:45:00+05:30,73.0,73.9,73.0,73.75,60397
2018-11-13T10:00:00+05:30,73.9,74.1,73.75,74.0,77207
2018-11-13T10:15:00+05:30,74.0,74.1,73.75,73.75,31271
2018-11-13T10:30:00+05:30,73.75,74.15,73.75,73.75,42770
2018-11-13T10:45:00+05:30,73.75,74.0,73.75,73.95,7940
2018-11-13T11:00:00+05:30,73.95,74.0,73.75,74.0,16195
2018-11-13T11:15:00+05:30,73.75,74.1,73.75,73.95,16154
2018-11-13T11:30:00+05:30,73.85,74.0,73.75,73.75,14516
2018-11-13T11:45:00+05:30,73.85,74.1,73.5,73.85,42624
2018-11-13T12:00:00+05:30,73.85,74.3,73.75,74.2,20568
2018-11-13T12:15:00+05:30,74.2,75.0,74.2,75.0,22474
2018-11-13T12:30:00+05:30,74.9,75.0,74.75,74.75,17083
2018-11-13T12:45:00+05:30,74.75,74.9,74.5,74.75,17545
2018-11-13T13:00:00+05:30,74.75,75.75,74.75,75.5,24662
2018-11-13T13:15:00+05:30,75.5,76.0,75.25,75.25,6660
2018-11-13T13:30:00+05:30,75.25,75.35,75.25,75.35,8072
2018-11-13T13:45:00+05:30,75.35,75.75,75.35,75.65,4571
2018-11-13T14:00:00+05:30,75.75,76.4,75.75,76.0,25603
2018-11-13T14:15:00+05:30,76.0,76.8,76.0,76.5,18788
2018-11-13T14:30:00+05:30,76.45,77.0,76.0,76.05,51513
2018-11-13T14:45:00+05:30,76.5,76.5,75.75,75.8,46842
2018-11-13T15:00:00+05:30,75.75,78.0,75.75,78.0,69609
2018-11-13T15:15:00+05:30,76.75,77.95,76.5,76.95,78960
2018-11-14T09:15:00+05:30,77.05,78.25,76.5,76.5,42409
2018-11-14T09:30:00+05:30,76.5,77.0,76.05,76.05,14098
2018-11-14T09:45:00+05:30,76.05,76.8,75.5,76.5,32327
2018-11-14T10:00:00+05:30,76.5,76.8,76.5,76.5,11161
2018-11-14T10:15:00+05:30,76.7,77.0,76.4,76.5,23066
2018-11-14T10:30:00+05:30,76.9,77.5,76.5,77.0,7238
2018-11-14T10:45:00+05:30,77.4,77.5,76.55,77.0,7455
2018-11-14T11:00:00+05:30,76.55,77.5,76.5,77.45,12318
2018-11-14T11:15:00+05:30,77.45,77.45,77.0,77.25,12167
2018-11-14T11:30:00+05:30,77.25,77.45,77.0,77.25,10918
2018-11-14T11:45:00+05:30,77.4,77.5,77.1,77.1,8365
2018-11-14T12:00:00+05:30,77.1,77.6,77.0,77.5,34835
2018-11-14T12:15:00+05:30,77.5,78.1,77.5,78.0,29579
2018-11-14T12:30:00+05:30,78.0,78.15,77.75,78.15,15131
2018-11-14T12:45:00+05:30,78.1,78.65,77.5,78.35,73148
2018-11-14T13:00:00+05:30,78.3,78.3,77.75,78.0,9094
2018-11-14T13:15:00+05:30,78.0,78.05,77.75,77.75,21081
2018-11-14T13:30:00+05:30,77.75,78.0,77.75,77.75,22347
2018-11-14T13:45:00+05:30,78.0,78.0,77.5,77.75,20228
2018-11-14T14:00:00+05:30,77.75,78.0,77.75,77.75,26276
2018-11-14T14:15:00+05:30,77.75,78.0,77.75,77.75,12764
2018-11-14T14:30:00+05:30,77.75,77.95,77.5,77.9,18884
2018-11-14T14:45:00+05:30,77.9,78.0,77.55,77.75,38666
2018-11-14T15:00:00+05:30,78.0,78.6,77.75,78.5,54301
2018-11-14T15:15:00+05:30,78.3,78.65,78.0,78.3,82381
2018-11-15T09:15:00+05:30,79.0,79.0,75.5,78.65,29413
2018-11-15T09:30:00+05:30,78.6,78.65,77.75,78.0,26639
2018-11-15T09:45:00+05:30,77.8,78.7,77.75,78.0,25438
2018-11-15T10:00:00+05:30,77.8,78.8,77.75,77.85,9803
2018-11-15T10:15:00+05:30,78.2,78.2,77.85,78.0,8389
2018-11-15T10:30:00+05:30,78.0,78.4,77.75,78.05,28520
2018-11-15T10:45:00+05:30,78.05,78.55,78.0,78.5,8177
2018-11-15T11:00:00+05:30,78.5,78.6,78.25,78.35,11690
2018-11-15T11:15:00+05:30,78.35,78.75,78.25,78.7,10033
2018-11-15T11:30:00+05:30,78.7,78.75,78.3,78.75,18804
2018-11-15T11:45:00+05:30,78.75,79.0,78.2,78.75,30639
2018-11-15T12:00:00+05:30,78.75,79.0,77.9,77.9,59076
2018-11-15T12:15:00+05:30,78.5,79.0,77.25,79.0,60191
2018-11-15T12:30:00+05:30,79.05,79.15,78.9,79.15,13249
2018-11-15T12:45:00+05:30,79.1,79.15,78.9,79.0,23470
2018-11-15T13:00:00+05:30,79.0,79.6,79.0,79.5,41336
2018-11-15T13:15:00+05:30,79.5,79.6,79.25,79.5,30349
2018-11-15T13:30:00+05:30,79.5,79.8,79.5,79.5,35179
2018-11-15T13:45:00+05:30,79.8,79.8,79.25,79.5,9416
2018-11-15T14:00:00+05:30,79.6,79.9,79.25,79.5,12513
2018-11-15T14:15:00+05:30,79.5,80.0,79.5,79.55,41432
2018-11-15T14:30:00+05:30,79.9,79.95,79.25,79.3,37103
2018-11-15T14:45:00+05:30,79.5,79.55,79.0,79.45,22456
2018-11-15T15:00:00+05:30,79.05,79.55,79.0,79.25,39941
2018-11-15T15:15:00+05:30,79.25,79.6,79.25,79.4,28668
