datetime,open,high,low,close,volume
2016-10-03T09:15:00+05:30,113.16,114.4,113.16,114.4,144287
2016-10-03T09:30:00+05:30,114.38,114.55,114.18,114.18,121605
2016-10-03T09:45:00+05:30,114.23,114.54,114.01,114.34,59444
2016-10-03T10:00:00+05:30,114.41,114.65,114.27,114.48,150447
2016-10-03T10:15:00+05:30,114.48,114.55,114.33,114.45,50424
2016-10-03T10:30:00+05:30,114.45,114.55,114.41,114.52,33407
2016-10-03T10:45:00+05:30,114.52,114.63,114.46,114.57,320507
2016-10-03T11:00:00+05:30,114.57,115.91,114.55,115.82,341132
2016-10-03T11:15:00+05:30,115.82,115.99,115.31,115.4,194964
2016-10-03T11:30:00+05:30,115.44,115.5,115.05,115.44,130790
2016-10-03T11:45:00+05:30,115.43,115.81,115.37,115.65,112717
2016-10-03T12:00:00+05:30,115.65,115.72,115.36,115.55,69278
2016-10-03T12:15:00+05:30,115.46,115.7,115.46,115.59,46981
2016-10-03T12:30:00+05:30,115.59,115.69,115.47,115.65,17699
2016-10-03T12:45:00+05:30,115.65,116.36,115.61,116.2,260568
2016-10-03T13:00:00+05:30,116.14,116.18,116.0,116.1,41811
2016-10-03T13:15:00+05:30,116.16,116.36,116.02,116.07,98912
2016-10-03T13:30:00+05:30,116.16,116.25,116.02,116.17,27291
2016-10-03T13:45:00+05:30,116.17,116.18,115.96,116.07,42416
2016-10-03T14:00:00+05:30,116.13,116.13,115.01,115.55,111584
2016-10-03T14:15:00+05:30,115.55,115.81,115.55,115.63,23804
2016-10-03T14:30:00+05:30,115.57,116.05,115.57,115.98,59169
2016-10-03T14:45:00+05:30,115.98,116.11,115.83,115.89,83347
2016-10-03T15:00:00+05:30,115.91,115.94,115.45,115.65,96580
2016-10-03T15:15:00+05:30,115.71,115.98,115.6,115.72,186296
2016-10-04T09:15:00+05:30,116.61,116.61,115.92,116.08,141295
2016-10-04T09:30:00+05:30,116.08,116.27,116.07,116.22,42053
2016-10-04T09:45:00+05:30,116.2,116.27,115.74,115.97,70521
2016-10-04T10:00:00+05:30,115.98,116.12,115.45,115.46,79959
2016-10-04T10:15:00+05:30,115.54,115.7,115.16,115.39,83677
2016-10-04T10:30:00+05:30,115.35,115.56,115.27,115.48,24057
2016-10-04T10:45:00+05:30,115.49,115.85,115.35,115.78,43153
2016-10-04T11:00:00+05:30,115.82,116.18,115.82,115.83,90365
2016-10-04T11:15:00+05:30,115.83,116.05,115.64,115.78,16115
2016-10-04T11:30:00+05:30,115.78,115.78,115.29,115.45,53614
2016-10-04T11:45:00+05:30,115.49,115.66,115.37,115.45,20680
2016-10-04T12:00:00+05:30,115.43,115.6,115.33,115.42,73172
2016-10-04T12:15:00+05:30,115.41,115.71,115.41,115.45,26818
2016-10-04T12:30:00+05:30,115.42,115.58,115.41,115.47,9240
2016-10-04T12:45:00+05:30,115.48,115.57,115.47,115.55,14113
2016-10-04T13:00:00+05:30,115.55,115.55,115.47,115.48,5104
2016-10-04T13:15:00+05:30,115.58,115.68,115.45,115.46,38478
2016-10-04T13:30:00+05:30,115.47,115.55,115.46,115.46,12595
2016-10-04T13:45:00+05:30,115.52,115.52,115.26,115.3,89463
2016-10-04T14:00:00+05:30,115.28,115.39,115.14,115.17,77869
2016-10-04T14:15:00+05:30,115.12,115.35,115.09,115.19,149633
2016-10-04T14:30:00+05:30,115.19,115.53,114.79,115.25,101838
