datetime,open,high,low,close,volume
2016-10-03T09:15:00+05:30,461.5,461.5,456.1,458.55,83794
2016-10-03T09:30:00+05:30,458.55,462.0,457.8,461.75,61250
2016-10-03T09:45:00+05:30,461.98,464.85,460.85,460.85,88666
2016-10-03T10:00:00+05:30,460.83,462.98,460.8,462.0,87990
2016-10-03T10:15:00+05:30,462.0,464.63,461.8,464.25,54866
2016-10-03T10:30:00+05:30,464.25,464.75,462.55,463.6,38654
2016-10-03T10:45:00+05:30,463.63,463.75,462.55,463.0,18956
2016-10-03T11:00:00+05:30,463.0,463.45,462.25,462.4,25746
2016-10-03T11:15:00+05:30,462.4,462.45,459.45,460.4,49680
2016-10-03T11:30:00+05:30,460.2,461.08,459.53,459.55,34976
2016-10-03T11:45:00+05:30,459.55,460.45,459.28,459.35,36942
2016-10-03T12:00:00+05:30,459.28,460.95,457.53,460.85,63492
2016-10-03T12:15:00+05:30,460.98,462.5,460.85,462.48,46294
2016-10-03T12:30:00+05:30,462.48,464.0,462.03,463.43,45470
2016-10-03T12:45:00+05:30,463.2,463.63,462.63,463.38,25684
2016-10-03T13:00:00+05:30,463.38,464.0,463.28,463.8,21058
2016-10-03T13:15:00+05:30,463.93,463.93,462.05,462.35,21276
2016-10-03T13:30:00+05:30,462.35,464.33,462.33,462.73,27188
2016-10-03T13:45:00+05:30,462.73,463.75,462.35,462.78,23730
2016-10-03T14:00:00+05:30,462.78,462.98,462.05,462.28,14084
2016-10-03T14:15:00+05:30,462.25,463.73,462.05,463.33,25400
2016-10-03T14:30:00+05:30,463.28,469.45,463.25,469.45,131704
2016-10-03T14:45:00+05:30,469.18,470.3,468.3,469.35,203872
2016-10-03T15:00:00+05:30,469.35,472.0,468.78,470.78,110130
2016-10-03T15:15:00+05:30,470.78,471.5,467.6,470.28,201234
2016-10-04T09:15:00+05:30,472.33,474.05,471.0,472.5,108612
2016-10-04T09:30:00+05:30,472.5,472.73,469.7,470.7,80518
2016-10-04T09:45:00+05:30,470.5,471.33,468.98,470.5,52960
2016-10-04T10:00:00+05:30,470.5,470.93,467.6,467.9,49104
2016-10-04T10:15:00+05:30,467.98,468.68,465.63,466.63,70028
2016-10-04T10:30:00+05:30,466.63,468.25,466.0,467.23,76686
2016-10-04T10:45:00+05:30,467.25,468.9,467.08,468.0,12816
2016-10-04T11:00:00+05:30,468.0,470.48,467.63,469.0,35880
2016-10-04T11:15:00+05:30,469.0,470.0,468.25,469.4,17070
2016-10-04T11:30:00+05:30,469.43,469.43,467.0,467.23,20206
2016-10-04T11:45:00+05:30,467.2,468.15,465.0,465.8,40528
2016-10-04T12:00:00+05:30,466.0,466.8,465.6,466.38,35278
2016-10-04T12:15:00+05:30,466.38,466.38,465.5,465.75,6506
2016-10-04T12:30:00+05:30,465.75,465.75,461.6,462.55,101732
2016-10-04T12:45:00+05:30,462.75,464.13,462.38,463.13,128750
2016-10-04T13:00:00+05:30,463.0,463.25,462.05,462.53,46208
2016-10-04T13:15:00+05:30,462.55,462.55,460.5,461.7,34918
2016-10-04T13:30:00+05:30,461.5,462.7,461.45,462.2,88476
2016-10-04T13:45:00+05:30,462.45,464.0,462.0,462.5,36028
2016-10-04T14:00:00+05:30,462.5,463.03,461.8,461.98,29960
2016-10-04T14:15:00+05:30,461.73,462.5,461.0,462.5,57644
2016-10-04T14:30:00+05:30,462.4,463.13,460.5,461.68,111932
2016-10-04T14:45:00+05:30,461.68,462.45,461.28,462.0,26316
2016-10-04T15:00:00+05:30,461.88,462.5,461.28,462.38,82988
2016-10-04T15:15:00+05:30,462.48,462.5,460.83,462.2,189026
2016-10-05T09:15:00+05:30,458.9,458.9,440.5,453.08,339846
2016-10-05T09:30:00+05:30,453.08,453.25,450.78,451.8,106446
2016-10-05T09:45:00+05:30,451.78,454.5,451.58,454.2,150746
2016-10-05T10:00:00+05:30,454.15,454.65,452.73,453.33,62254
2016-10-05T10:15:00+05:30,453.03,454.0,450.75,452.5,69040
2016-10-05T10:30:00+05:30,452.6,454.0,452.5,453.6,37742
2016-10-05T10:45:00+05:30,453.63,454.45,453.0,453.88,29610
2016-10-05T11:00:00+05:30,453.88,456.1,453.88,455.78,67110
2016-10-05T11:15:00+05:30,455.75,456.68,454.7,455.03,45878
2016-10-05T11:30:00+05:30,455.3,457.18,455.23,455.8,84576
2016-10-05T11:45:00+05:30,455.98,456.75,455.98,456.28,49424
2016-10-05T12:00:00+05:30,456.4,460.6,454.85,459.2,179614
2016-10-05T12:15:00+05:30,459.2,460.0,457.9,459.6,61516
2016-10-05T12:30:00+05:30,459.65,464.4,458.0,463.23,160228
2016-10-05T12:45:00+05:30,463.23,463.95,461.08,462.0,92446
2016-10-05T13:00:00+05:30,462.23,466.8,462.03,466.73,124138
2016-10-05T13:15:00+05:30,466.73,468.33,465.2,466.0,214458
2016-10-05T13:30:00+05:30,466.0,466.35,465.15,465.7,99276
2016-10-05T13:45:00+05:30,465.7,466.48,465.5,466.03,31644
2016-10-05T14:00:00+05:30,466.03,466.8,462.93,463.73,131748
2016-10-05T14:15:00+05:30,463.88,464.98,463.6,464.2,45520
2016-10-05T14:30:00+05:30,464.4,464.68,463.5,464.25,27250
2016-10-05T14:45:00+05:30,464.15,464.73,463.05,463.6,41188
2016-10-05T15:00:00+05:30,464.0,464.5,463.4,463.75,74962
2016-10-05T15:15:00+05:30,463.73,463.73,460.0,462.53,177716
2016-10-06T09:15:00+05:30,463.0,464.9,461.03,463.33,65184
2016-10-06T09:30:00+05:30,463.05,464.33,462.3,463.1,31616
2016-10-06T09:45:00+05:30,462.75,466.65,462.75,466.55,90670
2016-10-06T10:00:00+05:30,467.4,468.6,466.3,466.35,127252
2016-10-06T10:15:00+05:30,466.35,466.5,465.13,466.1,37188
2016-10-06T10:30:00+05:30,466.15,466.15,463.5,464.18,50860
2016-10-06T10:45:00+05:30,464.08,464.75,462.25,462.78,64156
2016-10-06T11:00:00+05:30,462.8,464.4,462.53,463.1,42910
2016-10-06T11:15:00+05:30,463.5,464.38,461.6,462.0,53674
2016-10-06T11:30:00+05:30,462.0,465.0,462.0,464.48,27682
2016-10-06T11:45:00+05:30,464.43,465.95,463.65,465.75,33654
2016-10-06T12:00:00+05:30,465.53,465.75,463.4,463.85,22274
2016-10-06T12:15:00+05:30,463.95,465.8,463.58,465.23,19106
2016-10-06T12:30:00+05:30,464.28,465.18,463.6,463.75,18678
2016-10-06T12:45:00+05:30,463.75,464.7,463.0,463.25,28020
2016-10-06T13:00:00+05:30,463.28,464.38,462.73,464.35,12466
2016-10-06T13:15:00+05:30,464.35,464.75,461.1,462.0,33864
2016-10-06T13:30:00+05:30,461.63,462.63,459.05,459.7,91926
2016-10-06T13:45:00+05:30,459.5,459.75,457.55,458.93,94648
2016-10-06T14:00:00+05:30,459.25,460.9,457.0,460.85,65966
2016-10-06T14:15:00+05:30,460.85,464.5,460.53,463.6,66766
2016-10-06T14:30:00+05:30,463.5,472.0,463.03,466.75,365016
2016-10-06T14:45:00+05:30,466.6,467.88,463.5,463.98,111822
2016-10-06T15:00:00+05:30,464.15,465.85,462.63,465.75,100582
2016-10-06T15:15:00+05:30,465.75,467.68,465.05,465.43,108930
2016-10-07T09:15:00+05:30,475.93,477.5,470.6,471.5,320208
2016-10-07T09:30:00+05:30,471.5,472.13,469.08,470.33,88438
2016-10-07T09:45:00+05:30,470.3,473.83,470.25,472.3,113982
2016-10-07T10:00:00+05:30,472.3,473.75,472.0,473.08,43734
2016-10-07T10:15:00+05:30,473.25,474.88,472.88,473.93,88010
2016-10-07T10:30:00+05:30,473.93,474.1,471.55,472.28,46560
2016-10-07T10:45:00+05:30,472.23,472.75,471.33,471.7,84954
2016-10-07T11:00:00+05:30,471.38,472.4,471.05,471.95,49400
2016-10-07T11:15:00+05:30,471.95,472.13,471.05,471.5,22022
2016-10-07T11:30:00+05:30,471.5,471.63,469.25,469.93,73018
2016-10-07T11:45:00+05:30,470.0,471.45,470.0,471.35,22366
2016-10-07T12:00:00+05:30,471.4,471.4,470.25,470.68,13130
2016-10-07T12:15:00+05:30,470.68,473.03,470.33,473.03,49634
2016-10-07T12:30:00+05:30,473.03,473.45,471.85,473.25,59436
2016-10-07T12:45:00+05:30,473.23,473.25,472.6,472.8,19782
2016-10-07T13:00:00+05:30,472.75,473.0,470.75,471.25,41604
2016-10-07T13:15:00+05:30,471.2,473.0,470.88,472.25,36302
2016-10-07T13:30:00+05:30,472.25,474.5,471.55,472.48,76680
2016-10-07T13:45:00+05:30,472.35,474.25,472.13,473.75,33184
2016-10-07T14:00:00+05:30,473.73,476.9,473.5,476.25,144432
2016-10-07T14:15:00+05:30,476.2,477.45,475.5,476.5,222272
2016-10-07T14:30:00+05:30,476.48,479.75,476.2,479.5,310398
2016-10-07T14:45:00+05:30,479.5,479.65,476.35,477.1,142348
