datetime,open,high,low,close,volume
2016-10-03T09:15:00+05:30,288.62,291.37,288.62,291.01,214546
2016-10-03T09:30:00+05:30,291.01,293.21,290.73,291.83,105250
2016-10-03T09:45:00+05:30,291.83,292.2,290.55,291.37,72713
2016-10-03T10:00:00+05:30,291.47,292.84,291.42,292.48,46166
2016-10-03T10:15:00+05:30,292.29,292.61,291.97,292.06,18610
2016-10-03T10:30:00+05:30,291.88,292.25,290.91,292.16,67311
2016-10-03T10:45:00+05:30,292.16,292.66,291.97,292.34,28877
2016-10-03T11:00:00+05:30,292.43,292.66,291.74,291.74,32899
2016-10-03T11:15:00+05:30,291.7,292.02,291.51,291.74,33942
2016-10-03T11:30:00+05:30,291.74,292.16,291.6,291.93,15691
2016-10-03T11:45:00+05:30,292.02,292.57,291.74,292.25,30308
2016-10-03T12:00:00+05:30,292.29,292.43,291.74,292.02,13904
2016-10-03T12:15:00+05:30,291.97,292.29,291.51,292.2,27548
2016-10-03T12:30:00+05:30,292.2,292.25,291.65,292.02,22851
2016-10-03T12:45:00+05:30,291.79,291.83,291.51,291.56,23397
2016-10-03T13:00:00+05:30,291.56,291.97,291.47,291.65,22695
2016-10-03T13:15:00+05:30,291.65,291.97,291.37,291.65,21940
2016-10-03T13:30:00+05:30,291.65,292.29,291.51,291.83,17456
2016-10-03T13:45:00+05:30,291.79,292.29,291.51,291.51,27737
2016-10-03T14:00:00+05:30,291.74,292.02,291.47,291.74,16452
2016-10-03T14:15:00+05:30,291.93,292.16,291.42,292.02,25671
2016-10-03T14:30:00+05:30,292.02,292.89,291.93,292.75,71230
2016-10-03T14:45:00+05:30,292.75,294.13,292.06,293.67,193324
2016-10-03T15:00:00+05:30,293.58,293.95,292.66,293.81,248747
2016-10-03T15:15:00+05:30,293.76,293.76,292.11,292.94,240320
2016-10-04T09:15:00+05:30,291.83,292.25,290.55,291.37,123919
2016-10-04T09:30:00+05:30,291.37,291.88,290.82,291.37,58496
2016-10-04T09:45:00+05:30,291.28,291.7,290.73,291.14,37660
2016-10-04T10:00:00+05:30,291.14,291.74,291.05,291.6,41500
2016-10-04T10:15:00+05:30,291.6,291.65,290.91,291.28,40385
2016-10-04T10:30:00+05:30,291.42,291.51,290.78,291.47,57245
2016-10-04T10:45:00+05:30,291.47,291.97,291.47,291.83,35861
2016-10-04T11:00:00+05:30,291.88,293.03,291.42,291.7,79307
2016-10-04T11:15:00+05:30,291.6,291.6,290.91,291.05,25802
2016-10-04T11:30:00+05:30,291.05,291.42,290.82,290.96,32642
2016-10-04T11:45:00+05:30,290.96,291.47,290.82,291.1,23971
2016-10-04T12:00:00+05:30,290.96,295.33,290.96,295.23,169094
2016-10-04T12:15:00+05:30,295.23,295.51,293.99,293.99,144763
2016-10-04T12:30:00+05:30,293.99,295.56,293.95,294.96,118464
2016-10-04T12:45:00+05:30,294.96,295.46,294.5,295.46,92248
2016-10-04T13:00:00+05:30,295.42,296.57,295.33,295.83,126134
2016-10-04T13:15:00+05:30,295.92,295.92,295.05,295.79,88281
2016-10-04T13:30:00+05:30,295.79,295.97,294.96,295.14,74065
2016-10-04T13:45:00+05:30,295.14,295.51,293.9,294.87,147439
2016-10-04T14:00:00+05:30,294.87,295.28,294.45,294.64,40033
2016-10-04T14:15:00+05:30,294.59,295.46,293.86,295.0,93462
2016-10-04T14:30:00+05:30,294.87,296.38,294.09,296.02,220331
2016-10-04T14:45:00+05:30,295.88,297.35,295.79,297.07,162463
2016-10-04T15:00:00+05:30,297.03,298.54,296.89,297.76,384679
2016-10-04T15:15:00+05:30,297.76,298.59,296.71,297.81,432319
2016-10-05T09:15:00+05:30,295.97,299.09,294.68,298.54,170652
2016-10-05T09:30:00+05:30,298.54,299.32,298.22,299.19,102003
2016-10-05T09:45:00+05:30,299.14,299.78,298.27,298.59,71854
2016-10-05T10:00:00+05:30,298.73,298.73,297.81,298.08,40591
2016-10-05T10:15:00+05:30,298.08,298.08,296.8,297.35,53780
2016-10-05T10:30:00+05:30,297.39,297.53,296.89,297.07,27718
2016-10-05T10:45:00+05:30,297.07,297.39,296.98,297.3,11416
2016-10-05T11:00:00+05:30,297.35,297.72,297.3,297.62,16208
2016-10-05T11:15:00+05:30,297.58,298.68,297.44,298.45,34396
2016-10-05T11:30:00+05:30,298.45,298.73,298.13,298.5,22029
2016-10-05T11:45:00+05:30,298.59,299.19,298.22,298.59,33754
2016-10-05T12:00:00+05:30,298.68,298.91,297.62,298.73,42002
2016-10-05T12:15:00+05:30,298.73,299.28,297.9,298.73,76792
2016-10-05T12:30:00+05:30,298.91,299.09,298.13,298.82,32636
2016-10-05T12:45:00+05:30,298.82,298.82,297.49,297.67,40867
2016-10-05T13:00:00+05:30,297.76,298.64,297.58,298.13,37109
2016-10-05T13:15:00+05:30,298.08,299.0,298.08,298.77,22529
2016-10-05T13:30:00+05:30,298.73,299.46,298.73,299.19,39350
2016-10-05T13:45:00+05:30,299.23,299.42,297.9,298.04,30673
2016-10-05T14:00:00+05:30,298.04,298.36,297.07,297.49,59094
2016-10-05T14:15:00+05:30,297.49,298.68,297.07,298.31,91135
2016-10-05T14:30:00+05:30,298.31,298.31,296.2,296.2,67877
2016-10-05T14:45:00+05:30,296.2,296.43,295.6,295.6,57828
2016-10-05T15:00:00+05:30,295.69,295.88,295.14,295.51,100842
2016-10-05T15:15:00+05:30,295.6,296.48,295.23,295.69,127937
2016-10-06T09:15:00+05:30,298.68,298.96,295.56,296.98,223886
