datetime,open,high,low,close,volume
2016-10-03T09:15:00+05:30,91.07,91.27,90.3,90.47,687874
2016-10-03T09:30:00+05:30,90.47,91.53,90.2,91.27,869912
2016-10-03T09:45:00+05:30,91.23,91.47,90.83,90.93,409608
2016-10-03T10:00:00+05:30,90.97,91.27,90.83,91.07,175707
2016-10-03T10:15:00+05:30,91.1,91.23,91.0,91.2,203738
2016-10-03T10:30:00+05:30,91.13,91.53,91.07,91.27,690106
2016-10-03T10:45:00+05:30,91.27,91.73,91.2,91.53,499478
2016-10-03T11:00:00+05:30,91.57,91.67,91.4,91.5,346016
2016-10-03T11:15:00+05:30,91.47,91.57,91.17,91.27,252697
2016-10-03T11:30:00+05:30,91.33,91.33,91.0,91.23,300496
2016-10-03T11:45:00+05:30,91.17,91.33,91.07,91.3,119372
2016-10-03T12:00:00+05:30,91.2,91.27,90.67,91.07,321457
2016-10-03T12:15:00+05:30,91.07,91.2,90.9,91.03,109675
2016-10-03T12:30:00+05:30,91.07,91.6,90.93,91.23,306327
2016-10-03T12:45:00+05:30,91.3,91.93,91.3,91.6,779100
2016-10-03T13:00:00+05:30,91.53,91.7,91.33,91.47,171828
2016-10-03T13:15:00+05:30,91.47,91.6,91.4,91.53,109472
2016-10-03T13:30:00+05:30,91.5,91.67,91.43,91.57,227667
2016-10-03T13:45:00+05:30,91.53,91.83,91.53,91.67,321136
2016-10-03T14:00:00+05:30,91.67,91.77,91.03,91.5,334201
2016-10-03T14:15:00+05:30,91.47,91.67,91.4,91.6,131765
2016-10-03T14:30:00+05:30,91.6,91.73,91.47,91.53,160495
2016-10-03T14:45:00+05:30,91.6,91.63,91.47,91.5,199937
2016-10-03T15:00:00+05:30,91.47,91.67,91.37,91.53,610259
2016-10-03T15:15:00+05:30,91.57,91.6,91.33,91.47,604244
2016-10-04T09:15:00+05:30,92.67,92.73,91.8,92.3,967950
2016-10-04T09:30:00+05:30,92.3,92.33,91.6,91.7,506224
2016-10-04T09:45:00+05:30,91.7,91.97,91.47,91.6,457018
2016-10-04T10:00:00+05:30,91.6,91.83,91.4,91.53,190369
2016-10-04T10:15:00+05:30,91.5,91.7,91.33,91.5,415331
2016-10-04T10:30:00+05:30,91.47,91.6,91.13,91.33,237639
2016-10-04T10:45:00+05:30,91.37,91.87,91.33,91.7,125453
2016-10-04T11:00:00+05:30,91.67,91.87,91.53,91.8,152898
2016-10-04T11:15:00+05:30,91.77,91.87,91.7,91.8,113995
2016-10-04T11:30:00+05:30,91.83,91.87,91.4,91.43,161121
2016-10-04T11:45:00+05:30,91.43,91.73,91.4,91.53,317162
2016-10-04T12:00:00+05:30,91.57,91.7,91.43,91.47,268394
2016-10-04T12:15:00+05:30,91.47,91.7,91.33,91.53,180705
2016-10-04T12:30:00+05:30,91.53,91.67,91.43,91.5,46614
2016-10-04T12:45:00+05:30,91.5,91.8,91.5,91.77,75022
2016-10-04T13:00:00+05:30,91.77,91.87,91.6,91.73,95833
2016-10-04T13:15:00+05:30,91.73,91.8,91.6,91.63,73365
2016-10-04T13:30:00+05:30,91.7,91.77,91.57,91.67,65587
2016-10-04T13:45:00+05:30,91.7,91.93,91.57,91.87,647677
2016-10-04T14:00:00+05:30,91.87,91.9,91.67,91.77,130819
2016-10-04T14:15:00+05:30,91.7,91.77,91.4,91.67,167994
2016-10-04T14:30:00+05:30,91.6,92.2,91.4,91.8,480635
2016-10-04T14:45:00+05:30,91.83,92.07,91.73,91.87,379663
2016-10-04T15:00:00+05:30,91.8,92.17,91.57,92.17,437946
2016-10-04T15:15:00+05:30,92.13,92.2,91.9,92.0,627958
2016-10-05T09:15:00+05:30,92.2,92.6,92.0,92.43,511720
2016-10-05T09:30:00+05:30,92.43,92.53,91.73,92.1,506573
2016-10-05T09:45:00+05:30,92.1,92.1,91.6,91.8,272035
2016-10-05T10:00:00+05:30,91.8,91.87,91.37,91.6,257703
2016-10-05T10:15:00+05:30,91.6,91.6,90.87,91.27,528597
2016-10-05T10:30:00+05:30,91.27,91.4,91.1,91.17,165514
2016-10-05T10:45:00+05:30,91.13,91.43,91.07,91.23,250183
2016-10-05T11:00:00+05:30,91.23,91.33,91.0,91.27,410529
2016-10-05T11:15:00+05:30,91.27,91.47,91.13,91.33,155262
2016-10-05T11:30:00+05:30,91.33,91.53,91.33,91.43,94337
2016-10-05T11:45:00+05:30,91.47,91.6,91.27,91.27,251611
2016-10-05T12:00:00+05:30,91.3,91.33,91.0,91.23,207972
2016-10-05T12:15:00+05:30,91.23,91.23,90.67,91.0,299267
2016-10-05T12:30:00+05:30,91.03,91.13,90.47,90.87,413942
2016-10-05T12:45:00+05:30,90.83,91.03,90.73,91.0,224196
2016-10-05T13:00:00+05:30,91.0,91.27,90.87,91.07,467948
2016-10-05T13:15:00+05:30,91.13,91.17,90.83,91.07,125776
2016-10-05T13:30:00+05:30,91.0,91.23,90.93,91.23,170126
2016-10-05T13:45:00+05:30,91.2,91.53,91.17,91.5,324424
2016-10-05T14:00:00+05:30,91.5,91.87,91.17,91.23,373257
2016-10-05T14:15:00+05:30,91.2,91.67,91.13,91.47,250492
2016-10-05T14:30:00+05:30,91.53,91.63,91.23,91.37,134867
2016-10-05T14:45:00+05:30,91.4,91.5,91.27,91.47,154215
2016-10-05T15:00:00+05:30,91.47,91.47,91.2,91.3,305016
2016-10-05T15:15:00+05:30,91.27,91.37,90.93,91.2,712055
2016-10-06T09:15:00+05:30,91.77,92.0,91.2,91.93,738721
2016-10-06T09:30:00+05:30,91.9,93.07,91.73,92.93,1152342
2016-10-06T09:45:00+05:30,92.87,93.2,92.8,92.87,758536
2016-10-06T10:00:00+05:30,92.9,93.0,92.57,92.83,331430
2016-10-06T10:15:00+05:30,92.8,93.0,92.7,92.8,536833
2016-10-06T10:30:00+05:30,92.8,93.27,92.67,93.17,668728
2016-10-06T10:45:00+05:30,93.17,93.23,92.9,93.0,265798
2016-10-06T11:00:00+05:30,93.0,93.0,92.87,92.93,158344
2016-10-06T11:15:00+05:30,92.93,93.0,92.83,92.87,133560
2016-10-06T11:30:00+05:30,92.83,93.0,92.83,92.87,211839
2016-10-06T11:45:00+05:30,92.87,93.0,92.8,92.97,139387
2016-10-06T12:00:00+05:30,92.93,93.0,92.73,92.93,136448
2016-10-06T12:15:00+05:30,93.0,93.33,92.93,93.27,411987
2016-10-06T12:30:00+05:30,93.2,93.27,92.87,92.97,205185
2016-10-06T12:45:00+05:30,92.97,93.07,92.37,92.67,686845
2016-10-06T13:00:00+05:30,92.67,92.93,92.5,92.77,498737
2016-10-06T13:15:00+05:30,92.77,92.93,92.4,92.43,323114
2016-10-06T13:30:00+05:30,92.5,92.53,91.73,91.93,828554
2016-10-06T13:45:00+05:30,92.0,92.13,91.77,91.77,446840
2016-10-06T14:00:00+05:30,91.8,91.8,91.27,91.47,743416
2016-10-06T14:15:00+05:30,91.47,91.67,90.87,91.3,676080
2016-10-06T14:30:00+05:30,91.3,91.47,90.97,91.27,557033
2016-10-06T14:45:00+05:30,91.2,91.3,90.6,90.8,496190
2016-10-06T15:00:00+05:30,90.87,91.07,90.67,90.93,656276
2016-10-06T15:15:00+05:30,90.87,90.93,90.53,90.73,1835252
2016-10-07T09:15:00+05:30,90.8,90.93,90.33,90.53,653664
2016-10-07T09:30:00+05:30,90.6,90.6,89.97,90.07,569907
2016-10-07T09:45:00+05:30,90.0,90.17,89.9,90.0,334594
2016-10-07T10:00:00+05:30,90.0,90.37,89.93,90.33,267917
2016-10-07T10:15:00+05:30,90.27,90.6,90.07,90.2,189715
2016-10-07T10:30:00+05:30,90.2,90.3,90.03,90.2,261111
2016-10-07T10:45:00+05:30,90.2,90.3,90.0,90.13,265391
2016-10-07T11:00:00+05:30,90.1,90.37,90.07,90.33,174511
2016-10-07T11:15:00+05:30,90.27,90.37,90.0,90.07,235299
2016-10-07T11:30:00+05:30,90.13,90.2,89.67,89.73,494252
2016-10-07T11:45:00+05:30,89.73,89.93,89.73,89.9,141751
2016-10-07T12:00:00+05:30,89.93,90.0,89.87,89.9,133509
2016-10-07T12:15:00+05:30,89.9,90.33,89.87,90.23,295061
2016-10-07T12:30:00+05:30,90.23,90.57,90.13,90.43,378245
2016-10-07T12:45:00+05:30,90.4,90.43,90.07,90.17,138903
2016-10-07T13:00:00+05:30,90.13,90.3,89.83,89.87,186230
2016-10-07T13:15:00+05:30,89.93,90.2,89.77,90.07,93482
2016-10-07T13:30:00+05:30,90.07,90.5,90.0,90.3,135612
2016-10-07T13:45:00+05:30,90.3,90.47,90.13,90.4,292988
2016-10-07T14:00:00+05:30,90.37,90.5,90.2,90.47,406613
2016-10-07T14:15:00+05:30,90.43,90.47,90.2,90.2,252147
2016-10-07T14:30:00+05:30,90.2,90.23,89.77,90.1,274895
2016-10-07T14:45:00+05:30,90.03,90.2,89.87,89.93,164719
2016-10-07T15:00:00+05:30,89.93,90.33,89.9,90.13,523634
2016-10-07T15:15:00+05:30,90.17,90.3,89.87,90.13,958194
2016-10-10T09:15:00+05:30,90.8,90.87,90.4,90.5,482283
2016-10-10T09:30:00+05:30,90.53,91.07,90.47,90.93,451416
2016-10-10T09:45:00+05:30,90.9,90.93,90.53,90.63,228945
2016-10-10T10:00:00+05:30,90.63,90.73,90.33,90.67,249382
2016-10-10T10:15:00+05:30,90.6,90.8,90.57,90.67,518808
2016-10-10T10:30:00+05:30,90.67,90.67,90.5,90.53,126019
2016-10-10T10:45:00+05:30,90.53,90.67,90.5,90.6,139451
2016-10-10T11:00:00+05:30,90.53,90.67,90.53,90.6,117614
2016-10-10T11:15:00+05:30,90.6,90.67,90.53,90.53,49194
2016-10-10T11:30:00+05:30,90.6,90.67,90.53,90.6,74632
2016-10-10T11:45:00+05:30,90.67,90.67,90.53,90.6,40292
2016-10-10T12:00:00+05:30,90.63,90.67,90.53,90.63,32057
2016-10-10T12:15:00+05:30,90.63,90.63,90.07,90.13,215366
2016-10-10T12:30:00+05:30,90.13,90.57,90.13,90.53,342779
2016-10-10T12:45:00+05:30,90.53,90.57,89.87,90.2,402161
2016-10-10T13:00:00+05:30,90.17,90.57,90.07,90.43,159840
2016-10-10T13:15:00+05:30,90.43,90.47,90.2,90.4,87469
2016-10-10T13:30:00+05:30,90.47,90.47,90.23,90.3,60442
2016-10-10T13:45:00+05:30,90.33,90.37,90.0,90.17,180018
2016-10-10T14:00:00+05:30,90.13,90.37,90.13,90.37,61769
2016-10-10T14:15:00+05:30,90.37,90.43,90.13,90.2,130355
2016-10-10T14:30:00+05:30,90.27,90.3,90.13,90.23,85109
2016-10-10T14:45:00+05:30,90.3,90.33,90.17,90.33,70350
2016-10-10T15:00:00+05:30,90.3,90.33,89.5,89.8,673307
2016-10-10T15:15:00+05:30,89.83,90.33,89.73,89.97,604716
2016-10-13T09:15:00+05:30,89.87,89.93,88.67,88.87,884774
2016-10-13T09:30:00+05:30,88.87,89.33,88.8,89.17,425264
2016-10-13T09:45:00+05:30,89.13,89.17,88.77,88.97,306273
2016-10-13T10:00:00+05:30,88.93,89.0,88.27,88.7,485585
2016-10-13T10:15:00+05:30,88.67,88.8,88.43,88.77,660068
2016-10-13T10:30:00+05:30,88.77,89.0,88.67,88.97,283951
2016-10-13T10:45:00+05:30,88.97,89.03,88.8,88.93,215104
2016-10-13T11:00:00+05:30,88.93,89.07,88.73,88.8,135884
2016-10-13T11:15:00+05:30,88.8,88.93,88.57,88.87,178053
2016-10-13T11:30:00+05:30,88.83,88.87,88.6,88.73,142042
2016-10-13T11:45:00+05:30,88.73,88.87,88.53,88.67,123514
2016-10-13T12:00:00+05:30,88.73,88.8,88.53,88.73,112498
2016-10-13T12:15:00+05:30,88.7,88.83,88.03,88.5,377852
2016-10-13T12:30:00+05:30,88.47,88.7,88.27,88.37,471931
2016-10-13T12:45:00+05:30,88.4,88.53,88.13,88.5,362998
2016-10-13T13:00:00+05:30,88.5,88.53,88.17,88.3,269687
2016-10-13T13:15:00+05:30,88.3,88.53,88.23,88.43,170013
2016-10-13T13:30:00+05:30,88.47,88.6,88.33,88.53,198585
2016-10-13T13:45:00+05:30,88.53,88.63,88.13,88.17,238737
2016-10-13T14:00:00+05:30,88.17,88.57,87.87,88.53,479036
2016-10-13T14:15:00+05:30,88.53,88.53,88.2,88.53,231972
2016-10-13T14:30:00+05:30,88.53,88.53,88.0,88.1,307920
2016-10-13T14:45:00+05:30,88.03,88.13,87.57,88.03,632788
2016-10-13T15:00:00+05:30,88.07,88.47,87.8,88.37,716410
2016-10-13T15:15:00+05:30,88.4,88.7,88.3,88.3,957359
2016-10-14T09:15:00+05:30,88.67,89.0,88.43,88.83,557140
2016-10-14T09:30:00+05:30,88.83,89.03,88.57,88.77,294230
2016-10-14T09:45:00+05:30,88.83,88.9,88.33,88.67,321693
2016-10-14T10:00:00+05:30,88.67,88.73,88.43,88.7,108137
2016-10-14T10:15:00+05:30,88.7,89.23,88.57,89.03,237596
2016-10-14T10:30:00+05:30,89.0,89.3,88.97,89.0,301086
2016-10-14T10:45:00+05:30,89.07,89.2,89.0,89.03,81969
2016-10-14T11:00:00+05:30,89.0,89.07,88.77,88.9,98792
2016-10-14T11:15:00+05:30,88.97,89.27,88.77,89.2,179529
