datetime,open,high,low,close,volume
2016-10-03T09:15:00+05:30,550.0,550.0,548.05,550.0,2967
2016-10-03T09:30:00+05:30,550.0,552.0,548.7,552.0,2166
2016-10-03T09:45:00+05:30,554.1,555.0,551.2,554.1,1800
2016-10-03T10:00:00+05:30,554.1,555.0,551.35,553.95,1109
2016-10-03T10:15:00+05:30,553.95,556.0,551.3,551.6,1069
2016-10-03T10:30:00+05:30,555.0,555.0,552.15,554.3,2255
2016-10-03T10:45:00+05:30,553.2,553.2,551.05,552.1,1076
2016-10-03T11:00:00+05:30,551.55,552.1,549.1,551.3,333
2016-10-03T11:15:00+05:30,549.7,552.9,549.2,551.75,6013
2016-10-03T11:30:00+05:30,551.25,553.3,551.0,552.8,2467
2016-10-03T11:45:00+05:30,553.3,553.75,551.95,553.0,2474
2016-10-03T12:00:00+05:30,552.2,553.0,552.05,552.05,100
2016-10-03T12:15:00+05:30,550.55,553.25,550.55,553.25,5632
2016-10-03T12:30:00+05:30,553.0,553.5,552.55,553.05,1717
2016-10-03T12:45:00+05:30,553.05,554.0,551.45,554.0,1637
2016-10-03T13:00:00+05:30,553.7,554.6,552.95,554.0,2472
2016-10-03T13:15:00+05:30,553.4,554.0,550.0,551.1,1075
2016-10-03T13:30:00+05:30,551.1,553.2,550.25,551.45,447
2016-10-03T13:45:00+05:30,551.45,553.6,550.05,551.05,673
2016-10-03T14:00:00+05:30,551.05,554.0,550.6,552.0,1251
2016-10-03T14:15:00+05:30,553.9,566.4,551.55,559.95,12653
2016-10-03T14:30:00+05:30,559.95,565.0,558.55,564.85,3351
2016-10-03T14:45:00+05:30,564.0,574.0,561.1,572.0,12954
2016-10-03T15:00:00+05:30,572.0,579.5,572.0,573.7,6610
2016-10-03T15:15:00+05:30,573.7,575.0,569.0,574.85,5518
2016-10-04T09:15:00+05:30,575.0,575.0,568.0,568.15,1871
2016-10-04T09:30:00+05:30,570.0,570.0,566.25,569.05,1006
2016-10-04T09:45:00+05:30,569.05,573.9,569.0,571.7,4549
2016-10-04T10:00:00+05:30,570.4,573.7,570.2,570.55,1748
2016-10-04T10:15:00+05:30,570.5,572.65,568.2,568.25,319
2016-10-04T10:30:00+05:30,568.3,570.0,562.7,563.05,2002
2016-10-04T10:45:00+05:30,564.0,568.0,560.0,563.0,2946
2016-10-04T11:00:00+05:30,561.0,564.95,559.05,564.8,1827
2016-10-04T11:15:00+05:30,562.7,565.0,562.7,563.05,1090
2016-10-04T11:30:00+05:30,563.05,566.9,562.65,565.5,3932
2016-10-04T11:45:00+05:30,565.45,570.0,565.0,567.0,11941
2016-10-04T12:00:00+05:30,566.7,567.85,565.1,565.1,141
2016-10-04T12:15:00+05:30,565.15,567.5,562.0,566.55,1933
2016-10-04T12:30:00+05:30,566.7,566.7,564.3,564.75,52
2016-10-04T12:45:00+05:30,565.25,566.0,563.3,565.95,293
2016-10-04T13:00:00+05:30,563.45,566.0,563.45,565.65,312
2016-10-04T13:15:00+05:30,564.95,565.0,560.8,564.0,1530
2016-10-04T13:30:00+05:30,564.9,565.9,561.05,562.75,814
2016-10-04T13:45:00+05:30,565.5,565.8,562.05,564.0,201
2016-10-04T14:00:00+05:30,565.0,565.0,561.25,562.25,374
2016-10-04T14:15:00+05:30,562.0,562.2,560.15,562.2,300
2016-10-04T14:30:00+05:30,564.9,566.0,561.6,566.0,511
2016-10-04T14:45:00+05:30,565.0,566.0,562.3,564.1,571
2016-10-04T15:00:00+05:30,564.1,565.0,561.05,564.0,1546
2016-10-04T15:15:00+05:30,562.2,564.9,560.0,562.65,3523
2016-10-05T09:15:00+05:30,567.0,567.0,561.0,563.95,1306
2016-10-05T09:30:00+05:30,564.0,566.7,564.0,565.55,616
2016-10-05T09:45:00+05:30,565.95,567.1,565.0,567.1,2849
2016-10-05T10:00:00+05:30,567.9,569.9,565.05,568.8,2475
2016-10-05T10:15:00+05:30,567.0,568.9,565.0,566.65,1708
2016-10-05T10:30:00+05:30,566.65,566.65,562.05,565.0,1277
2016-10-05T10:45:00+05:30,566.5,566.65,564.55,565.75,3860
2016-10-05T11:00:00+05:30,565.75,566.65,565.0,566.1,4359
2016-10-05T11:15:00+05:30,566.65,566.65,566.0,566.0,152
2016-10-05T11:30:00+05:30,566.6,567.95,566.0,567.95,253
2016-10-05T11:45:00+05:30,567.65,571.5,566.0,570.5,2955
2016-10-05T12:00:00+05:30,571.0,574.0,569.95,572.6,2323
2016-10-05T12:15:00+05:30,572.6,572.6,570.0,571.0,961
2016-10-05T12:30:00+05:30,570.0,572.75,570.0,570.95,675
2016-10-05T12:45:00+05:30,571.0,572.5,570.0,571.9,736
2016-10-05T13:00:00+05:30,572.95,572.95,564.0,569.95,403
2016-10-05T13:15:00+05:30,570.95,570.95,565.0,568.0,1202
2016-10-05T13:30:00+05:30,568.0,571.75,567.35,568.0,194
2016-10-05T13:45:00+05:30,569.1,575.0,569.1,573.15,3528
2016-10-05T14:00:00+05:30,573.8,574.9,571.25,572.8,557
2016-10-05T14:15:00+05:30,573.0,573.9,570.0,572.05,463
2016-10-05T14:30:00+05:30,571.5,572.05,566.0,571.0,990
2016-10-05T14:45:00+05:30,572.05,573.9,566.6,569.95,1081
2016-10-05T15:00:00+05:30,569.95,572.0,567.4,569.3,1488
2016-10-05T15:15:00+05:30,569.4,569.4,566.0,568.75,1792
2016-10-06T09:15:00+05:30,574.6,574.6,565.05,566.45,1495
2016-10-06T09:30:00+05:30,566.45,575.7,566.45,574.0,1069
2016-10-06T09:45:00+05:30,570.3,575.0,570.1,574.75,846
2016-10-06T10:00:00+05:30,573.05,575.8,568.2,571.0,2197
2016-10-06T10:15:00+05:30,571.0,572.9,567.4,567.4,9177
2016-10-06T10:30:00+05:30,567.45,567.7,566.05,566.5,1925
2016-10-06T10:45:00+05:30,566.95,567.0,566.5,567.0,680
2016-10-06T11:00:00+05:30,567.0,567.0,566.05,567.0,56
2016-10-06T11:15:00+05:30,566.05,568.8,566.05,568.0,2493
2016-10-06T11:30:00+05:30,568.5,572.0,568.0,568.0,1011
2016-10-06T11:45:00+05:30,567.25,568.95,565.4,567.95,1140
2016-10-06T12:00:00+05:30,567.95,567.95,565.05,565.75,152
2016-10-06T12:15:00+05:30,565.85,567.0,565.85,567.0,301
2016-10-06T12:30:00+05:30,567.0,570.85,566.55,570.85,2218
2016-10-06T12:45:00+05:30,570.85,570.85,570.15,570.15,49
2016-10-06T13:00:00+05:30,570.95,570.95,570.95,570.95,25
2016-10-06T13:15:00+05:30,570.95,573.0,570.25,571.05,336
