datetime,open,high,low,close,volume
2016-10-03T09:15:00+05:30,205.34,207.54,205.0,207.5,318802
2016-10-03T09:30:00+05:30,207.5,209.2,207.34,208.84,343604
2016-10-03T09:45:00+05:30,208.84,208.94,207.9,208.19,157540
2016-10-03T10:00:00+05:30,208.29,208.45,207.92,208.45,145026
2016-10-03T10:15:00+05:30,208.4,208.57,208.17,208.34,119344
2016-10-03T10:30:00+05:30,208.37,208.54,208.17,208.5,144234
2016-10-03T10:45:00+05:30,208.47,208.92,208.34,208.54,140682
2016-10-03T11:00:00+05:30,208.54,209.1,208.54,208.84,120418
2016-10-03T11:15:00+05:30,208.79,208.8,208.2,208.2,123510
2016-10-03T11:30:00+05:30,208.2,208.59,207.94,208.22,187178
2016-10-03T11:45:00+05:30,208.34,208.62,208.12,208.49,142290
2016-10-03T12:00:00+05:30,208.49,208.7,208.35,208.69,103836
2016-10-03T12:15:00+05:30,208.7,209.05,208.57,209.04,265902
2016-10-03T12:30:00+05:30,209.02,209.04,208.22,208.94,120762
2016-10-03T12:45:00+05:30,208.94,209.0,208.34,209.0,97182
2016-10-03T13:00:00+05:30,208.99,209.6,208.99,209.5,176894
2016-10-03T13:15:00+05:30,209.5,209.97,209.49,209.87,359836
2016-10-03T13:30:00+05:30,209.87,210.17,209.67,209.94,377290
2016-10-03T13:45:00+05:30,209.9,210.17,209.37,209.65,288932
2016-10-03T14:00:00+05:30,209.65,209.7,209.45,209.52,258648
2016-10-03T14:15:00+05:30,209.57,209.75,209.34,209.6,167408
2016-10-03T14:30:00+05:30,209.6,210.07,209.39,209.57,223310
2016-10-03T14:45:00+05:30,209.57,209.82,209.29,209.4,175722
2016-10-03T15:00:00+05:30,209.4,209.5,209.22,209.37,470306
2016-10-03T15:15:00+05:30,209.44,210.0,208.9,209.25,481226
2016-10-04T09:15:00+05:30,209.42,212.0,209.35,211.87,465376
2016-10-04T09:30:00+05:30,211.89,212.64,211.65,212.54,393942
2016-10-04T09:45:00+05:30,212.47,212.57,211.52,212.14,301800
2016-10-04T10:00:00+05:30,212.14,212.94,211.77,211.99,283286
2016-10-04T10:15:00+05:30,212.04,212.79,211.79,212.44,247334
2016-10-04T10:30:00+05:30,212.45,212.54,211.7,211.89,124118
2016-10-04T10:45:00+05:30,211.89,212.0,211.67,211.7,78458
2016-10-04T11:00:00+05:30,211.72,211.72,211.02,211.25,153820
2016-10-04T11:15:00+05:30,211.27,211.65,211.14,211.42,61892
2016-10-04T11:30:00+05:30,211.42,211.55,211.0,211.42,68340
2016-10-04T11:45:00+05:30,211.44,211.5,210.74,210.9,69622
2016-10-04T12:00:00+05:30,210.92,211.4,210.92,210.92,72878
2016-10-04T12:15:00+05:30,210.92,210.95,210.04,210.6,138454
2016-10-04T12:30:00+05:30,210.62,210.97,210.34,210.55,78920
2016-10-04T12:45:00+05:30,210.54,211.47,210.54,211.22,79942
2016-10-04T13:00:00+05:30,211.24,211.65,210.87,211.12,127920
2016-10-04T13:15:00+05:30,211.12,211.2,210.89,210.89,67726
2016-10-04T13:30:00+05:30,210.94,211.12,210.44,210.47,57078
2016-10-04T13:45:00+05:30,210.45,211.67,210.44,211.67,124320
2016-10-04T14:00:00+05:30,211.64,211.92,211.42,211.57,158408
2016-10-04T14:15:00+05:30,211.45,212.04,211.34,211.99,187070
2016-10-04T14:30:00+05:30,211.97,212.34,211.52,212.15,304912
2016-10-04T14:45:00+05:30,212.15,212.92,212.05,212.5,221172
2016-10-04T15:00:00+05:30,212.39,212.67,211.85,212.32,457002
2016-10-04T15:15:00+05:30,212.32,213.0,212.25,212.49,533202
2016-10-05T09:15:00+05:30,212.57,212.57,209.0,210.8,576326
2016-10-05T09:30:00+05:30,210.8,211.0,209.7,210.27,197248
2016-10-05T09:45:00+05:30,210.27,210.9,209.74,210.54,152450
2016-10-05T10:00:00+05:30,210.54,210.99,210.4,210.85,111084
2016-10-05T10:15:00+05:30,210.85,210.85,210.07,210.67,72358
2016-10-05T10:30:00+05:30,210.67,210.99,210.5,210.77,93772
2016-10-05T10:45:00+05:30,210.77,211.54,210.77,211.27,89672
2016-10-05T11:00:00+05:30,211.27,211.5,211.19,211.44,104616
2016-10-05T11:15:00+05:30,211.44,211.64,211.19,211.29,58788
2016-10-05T11:30:00+05:30,211.29,211.32,211.2,211.29,31752
2016-10-05T11:45:00+05:30,211.24,211.55,211.24,211.42,33522
2016-10-05T12:00:00+05:30,211.49,215.2,211.19,214.67,550294
2016-10-05T12:15:00+05:30,214.64,214.67,213.3,213.39,340844
2016-10-05T12:30:00+05:30,213.34,214.14,213.17,214.1,125734
2016-10-05T12:45:00+05:30,214.1,214.34,213.44,213.55,116686
2016-10-05T13:00:00+05:30,213.52,214.3,213.49,213.7,98438
2016-10-05T13:15:00+05:30,213.7,214.0,213.69,213.85,47848
2016-10-05T13:30:00+05:30,213.87,214.34,213.64,214.09,78474
2016-10-05T13:45:00+05:30,214.09,215.49,214.05,215.47,299942
2016-10-05T14:00:00+05:30,215.49,215.6,214.57,214.62,227446
2016-10-05T14:15:00+05:30,214.62,215.34,214.52,214.85,129420
2016-10-05T14:30:00+05:30,214.99,215.14,214.5,214.67,103624
2016-10-05T14:45:00+05:30,214.67,215.27,214.6,215.09,163468
2016-10-05T15:00:00+05:30,215.15,217.27,214.75,216.97,672692
2016-10-05T15:15:00+05:30,216.95,217.35,216.37,216.64,558302
2016-10-06T09:15:00+05:30,217.9,219.0,217.34,218.65,585902
2016-10-06T09:30:00+05:30,218.65,220.0,218.09,219.84,455246
2016-10-06T09:45:00+05:30,219.85,222.67,219.85,222.5,621910
2016-10-06T10:00:00+05:30,222.49,225.6,222.14,225.2,1134780
2016-10-06T10:15:00+05:30,225.34,227.87,225.04,226.67,1503934
2016-10-06T10:30:00+05:30,226.67,226.67,225.34,226.22,449690
2016-10-06T10:45:00+05:30,226.22,226.34,225.5,225.84,254264
2016-10-06T11:00:00+05:30,225.9,227.34,225.77,227.0,408230
2016-10-06T11:15:00+05:30,227.07,227.8,226.72,227.24,522722
2016-10-06T11:30:00+05:30,227.1,227.57,227.0,227.2,346316
2016-10-06T11:45:00+05:30,227.3,227.32,226.14,226.94,270114
2016-10-06T12:00:00+05:30,226.9,227.39,226.14,227.0,219842
2016-10-06T12:15:00+05:30,227.0,227.35,226.84,226.89,176590
2016-10-06T12:30:00+05:30,226.85,227.0,226.17,226.47,219476
2016-10-06T12:45:00+05:30,226.47,226.5,226.1,226.15,85694
2016-10-06T13:00:00+05:30,226.15,226.2,225.39,225.92,177394
2016-10-06T13:15:00+05:30,225.94,226.0,224.87,225.05,194626
2016-10-06T13:30:00+05:30,225.07,225.54,224.34,224.55,276918
2016-10-06T13:45:00+05:30,224.5,225.59,223.84,224.9,219868
2016-10-06T14:00:00+05:30,224.92,225.34,223.84,225.34,306862
2016-10-06T14:15:00+05:30,225.34,225.5,224.74,225.0,152838
2016-10-06T14:30:00+05:30,225.12,225.2,223.67,223.85,207568
2016-10-06T14:45:00+05:30,223.94,224.05,221.7,221.92,521288
2016-10-06T15:00:00+05:30,221.87,223.94,221.5,223.74,391816
2016-10-06T15:15:00+05:30,223.74,224.64,223.55,223.57,369252
2016-10-07T09:15:00+05:30,224.97,226.64,223.72,223.87,710988
2016-10-07T09:30:00+05:30,223.87,224.0,220.0,220.82,780834
2016-10-07T09:45:00+05:30,220.85,221.64,219.59,219.67,361212
2016-10-07T10:00:00+05:30,219.59,220.59,219.45,220.39,250148
2016-10-07T10:15:00+05:30,220.39,220.8,219.2,219.2,212094
2016-10-07T10:30:00+05:30,219.22,219.89,218.8,219.57,216426
2016-10-07T10:45:00+05:30,219.57,219.59,219.0,219.34,128614
2016-10-07T11:00:00+05:30,219.34,220.32,219.34,219.67,136868
2016-10-07T11:15:00+05:30,219.62,220.34,219.1,220.09,110520
2016-10-07T11:30:00+05:30,220.09,220.17,218.67,219.05,151852
2016-10-07T11:45:00+05:30,219.05,219.55,219.02,219.5,85212
2016-10-07T12:00:00+05:30,219.49,219.94,219.19,219.19,108928
2016-10-07T12:15:00+05:30,219.32,219.67,218.94,219.67,153974
2016-10-07T12:30:00+05:30,219.67,220.64,219.5,220.5,236282
2016-10-07T12:45:00+05:30,220.5,220.5,219.17,219.59,168508
2016-10-07T13:00:00+05:30,219.64,219.75,219.19,219.34,108306
2016-10-07T13:15:00+05:30,219.34,220.09,219.0,219.2,161470
2016-10-07T13:30:00+05:30,219.22,220.04,219.19,219.92,117146
2016-10-07T13:45:00+05:30,219.94,220.32,219.5,219.69,105090
2016-10-07T14:00:00+05:30,219.69,220.39,219.57,220.24,108862
2016-10-07T14:15:00+05:30,220.22,220.4,219.84,219.84,82998
2016-10-07T14:30:00+05:30,219.84,220.34,219.62,220.15,101420
2016-10-07T14:45:00+05:30,220.17,220.97,219.92,220.49,276056
2016-10-07T15:00:00+05:30,220.49,221.45,220.2,221.32,392420
2016-10-07T15:15:00+05:30,221.32,221.67,221.02,221.19,479028
2016-10-10T09:15:00+05:30,221.34,222.3,218.04,219.22,511526
2016-10-10T09:30:00+05:30,219.22,219.57,218.55,218.6,189230
2016-10-10T09:45:00+05:30,218.59,219.27,218.34,219.24,134916
2016-10-10T10:00:00+05:30,219.22,219.87,218.6,219.64,170720
2016-10-10T10:15:00+05:30,219.62,220.72,219.0,220.39,735318
2016-10-10T10:30:00+05:30,220.39,220.47,219.77,220.07,416500
2016-10-10T10:45:00+05:30,220.09,220.37,220.05,220.17,89780
2016-10-10T11:00:00+05:30,220.14,220.25,219.12,219.45,99020
2016-10-10T11:15:00+05:30,219.4,219.67,218.8,218.9,83836
2016-10-10T11:30:00+05:30,218.9,219.49,218.77,218.87,91992
2016-10-10T11:45:00+05:30,218.87,219.17,218.8,219.02,80718
2016-10-10T12:00:00+05:30,219.04,219.07,218.69,218.9,67742
2016-10-10T12:15:00+05:30,218.8,218.8,217.77,218.1,160266
2016-10-10T12:30:00+05:30,218.09,218.67,217.92,218.67,163336
2016-10-10T12:45:00+05:30,218.67,219.24,218.3,218.47,82034
2016-10-10T13:00:00+05:30,218.47,218.92,218.17,218.79,78634
2016-10-10T13:15:00+05:30,218.79,219.04,218.02,218.45,95552
2016-10-10T13:30:00+05:30,218.4,218.8,218.1,218.24,67818
2016-10-10T13:45:00+05:30,218.27,218.67,218.1,218.39,75882
2016-10-10T14:00:00+05:30,218.39,219.22,218.35,219.07,124772
2016-10-10T14:15:00+05:30,219.09,219.22,218.1,218.37,139200
2016-10-10T14:30:00+05:30,218.39,218.84,218.17,218.82,129868
2016-10-10T14:45:00+05:30,218.82,219.0,218.62,218.97,133372
2016-10-10T15:00:00+05:30,219.0,219.47,218.69,219.42,198974
2016-10-10T15:15:00+05:30,219.44,219.55,219.04,219.27,584054
2016-10-13T09:15:00+05:30,217.67,219.17,215.3,218.39,927656
2016-10-13T09:30:00+05:30,218.44,223.24,218.34,222.85,599344
2016-10-13T09:45:00+05:30,222.74,223.49,221.77,221.85,479012
2016-10-13T10:00:00+05:30,221.87,221.89,220.52,221.6,964278
2016-10-13T10:15:00+05:30,221.64,222.32,221.2,222.22,293290
2016-10-13T10:30:00+05:30,222.22,222.6,221.94,222.2,214440
2016-10-13T10:45:00+05:30,222.27,222.34,221.34,222.2,201180
2016-10-13T11:00:00+05:30,222.2,222.2,220.67,221.25,215004
2016-10-13T11:15:00+05:30,221.25,221.25,220.67,220.75,348406
2016-10-13T11:30:00+05:30,220.75,220.87,220.19,220.52,477650
2016-10-13T11:45:00+05:30,220.45,221.15,220.09,220.69,154642
2016-10-13T12:00:00+05:30,220.67,221.07,220.39,220.6,566232
2016-10-13T12:15:00+05:30,220.6,220.89,220.17,220.3,287880
2016-10-13T12:30:00+05:30,220.39,220.39,218.12,218.84,390068
2016-10-13T12:45:00+05:30,218.84,219.49,218.1,219.27,234440
2016-10-13T13:00:00+05:30,219.19,219.47,218.39,218.39,163294
2016-10-13T13:15:00+05:30,218.4,218.75,216.85,216.92,369370
2016-10-13T13:30:00+05:30,216.92,216.95,215.8,216.65,379068
2016-10-13T13:45:00+05:30,216.67,216.99,216.14,216.14,244834
2016-10-13T14:00:00+05:30,216.14,217.8,215.77,217.7,241724
2016-10-13T14:15:00+05:30,217.72,218.07,216.9,217.79,226622
2016-10-13T14:30:00+05:30,217.75,217.84,217.0,217.44,228346
2016-10-13T14:45:00+05:30,217.4,218.47,217.22,218.42,172060
2016-10-13T15:00:00+05:30,218.4,219.34,218.35,219.3,652406
2016-10-13T15:15:00+05:30,219.32,219.95,218.6,219.04,702672
2016-10-14T09:15:00+05:30,220.32,222.47,219.67,221.82,491086
2016-10-14T09:30:00+05:30,221.82,222.17,220.8,221.17,161728
2016-10-14T09:45:00+05:30,221.17,221.27,219.84,220.22,202830
2016-10-14T10:00:00+05:30,220.22,220.95,220.19,220.92,91536
2016-10-14T10:15:00+05:30,220.9,221.5,220.67,221.32,94134
2016-10-14T10:30:00+05:30,221.24,221.42,220.49,220.85,95924
2016-10-14T10:45:00+05:30,220.87,221.14,220.59,220.92,61836
2016-10-14T11:00:00+05:30,220.92,220.99,219.9,220.17,116900
2016-10-14T11:15:00+05:30,220.17,220.99,219.9,220.55,90414
2016-10-14T11:30:00+05:30,220.55,221.35,220.42,220.87,122120
2016-10-14T11:45:00+05:30,220.87,221.45,220.67,221.42,64854
2016-10-14T12:00:00+05:30,221.42,222.34,220.94,221.6,250030
2016-10-14T12:15:00+05:30,221.55,221.74,220.67,221.69,133198
2016-10-14T12:30:00+05:30,221.69,223.84,221.47,223.79,634222
2016-10-14T12:45:00+05:30,223.9,224.14,222.34,222.34,346482
2016-10-14T13:00:00+05:30,222.37,222.97,222.12,222.37,146078
2016-10-14T13:15:00+05:30,222.35,222.99,222.19,222.47,106742
2016-10-14T13:30:00+05:30,222.5,223.0,222.34,223.0,120472
2016-10-14T13:45:00+05:30,222.97,223.24,222.55,222.57,164136
2016-10-14T14:00:00+05:30,222.59,222.8,222.0,222.52,139472
2016-10-14T14:15:00+05:30,222.6,223.15,222.42,222.87,135784
2016-10-14T14:30:00+05:30,222.89,223.54,222.75,223.45,254756
2016-10-14T14:45:00+05:30,223.47,223.49,222.75,222.79,209650
2016-10-14T15:00:00+05:30,222.82,222.92,221.72,222.07,595636
2016-10-14T15:15:00+05:30,222.09,222.67,221.84,222.29,390538
2016-10-17T09:15:00+05:30,224.6,224.6,222.22,223.82,684342
2016-10-17T09:30:00+05:30,223.82,224.9,223.82,224.1,386504
2016-10-17T09:45:00+05:30,224.1,224.14,221.44,222.2,403628
2016-10-17T10:00:00+05:30,222.12,222.44,221.0,221.34,236516
2016-10-17T10:15:00+05:30,221.32,221.95,221.29,221.82,136410
2016-10-17T10:30:00+05:30,221.8,221.84,219.84,220.35,296940
2016-10-17T10:45:00+05:30,220.34,221.2,220.25,221.05,162392
2016-10-17T11:00:00+05:30,221.09,221.2,220.8,221.12,83284
2016-10-17T11:15:00+05:30,221.12,221.5,220.92,221.27,92558
2016-10-17T11:30:00+05:30,221.27,221.44,220.0,220.34,125920
2016-10-17T11:45:00+05:30,220.34,220.84,218.7,219.17,251338
2016-10-17T12:00:00+05:30,219.17,220.32,219.1,220.09,257828
2016-10-17T12:15:00+05:30,220.07,220.5,219.77,220.0,139276
2016-10-17T12:30:00+05:30,220.0,220.49,219.79,220.04,119204
2016-10-17T12:45:00+05:30,220.04,220.3,219.42,220.0,251186
2016-10-17T13:00:00+05:30,220.0,220.45,219.8,219.84,175308
2016-10-17T13:15:00+05:30,219.94,220.15,219.62,220.0,195176
2016-10-17T13:30:00+05:30,220.0,220.17,219.27,219.89,189344
2016-10-17T13:45:00+05:30,219.97,220.04,219.79,220.0,168838
2016-10-17T14:00:00+05:30,220.04,220.3,219.67,219.9,209350
2016-10-17T14:15:00+05:30,219.94,220.15,219.79,219.95,154702
2016-10-17T14:30:00+05:30,219.97,220.24,219.74,219.75,162428
2016-10-17T14:45:00+05:30,219.79,220.1,219.6,219.92,265180
2016-10-17T15:00:00+05:30,219.89,220.05,219.19,219.74,459990
2016-10-17T15:15:00+05:30,219.74,220.0,219.09,219.7,471508
2016-10-18T09:15:00+05:30,220.34,221.2,219.85,220.52,323918
2016-10-18T09:15:00+05:30,220.34,221.2,219.85,220.52,323918
2016-10-18T09:30:00+05:30,220.49,220.7,218.37,218.69,249528
2016-10-18T09:45:00+05:30,218.75,219.42,218.49,219.09,247260
2016-10-18T10:00:00+05:30,219.1,219.1,217.74,218.59,246254
2016-10-18T10:15:00+05:30,218.69,218.9,217.85,217.94,118972
2016-10-18T10:30:00+05:30,217.85,218.09,217.09,217.24,116916
2016-10-18T10:45:00+05:30,217.22,217.59,216.97,217.39,143320
2016-10-18T11:00:00+05:30,217.39,217.74,217.2,217.44,169896
2016-10-18T11:15:00+05:30,217.49,217.9,217.37,217.6,128060
2016-10-18T11:30:00+05:30,217.62,217.67,217.09,217.24,106988
2016-10-18T11:45:00+05:30,217.24,217.49,217.14,217.17,80108
2016-10-18T12:00:00+05:30,217.19,217.45,216.52,216.77,297660
2016-10-18T12:15:00+05:30,216.79,216.85,216.07,216.19,161392
2016-10-18T12:30:00+05:30,216.09,216.17,215.34,215.54,333202
2016-10-18T12:45:00+05:30,215.54,216.94,215.37,216.9,231340
2016-10-18T13:00:00+05:30,216.9,218.29,216.84,217.6,229532
2016-10-18T13:15:00+05:30,217.64,217.92,217.0,217.22,112748
2016-10-18T13:30:00+05:30,217.32,218.27,217.32,218.27,145406
2016-10-18T13:45:00+05:30,218.27,218.3,217.85,218.22,108516
2016-10-18T14:00:00+05:30,218.2,218.59,217.9,218.57,225436
