datetime,open,high,low,close,volume
2016-10-03T09:15:00+05:30,302.64,304.48,300.94,302.45,345191
2016-10-03T09:30:00+05:30,302.45,305.99,300.94,305.11,413883
2016-10-03T09:45:00+05:30,305.11,305.45,303.9,304.0,119452
2016-10-03T10:00:00+05:30,303.95,304.82,303.95,304.43,68563
2016-10-03T10:15:00+05:30,304.34,305.45,304.24,304.92,110181
2016-10-03T10:30:00+05:30,304.92,305.02,303.76,303.85,53904
2016-10-03T10:45:00+05:30,303.85,304.58,303.76,304.29,53569
2016-10-03T11:00:00+05:30,304.14,304.63,302.74,303.85,120617
2016-10-03T11:15:00+05:30,303.85,304.1,302.79,303.13,82351
2016-10-03T11:30:00+05:30,303.17,303.51,302.35,303.13,92152
2016-10-03T11:45:00+05:30,303.13,303.32,302.4,302.88,64973
2016-10-03T12:00:00+05:30,302.93,303.8,302.83,303.61,40639
2016-10-03T12:15:00+05:30,303.61,303.85,302.74,303.56,18807
2016-10-03T12:30:00+05:30,303.61,304.53,302.98,304.29,56352
2016-10-03T12:45:00+05:30,304.29,304.48,303.42,303.71,47448
2016-10-03T13:00:00+05:30,303.71,304.39,303.56,304.0,49211
2016-10-03T13:15:00+05:30,304.0,305.16,303.8,304.39,84343
2016-10-03T13:30:00+05:30,304.19,304.63,304.0,304.1,32080
2016-10-03T13:45:00+05:30,304.19,304.77,304.1,304.24,28556
2016-10-03T14:00:00+05:30,304.34,304.77,303.42,303.42,40967
2016-10-03T14:15:00+05:30,303.56,304.34,303.22,304.1,31712
2016-10-03T14:30:00+05:30,304.29,304.39,303.76,303.8,52368
2016-10-03T14:45:00+05:30,304.0,305.07,303.71,305.07,120827
2016-10-03T15:00:00+05:30,305.07,312.29,304.97,310.4,1324828
2016-10-03T15:15:00+05:30,310.35,311.37,309.72,309.72,309923
2016-10-04T09:15:00+05:30,311.86,313.31,310.4,311.37,482217
2016-10-04T09:30:00+05:30,311.37,311.66,308.56,309.38,281151
2016-10-04T09:45:00+05:30,309.38,309.43,308.22,309.43,174422
2016-10-04T10:00:00+05:30,309.38,310.11,308.56,308.75,186404
2016-10-04T10:15:00+05:30,308.61,309.14,308.46,308.65,80458
2016-10-04T10:30:00+05:30,308.75,308.85,307.2,308.75,147938
2016-10-04T10:45:00+05:30,308.85,311.86,308.75,310.45,186267
2016-10-04T11:00:00+05:30,310.35,311.32,310.3,310.69,75255
2016-10-04T11:15:00+05:30,310.4,310.69,310.06,310.3,47582
2016-10-04T11:30:00+05:30,310.4,310.45,309.04,310.21,71394
2016-10-04T11:45:00+05:30,310.11,310.16,308.95,309.72,57128
2016-10-04T12:00:00+05:30,309.77,310.06,309.53,309.67,26974
2016-10-04T12:15:00+05:30,309.77,309.82,309.14,309.62,36678
2016-10-04T12:30:00+05:30,309.38,310.5,309.19,310.4,51710
2016-10-04T12:45:00+05:30,310.4,315.06,310.35,314.67,595864
2016-10-04T13:00:00+05:30,314.57,314.67,312.34,313.07,208406
2016-10-04T13:15:00+05:30,313.02,313.31,312.53,312.87,102742
2016-10-04T13:30:00+05:30,313.07,314.09,312.83,312.97,116693
2016-10-04T13:45:00+05:30,313.21,314.09,312.97,313.6,123038
2016-10-04T14:00:00+05:30,313.55,313.65,312.34,312.39,112826
2016-10-04T14:15:00+05:30,312.34,312.34,308.99,311.56,359784
2016-10-04T14:30:00+05:30,311.32,317.87,310.74,314.18,1391578
2016-10-04T14:45:00+05:30,314.18,322.43,313.99,320.78,1689850
2016-10-04T15:00:00+05:30,320.68,321.46,318.5,320.73,777910
2016-10-04T15:15:00+05:30,320.92,322.82,320.1,320.83,751245
2016-10-05T09:15:00+05:30,324.17,325.73,322.62,324.51,843190
2016-10-05T09:30:00+05:30,324.51,325.14,322.82,323.5,400753
2016-10-05T09:45:00+05:30,323.54,323.79,321.75,322.77,254973
2016-10-05T10:00:00+05:30,322.72,323.74,322.53,322.77,110624
2016-10-05T10:15:00+05:30,322.91,323.74,321.07,323.06,254865
2016-10-05T10:30:00+05:30,323.01,323.4,322.14,322.38,94829
2016-10-05T10:45:00+05:30,322.33,323.3,322.33,322.62,59527
2016-10-05T11:00:00+05:30,322.62,323.88,322.43,323.79,73439
2016-10-05T11:15:00+05:30,323.69,325.53,323.45,323.88,256328
2016-10-05T11:30:00+05:30,323.93,324.47,323.74,324.47,62753
2016-10-05T11:45:00+05:30,324.47,325.0,322.82,322.91,146018
2016-10-05T12:00:00+05:30,322.96,324.61,322.43,323.4,150222
2016-10-05T12:15:00+05:30,323.4,324.17,323.01,323.98,168560
2016-10-05T12:30:00+05:30,323.98,324.47,323.2,324.17,138857
2016-10-05T12:45:00+05:30,324.13,326.5,324.03,325.39,472301
2016-10-05T13:00:00+05:30,325.48,326.11,325.05,325.92,168619
2016-10-05T13:15:00+05:30,325.82,325.87,324.32,325.14,94954
2016-10-05T13:30:00+05:30,325.0,325.58,324.76,325.53,54353
2016-10-05T13:45:00+05:30,325.48,327.33,325.39,327.13,267327
2016-10-05T14:00:00+05:30,327.13,328.54,326.07,326.41,342113
2016-10-05T14:15:00+05:30,326.41,327.76,326.36,327.76,170619
2016-10-05T14:30:00+05:30,327.71,328.73,326.94,327.62,233874
2016-10-05T14:45:00+05:30,327.67,327.67,326.6,326.89,161379
2016-10-05T15:00:00+05:30,326.89,327.47,324.76,325.05,279381
2016-10-05T15:15:00+05:30,325.1,325.14,323.54,325.0,385463
2016-10-06T09:15:00+05:30,325.44,325.82,322.14,323.5,322928
2016-10-06T09:30:00+05:30,323.54,324.95,323.2,324.71,140008
2016-10-06T09:45:00+05:30,324.66,327.04,324.66,325.53,372746
2016-10-06T10:00:00+05:30,325.63,325.92,324.47,324.95,145408
2016-10-06T10:15:00+05:30,324.95,325.0,323.4,323.88,136611
2016-10-06T10:30:00+05:30,323.93,325.44,323.93,325.34,100897
2016-10-06T10:45:00+05:30,325.34,326.45,324.71,325.44,114930
2016-10-06T11:00:00+05:30,325.44,325.68,324.95,325.39,38292
2016-10-06T11:15:00+05:30,325.44,325.44,324.13,324.17,44923
2016-10-06T11:30:00+05:30,324.17,324.95,323.98,324.85,38328
2016-10-06T11:45:00+05:30,324.51,324.95,324.37,324.8,29120
2016-10-06T12:00:00+05:30,324.76,325.14,324.08,324.95,35239
2016-10-06T12:15:00+05:30,324.95,325.73,324.51,325.58,51692
2016-10-06T12:30:00+05:30,325.44,325.68,324.61,324.95,67883
2016-10-06T12:45:00+05:30,324.95,325.34,324.8,325.05,41424
2016-10-06T13:00:00+05:30,325.1,326.89,324.56,326.21,177852
2016-10-06T13:15:00+05:30,326.26,326.5,323.4,324.17,122219
2016-10-06T13:30:00+05:30,323.98,324.61,322.53,323.54,152718
2016-10-06T13:45:00+05:30,323.54,324.17,322.57,323.01,91869
2016-10-06T14:00:00+05:30,323.06,323.06,318.55,321.07,379486
2016-10-06T14:15:00+05:30,320.97,321.89,320.44,321.65,95104
2016-10-06T14:30:00+05:30,321.56,321.75,318.06,319.28,226650
2016-10-06T14:45:00+05:30,319.32,319.91,317.68,318.6,155022
2016-10-06T15:00:00+05:30,318.55,320.97,318.21,320.97,250368
2016-10-06T15:15:00+05:30,320.92,321.46,319.47,320.05,399629
2016-10-07T09:15:00+05:30,318.35,321.31,317.72,320.83,382178
2016-10-07T09:30:00+05:30,320.68,320.92,318.6,318.94,138924
2016-10-07T09:45:00+05:30,318.89,319.91,318.26,318.45,92219
2016-10-07T10:00:00+05:30,318.45,321.07,318.26,320.68,173392
2016-10-07T10:15:00+05:30,320.63,321.07,319.66,319.81,83537
2016-10-07T10:30:00+05:30,319.62,320.1,319.37,319.66,56075
2016-10-07T10:45:00+05:30,319.66,319.95,319.13,319.76,51923
2016-10-07T11:00:00+05:30,319.76,321.51,319.76,320.05,98862
2016-10-07T11:15:00+05:30,320.0,320.2,318.65,319.37,62336
2016-10-07T11:30:00+05:30,319.42,319.57,318.21,318.21,70122
2016-10-07T11:45:00+05:30,318.5,320.1,318.35,319.08,109189
2016-10-07T12:00:00+05:30,318.94,319.57,317.34,317.43,161660
2016-10-07T12:15:00+05:30,317.48,318.94,317.48,318.5,58817
2016-10-07T12:30:00+05:30,318.26,318.65,316.9,317.58,136355
2016-10-07T12:45:00+05:30,317.63,318.01,316.03,316.51,150807
2016-10-07T13:00:00+05:30,316.41,316.46,314.52,315.06,210609
2016-10-07T13:15:00+05:30,314.91,316.61,314.77,316.07,119958
2016-10-07T13:30:00+05:30,316.12,319.81,315.83,319.37,344059
2016-10-07T13:45:00+05:30,319.47,319.81,318.26,318.6,133895
2016-10-07T14:00:00+05:30,318.6,319.62,318.16,318.74,71631
2016-10-07T14:15:00+05:30,318.5,318.74,317.63,317.63,52696
2016-10-07T14:30:00+05:30,317.63,318.35,316.8,317.77,88564
2016-10-07T14:45:00+05:30,317.63,318.31,317.38,317.63,54103
2016-10-07T15:00:00+05:30,317.77,319.08,317.63,318.5,177129
2016-10-07T15:15:00+05:30,318.6,319.37,318.26,318.74,305405
2016-10-10T09:15:00+05:30,320.59,321.75,319.66,321.41,195927
2016-10-10T09:30:00+05:30,321.31,321.51,319.32,320.29,92471
2016-10-10T09:45:00+05:30,320.25,320.29,318.65,319.03,99317
2016-10-10T10:00:00+05:30,319.03,320.39,317.68,319.03,122309
2016-10-10T10:15:00+05:30,319.13,319.23,318.35,318.55,37017
2016-10-10T10:30:00+05:30,318.45,318.55,317.38,318.16,73630
2016-10-10T10:45:00+05:30,318.16,319.03,318.01,318.6,88418
2016-10-10T11:00:00+05:30,318.55,319.23,318.16,318.31,62690
2016-10-10T11:15:00+05:30,318.5,318.98,317.0,317.04,85265
2016-10-10T11:30:00+05:30,317.04,317.92,316.9,317.48,58561
2016-10-10T11:45:00+05:30,317.43,317.68,316.51,317.38,55861
2016-10-10T12:00:00+05:30,317.58,317.58,316.66,316.71,38573
2016-10-10T12:15:00+05:30,316.75,317.0,315.54,315.83,83655
2016-10-10T12:30:00+05:30,315.83,317.19,315.59,316.46,58590
2016-10-10T12:45:00+05:30,316.51,316.66,315.3,315.64,64608
2016-10-10T13:00:00+05:30,315.64,315.78,313.89,315.1,203664
2016-10-10T13:15:00+05:30,315.01,315.54,314.72,315.44,59757
2016-10-10T13:30:00+05:30,315.49,315.64,314.38,314.72,52863
2016-10-10T13:45:00+05:30,314.67,315.06,314.38,314.96,54158
2016-10-10T14:00:00+05:30,314.96,315.25,314.47,314.81,49796
2016-10-10T14:15:00+05:30,314.91,315.64,314.43,314.77,87015
2016-10-10T14:30:00+05:30,314.77,315.44,314.47,315.44,51799
2016-10-10T14:45:00+05:30,315.3,315.49,314.72,315.1,70476
2016-10-10T15:00:00+05:30,315.1,315.25,313.94,315.01,180971
2016-10-10T15:15:00+05:30,315.01,315.93,314.67,315.06,387362
2016-10-13T09:15:00+05:30,310.3,311.76,308.31,309.24,351882
2016-10-13T09:30:00+05:30,309.09,310.01,308.85,309.92,146671
2016-10-13T09:45:00+05:30,310.01,310.01,306.23,307.44,269746
2016-10-13T10:00:00+05:30,307.39,307.44,305.84,306.96,153958
2016-10-13T10:15:00+05:30,306.91,307.3,305.84,307.01,96343
2016-10-13T10:30:00+05:30,307.01,307.68,306.86,307.68,80222
2016-10-13T10:45:00+05:30,307.68,308.12,307.39,307.78,71614
2016-10-13T11:00:00+05:30,307.78,307.93,305.07,306.13,119186
2016-10-13T11:15:00+05:30,306.13,306.37,305.6,305.99,62716
2016-10-13T11:30:00+05:30,305.99,305.99,302.25,303.56,222363
2016-10-13T11:45:00+05:30,303.46,304.14,303.13,303.8,77219
2016-10-13T12:00:00+05:30,303.66,303.8,301.82,302.49,133077
2016-10-13T12:15:00+05:30,302.49,303.71,302.06,303.42,118430
2016-10-13T12:30:00+05:30,303.22,303.61,299.78,301.43,321486
2016-10-13T12:45:00+05:30,301.19,301.28,298.18,299.97,275448
2016-10-13T13:00:00+05:30,299.97,300.17,298.37,299.49,186662
2016-10-13T13:15:00+05:30,299.39,300.22,298.86,299.34,102584
2016-10-13T13:30:00+05:30,299.49,299.63,297.84,299.39,107368
2016-10-13T13:45:00+05:30,299.34,299.49,297.5,297.74,122103
2016-10-13T14:00:00+05:30,297.74,300.85,296.67,300.17,214844
2016-10-13T14:15:00+05:30,300.22,301.57,299.54,301.04,242442
2016-10-13T14:30:00+05:30,300.8,301.04,298.95,300.31,154073
2016-10-13T14:45:00+05:30,300.22,301.09,299.49,301.09,67718
2016-10-13T15:00:00+05:30,300.99,301.19,300.51,301.14,207459
2016-10-13T15:15:00+05:30,301.19,301.57,299.73,300.99,320276
2016-10-14T09:15:00+05:30,303.61,303.61,300.75,302.64,276179
2016-10-14T09:30:00+05:30,302.64,302.79,301.72,302.25,114796
2016-10-14T09:45:00+05:30,302.35,302.74,299.88,300.55,162615
2016-10-14T10:00:00+05:30,300.6,301.67,300.6,301.67,89031
2016-10-14T10:15:00+05:30,301.67,305.5,301.28,304.87,396582
2016-10-14T10:30:00+05:30,304.87,305.21,304.19,304.24,105272
2016-10-14T10:45:00+05:30,304.24,305.07,304.14,304.14,57826
2016-10-14T11:00:00+05:30,304.1,304.43,302.64,303.56,118345
2016-10-14T11:15:00+05:30,303.61,304.53,303.27,304.34,61438
2016-10-14T11:30:00+05:30,304.29,304.48,303.85,304.1,38752
2016-10-14T11:45:00+05:30,304.14,304.19,303.32,303.71,24980
2016-10-14T12:00:00+05:30,303.66,304.53,303.17,303.9,111175
2016-10-14T12:15:00+05:30,303.9,304.29,303.22,303.71,44211
2016-10-14T12:30:00+05:30,304.0,304.48,303.85,304.29,47080
2016-10-14T12:45:00+05:30,304.29,305.89,303.9,305.11,183713
2016-10-14T13:00:00+05:30,305.02,305.02,304.0,304.14,54295
2016-10-14T13:15:00+05:30,304.19,304.68,303.85,304.19,34684
2016-10-14T13:30:00+05:30,304.24,305.02,303.85,304.92,46925
2016-10-14T13:45:00+05:30,304.97,305.36,302.83,302.83,104657
2016-10-14T14:00:00+05:30,302.83,303.95,302.06,303.66,104662
2016-10-14T14:15:00+05:30,303.71,304.19,303.03,303.9,47722
2016-10-14T14:30:00+05:30,303.9,304.39,303.32,303.71,70313
2016-10-14T14:45:00+05:30,303.71,304.29,303.42,303.95,78121
2016-10-14T15:00:00+05:30,304.0,304.1,303.13,303.71,128728
2016-10-14T15:15:00+05:30,303.66,304.1,303.37,303.66,232798
2016-10-17T09:15:00+05:30,305.55,305.55,302.69,304.05,298040
2016-10-17T09:30:00+05:30,304.34,305.7,304.1,305.45,152977
2016-10-17T09:45:00+05:30,305.55,306.96,305.21,306.57,302529
2016-10-17T10:00:00+05:30,306.62,307.44,306.13,306.42,162564
2016-10-17T10:15:00+05:30,306.23,307.01,306.23,306.91,56781
2016-10-17T10:30:00+05:30,306.96,307.01,304.97,305.6,109049
2016-10-17T10:45:00+05:30,305.65,305.94,305.07,305.7,62952
2016-10-17T11:00:00+05:30,305.7,306.37,305.45,305.94,63782
2016-10-17T11:15:00+05:30,305.99,306.13,305.07,305.16,44826
2016-10-17T11:30:00+05:30,305.26,305.26,303.42,303.8,125843
2016-10-17T11:45:00+05:30,303.8,304.34,300.22,301.28,297479
2016-10-17T12:00:00+05:30,301.38,302.01,297.74,299.88,374903
2016-10-17T12:15:00+05:30,299.92,299.92,298.37,299.05,121546
2016-10-17T12:30:00+05:30,299.0,300.17,298.52,300.07,97904
2016-10-17T12:45:00+05:30,300.12,300.12,297.79,298.32,177544
2016-10-17T13:00:00+05:30,298.37,300.31,298.37,299.39,115628
2016-10-17T13:15:00+05:30,299.29,299.83,299.1,299.44,46709
2016-10-17T13:30:00+05:30,299.44,300.12,299.1,299.25,54003
2016-10-17T13:45:00+05:30,299.1,299.54,298.81,299.44,35754
2016-10-17T14:00:00+05:30,299.49,300.17,299.29,299.92,46202
2016-10-17T14:15:00+05:30,300.02,300.02,297.94,298.86,103260
2016-10-17T14:30:00+05:30,298.81,299.1,297.84,297.98,57352
2016-10-17T14:45:00+05:30,297.98,298.37,293.09,294.2,385296
2016-10-17T15:00:00+05:30,294.2,296.48,293.52,295.8,370560
2016-10-17T15:15:00+05:30,295.8,296.82,295.37,295.66,365957
2016-10-18T09:15:00+05:30,298.86,301.33,298.86,299.73,359784
2016-10-18T09:15:00+05:30,298.86,301.33,298.86,299.73,359784
2016-10-18T09:30:00+05:30,299.73,300.6,298.76,298.91,117730
2016-10-18T09:45:00+05:30,298.91,299.54,298.86,299.15,102044
2016-10-18T10:00:00+05:30,299.1,299.25,297.11,298.08,148325
2016-10-18T10:15:00+05:30,298.28,298.76,297.6,298.08,84238
2016-10-18T10:30:00+05:30,298.03,298.42,296.72,297.26,107624
2016-10-18T10:45:00+05:30,297.21,297.79,296.53,297.11,68712
2016-10-18T11:00:00+05:30,297.16,298.13,297.11,297.98,60557
2016-10-18T11:15:00+05:30,297.94,298.08,297.45,297.98,28120
2016-10-18T11:30:00+05:30,297.89,298.61,297.69,298.03,58778
2016-10-18T11:45:00+05:30,298.08,298.52,297.94,297.98,26899
2016-10-18T12:00:00+05:30,297.98,298.13,297.01,297.79,33818
2016-10-18T12:15:00+05:30,297.74,297.79,296.67,297.01,56880
2016-10-18T12:30:00+05:30,297.01,298.03,296.04,297.5,164729
2016-10-18T12:45:00+05:30,297.6,298.52,297.26,298.28,61516
2016-10-18T13:00:00+05:30,298.13,300.6,297.98,300.12,248057
2016-10-18T13:15:00+05:30,300.07,301.57,299.92,300.12,222739
2016-10-18T13:30:00+05:30,300.12,301.62,299.58,300.99,120788
2016-10-18T13:45:00+05:30,300.85,300.99,299.92,300.89,95018
2016-10-18T14:00:00+05:30,300.99,303.61,300.94,302.93,327557
2016-10-18T14:15:00+05:30,302.98,304.68,302.2,304.58,329797
2016-10-18T14:30:00+05:30,304.58,304.58,303.85,304.1,125221
2016-10-18T14:45:00+05:30,304.14,305.55,304.1,304.82,185292
2016-10-18T15:00:00+05:30,304.87,305.36,304.1,304.77,136288
2016-10-18T15:15:00+05:30,304.77,305.94,304.39,304.97,317459
2016-10-19T09:15:00+05:30,306.86,306.86,303.61,304.05,344132
2016-10-19T09:30:00+05:30,303.9,304.97,302.83,304.39,142285
2016-10-19T09:45:00+05:30,304.68,304.82,303.71,304.1,65828
2016-10-19T10:00:00+05:30,304.0,304.34,302.06,303.22,77074
2016-10-19T10:15:00+05:30,303.37,303.37,302.25,302.74,62144
2016-10-19T10:30:00+05:30,302.69,303.8,302.3,303.46,44406
2016-10-19T10:45:00+05:30,303.61,303.71,302.98,303.51,41607
2016-10-19T11:00:00+05:30,303.42,304.24,303.37,303.95,60938
2016-10-19T11:15:00+05:30,303.95,304.0,303.13,303.17,24369
2016-10-19T11:30:00+05:30,303.17,303.32,302.69,303.17,32016
2016-10-19T11:45:00+05:30,303.13,303.37,302.64,303.22,27460
2016-10-19T12:00:00+05:30,303.22,305.79,303.17,305.11,174209
2016-10-19T12:15:00+05:30,305.07,305.31,304.1,304.34,50568
2016-10-19T12:30:00+05:30,304.48,304.58,302.88,303.51,66144
2016-10-19T12:45:00+05:30,303.46,304.14,302.79,303.13,68148
2016-10-19T13:00:00+05:30,303.13,303.61,302.93,303.22,34057
2016-10-19T13:15:00+05:30,303.27,303.32,301.77,303.03,147969
2016-10-19T13:30:00+05:30,302.93,304.29,302.64,303.76,75385
2016-10-19T13:45:00+05:30,303.9,304.77,303.71,304.39,68384
2016-10-19T14:00:00+05:30,304.34,304.87,303.8,304.39,49251
2016-10-19T14:15:00+05:30,304.39,305.07,303.61,304.97,67773
2016-10-19T14:30:00+05:30,305.07,305.11,302.98,303.32,100100
2016-10-19T14:45:00+05:30,303.03,305.4,302.98,304.63,191743
2016-10-19T15:00:00+05:30,304.58,305.11,304.29,304.43,142771
2016-10-19T15:15:00+05:30,304.53,304.97,304.05,304.68,254933
2016-10-20T09:15:00+05:30,305.74,308.02,305.65,307.88,237253
2016-10-20T09:30:00+05:30,307.83,308.65,307.49,308.12,167996
2016-10-20T09:45:00+05:30,308.31,311.66,308.17,310.93,422504
2016-10-20T10:00:00+05:30,310.93,311.13,309.96,310.35,135122
2016-10-20T10:15:00+05:30,310.16,310.79,309.04,309.43,133346
2016-10-20T10:30:00+05:30,309.38,310.35,309.38,309.72,75145
2016-10-20T10:45:00+05:30,309.72,311.18,309.43,311.18,108883
2016-10-20T11:00:00+05:30,311.18,312.19,311.08,311.9,200553
2016-10-20T11:15:00+05:30,312.05,314.96,312.05,313.55,374508
2016-10-20T11:30:00+05:30,313.46,315.44,313.36,314.38,276819
2016-10-20T11:45:00+05:30,314.33,314.57,312.53,313.6,169748
2016-10-20T12:00:00+05:30,313.6,313.8,312.0,313.46,121084
2016-10-20T12:15:00+05:30,313.46,313.8,312.97,313.41,60546
2016-10-20T12:30:00+05:30,313.41,313.6,312.83,313.12,54279
2016-10-20T12:45:00+05:30,313.07,313.07,310.74,312.0,176110
2016-10-20T13:00:00+05:30,311.71,312.73,311.52,312.34,68435
2016-10-20T13:15:00+05:30,312.53,313.8,312.1,313.5,91199
2016-10-20T13:30:00+05:30,313.65,314.28,313.02,313.5,115918
2016-10-20T13:45:00+05:30,313.46,313.65,312.34,312.73,76398
2016-10-20T14:00:00+05:30,312.78,313.16,312.1,312.39,69333
2016-10-20T14:15:00+05:30,312.24,313.41,311.76,313.26,122180
2016-10-20T14:30:00+05:30,313.41,313.6,312.83,313.21,64268
2016-10-20T14:45:00+05:30,313.21,313.8,312.87,313.6,112210
2016-10-20T15:00:00+05:30,313.6,313.6,312.34,312.53,205138
2016-10-20T15:15:00+05:30,312.53,312.83,311.61,312.39,332735
2016-10-21T09:15:00+05:30,312.92,312.92,308.95,310.25,207388
2016-10-21T09:30:00+05:30,310.11,310.21,309.24,310.11,136600
2016-10-21T09:45:00+05:30,309.96,310.06,306.62,307.44,206436
2016-10-21T10:00:00+05:30,307.64,308.95,307.39,308.61,187494
