datetime,open,high,low,close,volume
2016-10-03T09:15:00+05:30,75.3,76.4,75.3,76.35,186671
2016-10-03T09:30:00+05:30,76.35,77.0,76.3,77.0,162040
2016-10-03T09:45:00+05:30,77.0,77.6,76.9,77.2,186780
2016-10-03T10:00:00+05:30,77.05,77.35,77.0,77.2,103748
2016-10-03T10:15:00+05:30,77.2,77.45,77.15,77.25,50655
2016-10-03T10:30:00+05:30,77.3,77.4,77.1,77.2,29809
2016-10-03T10:45:00+05:30,77.2,77.35,77.15,77.2,18027
2016-10-03T11:00:00+05:30,77.2,77.45,77.2,77.2,27858
2016-10-03T11:15:00+05:30,77.2,77.3,77.15,77.15,27638
2016-10-03T11:30:00+05:30,77.1,77.25,77.1,77.15,25080
2016-10-03T11:45:00+05:30,77.2,77.2,77.05,77.15,29805
2016-10-03T12:00:00+05:30,77.1,77.15,77.0,77.1,15992
2016-10-03T12:15:00+05:30,77.1,77.25,77.1,77.2,17894
2016-10-03T12:30:00+05:30,77.25,77.45,77.2,77.45,45685
2016-10-03T12:45:00+05:30,77.45,77.5,77.35,77.45,27004
2016-10-03T13:00:00+05:30,77.5,77.5,77.45,77.5,10098
2016-10-03T13:15:00+05:30,77.5,77.5,77.3,77.4,12418
2016-10-03T13:30:00+05:30,77.4,77.75,77.35,77.7,59311
2016-10-03T13:45:00+05:30,77.7,77.75,77.45,77.55,43879
2016-10-03T14:00:00+05:30,77.6,77.7,77.2,77.25,125360
2016-10-03T14:15:00+05:30,77.25,77.95,77.25,77.7,306485
2016-10-03T14:30:00+05:30,77.75,78.7,77.55,78.45,254378
2016-10-03T14:45:00+05:30,78.5,78.5,78.2,78.35,126471
2016-10-03T15:00:00+05:30,78.35,79.2,78.35,78.95,382894
2016-10-03T15:15:00+05:30,79.0,79.1,78.3,78.75,229564
2016-10-04T09:15:00+05:30,79.0,79.25,78.4,78.95,258011
2016-10-04T09:30:00+05:30,78.8,79.0,78.5,78.85,215602
2016-10-04T09:45:00+05:30,78.85,78.9,78.0,78.1,216094
2016-10-04T10:00:00+05:30,78.15,78.65,77.95,78.0,207607
2016-10-04T10:15:00+05:30,78.05,78.05,77.5,77.5,116357
2016-10-04T10:30:00+05:30,77.55,77.85,77.4,77.8,57188
2016-10-04T10:45:00+05:30,77.7,78.0,77.7,78.0,12153
2016-10-04T11:00:00+05:30,78.0,78.0,77.8,77.8,30751
2016-10-04T11:15:00+05:30,77.8,78.05,77.6,77.9,155184
2016-10-04T11:30:00+05:30,77.9,77.9,77.5,77.65,37404
2016-10-04T11:45:00+05:30,77.6,77.9,77.55,77.7,69169
2016-10-04T12:00:00+05:30,77.7,77.75,77.2,77.6,238680
2016-10-04T12:15:00+05:30,77.7,77.7,77.5,77.65,18960
2016-10-04T12:30:00+05:30,77.65,77.7,77.6,77.65,9060
2016-10-04T12:45:00+05:30,77.65,78.5,77.3,78.2,498786
2016-10-04T13:00:00+05:30,78.15,78.2,77.55,77.6,105369
2016-10-04T13:15:00+05:30,77.6,77.75,77.55,77.75,16745
2016-10-04T13:30:00+05:30,77.7,77.75,77.55,77.55,6689
2016-10-04T13:45:00+05:30,77.55,77.9,77.4,77.85,22987
2016-10-04T14:00:00+05:30,77.8,77.9,77.7,77.7,13781
2016-10-04T14:15:00+05:30,77.65,77.65,77.3,77.6,49138
