datetime,open,high,low,close,volume
2016-10-03T09:15:00+05:30,84.98,85.94,84.62,85.61,82655
2016-10-03T09:30:00+05:30,85.6,86.93,85.6,85.62,334625
2016-10-03T09:45:00+05:30,85.78,85.78,84.68,84.98,59595
2016-10-03T10:00:00+05:30,84.96,85.09,84.6,85.05,53550
2016-10-03T10:15:00+05:30,85.09,85.5,85.0,85.18,19650
2016-10-03T10:30:00+05:30,85.19,85.38,85.13,85.3,14665
2016-10-03T10:45:00+05:30,85.3,85.35,85.23,85.29,4875
2016-10-03T11:00:00+05:30,85.29,85.39,85.29,85.3,11050
2016-10-03T11:15:00+05:30,85.3,85.51,85.17,85.2,11800
2016-10-03T11:30:00+05:30,85.2,85.36,85.14,85.36,11175
2016-10-03T11:45:00+05:30,85.31,85.38,85.3,85.35,4005
2016-10-03T12:00:00+05:30,85.36,85.53,85.3,85.47,5290
2016-10-03T12:15:00+05:30,85.48,85.55,85.22,85.4,16450
2016-10-03T12:30:00+05:30,85.4,85.69,85.4,85.69,10730
2016-10-03T12:45:00+05:30,85.69,85.7,85.54,85.54,10915
2016-10-03T13:00:00+05:30,85.54,85.84,85.52,85.6,19370
2016-10-03T13:15:00+05:30,85.61,85.71,85.3,85.3,13255
2016-10-03T13:30:00+05:30,85.31,85.58,85.31,85.4,9095
2016-10-03T13:45:00+05:30,85.3,85.51,85.26,85.38,5415
2016-10-03T14:00:00+05:30,85.38,85.38,85.11,85.22,14945
2016-10-03T14:15:00+05:30,85.17,85.33,85.13,85.13,11590
2016-10-03T14:30:00+05:30,85.18,85.29,85.0,85.07,29520
2016-10-03T14:45:00+05:30,85.09,85.4,85.03,85.26,17900
2016-10-03T15:00:00+05:30,85.29,85.35,85.01,85.21,36725
2016-10-03T15:15:00+05:30,85.22,85.58,84.86,85.27,103245
2016-10-04T09:15:00+05:30,85.29,86.11,85.28,85.62,33865
2016-10-04T09:30:00+05:30,85.6,85.98,85.4,85.49,19470
2016-10-04T09:45:00+05:30,85.49,85.61,85.29,85.46,7315
2016-10-04T10:00:00+05:30,85.46,85.59,85.39,85.57,5560
2016-10-04T10:15:00+05:30,85.58,85.58,85.11,85.34,43400
2016-10-04T10:30:00+05:30,85.34,85.58,85.21,85.52,12875
2016-10-04T10:45:00+05:30,85.58,85.58,85.36,85.48,15505
2016-10-04T11:00:00+05:30,85.46,85.54,85.4,85.54,9165
2016-10-04T11:15:00+05:30,85.51,85.52,85.36,85.51,13220
2016-10-04T11:30:00+05:30,85.5,85.5,85.31,85.41,2135
2016-10-04T11:45:00+05:30,85.35,85.48,85.26,85.26,3980
2016-10-04T12:00:00+05:30,85.23,85.23,84.8,85.0,277720
2016-10-04T12:15:00+05:30,85.09,85.18,84.96,85.12,4555
2016-10-04T12:30:00+05:30,85.12,85.17,84.88,85.04,4525
2016-10-04T12:45:00+05:30,85.04,85.5,85.04,85.49,9750
2016-10-04T13:00:00+05:30,85.5,85.7,85.5,85.64,7870
2016-10-04T13:15:00+05:30,85.63,85.64,85.41,85.43,2975
2016-10-04T13:30:00+05:30,85.52,85.58,85.4,85.56,935
2016-10-04T13:45:00+05:30,85.56,85.56,85.23,85.39,6490
2016-10-04T14:00:00+05:30,85.39,85.43,85.0,85.03,7695
2016-10-04T14:15:00+05:30,85.13,85.18,84.98,85.13,9400
