datetime,open,high,low,close,volume
2016-10-03T09:15:00+05:30,971.75,978.95,971.5,974.65,3892
2016-10-03T09:30:00+05:30,974.65,984.0,974.0,982.8,13709
2016-10-03T09:45:00+05:30,982.8,989.0,982.7,985.95,18146
2016-10-03T10:00:00+05:30,985.3,985.8,984.05,984.3,3518
2016-10-03T10:15:00+05:30,984.35,984.9,981.6,983.15,3201
2016-10-03T10:30:00+05:30,982.0,984.0,981.0,981.9,4207
2016-10-03T10:45:00+05:30,981.9,983.0,981.1,981.5,5120
2016-10-03T11:00:00+05:30,981.5,982.0,980.8,981.85,4204
2016-10-03T11:15:00+05:30,981.5,984.75,981.0,983.2,10785
2016-10-03T11:30:00+05:30,983.0,983.25,982.45,982.45,5490
2016-10-03T11:45:00+05:30,983.0,983.7,981.6,983.0,12741
2016-10-03T12:00:00+05:30,983.0,983.4,982.05,982.35,11087
2016-10-03T12:15:00+05:30,982.35,986.5,982.05,984.45,40504
2016-10-03T12:30:00+05:30,984.0,984.05,980.0,981.4,18774
2016-10-03T12:45:00+05:30,981.4,983.0,980.0,982.25,29314
2016-10-03T13:00:00+05:30,983.0,983.9,981.5,982.45,14176
2016-10-03T13:15:00+05:30,982.5,983.75,982.05,982.9,8902
2016-10-03T13:30:00+05:30,983.0,983.45,982.0,982.55,28175
2016-10-03T13:45:00+05:30,983.0,983.5,981.7,982.0,11268
2016-10-03T14:00:00+05:30,982.0,982.0,980.95,981.0,1736
2016-10-03T14:15:00+05:30,981.0,983.0,980.1,982.35,10846
2016-10-03T14:30:00+05:30,982.35,982.6,978.25,979.0,11718
2016-10-03T14:45:00+05:30,979.0,981.0,978.25,979.95,14478
2016-10-03T15:00:00+05:30,979.2,985.0,979.05,983.0,28566
2016-10-03T15:15:00+05:30,983.7,984.85,982.85,982.85,22023
2016-10-04T09:15:00+05:30,984.95,990.0,984.35,988.9,9356
2016-10-04T09:30:00+05:30,988.0,989.6,986.35,988.4,5853
