datetime,open,high,low,close,volume
2016-10-03T09:15:00+05:30,622.92,626.0,622.92,625.7,44070
2016-10-03T09:30:00+05:30,625.71,629.76,625.7,629.0,78690
2016-10-03T09:45:00+05:30,628.67,629.4,628.0,628.03,22805
2016-10-03T10:00:00+05:30,628.38,634.78,628.38,631.62,64820
2016-10-03T10:15:00+05:30,631.4,632.98,631.22,632.69,21245
2016-10-03T10:30:00+05:30,632.69,632.8,631.32,632.1,11145
2016-10-03T10:45:00+05:30,631.93,633.0,631.71,632.94,19560
2016-10-03T11:00:00+05:30,632.95,634.0,632.12,633.25,19615
2016-10-03T11:15:00+05:30,633.4,633.8,632.01,633.36,11060
2016-10-03T11:30:00+05:30,633.36,634.0,633.04,633.82,29000
2016-10-03T11:45:00+05:30,633.82,633.99,633.2,633.99,9345
2016-10-03T12:00:00+05:30,634.0,634.0,633.0,634.0,25990
2016-10-03T12:15:00+05:30,634.0,636.74,633.95,635.76,40635
2016-10-03T12:30:00+05:30,635.8,637.0,634.6,636.59,36255
2016-10-03T12:45:00+05:30,636.59,637.0,634.81,636.96,24175
2016-10-03T13:00:00+05:30,636.96,637.0,635.8,636.6,28160
2016-10-03T13:15:00+05:30,636.27,637.0,636.01,636.6,15890
2016-10-03T13:30:00+05:30,636.6,636.6,635.09,636.6,17000
2016-10-03T13:45:00+05:30,636.6,637.0,636.14,636.26,43990
2016-10-03T14:00:00+05:30,636.59,636.6,634.2,635.49,27265
2016-10-03T14:15:00+05:30,635.51,636.21,634.88,635.94,43200
2016-10-03T14:30:00+05:30,635.94,636.19,634.94,635.97,41635
2016-10-03T14:45:00+05:30,636.0,636.4,632.8,632.82,56800
2016-10-03T15:00:00+05:30,632.81,633.32,631.79,632.0,199455
2016-10-03T15:15:00+05:30,631.99,632.11,631.0,632.11,147970
2016-10-04T09:15:00+05:30,635.8,635.8,632.01,632.78,45010
2016-10-04T09:30:00+05:30,633.1,633.1,631.66,631.73,42285
2016-10-04T09:45:00+05:30,631.4,632.84,631.24,632.0,15390
2016-10-04T10:00:00+05:30,632.01,632.6,631.67,632.03,13895
2016-10-04T10:15:00+05:30,632.03,632.4,631.92,631.92,11015
2016-10-04T10:30:00+05:30,631.96,632.0,630.47,631.25,20195
2016-10-04T10:45:00+05:30,631.7,631.7,629.82,629.86,32250
2016-10-04T11:00:00+05:30,629.9,630.08,629.0,629.86,53840
2016-10-04T11:15:00+05:30,630.0,630.07,629.62,630.0,10135
2016-10-04T11:30:00+05:30,630.0,630.63,629.62,630.27,6820
2016-10-04T11:45:00+05:30,630.76,630.76,629.36,629.45,16680
2016-10-04T12:00:00+05:30,629.8,630.0,629.52,630.0,4705
2016-10-04T12:15:00+05:30,630.0,630.0,629.56,630.0,9085
2016-10-04T12:30:00+05:30,629.91,630.06,629.79,630.0,15350
2016-10-04T12:45:00+05:30,630.0,630.04,629.42,629.42,30555
2016-10-04T13:00:00+05:30,629.51,630.2,629.42,629.8,12580
2016-10-04T13:15:00+05:30,630.0,630.0,629.8,630.0,5995
2016-10-04T13:30:00+05:30,630.0,630.02,629.8,629.89,10355
2016-10-04T13:45:00+05:30,629.89,630.0,629.82,630.0,7500
2016-10-04T14:00:00+05:30,630.0,630.0,629.62,629.62,6740
2016-10-04T14:15:00+05:30,629.62,630.08,629.6,629.99,36785
2016-10-04T14:30:00+05:30,630.0,632.9,629.66,630.29,63720
2016-10-04T14:45:00+05:30,630.82,632.24,629.4,629.4,38110
2016-10-04T15:00:00+05:30,629.4,630.88,629.4,630.35,79875
2016-10-04T15:15:00+05:30,630.37,630.6,628.48,629.67,203430
2016-10-05T09:15:00+05:30,629.6,629.98,626.41,628.4,70220
2016-10-05T09:30:00+05:30,628.41,628.81,626.82,627.64,34735
2016-10-05T09:45:00+05:30,627.66,627.66,626.43,626.45,15245
2016-10-05T10:00:00+05:30,626.45,626.76,624.85,625.04,38685
2016-10-05T10:15:00+05:30,625.16,625.99,624.02,624.62,24370
2016-10-05T10:30:00+05:30,624.77,625.98,624.62,625.89,14565
2016-10-05T10:45:00+05:30,625.89,626.0,625.02,625.54,19240
2016-10-05T11:00:00+05:30,625.3,625.77,624.21,624.35,28405
2016-10-05T11:15:00+05:30,624.6,624.91,622.42,622.52,44790
2016-10-05T11:30:00+05:30,622.6,623.79,622.02,622.17,33710
2016-10-05T11:45:00+05:30,622.04,623.45,621.25,621.75,35090
2016-10-05T12:00:00+05:30,621.9,622.79,621.0,622.47,44540
2016-10-05T12:15:00+05:30,622.48,622.84,621.22,621.78,19475
2016-10-05T12:30:00+05:30,621.78,622.31,621.3,622.15,25035
2016-10-05T12:45:00+05:30,622.09,623.49,622.02,623.11,18920
2016-10-05T13:00:00+05:30,622.85,625.98,622.82,625.6,63225
2016-10-05T13:15:00+05:30,625.7,626.5,624.5,625.97,31905
2016-10-05T13:30:00+05:30,625.97,626.56,625.04,625.62,41345
2016-10-05T13:45:00+05:30,625.63,625.92,625.02,625.19,11310
2016-10-05T14:00:00+05:30,625.2,625.71,624.62,624.68,25825
2016-10-05T14:15:00+05:30,624.7,626.0,624.62,625.5,24525
2016-10-05T14:30:00+05:30,625.5,626.04,625.02,625.44,30925
2016-10-05T14:45:00+05:30,625.43,625.79,624.65,625.0,21840
2016-10-05T15:00:00+05:30,625.0,625.68,624.02,624.43,79135
2016-10-05T15:15:00+05:30,624.27,625.77,622.84,624.63,107410
2016-10-06T09:15:00+05:30,623.0,623.97,620.4,620.73,60075
2016-10-06T09:30:00+05:30,620.59,621.79,619.31,621.6,47730
2016-10-06T09:45:00+05:30,621.54,622.33,621.2,622.19,29960
2016-10-06T10:00:00+05:30,622.19,622.79,622.0,622.54,14035
2016-10-06T10:15:00+05:30,622.55,622.78,621.81,622.2,7590
2016-10-06T10:30:00+05:30,622.38,622.4,621.7,622.18,4555
2016-10-06T10:45:00+05:30,622.0,622.55,622.0,622.37,3540
2016-10-06T11:00:00+05:30,622.34,622.36,622.0,622.0,4080
2016-10-06T11:15:00+05:30,622.24,622.25,620.5,620.97,18030
2016-10-06T11:30:00+05:30,620.98,621.72,620.8,621.58,3925
2016-10-06T11:45:00+05:30,621.59,621.79,621.0,621.4,6120
