datetime,open,high,low,close,volume
2016-10-03T09:15:00+05:30,73.0,73.4,72.45,72.75,436519
2016-10-03T09:30:00+05:30,72.75,73.9,72.6,73.75,666325
2016-10-03T09:45:00+05:30,73.8,74.0,73.4,73.4,273804
2016-10-03T10:00:00+05:30,73.45,73.65,73.35,73.6,84338
2016-10-03T10:15:00+05:30,73.55,73.9,73.55,73.8,138760
2016-10-03T10:30:00+05:30,73.7,73.85,73.5,73.65,119121
2016-10-03T10:45:00+05:30,73.6,73.7,73.5,73.7,77013
2016-10-03T11:00:00+05:30,73.65,73.75,73.6,73.65,83035
2016-10-03T11:15:00+05:30,73.7,73.7,73.3,73.35,127942
2016-10-03T11:30:00+05:30,73.4,73.4,73.15,73.35,63549
2016-10-03T11:45:00+05:30,73.35,73.45,73.2,73.35,64883
2016-10-03T12:00:00+05:30,73.35,73.35,73.2,73.25,31876
2016-10-03T12:15:00+05:30,73.3,73.5,73.2,73.3,144787
2016-10-03T12:30:00+05:30,73.3,73.45,73.25,73.35,50615
2016-10-03T12:45:00+05:30,73.4,73.4,73.3,73.4,44103
2016-10-03T13:00:00+05:30,73.4,73.7,73.35,73.55,148107
2016-10-03T13:15:00+05:30,73.55,73.65,73.5,73.5,81503
2016-10-03T13:30:00+05:30,73.5,73.65,73.45,73.6,33986
2016-10-03T13:45:00+05:30,73.65,73.75,73.55,73.7,95848
2016-10-03T14:00:00+05:30,73.75,73.85,73.65,73.7,106435
2016-10-03T14:15:00+05:30,73.7,73.7,73.45,73.6,101822
2016-10-03T14:30:00+05:30,73.6,73.75,73.55,73.7,89402
2016-10-03T14:45:00+05:30,73.7,73.75,73.6,73.65,73700
2016-10-03T15:00:00+05:30,73.65,74.35,73.65,74.3,463373
2016-10-03T15:15:00+05:30,74.25,74.7,74.25,74.3,726107
2016-10-04T09:15:00+05:30,74.9,75.05,74.4,75.0,814033
2016-10-04T09:30:00+05:30,75.1,75.65,74.65,74.8,1014481
2016-10-04T09:45:00+05:30,74.75,74.9,74.65,74.8,153266
2016-10-04T10:00:00+05:30,74.85,74.9,74.5,74.75,165597
2016-10-04T10:15:00+05:30,74.7,74.9,74.4,74.45,243131
2016-10-04T10:30:00+05:30,74.45,74.55,74.05,74.35,181401
2016-10-04T10:45:00+05:30,74.35,74.65,74.3,74.6,102025
2016-10-04T11:00:00+05:30,74.5,74.8,74.5,74.65,122658
2016-10-04T11:15:00+05:30,74.65,74.75,74.55,74.7,43593
2016-10-04T11:30:00+05:30,74.7,74.7,74.5,74.65,64162
2016-10-04T11:45:00+05:30,74.65,74.7,74.45,74.55,86280
2016-10-04T12:00:00+05:30,74.55,74.55,74.0,74.4,293590
2016-10-04T12:15:00+05:30,74.4,74.45,74.1,74.1,100661
2016-10-04T12:30:00+05:30,74.2,74.2,73.95,74.1,151205
2016-10-04T12:45:00+05:30,74.05,74.5,74.05,74.5,185044
2016-10-04T13:00:00+05:30,74.45,74.5,74.05,74.4,152907
2016-10-04T13:15:00+05:30,74.4,74.55,74.35,74.5,82177
2016-10-04T13:30:00+05:30,74.5,74.65,74.45,74.6,112639
2016-10-04T13:45:00+05:30,74.6,74.8,74.55,74.75,110738
2016-10-04T14:00:00+05:30,74.75,74.8,74.35,74.35,135251
2016-10-04T14:15:00+05:30,74.3,74.7,74.1,74.65,223327
2016-10-04T14:30:00+05:30,74.6,75.4,74.15,74.8,774927
2016-10-04T14:45:00+05:30,74.75,75.8,74.75,75.3,705880
2016-10-04T15:00:00+05:30,75.3,75.5,74.8,75.4,538186
2016-10-04T15:15:00+05:30,75.45,75.7,75.3,75.4,860743
2016-10-05T09:15:00+05:30,75.6,75.95,75.1,75.3,413487
2016-10-05T09:30:00+05:30,75.35,75.65,75.05,75.15,325090
2016-10-05T09:45:00+05:30,75.15,75.35,74.25,74.75,779612
2016-10-05T10:00:00+05:30,74.8,74.9,74.55,74.65,165883
2016-10-05T10:15:00+05:30,74.6,74.7,74.35,74.5,157953
2016-10-05T10:30:00+05:30,74.5,74.9,74.45,74.8,166041
2016-10-05T10:45:00+05:30,74.8,74.95,74.8,74.85,92865
2016-10-05T11:00:00+05:30,74.85,75.0,74.85,75.0,89930
2016-10-05T11:15:00+05:30,75.0,75.35,74.9,74.95,265407
2016-10-05T11:30:00+05:30,74.9,75.1,74.8,74.9,101822
2016-10-05T11:45:00+05:30,74.9,74.95,74.7,74.75,92987
2016-10-05T12:00:00+05:30,74.75,74.75,74.45,74.5,145601
2016-10-05T12:15:00+05:30,74.55,74.55,74.15,74.4,153455
2016-10-05T12:30:00+05:30,74.45,74.5,74.1,74.25,246926
2016-10-05T12:45:00+05:30,74.25,74.65,74.2,74.4,190769
2016-10-05T13:00:00+05:30,74.45,74.7,74.3,74.5,260680
2016-10-05T13:15:00+05:30,74.55,74.7,74.35,74.45,123301
2016-10-05T13:30:00+05:30,74.45,74.65,74.35,74.65,343270
2016-10-05T13:45:00+05:30,74.55,74.8,74.4,74.8,186660
2016-10-05T14:00:00+05:30,74.8,74.9,74.35,74.45,238655
2016-10-05T14:15:00+05:30,74.5,74.7,74.2,74.45,428960
2016-10-05T14:30:00+05:30,74.5,74.7,74.4,74.45,232617
2016-10-05T14:45:00+05:30,74.4,74.55,74.3,74.5,127747
2016-10-05T15:00:00+05:30,74.45,74.5,74.25,74.4,357633
2016-10-05T15:15:00+05:30,74.4,74.6,73.95,74.3,1056605
2016-10-06T09:15:00+05:30,74.35,74.7,74.0,74.25,216014
2016-10-06T09:30:00+05:30,74.2,74.3,73.75,74.15,207791
2016-10-06T09:45:00+05:30,74.1,74.5,74.05,74.4,314962
2016-10-06T10:00:00+05:30,74.4,74.4,74.1,74.2,60273
2016-10-06T10:15:00+05:30,74.25,74.35,73.9,74.1,87883
2016-10-06T10:30:00+05:30,74.1,74.5,74.0,74.5,198971
2016-10-06T10:45:00+05:30,74.45,74.45,74.05,74.2,195750
2016-10-06T11:00:00+05:30,74.25,74.4,74.05,74.05,94923
2016-10-06T11:15:00+05:30,74.1,74.2,74.0,74.05,82235
2016-10-06T11:30:00+05:30,73.95,74.15,73.95,74.15,36002
2016-10-06T11:45:00+05:30,74.1,74.25,73.85,74.0,247836
2016-10-06T12:00:00+05:30,73.95,74.2,73.9,74.15,60088
2016-10-06T12:15:00+05:30,74.15,74.4,74.05,74.35,351337
2016-10-06T12:30:00+05:30,74.35,74.4,74.1,74.3,514483
2016-10-06T12:45:00+05:30,74.3,74.35,74.2,74.3,45411
2016-10-06T13:00:00+05:30,74.25,74.45,74.2,74.4,111666
2016-10-06T13:15:00+05:30,74.4,74.4,74.1,74.15,120653
2016-10-06T13:30:00+05:30,74.1,74.1,73.5,73.6,291737
2016-10-06T13:45:00+05:30,73.65,73.9,73.4,73.5,150175
2016-10-06T14:00:00+05:30,73.5,73.55,73.1,73.4,196936
2016-10-06T14:15:00+05:30,73.5,73.55,73.2,73.4,95086
2016-10-06T14:30:00+05:30,73.4,73.4,72.6,72.95,232899
2016-10-06T14:45:00+05:30,73.0,73.1,72.55,72.6,168987
2016-10-06T15:00:00+05:30,72.65,73.2,72.5,73.15,216473
2016-10-06T15:15:00+05:30,73.2,73.4,73.05,73.05,269388
2016-10-07T09:15:00+05:30,73.35,73.6,72.85,73.6,226256
2016-10-07T09:30:00+05:30,73.5,73.6,73.0,73.0,131358
2016-10-07T09:45:00+05:30,73.1,73.2,72.95,72.95,97860
2016-10-07T10:00:00+05:30,73.0,73.25,72.85,73.15,125533
2016-10-07T10:15:00+05:30,73.2,73.3,73.0,73.05,77204
2016-10-07T10:30:00+05:30,73.1,73.15,73.0,73.0,44160
2016-10-07T10:45:00+05:30,73.0,73.15,72.9,73.1,95654
2016-10-07T11:00:00+05:30,73.1,73.2,73.05,73.1,38921
2016-10-07T11:15:00+05:30,73.1,73.15,72.9,72.95,71451
2016-10-07T11:30:00+05:30,72.95,73.0,72.8,72.85,81729
2016-10-07T11:45:00+05:30,72.9,73.0,72.8,72.9,63170
2016-10-07T12:00:00+05:30,73.0,73.0,72.9,73.0,54268
2016-10-07T12:15:00+05:30,73.0,73.0,72.85,72.95,147868
2016-10-07T12:30:00+05:30,72.95,73.15,72.85,73.1,348347
2016-10-07T12:45:00+05:30,73.1,73.15,73.0,73.05,59044
2016-10-07T13:00:00+05:30,73.0,73.05,72.65,72.8,101868
2016-10-07T13:15:00+05:30,72.7,72.95,72.65,72.95,84723
2016-10-07T13:30:00+05:30,72.85,73.2,72.8,73.1,132161
2016-10-07T13:45:00+05:30,73.05,73.2,73.0,73.0,78401
