datetime,open,high,low,close,volume
2016-10-03T09:15:00+05:30,104.89,105.69,104.5,105.27,602172
2016-10-03T09:30:00+05:30,105.24,105.33,104.53,105.13,421468
2016-10-03T09:45:00+05:30,105.19,105.86,105.19,105.5,159987
2016-10-03T10:00:00+05:30,105.5,106.54,105.47,106.38,297379
2016-10-03T10:15:00+05:30,106.41,107.04,106.33,106.93,332853
2016-10-03T10:30:00+05:30,106.92,107.21,106.79,107.16,214450
2016-10-03T10:45:00+05:30,107.17,107.52,107.1,107.3,228359
2016-10-03T11:00:00+05:30,107.3,107.31,106.83,107.04,535726
2016-10-03T11:15:00+05:30,107.04,107.1,106.85,106.89,276351
2016-10-03T11:30:00+05:30,106.88,107.11,106.85,106.88,409791
2016-10-03T11:45:00+05:30,106.88,107.02,106.88,106.92,104619
2016-10-03T12:00:00+05:30,106.88,107.14,106.5,106.88,865715
2016-10-03T12:15:00+05:30,106.88,107.41,106.88,107.03,479446
2016-10-03T12:30:00+05:30,107.03,107.35,107.02,107.28,752996
2016-10-03T12:45:00+05:30,107.28,107.8,107.17,107.63,430123
2016-10-03T13:00:00+05:30,107.62,107.94,107.41,107.7,352114
2016-10-03T13:15:00+05:30,107.69,107.97,107.65,107.8,289732
2016-10-03T13:30:00+05:30,107.82,107.83,107.72,107.75,84349
2016-10-03T13:45:00+05:30,107.72,107.76,107.65,107.65,357651
2016-10-03T14:00:00+05:30,107.65,107.92,107.65,107.73,281097
2016-10-03T14:15:00+05:30,107.73,107.93,107.72,107.83,222431
2016-10-03T14:30:00+05:30,107.8,108.1,107.8,107.93,382679
2016-10-03T14:45:00+05:30,107.94,108.28,107.72,108.25,358606
2016-10-03T15:00:00+05:30,108.23,108.87,108.14,108.7,1369319
2016-10-03T15:15:00+05:30,108.7,109.04,107.94,108.52,587207
2016-10-04T09:15:00+05:30,108.56,110.35,108.56,110.21,812542
2016-10-04T09:30:00+05:30,110.21,111.38,110.18,111.12,2638428
2016-10-04T09:45:00+05:30,111.12,112.09,111.11,111.94,1670844
2016-10-04T10:00:00+05:30,111.94,112.99,111.94,112.15,1984573
2016-10-04T10:15:00+05:30,112.13,112.19,111.73,111.77,485830
2016-10-04T10:30:00+05:30,111.75,111.88,111.4,111.85,365111
2016-10-04T10:45:00+05:30,111.85,112.85,111.83,112.8,1028765
2016-10-04T11:00:00+05:30,112.78,113.26,112.75,113.08,1124591
2016-10-04T11:15:00+05:30,113.08,114.19,112.99,113.77,2322325
2016-10-04T11:30:00+05:30,113.78,114.58,113.63,114.44,1376463
2016-10-04T11:45:00+05:30,114.44,115.88,114.26,114.68,2947155
2016-10-04T12:00:00+05:30,114.68,115.21,114.37,114.55,2130929
2016-10-04T12:15:00+05:30,114.51,114.55,113.91,114.12,850857
