datetime,open,high,low,close,volume
2016-10-03T09:15:00+05:30,320.25,321.24,319.1,319.48,150720
2016-10-03T09:30:00+05:30,319.62,321.47,319.35,321.0,100296
2016-10-03T09:45:00+05:30,321.1,321.48,320.75,320.77,85504
2016-10-03T10:00:00+05:30,320.93,321.33,320.75,321.05,99284
2016-10-03T10:15:00+05:30,321.19,322.0,320.85,321.9,148840
2016-10-03T10:30:00+05:30,321.75,321.98,320.84,321.14,71608
2016-10-03T10:45:00+05:30,321.23,321.55,320.89,321.25,69988
2016-10-03T11:00:00+05:30,321.2,321.97,321.13,321.75,114380
2016-10-03T11:15:00+05:30,321.75,322.0,320.85,321.25,90272
2016-10-03T11:30:00+05:30,321.19,321.88,321.18,321.58,85296
2016-10-03T11:45:00+05:30,321.63,321.98,321.32,321.57,75144
2016-10-03T12:00:00+05:30,321.58,321.6,321.25,321.35,49668
2016-10-03T12:15:00+05:30,321.33,321.48,321.25,321.37,54656
2016-10-03T12:30:00+05:30,321.37,321.43,320.8,321.38,61960
2016-10-03T12:45:00+05:30,321.43,321.62,321.18,321.45,271764
2016-10-03T13:00:00+05:30,321.45,321.73,321.04,321.52,280292
2016-10-03T13:15:00+05:30,321.59,321.59,320.95,321.38,523800
2016-10-03T13:30:00+05:30,321.38,321.55,321.02,321.14,274592
2016-10-03T13:45:00+05:30,321.24,321.58,321.08,321.25,71880
2016-10-03T14:00:00+05:30,321.27,321.44,320.84,321.0,97612
2016-10-03T14:15:00+05:30,321.0,321.02,320.5,320.8,128932
2016-10-03T14:30:00+05:30,320.8,321.02,320.49,320.75,175912
2016-10-03T14:45:00+05:30,320.73,321.72,320.73,321.18,192548
2016-10-03T15:00:00+05:30,321.18,322.0,321.04,321.83,239384
2016-10-03T15:15:00+05:30,321.83,322.48,321.54,321.8,384592
2016-10-04T09:15:00+05:30,322.15,323.75,321.8,322.38,134048
2016-10-04T09:30:00+05:30,322.42,322.57,321.64,321.85,37084
2016-10-04T09:45:00+05:30,322.0,322.0,321.55,321.79,21376
2016-10-04T10:00:00+05:30,321.87,322.18,321.54,321.78,36436
2016-10-04T10:15:00+05:30,321.85,322.07,321.58,321.75,27964
2016-10-04T10:30:00+05:30,321.6,321.8,321.25,321.49,134096
