datetime,open,high,low,close,volume
2016-10-03T09:15:00+05:30,189.25,192.22,189.25,192.07,338382
2016-10-03T09:30:00+05:30,192.22,193.11,192.0,192.75,612912
2016-10-03T09:45:00+05:30,192.89,192.89,191.71,192.22,280510
2016-10-03T10:00:00+05:30,192.11,192.53,191.93,192.45,147240
2016-10-03T10:15:00+05:30,192.45,192.8,192.0,192.38,101721
2016-10-03T10:30:00+05:30,192.38,192.58,191.35,192.27,281992
2016-10-03T10:45:00+05:30,192.4,192.8,192.0,192.51,131371
2016-10-03T11:00:00+05:30,192.49,192.71,192.09,192.25,133032
2016-10-03T11:15:00+05:30,192.22,192.31,191.25,191.35,150636
2016-10-03T11:30:00+05:30,191.35,191.78,191.05,191.38,189451
2016-10-03T11:45:00+05:30,191.29,191.78,191.2,191.55,57142
2016-10-03T12:00:00+05:30,191.65,191.67,191.15,191.49,58107
2016-10-03T12:15:00+05:30,191.51,192.2,191.4,192.05,82594
2016-10-03T12:30:00+05:30,192.05,192.31,191.15,191.93,147373
2016-10-03T12:45:00+05:30,191.95,192.31,191.62,191.87,168970
2016-10-03T13:00:00+05:30,191.87,192.67,191.8,192.51,180493
2016-10-03T13:15:00+05:30,192.51,192.8,191.65,191.67,204972
2016-10-03T13:30:00+05:30,191.67,192.53,191.67,192.42,107508
2016-10-03T13:45:00+05:30,192.42,192.8,192.18,192.58,151159
2016-10-03T14:00:00+05:30,192.58,192.73,192.2,192.33,75772
2016-10-03T14:15:00+05:30,192.33,192.67,192.2,192.6,83200
2016-10-03T14:30:00+05:30,192.67,192.75,192.27,192.35,166390
2016-10-03T14:45:00+05:30,192.42,192.89,192.31,192.42,242553
2016-10-03T15:00:00+05:30,192.42,192.67,192.25,192.25,296392
2016-10-03T15:15:00+05:30,192.22,192.45,191.4,192.22,392577
2016-10-04T09:15:00+05:30,193.33,193.65,191.58,192.82,302056
2016-10-04T09:30:00+05:30,192.78,194.42,192.45,194.11,635766
2016-10-04T09:45:00+05:30,194.09,194.58,193.6,194.42,298759
2016-10-04T10:00:00+05:30,194.42,194.85,194.09,194.13,351154
2016-10-04T10:15:00+05:30,194.13,195.0,194.0,194.65,267358
2016-10-04T10:30:00+05:30,194.6,194.75,192.07,193.11,288651
2016-10-04T10:45:00+05:30,193.07,193.51,192.33,192.98,172326
2016-10-04T11:00:00+05:30,192.98,193.45,192.71,193.07,142510
2016-10-04T11:15:00+05:30,192.93,193.87,192.91,193.45,213360
2016-10-04T11:30:00+05:30,193.45,193.78,193.0,193.73,151837
2016-10-04T11:45:00+05:30,193.73,193.75,193.2,193.49,123141
2016-10-04T12:00:00+05:30,193.49,193.49,192.25,192.38,85444
2016-10-04T12:15:00+05:30,192.38,192.45,191.4,192.15,151482
2016-10-04T12:30:00+05:30,192.27,192.55,191.78,192.55,97963
2016-10-04T12:45:00+05:30,192.58,193.33,192.58,193.07,111363
2016-10-04T13:00:00+05:30,193.07,193.29,192.05,192.22,113626
2016-10-04T13:15:00+05:30,192.22,192.69,192.15,192.6,63360
2016-10-04T13:30:00+05:30,192.62,193.13,191.78,191.8,152415
2016-10-04T13:45:00+05:30,191.85,192.87,191.78,192.87,182370
2016-10-04T14:00:00+05:30,192.85,193.31,192.35,192.35,225970
2016-10-04T14:15:00+05:30,192.27,192.8,192.05,192.49,115716
2016-10-04T14:30:00+05:30,192.47,192.95,192.11,192.29,132573
2016-10-04T14:45:00+05:30,192.4,193.09,192.05,192.95,165255
2016-10-04T15:00:00+05:30,192.89,193.33,192.67,192.75,285456
2016-10-04T15:15:00+05:30,192.8,193.33,192.6,193.02,512001
2016-10-05T09:15:00+05:30,191.8,192.45,189.33,190.8,424213
