datetime,open,high,low,close,volume
2016-10-03T09:15:00+05:30,47.89,47.89,47.24,47.39,1246152
2016-10-03T09:30:00+05:30,47.39,47.56,47.27,47.41,791702
2016-10-03T09:45:00+05:30,47.36,47.56,47.24,47.44,811214
2016-10-03T10:00:00+05:30,47.41,47.92,47.39,47.74,971037
2016-10-03T10:15:00+05:30,47.77,47.95,47.74,47.86,392695
2016-10-03T10:30:00+05:30,47.83,47.86,47.68,47.8,264054
2016-10-03T10:45:00+05:30,47.77,48.25,47.74,48.04,505519
2016-10-03T11:00:00+05:30,48.01,48.19,47.92,47.95,304384
2016-10-03T11:15:00+05:30,47.95,48.07,47.74,47.83,348738
2016-10-03T11:30:00+05:30,47.83,47.89,47.74,47.77,224554
2016-10-03T11:45:00+05:30,47.77,47.98,47.71,47.92,182793
2016-10-03T12:00:00+05:30,47.92,47.95,47.77,47.83,122182
2016-10-03T12:15:00+05:30,47.8,47.89,47.77,47.83,165115
2016-10-03T12:30:00+05:30,47.83,47.86,47.77,47.83,71000
2016-10-03T12:45:00+05:30,47.8,47.86,47.77,47.86,156974
2016-10-03T13:00:00+05:30,47.86,47.92,47.83,47.86,138425
2016-10-03T13:15:00+05:30,47.83,47.89,47.83,47.86,205848
2016-10-03T13:30:00+05:30,47.83,47.92,47.83,47.92,129242
2016-10-03T13:45:00+05:30,47.89,47.98,47.86,47.92,97515
2016-10-03T14:00:00+05:30,47.95,47.98,47.86,47.89,168507
2016-10-03T14:15:00+05:30,47.89,47.92,47.83,47.86,147220
2016-10-03T14:30:00+05:30,47.86,47.95,47.83,47.95,268750
2016-10-03T14:45:00+05:30,47.95,48.49,47.92,48.37,1036759
2016-10-03T15:00:00+05:30,48.4,48.64,48.31,48.58,953441
2016-10-03T15:15:00+05:30,48.58,48.67,48.43,48.49,859789
2016-10-04T09:15:00+05:30,48.13,48.64,48.13,48.58,831214
2016-10-04T09:30:00+05:30,48.58,48.58,48.19,48.25,334890
2016-10-04T09:45:00+05:30,48.22,48.37,48.19,48.28,173003
2016-10-04T10:00:00+05:30,48.25,48.34,48.22,48.25,121739
2016-10-04T10:15:00+05:30,48.28,48.28,48.1,48.1,222091
2016-10-04T10:30:00+05:30,48.13,48.19,48.01,48.1,193568
2016-10-04T10:45:00+05:30,48.07,48.13,48.07,48.07,52222
2016-10-04T11:00:00+05:30,48.07,48.16,47.98,48.07,192940
2016-10-04T11:15:00+05:30,48.07,48.1,47.98,48.1,111719
2016-10-04T11:30:00+05:30,48.07,48.13,47.89,47.92,182053
2016-10-04T11:45:00+05:30,47.92,48.07,47.89,47.98,154812
2016-10-04T12:00:00+05:30,47.95,48.7,47.95,48.67,592380
2016-10-04T12:15:00+05:30,48.7,48.79,48.37,48.43,711083
2016-10-04T12:30:00+05:30,48.43,48.76,48.43,48.76,316420
2016-10-04T12:45:00+05:30,48.73,48.76,48.64,48.73,179067
2016-10-04T13:00:00+05:30,48.73,48.97,48.7,48.88,556212
2016-10-04T13:15:00+05:30,48.88,48.94,48.7,48.82,407002
2016-10-04T13:30:00+05:30,48.85,48.85,48.55,48.58,207287
2016-10-04T13:45:00+05:30,48.58,48.79,48.58,48.67,139291
2016-10-04T14:00:00+05:30,48.73,48.73,48.46,48.46,199700
2016-10-04T14:15:00+05:30,48.46,48.46,48.25,48.28,311383
2016-10-04T14:30:00+05:30,48.28,48.58,48.28,48.43,662121
2016-10-04T14:45:00+05:30,48.43,48.55,48.31,48.49,481210
2016-10-04T15:00:00+05:30,48.49,48.7,48.4,48.67,713967
2016-10-04T15:15:00+05:30,48.7,48.7,48.4,48.55,839644
2016-10-05T09:15:00+05:30,49.21,49.39,48.97,49.15,1789461
2016-10-05T09:30:00+05:30,49.15,49.21,48.79,48.94,709962
2016-10-05T09:45:00+05:30,48.97,49.03,48.79,48.91,475702
2016-10-05T10:00:00+05:30,48.88,48.91,48.67,48.73,374526
2016-10-05T10:15:00+05:30,48.73,48.76,48.49,48.64,506440
2016-10-05T10:30:00+05:30,48.7,48.7,48.52,48.55,293019
2016-10-05T10:45:00+05:30,48.58,48.64,48.55,48.58,192304
2016-10-05T11:00:00+05:30,48.58,48.61,48.55,48.58,202940
2016-10-05T11:15:00+05:30,48.58,48.61,48.55,48.58,258998
2016-10-05T11:30:00+05:30,48.58,48.73,48.55,48.7,335235
2016-10-05T11:45:00+05:30,48.73,48.73,48.52,48.52,182715
2016-10-05T12:00:00+05:30,48.52,48.55,48.34,48.55,316679
2016-10-05T12:15:00+05:30,48.52,48.55,48.4,48.49,168164
2016-10-05T12:30:00+05:30,48.49,48.49,48.4,48.46,143034
2016-10-05T12:45:00+05:30,48.46,48.49,47.71,47.77,2397313
2016-10-05T13:00:00+05:30,47.77,47.86,47.77,47.83,1311496
2016-10-05T13:15:00+05:30,47.83,47.92,47.8,47.89,432118
2016-10-05T13:30:00+05:30,47.92,47.92,47.8,47.83,1818830
2016-10-05T13:45:00+05:30,47.83,47.83,47.8,47.83,352736
2016-10-05T14:00:00+05:30,47.8,47.86,47.71,47.74,644468
2016-10-05T14:15:00+05:30,47.74,47.8,47.53,47.8,870801
2016-10-05T14:30:00+05:30,47.8,47.89,47.71,47.77,1097010
2016-10-05T14:45:00+05:30,47.77,47.8,47.71,47.77,453478
2016-10-05T15:00:00+05:30,47.77,47.83,47.71,47.83,985195
2016-10-05T15:15:00+05:30,47.86,47.89,47.71,47.8,1561144
2016-10-06T09:15:00+05:30,47.86,48.13,47.83,48.01,695197
2016-10-06T09:30:00+05:30,48.04,48.04,47.92,48.01,356734
2016-10-06T09:45:00+05:30,48.01,48.04,47.89,47.92,334182
2016-10-06T10:00:00+05:30,47.86,47.98,47.83,47.98,187366
2016-10-06T10:15:00+05:30,47.95,47.98,47.86,47.95,398341
2016-10-06T10:30:00+05:30,47.98,48.01,47.89,48.01,151031
2016-10-06T10:45:00+05:30,47.98,48.31,47.92,48.04,709999
2016-10-06T11:00:00+05:30,48.01,48.16,48.01,48.13,161591
2016-10-06T11:15:00+05:30,48.13,48.19,48.01,48.1,647966
2016-10-06T11:30:00+05:30,48.07,48.13,47.98,48.01,224510
2016-10-06T11:45:00+05:30,48.04,48.1,48.01,48.1,67715
2016-10-06T12:00:00+05:30,48.1,48.1,47.95,48.01,96467
2016-10-06T12:15:00+05:30,48.01,48.01,47.95,47.98,73103
2016-10-06T12:30:00+05:30,47.98,48.04,47.92,48.01,94933
2016-10-06T12:45:00+05:30,47.98,48.01,47.83,47.92,360695
