datetime,open,high,low,close,volume
2016-10-03T09:15:00+05:30,81.3,81.35,78.85,79.25,1624105
2016-10-03T09:30:00+05:30,79.2,79.7,79.05,79.65,870067
2016-10-03T09:45:00+05:30,79.65,80.0,79.5,79.55,640980
2016-10-03T10:00:00+05:30,79.55,80.15,79.5,80.05,763481
2016-10-03T10:15:00+05:30,80.1,80.75,79.85,80.6,637275
2016-10-03T10:30:00+05:30,80.6,80.95,80.35,80.6,615380
2016-10-03T10:45:00+05:30,80.5,80.65,79.85,80.1,452961
2016-10-03T11:00:00+05:30,80.0,80.4,80.0,80.15,230956
2016-10-03T11:15:00+05:30,80.1,80.15,79.2,79.3,570795
2016-10-03T11:30:00+05:30,79.2,79.5,79.1,79.5,332190
2016-10-03T11:45:00+05:30,79.4,79.6,79.3,79.5,194276
2016-10-03T12:00:00+05:30,79.4,79.55,79.3,79.4,187064
2016-10-03T12:15:00+05:30,79.4,79.7,79.4,79.65,122824
2016-10-03T12:30:00+05:30,79.65,79.7,79.3,79.35,221863
2016-10-03T12:45:00+05:30,79.35,79.45,79.2,79.4,219875
2016-10-03T13:00:00+05:30,79.45,79.7,79.4,79.6,195501
2016-10-03T13:15:00+05:30,79.6,79.75,79.0,79.25,469881
2016-10-03T13:30:00+05:30,79.3,79.3,78.85,78.95,471601
2016-10-03T13:45:00+05:30,78.95,79.25,78.9,78.95,342476
2016-10-03T14:00:00+05:30,78.9,79.0,78.8,78.9,318815
2016-10-03T14:15:00+05:30,78.9,79.3,78.9,79.25,261303
2016-10-03T14:30:00+05:30,79.25,79.3,79.05,79.15,244961
2016-10-03T14:45:00+05:30,79.15,79.15,78.85,79.05,464692
2016-10-03T15:00:00+05:30,79.05,79.05,78.75,78.9,540253
2016-10-03T15:15:00+05:30,78.9,79.0,78.75,78.85,1009217
2016-10-04T09:15:00+05:30,79.4,79.65,78.85,79.25,734511
2016-10-04T09:30:00+05:30,79.3,79.4,78.75,79.1,408187
2016-10-04T09:45:00+05:30,79.1,79.15,78.4,78.45,340684
2016-10-04T10:00:00+05:30,78.5,78.8,78.45,78.8,185851
2016-10-04T10:15:00+05:30,78.8,78.8,78.55,78.6,138219
2016-10-04T10:30:00+05:30,78.65,78.65,78.2,78.65,206820
2016-10-04T10:45:00+05:30,78.6,78.75,78.55,78.7,131236
2016-10-04T11:00:00+05:30,78.7,78.8,78.55,78.8,180347
2016-10-04T11:15:00+05:30,78.8,78.8,78.65,78.75,141575
2016-10-04T11:30:00+05:30,78.8,78.8,78.6,78.8,117207
2016-10-04T11:45:00+05:30,78.8,78.8,78.6,78.6,106464
2016-10-04T12:00:00+05:30,78.6,78.8,78.6,78.75,57654
2016-10-04T12:15:00+05:30,78.75,78.75,78.65,78.7,82766
2016-10-04T12:30:00+05:30,78.65,78.75,78.55,78.6,126400
2016-10-04T12:45:00+05:30,78.6,79.65,78.6,79.45,838403
2016-10-04T13:00:00+05:30,79.5,79.5,78.8,78.8,306626
2016-10-04T13:15:00+05:30,78.85,79.1,78.75,78.95,219569
2016-10-04T13:30:00+05:30,78.95,78.95,78.55,78.6,293727
2016-10-04T13:45:00+05:30,78.6,78.9,78.6,78.8,208930
2016-10-04T14:00:00+05:30,78.8,78.85,78.5,78.5,299337
2016-10-04T14:15:00+05:30,78.45,78.65,78.0,78.45,471840
2016-10-04T14:30:00+05:30,78.5,79.25,78.05,78.5,1101066
2016-10-04T14:45:00+05:30,78.55,78.85,78.1,78.7,594743
2016-10-04T15:00:00+05:30,78.75,78.95,78.2,78.85,711184
2016-10-04T15:15:00+05:30,78.8,78.95,78.15,78.65,1361904
2016-10-05T09:15:00+05:30,79.0,79.1,77.95,78.2,725211
2016-10-05T09:30:00+05:30,78.2,78.35,77.1,77.3,1031164
2016-10-05T09:45:00+05:30,77.25,77.5,76.9,76.9,546658
2016-10-05T10:00:00+05:30,76.9,77.1,76.9,77.0,698247
2016-10-05T10:15:00+05:30,76.95,77.0,76.3,76.8,581205
2016-10-05T10:30:00+05:30,76.75,76.85,76.1,76.4,747090
2016-10-05T10:45:00+05:30,76.35,76.55,76.35,76.35,290698
2016-10-05T11:00:00+05:30,76.4,76.75,76.3,76.7,205423
2016-10-05T11:15:00+05:30,76.75,76.95,76.55,76.95,368684
2016-10-05T11:30:00+05:30,77.0,77.0,76.8,76.8,179109
2016-10-05T11:45:00+05:30,76.85,76.9,76.7,76.7,179769
2016-10-05T12:00:00+05:30,76.8,76.8,76.35,76.5,355768
2016-10-05T12:15:00+05:30,76.5,76.5,76.4,76.4,157442
2016-10-05T12:30:00+05:30,76.4,76.45,76.1,76.2,309765
2016-10-05T12:45:00+05:30,76.2,76.5,76.15,76.45,300058
2016-10-05T13:00:00+05:30,76.5,76.6,76.35,76.5,372092
2016-10-05T13:15:00+05:30,76.5,76.65,76.5,76.6,228576
2016-10-05T13:30:00+05:30,76.55,76.8,76.15,76.5,550129
2016-10-05T13:45:00+05:30,76.5,76.95,76.45,76.65,288578
2016-10-05T14:00:00+05:30,76.65,77.4,76.6,76.8,2080241
2016-10-05T14:15:00+05:30,76.9,77.05,76.4,76.4,1485042
2016-10-05T14:30:00+05:30,76.45,76.5,76.0,76.45,1570836
2016-10-05T14:45:00+05:30,76.4,76.6,76.35,76.45,453965
2016-10-05T15:00:00+05:30,76.45,76.5,76.25,76.35,925120
2016-10-05T15:15:00+05:30,76.35,76.4,76.0,76.3,1295864
2016-10-06T09:15:00+05:30,76.7,76.7,74.85,74.95,997922
2016-10-06T09:30:00+05:30,74.95,75.0,74.65,74.75,704373
2016-10-06T09:45:00+05:30,74.75,74.8,74.35,74.55,637162
2016-10-06T10:00:00+05:30,74.5,74.7,74.5,74.65,450502
2016-10-06T10:15:00+05:30,74.65,74.7,74.05,74.15,624329
2016-10-06T10:30:00+05:30,74.15,74.65,74.1,74.6,268025
2016-10-06T10:45:00+05:30,74.55,74.7,74.5,74.55,224273
2016-10-06T11:00:00+05:30,74.6,74.65,74.5,74.55,178159
2016-10-06T11:15:00+05:30,74.55,74.6,74.25,74.35,253727
2016-10-06T11:30:00+05:30,74.35,74.5,74.3,74.4,208850
2016-10-06T11:45:00+05:30,74.4,74.45,74.0,74.2,537740
2016-10-06T12:00:00+05:30,74.2,74.3,74.15,74.3,214473
2016-10-06T12:15:00+05:30,74.3,74.4,74.25,74.3,258477
2016-10-06T12:30:00+05:30,74.3,74.35,73.8,73.8,694778
2016-10-06T12:45:00+05:30,73.85,74.05,73.8,74.0,617532
2016-10-06T13:00:00+05:30,73.95,74.0,73.8,74.0,264252
2016-10-06T13:15:00+05:30,73.95,74.05,73.65,73.8,869289
2016-10-06T13:30:00+05:30,73.8,74.05,73.5,73.7,1086220
2016-10-06T13:45:00+05:30,73.7,73.8,73.5,73.55,483636
2016-10-06T14:00:00+05:30,73.55,73.6,73.15,73.5,521367
2016-10-06T14:15:00+05:30,73.45,73.95,73.45,73.85,488797
2016-10-06T14:30:00+05:30,73.85,73.85,73.2,73.3,353104
2016-10-06T14:45:00+05:30,73.35,73.4,73.0,73.25,474493
2016-10-06T15:00:00+05:30,73.25,73.6,73.25,73.5,678469
2016-10-06T15:15:00+05:30,73.5,73.8,73.4,73.5,916173
2016-10-07T09:15:00+05:30,73.5,74.5,72.8,74.45,1230100
2016-10-07T09:30:00+05:30,74.45,74.9,73.9,74.0,957941
2016-10-07T09:45:00+05:30,73.95,74.15,73.75,73.95,485415
2016-10-07T10:00:00+05:30,73.95,74.2,73.9,74.1,290650
2016-10-07T10:15:00+05:30,74.1,74.5,74.1,74.25,344720
2016-10-07T10:30:00+05:30,74.25,74.3,74.0,74.1,186552
2016-10-07T10:45:00+05:30,74.15,74.2,74.0,74.15,131640
2016-10-07T11:00:00+05:30,74.2,74.55,74.15,74.4,433946
2016-10-07T11:15:00+05:30,74.4,74.4,73.7,73.9,337192
2016-10-07T11:30:00+05:30,73.95,73.95,73.3,73.45,260412
2016-10-07T11:45:00+05:30,73.4,73.7,73.25,73.7,167300
2016-10-07T12:00:00+05:30,73.7,73.7,73.55,73.55,86301
2016-10-07T12:15:00+05:30,73.55,74.0,73.55,73.95,119117
2016-10-07T12:30:00+05:30,73.95,74.0,73.85,73.95,136578
2016-10-07T12:45:00+05:30,73.95,74.0,73.65,73.65,97611
2016-10-07T13:00:00+05:30,73.65,74.0,73.5,73.5,229100
2016-10-07T13:15:00+05:30,73.5,73.85,73.4,73.7,158161
2016-10-07T13:30:00+05:30,73.7,74.0,73.65,73.85,163781
2016-10-07T13:45:00+05:30,73.85,74.0,73.8,73.85,138437
2016-10-07T14:00:00+05:30,73.9,74.0,73.65,73.85,240864
2016-10-07T14:15:00+05:30,73.9,74.0,73.75,74.0,255869
2016-10-07T14:30:00+05:30,74.0,74.1,73.75,73.85,413346
2016-10-07T14:45:00+05:30,73.8,74.0,73.8,73.85,444510
2016-10-07T15:00:00+05:30,73.85,73.9,73.6,73.7,403903
2016-10-07T15:15:00+05:30,73.7,73.75,73.2,73.55,1083997
2016-10-10T09:15:00+05:30,73.7,74.1,73.6,73.6,353698
2016-10-10T09:30:00+05:30,73.6,73.9,73.6,73.9,195682
2016-10-10T09:45:00+05:30,73.95,74.0,73.8,73.95,193646
2016-10-10T10:00:00+05:30,73.9,74.0,73.65,73.65,217162
2016-10-10T10:15:00+05:30,73.65,74.0,73.65,73.95,142220
2016-10-10T10:30:00+05:30,73.95,74.0,73.85,73.9,201819
2016-10-10T10:45:00+05:30,73.9,74.4,73.85,74.1,565290
2016-10-10T11:00:00+05:30,74.05,74.1,73.9,74.05,195152
2016-10-10T11:15:00+05:30,74.0,74.1,74.0,74.05,97703
2016-10-10T11:30:00+05:30,74.05,74.25,74.0,74.25,160664
2016-10-10T11:45:00+05:30,74.2,74.4,74.0,74.05,281343
2016-10-10T12:00:00+05:30,74.0,74.2,74.0,74.1,161732
2016-10-10T12:15:00+05:30,74.05,74.2,74.05,74.1,104666
2016-10-10T12:30:00+05:30,74.15,74.25,74.05,74.05,112052
2016-10-10T12:45:00+05:30,74.05,74.2,74.0,74.0,186003
2016-10-10T13:00:00+05:30,74.0,74.0,73.75,73.8,209010
2016-10-10T13:15:00+05:30,73.8,73.85,73.7,73.75,129868
2016-10-10T13:30:00+05:30,73.75,73.8,73.65,73.75,103907
2016-10-10T13:45:00+05:30,73.75,73.75,73.65,73.65,82905
2016-10-10T14:00:00+05:30,73.7,73.95,73.65,73.95,123734
2016-10-10T14:15:00+05:30,73.95,73.95,73.8,73.85,85649
2016-10-10T14:30:00+05:30,73.85,73.9,73.8,73.85,65393
2016-10-10T14:45:00+05:30,73.9,73.9,73.65,73.75,137303
2016-10-10T15:00:00+05:30,73.8,73.85,73.75,73.75,328861
2016-10-10T15:15:00+05:30,73.75,73.9,73.75,73.8,416551
2016-10-13T09:15:00+05:30,73.8,73.85,73.25,73.5,709393
2016-10-13T09:30:00+05:30,73.5,73.8,73.5,73.55,683449
2016-10-13T09:45:00+05:30,73.6,73.6,73.3,73.4,392837
2016-10-13T10:00:00+05:30,73.35,73.4,72.9,73.15,546143
2016-10-13T10:15:00+05:30,73.15,73.35,73.05,73.3,279208
2016-10-13T10:30:00+05:30,73.35,73.5,73.3,73.5,271198
2016-10-13T10:45:00+05:30,73.5,73.5,73.2,73.25,372061
2016-10-13T11:00:00+05:30,73.25,73.25,73.2,73.25,265926
2016-10-13T11:15:00+05:30,73.25,73.25,73.15,73.2,331726
2016-10-13T11:30:00+05:30,73.15,73.2,73.05,73.1,319294
2016-10-13T11:45:00+05:30,73.05,73.1,72.9,72.95,338840
2016-10-13T12:00:00+05:30,72.95,73.4,72.95,73.15,10233754
2016-10-13T12:15:00+05:30,73.15,74.1,73.1,73.95,713175
2016-10-13T12:30:00+05:30,74.0,74.95,73.7,74.0,1410218
2016-10-13T12:45:00+05:30,74.0,74.05,72.95,73.05,771269
2016-10-13T13:00:00+05:30,73.05,73.45,72.95,73.3,383488
2016-10-13T13:15:00+05:30,73.25,73.3,73.05,73.05,277525
2016-10-13T13:30:00+05:30,73.1,73.15,72.8,72.9,641974
2016-10-13T13:45:00+05:30,72.9,73.1,72.85,73.05,404577
2016-10-13T14:00:00+05:30,73.1,73.1,72.95,73.0,574389
2016-10-13T14:15:00+05:30,73.0,73.05,72.95,73.05,669393
2016-10-13T14:30:00+05:30,73.05,73.05,72.95,73.0,653991
2016-10-13T14:45:00+05:30,73.0,73.1,73.0,73.1,463254
2016-10-13T15:00:00+05:30,73.1,74.4,73.1,74.3,1062470
2016-10-13T15:15:00+05:30,74.35,74.95,74.0,74.2,2006064
2016-10-14T09:15:00+05:30,74.95,75.2,74.45,74.55,488427
2016-10-14T09:30:00+05:30,74.55,74.75,74.25,74.6,308681
2016-10-14T09:45:00+05:30,74.6,74.6,74.05,74.05,252268
2016-10-14T10:00:00+05:30,74.05,74.3,74.05,74.15,211235
2016-10-14T10:15:00+05:30,74.2,74.95,74.15,74.95,382056
2016-10-14T10:30:00+05:30,74.95,75.25,74.6,74.7,515328
2016-10-14T10:45:00+05:30,74.75,74.8,74.55,74.6,194621
2016-10-14T11:00:00+05:30,74.6,74.65,74.5,74.55,194335
2016-10-14T11:15:00+05:30,74.5,74.75,74.45,74.65,168871
2016-10-14T11:30:00+05:30,74.65,74.8,74.6,74.65,182228
2016-10-14T11:45:00+05:30,74.6,74.7,74.55,74.7,132785
2016-10-14T12:00:00+05:30,74.65,74.85,74.65,74.8,213979
2016-10-14T12:15:00+05:30,74.85,74.85,74.6,74.7,191884
2016-10-14T12:30:00+05:30,74.7,75.0,74.65,74.85,240351
2016-10-14T12:45:00+05:30,74.85,75.1,74.85,74.95,296233
2016-10-14T13:00:00+05:30,75.0,75.0,74.85,75.0,210693
2016-10-14T13:15:00+05:30,75.0,75.1,74.9,75.0,239676
2016-10-14T13:30:00+05:30,75.0,75.2,74.95,75.15,230136
2016-10-14T13:45:00+05:30,75.15,75.45,74.9,74.9,534357
2016-10-14T14:00:00+05:30,74.95,75.15,74.85,75.15,373910
2016-10-14T14:15:00+05:30,75.1,75.25,75.05,75.25,226894
2016-10-14T14:30:00+05:30,75.2,75.8,75.2,75.65,649687
2016-10-14T14:45:00+05:30,75.6,75.85,75.45,75.75,611090
2016-10-14T15:00:00+05:30,75.75,75.8,75.4,75.55,865141
2016-10-14T15:15:00+05:30,75.5,75.75,75.5,75.65,772629
2016-10-17T09:15:00+05:30,75.95,76.1,75.4,75.9,582816
2016-10-17T09:30:00+05:30,75.8,76.3,75.8,76.25,422561
2016-10-17T09:45:00+05:30,76.3,76.3,75.9,76.05,341505
2016-10-17T10:00:00+05:30,76.05,76.4,76.05,76.35,330108
2016-10-17T10:15:00+05:30,76.3,76.6,76.3,76.5,457487
2016-10-17T10:30:00+05:30,76.45,76.5,76.3,76.45,288868
2016-10-17T10:45:00+05:30,76.4,76.45,76.25,76.3,270944
2016-10-17T11:00:00+05:30,76.35,76.55,76.3,76.55,262455
2016-10-17T11:15:00+05:30,76.55,76.6,76.25,76.35,333379
2016-10-17T11:30:00+05:30,76.3,76.4,75.9,76.0,322873
2016-10-17T11:45:00+05:30,75.95,76.0,75.35,75.4,345688
2016-10-17T12:00:00+05:30,75.45,75.5,74.55,75.15,509622
2016-10-17T12:15:00+05:30,75.15,75.2,74.8,75.1,260772
2016-10-17T12:30:00+05:30,75.1,75.1,74.9,75.0,222404
2016-10-17T12:45:00+05:30,75.0,75.25,74.95,75.0,401943
2016-10-17T13:00:00+05:30,74.95,75.6,74.85,75.55,374674
2016-10-17T13:15:00+05:30,75.55,75.95,75.45,75.95,368837
2016-10-17T13:30:00+05:30,75.95,76.0,75.3,75.35,380963
2016-10-17T13:45:00+05:30,75.35,75.65,75.2,75.5,228842
2016-10-17T14:00:00+05:30,75.55,75.6,75.4,75.45,222460
2016-10-17T14:15:00+05:30,75.45,75.55,75.4,75.5,311648
2016-10-17T14:30:00+05:30,75.5,75.65,75.45,75.5,306498
2016-10-17T14:45:00+05:30,75.5,75.5,75.15,75.3,453537
2016-10-17T15:00:00+05:30,75.25,75.5,75.15,75.25,567222
2016-10-17T15:15:00+05:30,75.2,75.85,75.2,75.4,735248
2016-10-18T09:15:00+05:30,75.85,76.4,75.75,76.05,649722
2016-10-18T09:15:00+05:30,75.85,76.4,75.75,76.05,649722
2016-10-18T09:30:00+05:30,76.0,76.6,76.0,76.5,664695
2016-10-18T09:45:00+05:30,76.45,76.6,76.4,76.55,522355
2016-10-18T10:00:00+05:30,76.5,76.6,76.2,76.4,499393
2016-10-18T10:15:00+05:30,76.35,76.9,76.35,76.45,430940
2016-10-18T10:30:00+05:30,76.45,76.55,76.2,76.3,294612
2016-10-18T10:45:00+05:30,76.3,76.55,76.3,76.55,237442
2016-10-18T11:00:00+05:30,76.5,76.75,76.45,76.5,297722
2016-10-18T11:15:00+05:30,76.45,76.65,76.45,76.6,204541
2016-10-18T11:30:00+05:30,76.6,76.7,76.5,76.7,196442
2016-10-18T11:45:00+05:30,76.7,76.75,76.3,76.4,428768
2016-10-18T12:00:00+05:30,76.4,76.5,76.35,76.45,181544
2016-10-18T12:15:00+05:30,76.45,76.45,76.35,76.4,137716
2016-10-18T12:30:00+05:30,76.4,76.6,76.4,76.4,188852
2016-10-18T12:45:00+05:30,76.4,76.6,76.4,76.55,160635
2016-10-18T13:00:00+05:30,76.5,76.65,76.45,76.5,235575
2016-10-18T13:15:00+05:30,76.5,76.55,76.45,76.55,158809
