datetime,open,high,low,close,volume
2016-10-03T09:15:00+05:30,124.14,124.8,122.92,123.39,9125
2016-10-03T09:30:00+05:30,123.43,124.14,123.11,123.58,12424
2016-10-03T09:45:00+05:30,123.67,123.72,123.06,123.11,9716
2016-10-03T10:00:00+05:30,123.11,123.34,122.73,123.01,3834
2016-10-03T10:15:00+05:30,123.01,123.01,122.87,122.96,1804
2016-10-03T10:30:00+05:30,122.96,123.06,122.68,122.68,41417
2016-10-03T10:45:00+05:30,122.87,123.11,122.59,122.73,12122
2016-10-03T11:00:00+05:30,122.64,122.78,122.35,122.35,4286
2016-10-03T11:15:00+05:30,122.35,122.4,121.93,121.93,2919
2016-10-03T11:30:00+05:30,121.93,122.68,121.93,122.54,1905
2016-10-03T11:45:00+05:30,122.5,122.54,121.79,122.03,3540
2016-10-03T12:00:00+05:30,122.03,122.78,121.88,122.59,510916
2016-10-03T12:15:00+05:30,122.4,122.59,121.98,122.12,8318
2016-10-03T12:30:00+05:30,122.12,122.4,121.98,122.35,16020
2016-10-03T12:45:00+05:30,122.17,122.4,122.17,122.21,5133
2016-10-03T13:00:00+05:30,122.21,122.4,122.17,122.21,2780
2016-10-03T13:15:00+05:30,122.21,122.59,121.93,122.35,11696
2016-10-03T13:30:00+05:30,122.26,122.73,122.12,122.73,5899
2016-10-03T13:45:00+05:30,122.59,123.39,122.12,123.2,23380
2016-10-03T14:00:00+05:30,123.15,123.81,123.06,123.62,16909
2016-10-03T14:15:00+05:30,123.62,123.86,123.29,123.43,19200
2016-10-03T14:30:00+05:30,123.34,123.9,123.15,123.72,11120
2016-10-03T14:45:00+05:30,123.72,123.76,123.25,123.43,10326
2016-10-03T15:00:00+05:30,123.34,123.95,123.11,123.72,37489
2016-10-03T15:15:00+05:30,123.67,123.9,122.31,123.34,44329
2016-10-04T09:15:00+05:30,122.31,123.95,122.31,123.25,7142
2016-10-04T09:30:00+05:30,123.2,123.29,122.82,122.92,4055
2016-10-04T09:45:00+05:30,122.87,123.06,122.59,122.87,2960
2016-10-04T10:00:00+05:30,122.87,122.92,122.68,122.82,3467
2016-10-04T10:15:00+05:30,122.78,122.82,122.35,122.54,7079
2016-10-04T10:30:00+05:30,122.4,122.54,122.4,122.4,1855
2016-10-04T10:45:00+05:30,122.4,122.5,121.98,121.98,6396
2016-10-04T11:00:00+05:30,121.98,122.54,121.98,122.31,14119
2016-10-04T11:15:00+05:30,122.17,122.45,122.17,122.45,5348
2016-10-04T11:30:00+05:30,122.31,122.45,122.17,122.45,11538
2016-10-04T11:45:00+05:30,122.35,122.5,122.17,122.17,3060
2016-10-04T12:00:00+05:30,122.17,122.35,122.17,122.31,3988
2016-10-04T12:15:00+05:30,122.21,122.31,122.17,122.17,3979
2016-10-04T12:30:00+05:30,122.17,122.31,122.17,122.21,3269
2016-10-04T12:45:00+05:30,122.21,122.31,122.17,122.21,3563
2016-10-04T13:00:00+05:30,122.21,122.31,122.17,122.21,5275
2016-10-04T13:15:00+05:30,122.17,122.21,122.17,122.21,6365
2016-10-04T13:30:00+05:30,122.17,122.21,121.65,121.88,10104
2016-10-04T13:45:00+05:30,121.79,122.17,121.7,121.88,5928
2016-10-04T14:00:00+05:30,121.79,122.21,121.7,121.88,4804
2016-10-04T14:15:00+05:30,121.74,121.84,121.6,121.65,6798
2016-10-04T14:30:00+05:30,121.65,122.73,121.23,122.59,49042
2016-10-04T14:45:00+05:30,122.59,123.06,122.45,122.54,37507
2016-10-04T15:00:00+05:30,122.54,123.48,122.26,123.48,43008
2016-10-04T15:15:00+05:30,123.29,124.0,123.2,123.2,25484
2016-10-05T09:15:00+05:30,125.17,125.17,123.2,124.14,18805
2016-10-05T09:30:00+05:30,124.14,124.19,123.72,123.72,7492
2016-10-05T09:45:00+05:30,123.76,123.9,123.58,123.58,3780
2016-10-05T10:00:00+05:30,123.58,123.72,123.06,123.58,9431
2016-10-05T10:15:00+05:30,123.58,123.9,123.43,123.58,4893
2016-10-05T10:30:00+05:30,123.58,123.58,123.29,123.43,1550
2016-10-05T10:45:00+05:30,123.43,123.53,123.25,123.29,5354
2016-10-05T11:00:00+05:30,123.29,123.58,123.11,123.2,2796
2016-10-05T11:15:00+05:30,123.15,123.2,122.35,122.35,13381
