datetime,open,high,low,close,volume
2016-10-03T09:15:00+05:30,369.0,369.0,363.5,365.05,58604
2016-10-03T09:30:00+05:30,365.05,366.35,363.7,365.05,55344
2016-10-03T09:45:00+05:30,365.05,366.45,364.0,365.05,118810
2016-10-03T10:00:00+05:30,365.0,366.15,363.9,364.35,63207
2016-10-03T10:15:00+05:30,364.35,365.25,364.15,364.25,37777
2016-10-03T10:30:00+05:30,364.55,364.85,362.35,363.3,64655
2016-10-03T10:45:00+05:30,363.25,363.9,361.25,362.95,50452
2016-10-03T11:00:00+05:30,362.9,363.8,361.6,361.85,46481
2016-10-03T11:15:00+05:30,362.0,363.25,361.85,362.45,43808
2016-10-03T11:30:00+05:30,362.5,363.55,361.65,362.45,50961
2016-10-03T11:45:00+05:30,362.5,363.55,362.0,362.7,56645
2016-10-03T12:00:00+05:30,362.65,363.25,362.1,362.9,39233
2016-10-03T12:15:00+05:30,362.9,363.25,362.15,363.15,41872
2016-10-03T12:30:00+05:30,363.05,363.2,362.15,362.6,50286
2016-10-03T12:45:00+05:30,362.6,362.65,360.6,360.9,59841
2016-10-03T13:00:00+05:30,361.0,361.0,360.2,360.65,49968
2016-10-03T13:15:00+05:30,360.5,361.25,358.85,360.6,75584
2016-10-03T13:30:00+05:30,360.6,361.35,360.25,360.4,55086
2016-10-03T13:45:00+05:30,360.2,360.95,357.8,360.85,66657
2016-10-03T14:00:00+05:30,360.9,362.6,360.8,361.4,57988
2016-10-03T14:15:00+05:30,361.25,362.0,360.25,360.35,57475
2016-10-03T14:30:00+05:30,360.35,360.65,357.1,357.65,89408
2016-10-03T14:45:00+05:30,357.7,362.95,357.65,362.95,135885
2016-10-03T15:00:00+05:30,363.05,363.15,361.8,362.8,147323
2016-10-03T15:15:00+05:30,362.85,364.0,361.65,362.75,132055
2016-10-04T09:15:00+05:30,366.7,369.0,361.25,366.55,264832
2016-10-04T09:30:00+05:30,366.55,367.05,365.2,366.1,77080
2016-10-04T09:45:00+05:30,366.1,367.65,366.0,366.65,88802
2016-10-04T10:00:00+05:30,366.65,366.8,364.25,366.15,97943
2016-10-04T10:15:00+05:30,366.15,366.5,364.6,364.6,76488
2016-10-04T10:30:00+05:30,364.6,366.1,362.3,363.85,133365
2016-10-04T10:45:00+05:30,363.8,365.9,363.45,364.95,73171
2016-10-04T11:00:00+05:30,364.95,366.25,363.0,365.05,163082
2016-10-04T11:15:00+05:30,365.3,365.3,364.15,364.5,48325
2016-10-04T11:30:00+05:30,364.45,364.5,363.95,364.0,65175
2016-10-04T11:45:00+05:30,364.0,364.35,363.9,364.25,73619
2016-10-04T12:00:00+05:30,364.2,364.3,363.9,364.15,59512
2016-10-04T12:15:00+05:30,364.15,364.75,363.8,364.5,73885
2016-10-04T12:30:00+05:30,364.55,364.95,364.2,364.5,66602
2016-10-04T12:45:00+05:30,364.45,364.9,364.25,364.5,59188
2016-10-04T13:00:00+05:30,364.55,364.6,364.4,364.45,106501
2016-10-04T13:15:00+05:30,364.45,364.6,364.35,364.55,70845
2016-10-04T13:30:00+05:30,364.5,364.6,363.65,364.2,75692
2016-10-04T13:45:00+05:30,364.25,365.2,364.0,364.7,65723
2016-10-04T14:00:00+05:30,364.7,364.85,364.0,364.05,67157
2016-10-04T14:15:00+05:30,364.05,364.85,363.9,364.35,105840
2016-10-04T14:30:00+05:30,364.4,372.0,364.25,370.35,233399
2016-10-04T14:45:00+05:30,370.45,371.8,367.5,368.3,98460
2016-10-04T15:00:00+05:30,368.3,370.2,366.6,369.75,112714
2016-10-04T15:15:00+05:30,369.8,370.6,368.3,369.2,95901
2016-10-05T09:15:00+05:30,370.0,372.75,364.65,370.3,87411
2016-10-05T09:30:00+05:30,370.3,376.35,369.95,376.3,105494
2016-10-05T09:45:00+05:30,376.3,378.8,376.3,376.8,120992
2016-10-05T10:00:00+05:30,376.75,378.4,376.5,377.1,62415
2016-10-05T10:15:00+05:30,377.1,378.0,375.5,376.1,85994
2016-10-05T10:30:00+05:30,376.3,376.3,374.25,374.25,46068
2016-10-05T10:45:00+05:30,374.55,374.7,373.5,374.2,28798
2016-10-05T11:00:00+05:30,374.1,374.75,373.75,374.15,25223
2016-10-05T11:15:00+05:30,374.05,374.45,372.8,373.05,36198
2016-10-05T11:30:00+05:30,373.1,376.5,372.9,375.15,50571
2016-10-05T11:45:00+05:30,375.15,375.35,373.9,373.95,30237
2016-10-05T12:00:00+05:30,374.0,374.25,373.5,373.65,17865
2016-10-05T12:15:00+05:30,373.65,373.8,372.8,373.5,22243
2016-10-05T12:30:00+05:30,373.5,373.5,372.0,372.3,29793
2016-10-05T12:45:00+05:30,372.55,374.0,371.8,372.25,49630
2016-10-05T13:00:00+05:30,372.65,373.7,372.25,372.7,23583
2016-10-05T13:15:00+05:30,372.55,372.8,372.0,372.0,21275
2016-10-05T13:30:00+05:30,372.0,372.5,371.65,372.05,22896
2016-10-05T13:45:00+05:30,372.1,372.85,371.7,372.15,23053
2016-10-05T14:00:00+05:30,372.2,372.85,371.75,372.45,24842
2016-10-05T14:15:00+05:30,372.5,373.95,372.45,372.55,24372
2016-10-05T14:30:00+05:30,372.5,373.4,372.5,373.2,20097
2016-10-05T14:45:00+05:30,373.0,373.2,372.3,373.0,19717
2016-10-05T15:00:00+05:30,373.0,377.7,373.0,377.5,100916
2016-10-05T15:15:00+05:30,377.5,377.85,374.3,376.25,116216
2016-10-06T09:15:00+05:30,380.45,384.55,378.4,381.45,142776
2016-10-06T09:30:00+05:30,381.3,381.5,379.7,380.85,60486
2016-10-06T09:45:00+05:30,380.85,382.4,380.25,382.15,51149
2016-10-06T10:00:00+05:30,382.15,382.7,381.2,381.65,224618
2016-10-06T10:15:00+05:30,381.8,382.2,381.0,381.85,24956
