datetime,open,high,low,close,volume
2016-10-03T09:15:00+05:30,146.96,149.35,146.34,149.18,988424
2016-10-03T09:30:00+05:30,149.3,150.86,149.0,150.34,1132520
2016-10-03T09:45:00+05:30,150.34,150.5,149.56,149.93,376716
2016-10-03T10:00:00+05:30,149.91,150.33,149.75,150.33,227552
2016-10-03T10:15:00+05:30,150.34,150.63,150.34,150.46,260772
2016-10-03T10:30:00+05:30,150.48,150.8,150.35,150.8,273072
2016-10-03T10:45:00+05:30,150.79,151.69,150.79,151.25,784196
2016-10-03T11:00:00+05:30,151.25,151.46,151.01,151.11,249856
2016-10-03T11:15:00+05:30,151.1,151.3,150.7,150.7,249844
2016-10-03T11:30:00+05:30,150.75,150.81,150.53,150.58,327404
2016-10-03T11:45:00+05:30,150.56,150.63,150.4,150.49,180924
2016-10-03T12:00:00+05:30,150.5,150.63,150.45,150.63,217720
2016-10-03T12:15:00+05:30,150.63,151.15,150.61,151.0,291552
2016-10-03T12:30:00+05:30,151.0,151.24,150.88,151.13,240660
2016-10-03T12:45:00+05:30,151.13,151.25,150.6,151.24,290560
2016-10-03T13:00:00+05:30,151.24,151.5,151.05,151.25,367100
2016-10-03T13:15:00+05:30,151.24,151.34,151.0,151.09,264388
2016-10-03T13:30:00+05:30,151.09,151.29,150.98,151.25,242532
2016-10-03T13:45:00+05:30,151.25,151.29,151.13,151.19,177244
2016-10-03T14:00:00+05:30,151.25,151.43,151.03,151.18,233880
2016-10-03T14:15:00+05:30,151.19,151.23,150.9,151.0,206672
2016-10-03T14:30:00+05:30,151.0,151.49,150.89,151.15,295904
2016-10-03T14:45:00+05:30,151.31,151.31,150.99,151.13,385860
2016-10-03T15:00:00+05:30,151.13,151.24,150.68,151.19,872376
2016-10-03T15:15:00+05:30,151.15,151.25,150.46,150.93,1260128
2016-10-04T09:15:00+05:30,151.7,152.68,151.5,152.38,944188
2016-10-04T09:30:00+05:30,152.38,153.68,152.29,153.6,799708
2016-10-04T09:45:00+05:30,153.6,153.94,153.19,153.9,759236
2016-10-04T10:00:00+05:30,153.93,154.0,153.69,153.8,492900
2016-10-04T10:15:00+05:30,153.79,154.49,153.79,154.43,503460
