datetime,open,high,low,close,volume
2023-11-29T09:30:00+05:30,50.0,50.0,50.0,50.0,86217551
2023-11-29T10:00:00+05:30,50.8,55.7,50.8,54.2,182402035
2023-11-29T10:15:00+05:30,54.15,55.65,53.5,55.15,44308196
2023-11-29T10:30:00+05:30,55.15,55.25,54.05,54.05,17282073
2023-11-29T10:45:00+05:30,54.1,54.6,54.0,54.5,13911129
2023-11-29T11:00:00+05:30,54.45,55.0,54.4,54.65,10573600
2023-11-29T11:15:00+05:30,54.7,55.85,54.65,55.6,20216746
2023-11-29T11:30:00+05:30,55.6,57.7,55.55,57.6,40237675
2023-11-29T11:45:00+05:30,57.65,58.9,56.6,58.6,35109521
2023-11-29T12:00:00+05:30,58.65,59.65,58.3,59.5,31153596
2023-11-29T12:15:00+05:30,59.45,59.85,59.15,59.15,19293038
2023-11-29T12:30:00+05:30,59.1,59.7,58.75,59.45,14081812
2023-11-29T12:45:00+05:30,59.4,59.75,59.15,59.45,10188960
2023-11-29T13:00:00+05:30,59.45,60.0,59.15,59.5,29162259
2023-11-29T13:15:00+05:30,59.45,60.0,59.4,60.0,7082429
2023-11-29T13:30:00+05:30,60.0,60.0,60.0,60.0,1345315
2023-11-29T13:45:00+05:30,60.0,60.0,60.0,60.0,888089
2023-11-29T14:00:00+05:30,60.0,60.0,60.0,60.0,564857
2023-11-29T14:15:00+05:30,60.0,60.0,60.0,60.0,387553
2023-11-29T14:30:00+05:30,60.0,60.0,60.0,60.0,634674
2023-11-29T14:45:00+05:30,60.0,60.0,60.0,60.0,361726
2023-11-29T15:00:00+05:30,60.0,60.0,60.0,60.0,414774
2023-11-29T15:15:00+05:30,60.0,60.0,60.0,60.0,716977
2023-11-30T09:15:00+05:30,64.3,68.9,64.3,67.2,99734603
2023-11-30T09:30:00+05:30,67.2,68.0,66.25,67.75,25957029
2023-11-30T09:45:00+05:30,67.7,67.85,66.0,66.55,17673643
2023-11-30T10:00:00+05:30,66.6,66.7,62.65,64.1,35365810
2023-11-30T10:15:00+05:30,64.2,64.4,60.65,63.1,29282851
2023-11-30T10:30:00+05:30,63.1,64.9,62.4,64.75,15808321
2023-11-30T10:45:00+05:30,64.75,65.4,64.6,64.95,13327162
2023-11-30T11:00:00+05:30,65.0,66.0,64.95,65.7,9738218
2023-11-30T11:15:00+05:30,65.7,65.9,65.15,65.65,5419922
2023-11-30T11:30:00+05:30,65.7,65.9,65.45,65.6,4209993
2023-11-30T11:45:00+05:30,65.6,65.65,65.1,65.3,4179578
2023-11-30T12:00:00+05:30,65.3,67.3,65.05,66.7,14118259
2023-11-30T12:15:00+05:30,66.75,67.3,66.5,66.6,6898772
2023-11-30T12:30:00+05:30,66.55,67.95,66.2,67.2,13659098
2023-11-30T12:45:00+05:30,67.15,67.8,66.9,67.6,7102392
2023-11-30T13:00:00+05:30,67.6,68.0,67.2,67.3,7243103
2023-11-30T13:15:00+05:30,67.3,67.9,67.25,67.35,4307889
2023-11-30T13:30:00+05:30,67.35,67.45,66.2,66.75,7188772
2023-11-30T13:45:00+05:30,66.75,67.8,66.65,67.55,6043964
2023-11-30T14:00:00+05:30,67.55,67.7,67.1,67.3,5077665
2023-11-30T14:15:00+05:30,67.3,67.65,67.2,67.4,3238115
2023-11-30T14:30:00+05:30,67.35,67.6,66.7,66.75,7141800
2023-11-30T14:45:00+05:30,66.8,67.2,66.1,66.2,6946782
2023-11-30T15:00:00+05:30,66.2,66.2,64.3,65.4,13819517
2023-11-30T15:15:00+05:30,65.4,66.1,64.8,66.0,14533000
2023-12-01T09:15:00+05:30,67.0,68.3,65.05,66.35,21905835
2023-12-01T09:15:00+05:30,67.0,68.3,65.05,66.35,21905835
2023-12-01T09:30:00+05:30,66.4,66.65,65.25,66.3,10658617
2023-12-01T09:45:00+05:30,66.25,66.3,65.5,65.8,5146747
2023-12-01T10:00:00+05:30,65.8,65.8,64.0,64.25,15246873
2023-12-01T10:15:00+05:30,64.25,65.1,63.8,64.3,9513246
2023-12-01T10:30:00+05:30,64.25,65.6,64.25,65.05,6027149
2023-12-01T10:45:00+05:30,65.1,65.1,64.65,64.9,2335466
2023-12-01T11:00:00+05:30,64.9,64.9,64.35,64.35,2769680
2023-12-01T11:15:00+05:30,64.45,64.5,63.85,64.5,4705301
2023-12-01T11:30:00+05:30,64.5,64.85,64.05,64.35,4732264
2023-12-01T11:45:00+05:30,64.3,64.45,63.85,64.3,3941049
2023-12-01T12:00:00+05:30,64.25,64.35,64.1,64.35,1294937
2023-12-01T12:15:00+05:30,64.35,64.5,63.75,64.15,3855458
2023-12-01T12:30:00+05:30,64.15,64.5,63.9,64.25,1947390
2023-12-01T12:45:00+05:30,64.2,64.25,63.5,63.75,5120998
2023-12-01T13:00:00+05:30,63.75,63.8,62.3,62.95,8140407
2023-12-01T13:15:00+05:30,62.95,63.25,62.5,62.95,3143778
2023-12-01T13:30:00+05:30,63.0,63.8,62.95,63.45,3217229
2023-12-01T13:45:00+05:30,63.45,63.75,63.25,63.6,1458086
2023-12-01T14:00:00+05:30,63.6,64.4,63.6,63.95,4912502
2023-12-01T14:15:00+05:30,64.0,64.05,63.55,63.55,1812002
2023-12-01T14:30:00+05:30,63.6,63.7,63.25,63.25,2322894
2023-12-01T14:45:00+05:30,63.25,63.5,63.15,63.25,2715848
2023-12-01T15:00:00+05:30,63.25,63.25,62.65,62.8,5380764
2023-12-01T15:15:00+05:30,62.8,63.0,62.5,62.7,9465065
2023-12-04T09:15:00+05:30,64.9,65.55,63.75,63.95,10890300
2023-12-04T09:30:00+05:30,63.95,64.0,63.2,63.25,3992281
2023-12-04T09:45:00+05:30,63.15,63.55,63.15,63.55,3017362
2023-12-04T10:00:00+05:30,63.55,64.45,63.55,64.3,5699808
2023-12-04T10:15:00+05:30,64.2,64.3,63.85,64.1,1953918
2023-12-04T10:30:00+05:30,64.2,64.3,64.0,64.1,1246206
2023-12-04T10:45:00+05:30,64.05,64.8,64.0,64.4,2527829
2023-12-04T11:00:00+05:30,64.4,64.55,64.2,64.4,1230928
2023-12-04T11:15:00+05:30,64.4,64.4,64.25,64.35,942549
