datetime,open,high,low,close,volume
2016-10-03T09:15:00+05:30,73.5,73.9,73.35,73.85,76771
2016-10-03T09:30:00+05:30,73.9,74.7,73.85,74.05,162746
2016-10-03T09:45:00+05:30,74.15,74.5,74.1,74.35,41836
2016-10-03T10:00:00+05:30,74.35,74.55,74.25,74.45,20955
2016-10-03T10:15:00+05:30,74.5,74.6,74.35,74.55,25151
2016-10-03T10:30:00+05:30,74.55,74.6,74.5,74.5,14509
2016-10-03T10:45:00+05:30,74.5,74.7,74.5,74.6,18141
2016-10-03T11:00:00+05:30,74.65,74.75,74.5,74.65,42428
2016-10-03T11:15:00+05:30,74.6,74.65,74.5,74.6,28718
2016-10-03T11:30:00+05:30,74.55,74.7,74.5,74.6,46742
2016-10-03T11:45:00+05:30,74.6,74.6,74.45,74.45,29685
2016-10-03T12:00:00+05:30,74.5,74.5,74.35,74.4,11882
2016-10-03T12:15:00+05:30,74.4,74.5,74.35,74.45,7360
2016-10-03T12:30:00+05:30,74.5,74.65,74.4,74.65,23165
2016-10-03T12:45:00+05:30,74.65,74.7,74.6,74.65,19637
2016-10-03T13:00:00+05:30,74.6,74.7,74.55,74.55,10215
2016-10-03T13:15:00+05:30,74.5,75.45,74.3,75.4,323887
2016-10-03T13:30:00+05:30,75.45,75.75,75.35,75.6,237023
2016-10-03T13:45:00+05:30,75.55,75.7,75.15,75.25,84322
2016-10-03T14:00:00+05:30,75.25,75.4,75.0,75.2,33414
2016-10-03T14:15:00+05:30,75.1,75.3,74.15,74.5,258366
2016-10-03T14:30:00+05:30,74.55,74.9,74.25,74.25,162023
2016-10-03T14:45:00+05:30,74.2,74.5,74.1,74.45,80823
2016-10-03T15:00:00+05:30,74.45,74.5,74.2,74.35,93531
2016-10-03T15:15:00+05:30,74.4,74.5,74.15,74.35,216422
2016-10-04T09:15:00+05:30,74.5,75.35,74.4,75.15,111581
2016-10-04T09:30:00+05:30,75.1,75.25,74.95,75.15,32460
2016-10-04T09:45:00+05:30,75.1,75.1,74.8,74.9,18704
2016-10-04T10:00:00+05:30,74.8,74.9,74.65,74.75,17380
2016-10-04T10:15:00+05:30,74.75,74.75,74.65,74.7,8599
2016-10-04T10:30:00+05:30,74.7,74.75,74.6,74.75,12674
2016-10-04T10:45:00+05:30,74.65,75.0,74.1,75.0,279000
2016-10-04T11:00:00+05:30,74.95,75.7,74.65,74.85,481244
2016-10-04T11:15:00+05:30,74.8,75.1,74.75,75.05,73203
2016-10-04T11:30:00+05:30,75.05,75.05,74.55,74.85,210641
2016-10-04T11:45:00+05:30,74.85,75.25,74.5,74.5,136042
2016-10-04T12:00:00+05:30,74.5,75.4,74.5,75.15,274468
2016-10-04T12:15:00+05:30,75.15,75.2,74.65,74.8,57722
2016-10-04T12:30:00+05:30,74.75,74.85,74.6,74.85,13680
2016-10-04T12:45:00+05:30,74.85,74.95,74.8,74.85,9301
2016-10-04T13:00:00+05:30,74.9,75.0,74.8,74.95,22416
2016-10-04T13:15:00+05:30,74.9,74.9,74.55,74.65,58916
2016-10-04T13:30:00+05:30,74.65,74.85,74.6,74.7,15218
2016-10-04T13:45:00+05:30,74.7,75.0,74.6,74.8,14611
2016-10-04T14:00:00+05:30,74.75,74.85,74.5,74.5,29918
2016-10-04T14:15:00+05:30,74.55,74.9,74.5,74.7,68959
2016-10-04T14:30:00+05:30,74.7,74.9,74.45,74.75,84965
2016-10-04T14:45:00+05:30,74.75,75.0,74.6,74.85,33192
2016-10-04T15:00:00+05:30,74.85,75.25,74.75,75.2,55674
2016-10-04T15:15:00+05:30,75.2,75.4,75.1,75.2,127620
2016-10-05T09:15:00+05:30,75.3,75.7,75.05,75.4,94978
2016-10-05T09:30:00+05:30,75.4,75.55,75.05,75.2,54027
2016-10-05T09:45:00+05:30,75.2,75.3,75.1,75.3,28700
2016-10-05T10:00:00+05:30,75.3,75.6,75.25,75.4,54601
2016-10-05T10:15:00+05:30,75.45,75.45,75.15,75.4,61092
2016-10-05T10:30:00+05:30,75.25,75.35,75.15,75.2,23316
2016-10-05T10:45:00+05:30,75.2,75.3,75.15,75.2,20002
2016-10-05T11:00:00+05:30,75.15,75.45,75.15,75.45,19632
2016-10-05T11:15:00+05:30,75.4,75.7,75.4,75.45,35266
2016-10-05T11:30:00+05:30,75.45,75.55,75.3,75.3,6229
2016-10-05T11:45:00+05:30,75.35,75.4,75.25,75.25,6989
2016-10-05T12:00:00+05:30,75.25,75.3,75.05,75.15,32649
2016-10-05T12:15:00+05:30,75.15,75.2,74.8,74.85,47510
2016-10-05T12:30:00+05:30,74.85,74.95,74.7,74.85,30641
2016-10-05T12:45:00+05:30,74.85,74.95,74.8,74.85,23036
2016-10-05T13:00:00+05:30,74.95,75.0,74.8,74.85,32846
2016-10-05T13:15:00+05:30,74.9,74.9,74.8,74.9,4680
2016-10-05T13:30:00+05:30,74.85,75.0,74.85,75.0,18752
2016-10-05T13:45:00+05:30,75.0,75.2,74.95,75.2,27189
2016-10-05T14:00:00+05:30,75.2,75.25,74.7,74.75,29835
2016-10-05T14:15:00+05:30,74.75,75.15,74.75,75.05,17075
2016-10-05T14:30:00+05:30,75.1,75.15,74.95,75.0,14042
2016-10-05T14:45:00+05:30,75.05,75.15,74.8,74.85,29957
2016-10-05T15:00:00+05:30,74.8,74.9,74.55,74.7,62474
2016-10-05T15:15:00+05:30,74.7,74.85,74.6,74.7,137501
2016-10-06T09:15:00+05:30,75.0,75.3,74.8,74.95,69429
2016-10-06T09:30:00+05:30,75.0,75.25,74.95,75.1,34638
2016-10-06T09:45:00+05:30,75.05,75.35,75.05,75.25,30355
2016-10-06T10:00:00+05:30,75.25,75.35,75.05,75.15,49078
2016-10-06T10:15:00+05:30,75.15,75.15,74.7,74.85,42156
2016-10-06T10:30:00+05:30,74.85,75.1,74.85,75.1,14350
2016-10-06T10:45:00+05:30,75.1,75.2,75.0,75.1,36151
2016-10-06T11:00:00+05:30,75.1,75.2,75.05,75.1,13658
2016-10-06T11:15:00+05:30,75.05,75.35,75.05,75.3,55077
2016-10-06T11:30:00+05:30,75.3,75.65,75.2,75.45,119804
2016-10-06T11:45:00+05:30,75.45,76.4,75.35,76.4,125616
2016-10-06T12:00:00+05:30,76.35,76.4,75.8,76.05,221340
2016-10-06T12:15:00+05:30,76.05,76.25,76.0,76.15,45655
2016-10-06T12:30:00+05:30,76.15,76.2,75.8,75.9,66514
2016-10-06T12:45:00+05:30,75.85,76.1,75.75,75.85,53984
2016-10-06T13:00:00+05:30,75.85,76.0,75.75,75.95,28429
2016-10-06T13:15:00+05:30,75.95,75.95,75.35,75.45,49492
2016-10-06T13:30:00+05:30,75.4,75.4,75.0,75.0,114941
2016-10-06T13:45:00+05:30,75.0,75.1,74.85,74.95,63078
2016-10-06T14:00:00+05:30,74.9,74.95,74.5,74.65,118850
2016-10-06T14:15:00+05:30,74.6,74.8,74.5,74.7,30081
2016-10-06T14:30:00+05:30,74.7,74.85,74.2,74.55,101787
2016-10-06T14:45:00+05:30,74.5,74.6,74.0,74.05,81343
2016-10-06T15:00:00+05:30,74.05,74.6,74.05,74.6,78813
2016-10-06T15:15:00+05:30,74.6,74.7,74.4,74.5,108277
2016-10-07T09:15:00+05:30,74.55,75.0,74.55,74.65,112329
2016-10-07T09:30:00+05:30,74.6,74.65,73.8,73.9,88671
2016-10-07T09:45:00+05:30,73.9,74.2,73.9,74.05,58817
2016-10-07T10:00:00+05:30,74.0,74.2,73.85,74.0,25162
2016-10-07T10:15:00+05:30,74.0,74.75,73.65,74.7,301988
2016-10-07T10:30:00+05:30,74.7,75.2,73.95,74.05,650097
2016-10-07T10:45:00+05:30,74.0,74.45,74.0,74.4,106294
2016-10-07T11:00:00+05:30,74.4,74.65,74.3,74.55,69174
2016-10-07T11:15:00+05:30,74.5,74.5,74.25,74.35,24108
2016-10-07T11:30:00+05:30,74.3,74.3,74.05,74.1,18417
2016-10-07T11:45:00+05:30,74.15,74.25,74.05,74.15,16150
2016-10-07T12:00:00+05:30,74.15,74.2,73.85,73.85,41496
2016-10-07T12:15:00+05:30,73.95,74.3,73.9,74.25,44439
2016-10-07T12:30:00+05:30,74.2,74.25,74.0,74.0,50355
2016-10-07T12:45:00+05:30,74.0,74.05,73.9,73.9,40994
2016-10-07T13:00:00+05:30,73.9,73.95,73.35,73.6,92090
2016-10-07T13:15:00+05:30,73.6,73.9,73.35,73.6,53853
2016-10-07T13:30:00+05:30,73.5,74.2,73.3,73.75,280377
2016-10-07T13:45:00+05:30,73.75,73.9,73.65,73.8,37431
2016-10-07T14:00:00+05:30,73.8,73.9,73.75,73.9,26261
2016-10-07T14:15:00+05:30,73.85,73.85,73.4,73.4,60581
2016-10-07T14:30:00+05:30,73.4,73.5,73.2,73.3,89962
2016-10-07T14:45:00+05:30,73.45,73.7,73.45,73.65,105271
2016-10-07T15:00:00+05:30,73.6,73.85,73.6,73.65,138979
2016-10-07T15:15:00+05:30,73.6,73.7,73.3,73.6,224840
2016-10-10T09:15:00+05:30,74.0,74.5,73.75,74.05,101401
2016-10-10T09:30:00+05:30,74.1,74.3,73.85,73.9,52977
2016-10-10T09:45:00+05:30,73.85,74.0,73.75,73.95,28222
2016-10-10T10:00:00+05:30,73.9,74.0,73.75,73.85,16112
