datetime,open,high,low,close,volume
2016-10-03T09:15:00+05:30,486.5,489.8,482.88,485.93,94624
2016-10-03T09:30:00+05:30,485.98,486.5,483.63,484.65,44870
2016-10-03T09:45:00+05:30,484.5,484.9,481.7,482.83,70618
2016-10-03T10:00:00+05:30,482.58,484.1,479.9,480.98,89802
2016-10-03T10:15:00+05:30,480.9,483.9,480.9,482.93,69210
2016-10-03T10:30:00+05:30,483.0,483.8,482.28,483.53,42068
2016-10-03T10:45:00+05:30,483.58,484.45,483.03,483.53,35178
2016-10-03T11:00:00+05:30,483.7,484.7,483.5,484.68,33482
2016-10-03T11:15:00+05:30,484.68,487.5,484.68,485.0,98668
2016-10-03T11:30:00+05:30,485.0,485.5,482.6,485.0,51532
2016-10-03T11:45:00+05:30,484.85,486.0,484.53,485.18,17132
2016-10-03T12:00:00+05:30,485.3,485.7,484.85,485.28,8658
2016-10-03T12:15:00+05:30,485.25,485.6,484.93,485.0,14762
2016-10-03T12:30:00+05:30,485.0,485.8,485.0,485.78,12336
2016-10-03T12:45:00+05:30,485.9,485.9,485.55,485.63,5176
2016-10-03T13:00:00+05:30,485.55,485.75,485.13,485.6,6544
2016-10-03T13:15:00+05:30,485.15,485.5,484.93,485.0,10806
2016-10-03T13:30:00+05:30,485.0,487.45,485.0,486.88,33246
2016-10-03T13:45:00+05:30,486.88,487.45,486.0,486.95,31782
2016-10-03T14:00:00+05:30,486.75,487.45,486.2,486.9,32820
2016-10-03T14:15:00+05:30,486.55,488.75,486.55,487.25,43926
2016-10-03T14:30:00+05:30,487.45,488.0,486.18,486.75,34810
2016-10-03T14:45:00+05:30,486.75,487.9,485.5,486.25,42240
2016-10-03T15:00:00+05:30,486.25,487.75,485.5,487.73,54720
2016-10-03T15:15:00+05:30,487.5,488.5,486.5,487.25,110938
2016-10-04T09:15:00+05:30,490.0,491.0,488.08,490.0,48706
2016-10-04T09:30:00+05:30,490.0,492.0,489.05,491.55,48740
2016-10-04T09:45:00+05:30,491.53,491.7,490.1,491.03,24276
2016-10-04T10:00:00+05:30,490.98,494.0,490.68,491.63,55646
2016-10-04T10:15:00+05:30,491.5,492.98,491.03,492.98,24600
2016-10-04T10:30:00+05:30,492.98,493.0,491.1,491.5,13462
2016-10-04T10:45:00+05:30,491.33,497.93,491.33,497.48,128548
2016-10-04T11:00:00+05:30,497.6,497.73,494.05,494.25,98232
2016-10-04T11:15:00+05:30,494.25,496.2,493.9,494.68,46638
2016-10-04T11:30:00+05:30,495.0,495.0,491.1,493.3,47942
2016-10-04T11:45:00+05:30,493.33,494.4,492.05,492.58,19674
2016-10-04T12:00:00+05:30,492.55,496.3,492.55,495.38,41182
2016-10-04T12:15:00+05:30,495.5,495.7,493.55,494.58,20880
2016-10-04T12:30:00+05:30,494.88,495.78,494.5,494.75,22466
2016-10-04T12:45:00+05:30,494.75,496.0,494.33,495.6,23490
2016-10-04T13:00:00+05:30,495.7,496.0,495.1,495.3,9470
2016-10-04T13:15:00+05:30,495.3,496.0,495.0,495.25,12980
2016-10-04T13:30:00+05:30,495.25,495.25,493.6,493.85,15014
2016-10-04T13:45:00+05:30,493.9,496.33,493.78,496.0,20494
2016-10-04T14:00:00+05:30,496.0,496.48,494.33,494.73,25100
2016-10-04T14:15:00+05:30,494.75,496.0,493.0,495.85,55776
2016-10-04T14:30:00+05:30,495.85,498.75,494.48,496.18,125120
2016-10-04T14:45:00+05:30,496.18,497.5,496.03,497.05,28820
2016-10-04T15:00:00+05:30,497.05,497.5,496.0,497.0,58164
2016-10-04T15:15:00+05:30,497.0,499.0,496.0,496.9,89806
2016-10-05T09:15:00+05:30,498.0,500.73,496.5,497.5,84484
2016-10-05T09:30:00+05:30,497.28,497.5,493.5,494.75,89522
2016-10-05T09:45:00+05:30,494.75,497.0,493.5,496.23,53406
2016-10-05T10:00:00+05:30,496.25,497.03,494.23,494.28,24030
2016-10-05T10:15:00+05:30,494.33,495.1,492.8,494.63,42034
2016-10-05T10:30:00+05:30,494.95,494.98,492.85,494.13,10634
2016-10-05T10:45:00+05:30,494.4,494.93,492.75,493.7,10928
2016-10-05T11:00:00+05:30,493.85,497.38,493.83,496.95,23584
2016-10-05T11:15:00+05:30,496.55,499.5,496.0,497.75,37306
2016-10-05T11:30:00+05:30,497.98,500.0,497.8,499.53,37186
2016-10-05T11:45:00+05:30,499.5,499.5,497.6,498.0,30018
2016-10-05T12:00:00+05:30,498.0,498.5,495.6,498.45,17670
2016-10-05T12:15:00+05:30,498.5,498.58,496.23,496.95,17044
2016-10-05T12:30:00+05:30,496.78,497.53,495.05,496.83,16344
2016-10-05T12:45:00+05:30,496.35,497.23,495.75,497.0,7572
2016-10-05T13:00:00+05:30,497.0,498.5,496.8,497.5,8828
2016-10-05T13:15:00+05:30,498.0,498.0,497.08,497.55,4428
2016-10-05T13:30:00+05:30,497.55,498.25,496.7,497.93,7168
2016-10-05T13:45:00+05:30,498.2,498.5,497.5,497.8,6492
2016-10-05T14:00:00+05:30,498.0,498.95,495.63,496.6,13078
2016-10-05T14:15:00+05:30,496.48,496.98,494.6,496.1,25356
2016-10-05T14:30:00+05:30,496.45,497.5,496.0,496.63,11654
2016-10-05T14:45:00+05:30,496.93,497.5,496.0,496.75,27212
2016-10-05T15:00:00+05:30,496.73,498.0,495.55,497.65,45236
2016-10-05T15:15:00+05:30,497.9,498.98,494.73,496.73,86550
2016-10-06T09:15:00+05:30,494.95,516.78,494.95,515.55,483894
2016-10-06T09:30:00+05:30,516.48,517.95,512.25,514.45,237424
2016-10-06T09:45:00+05:30,514.5,515.85,511.2,511.5,108054
2016-10-06T10:00:00+05:30,511.5,512.4,507.5,510.5,148438
2016-10-06T10:15:00+05:30,510.5,511.15,508.78,510.0,35748
2016-10-06T10:30:00+05:30,510.05,514.25,510.05,514.0,80810
2016-10-06T10:45:00+05:30,513.98,514.85,512.58,512.83,49216
2016-10-06T11:00:00+05:30,512.83,513.0,511.35,511.6,20156
2016-10-06T11:15:00+05:30,511.6,511.78,510.55,511.7,29402
2016-10-06T11:30:00+05:30,511.73,512.1,511.05,511.08,19454
2016-10-06T11:45:00+05:30,511.15,512.0,510.0,511.83,39992
2016-10-06T12:00:00+05:30,511.7,515.0,511.0,514.58,60932
2016-10-06T12:15:00+05:30,514.98,515.85,512.55,512.95,80642
2016-10-06T12:30:00+05:30,512.95,513.3,512.5,512.88,18642
2016-10-06T12:45:00+05:30,512.98,513.8,511.5,511.85,39636
2016-10-06T13:00:00+05:30,511.85,513.63,511.5,513.0,34274
2016-10-06T13:15:00+05:30,513.0,513.1,509.4,510.83,54482
2016-10-06T13:30:00+05:30,510.6,511.5,507.88,509.8,127422
2016-10-06T13:45:00+05:30,509.98,511.73,508.53,508.53,42224
2016-10-06T14:00:00+05:30,508.88,511.5,507.5,511.45,67982
2016-10-06T14:15:00+05:30,511.4,511.4,509.08,510.0,38782
2016-10-06T14:30:00+05:30,510.0,510.73,508.0,509.55,42856
2016-10-06T14:45:00+05:30,509.55,509.85,508.03,509.18,51728
2016-10-06T15:00:00+05:30,509.18,510.95,508.55,510.68,80650
2016-10-06T15:15:00+05:30,510.65,511.0,508.25,509.73,95966
2016-10-07T09:15:00+05:30,513.0,518.25,512.48,517.43,173576
2016-10-07T09:30:00+05:30,517.2,521.9,516.7,518.63,255860
2016-10-07T09:45:00+05:30,518.63,525.28,518.28,521.43,298272
