datetime,open,high,low,close,volume
2021-03-26T09:30:00+05:30,73.95,73.95,73.95,73.95,7527981
2021-03-26T10:00:00+05:30,73.7,80.95,72.9,79.4,19525671
2021-03-26T10:15:00+05:30,79.2,81.0,78.3,78.75,5568597
2021-03-26T10:30:00+05:30,78.65,79.75,77.65,78.25,2136466
2021-03-26T10:45:00+05:30,78.3,78.8,77.8,78.2,982830
2021-03-26T11:00:00+05:30,78.1,78.25,77.3,78.05,1066828
2021-03-26T11:15:00+05:30,78.0,78.45,77.8,78.0,774218
2021-03-26T11:30:00+05:30,78.0,78.0,76.5,77.3,1263057
2021-03-26T11:45:00+05:30,77.25,78.2,75.95,75.95,1313414
2021-03-26T12:00:00+05:30,75.95,76.45,75.4,76.3,1476521
2021-03-26T12:15:00+05:30,76.25,76.95,76.1,76.45,924001
2021-03-26T12:30:00+05:30,76.45,76.6,76.1,76.15,442447
2021-03-26T12:45:00+05:30,76.2,76.8,76.15,76.35,435285
2021-03-26T13:00:00+05:30,76.35,76.7,76.1,76.65,389122
2021-03-26T13:15:00+05:30,76.6,76.65,75.65,76.25,584257
2021-03-26T13:30:00+05:30,76.25,76.3,76.0,76.25,267155
2021-03-26T13:45:00+05:30,76.25,78.2,76.0,77.2,889786
2021-03-26T14:00:00+05:30,77.15,77.9,76.6,76.7,630046
2021-03-26T14:15:00+05:30,76.75,76.85,76.1,76.6,453348
2021-03-26T14:30:00+05:30,76.7,77.45,76.55,76.75,636268
2021-03-26T14:45:00+05:30,76.75,77.05,76.5,76.6,438600
2021-03-26T15:00:00+05:30,76.6,76.65,75.6,75.9,1139583
2021-03-26T15:15:00+05:30,75.8,75.8,74.1,75.2,2498003
2021-03-30T09:15:00+05:30,75.8,77.9,75.2,75.9,1613085
2021-03-30T09:30:00+05:30,75.85,75.85,73.0,73.9,1121561
2021-03-30T09:45:00+05:30,73.85,74.7,73.7,74.55,446777
2021-03-30T10:00:00+05:30,74.65,76.25,74.5,74.75,696568
2021-03-30T10:15:00+05:30,74.8,76.05,74.75,75.7,415861
2021-03-30T10:30:00+05:30,75.7,75.9,75.5,75.6,200148
2021-03-30T10:45:00+05:30,75.6,75.6,75.2,75.35,193579
2021-03-30T11:00:00+05:30,75.35,75.35,74.5,74.55,222542
2021-03-30T11:15:00+05:30,74.65,74.8,74.0,74.3,338610
2021-03-30T11:30:00+05:30,74.3,74.35,73.8,74.0,334070
2021-03-30T11:45:00+05:30,74.0,74.4,73.9,74.1,158055
2021-03-30T12:00:00+05:30,74.1,74.1,73.5,73.55,178078
2021-03-30T12:15:00+05:30,73.6,73.75,72.5,72.7,439040
2021-03-30T12:30:00+05:30,72.7,73.0,72.65,72.85,172320
2021-03-30T12:45:00+05:30,72.85,73.0,72.5,72.5,134381
2021-03-30T13:00:00+05:30,72.55,73.15,72.4,73.0,242401
2021-03-30T13:15:00+05:30,72.85,73.0,72.5,72.6,104160
2021-03-30T13:30:00+05:30,72.65,72.7,70.5,70.9,526496
2021-03-30T13:45:00+05:30,70.9,71.55,70.85,71.15,353096
2021-03-30T14:00:00+05:30,71.1,71.2,70.05,70.85,558403
2021-03-30T14:15:00+05:30,70.85,70.9,70.3,70.5,207787
