datetime,open,high,low,close,volume
2016-12-19T09:30:00+05:30,97.98,97.98,97.98,97.98,12886620
2016-12-19T10:00:00+05:30,97.5,99.6,95.0,96.65,31859585
2016-12-19T10:15:00+05:30,96.64,96.7,95.04,95.3,4989430
2016-12-19T10:30:00+05:30,95.34,95.79,95.23,95.4,2948600
2016-12-19T10:45:00+05:30,95.36,95.78,95.2,95.3,2119945
2016-12-19T11:00:00+05:30,95.3,95.58,95.27,95.34,857225
2016-12-19T11:15:00+05:30,95.34,95.56,95.2,95.29,1883640
2016-12-19T11:30:00+05:30,95.3,96.33,95.2,96.17,3239535
2016-12-19T11:45:00+05:30,96.2,96.34,95.8,96.02,965495
2016-12-19T12:00:00+05:30,96.04,96.91,95.76,96.07,2220955
2016-12-19T12:15:00+05:30,96.07,96.25,95.97,96.02,907515
2016-12-19T12:30:00+05:30,96.12,96.33,96.0,96.06,620755
2016-12-19T12:45:00+05:30,96.05,96.58,96.04,96.4,1582820
2016-12-19T13:00:00+05:30,96.4,97.0,96.39,96.57,1804190
2016-12-19T13:15:00+05:30,96.54,96.56,96.2,96.23,677740
2016-12-19T13:30:00+05:30,96.23,96.25,96.06,96.14,763145
2016-12-19T13:45:00+05:30,96.14,96.5,95.54,96.14,1468650
2016-12-19T14:00:00+05:30,96.19,96.4,96.1,96.3,777355
2016-12-19T14:15:00+05:30,96.29,96.3,96.04,96.15,558385
2016-12-19T14:30:00+05:30,96.1,96.2,96.0,96.04,1291795
2016-12-19T14:45:00+05:30,96.03,96.2,95.88,96.0,3081350
2016-12-19T15:00:00+05:30,96.02,96.2,95.74,96.0,4528220
2016-12-19T15:15:00+05:30,96.0,96.89,95.72,96.08,5604565
2016-12-20T09:15:00+05:30,96.56,97.89,94.45,95.51,4003590
2016-12-20T09:30:00+05:30,95.51,95.96,95.22,95.39,503475
2016-12-20T09:45:00+05:30,95.35,95.5,94.82,95.26,902440
2016-12-20T10:00:00+05:30,95.32,95.39,95.0,95.1,627655
2016-12-20T10:15:00+05:30,95.12,95.15,95.0,95.02,200815
2016-12-20T10:30:00+05:30,95.07,95.2,95.01,95.12,176970
