datetime,open,high,low,close,volume
2016-10-03T09:15:00+05:30,92.0,92.65,92.0,92.05,337164
2016-10-03T09:30:00+05:30,92.05,93.2,91.8,92.7,322188
2016-10-03T09:45:00+05:30,92.65,93.05,92.45,92.6,238720
2016-10-03T10:00:00+05:30,92.6,92.85,92.45,92.7,180035
2016-10-03T10:15:00+05:30,92.8,93.25,92.7,93.0,217406
2016-10-03T10:30:00+05:30,93.0,93.25,92.85,93.15,100910
2016-10-03T10:45:00+05:30,93.1,93.45,93.0,93.3,146318
2016-10-03T11:00:00+05:30,93.35,93.4,92.95,93.05,63592
2016-10-03T11:15:00+05:30,93.0,93.05,92.5,92.75,532688
2016-10-03T11:30:00+05:30,92.7,92.75,92.15,92.35,385013
2016-10-03T11:45:00+05:30,92.35,92.4,91.85,91.95,267333
2016-10-03T12:00:00+05:30,91.95,92.3,91.75,92.3,85922
2016-10-03T12:15:00+05:30,92.3,92.55,92.25,92.45,80627
2016-10-03T12:30:00+05:30,92.45,92.45,92.25,92.4,27401
2016-10-03T12:45:00+05:30,92.35,92.75,92.3,92.6,83890
2016-10-03T13:00:00+05:30,92.65,92.8,92.6,92.6,47611
2016-10-03T13:15:00+05:30,92.6,92.75,92.5,92.6,111350
2016-10-03T13:30:00+05:30,92.55,92.8,92.5,92.7,61888
2016-10-03T13:45:00+05:30,92.65,92.8,92.55,92.7,44571
2016-10-03T14:00:00+05:30,92.7,92.75,92.6,92.6,52609
2016-10-03T14:15:00+05:30,92.65,92.7,92.55,92.65,99426
2016-10-03T14:30:00+05:30,92.7,92.75,92.55,92.55,57926
2016-10-03T14:45:00+05:30,92.6,92.8,92.6,92.75,92683
2016-10-03T15:00:00+05:30,92.8,93.1,92.65,92.8,283193
2016-10-03T15:15:00+05:30,92.8,92.95,92.55,92.8,369703
2016-10-04T09:15:00+05:30,93.0,93.8,93.0,93.8,231846
2016-10-04T09:30:00+05:30,93.8,93.8,93.05,93.3,203972
2016-10-04T09:45:00+05:30,93.35,93.5,93.0,93.35,312903
2016-10-04T10:00:00+05:30,93.4,93.7,93.25,93.35,230420
2016-10-04T10:15:00+05:30,93.3,93.55,93.2,93.3,97208
2016-10-04T10:30:00+05:30,93.25,93.45,93.2,93.4,48704
2016-10-04T10:45:00+05:30,93.4,93.9,93.25,93.85,76766
2016-10-04T11:00:00+05:30,93.85,94.35,93.65,93.7,397194
2016-10-04T11:15:00+05:30,93.65,93.95,93.6,93.85,122003
2016-10-04T11:30:00+05:30,93.85,93.9,93.55,93.8,210910
2016-10-04T11:45:00+05:30,93.75,93.8,93.3,93.55,48809
2016-10-04T12:00:00+05:30,93.55,93.75,93.5,93.65,151014
2016-10-04T12:15:00+05:30,93.6,93.65,93.15,93.35,190931
2016-10-04T12:30:00+05:30,93.35,93.8,93.1,93.4,78858
2016-10-04T12:45:00+05:30,93.5,93.9,93.4,93.7,49353
2016-10-04T13:00:00+05:30,93.65,93.75,93.6,93.7,40037
2016-10-04T13:15:00+05:30,93.7,94.1,93.6,94.05,291117
2016-10-04T13:30:00+05:30,94.05,94.1,93.8,93.8,69425
2016-10-04T13:45:00+05:30,93.85,94.0,93.75,93.9,64109
2016-10-04T14:00:00+05:30,94.0,94.0,93.55,93.55,78965
2016-10-04T14:15:00+05:30,93.45,93.75,93.2,93.4,155107
2016-10-04T14:30:00+05:30,93.55,94.2,92.85,93.6,698919
2016-10-04T14:45:00+05:30,93.6,94.3,93.6,93.85,462836
2016-10-04T15:00:00+05:30,93.8,94.0,93.5,94.0,251338
2016-10-04T15:15:00+05:30,94.0,94.0,93.6,93.75,372464
2016-10-05T09:15:00+05:30,94.1,94.2,93.7,94.05,297075
2016-10-05T09:30:00+05:30,94.05,94.2,93.2,93.65,384690
2016-10-05T09:45:00+05:30,93.65,94.1,92.65,93.0,230422
2016-10-05T10:00:00+05:30,93.0,93.35,92.85,93.3,111798
2016-10-05T10:15:00+05:30,93.2,93.3,92.85,93.2,129511
2016-10-05T10:30:00+05:30,93.25,93.3,93.05,93.1,39529
