datetime,open,high,low,close,volume
2016-10-03T09:15:00+05:30,218.68,218.68,215.42,217.36,264526
2016-10-03T09:30:00+05:30,217.36,222.5,217.36,221.15,542752
2016-10-03T09:45:00+05:30,221.06,221.74,220.03,220.25,190438
2016-10-03T10:00:00+05:30,220.25,221.33,220.15,221.27,103695
2016-10-03T10:15:00+05:30,221.3,226.15,221.21,224.98,876471
2016-10-03T10:30:00+05:30,224.98,225.27,224.27,224.57,358720
2016-10-03T10:45:00+05:30,224.57,226.06,224.45,225.66,313081
2016-10-03T11:00:00+05:30,225.74,225.89,225.12,225.35,140259
2016-10-03T11:15:00+05:30,225.3,225.51,224.83,225.15,155607
2016-10-03T11:30:00+05:30,225.15,225.21,223.21,223.89,163199
2016-10-03T11:45:00+05:30,223.89,224.12,223.51,223.71,52578
2016-10-03T12:00:00+05:30,223.94,224.68,223.62,224.03,95745
2016-10-03T12:15:00+05:30,224.03,224.22,223.33,223.51,439864
2016-10-03T12:30:00+05:30,223.51,223.62,223.27,223.39,94639
2016-10-03T12:45:00+05:30,223.42,223.8,223.36,223.51,52651
2016-10-03T13:00:00+05:30,223.51,224.98,223.33,224.3,149977
2016-10-03T13:15:00+05:30,224.3,224.68,223.59,223.77,95445
2016-10-03T13:30:00+05:30,223.77,224.25,223.77,224.0,52660
2016-10-03T13:45:00+05:30,224.0,224.15,223.68,224.0,99966
2016-10-03T14:00:00+05:30,224.03,224.39,223.65,224.03,137149
2016-10-03T14:15:00+05:30,224.03,224.3,223.71,223.86,120980
2016-10-03T14:30:00+05:30,223.86,224.22,223.83,223.94,145996
2016-10-03T14:45:00+05:30,223.94,225.57,223.89,225.38,287939
2016-10-03T15:00:00+05:30,225.38,227.56,225.18,227.15,280806
2016-10-03T15:15:00+05:30,227.15,227.97,225.74,226.8,354665
2016-10-04T09:15:00+05:30,228.24,238.15,226.44,229.32,648649
2016-10-04T09:30:00+05:30,229.57,229.68,228.51,229.0,116827
2016-10-04T09:45:00+05:30,229.09,229.6,226.01,226.33,284749
2016-10-04T10:00:00+05:30,226.62,227.3,224.27,224.8,261584
2016-10-04T10:15:00+05:30,224.8,226.33,224.68,226.01,71143
2016-10-04T10:30:00+05:30,226.15,226.15,224.89,225.63,28714
2016-10-04T10:45:00+05:30,225.86,226.56,225.6,225.86,54704
2016-10-04T11:00:00+05:30,225.86,225.92,225.66,225.74,66258
2016-10-04T11:15:00+05:30,225.8,225.86,225.57,225.8,32552
2016-10-04T11:30:00+05:30,225.74,225.77,225.06,225.09,46857
2016-10-04T11:45:00+05:30,225.27,225.6,225.03,225.21,58083
2016-10-04T12:00:00+05:30,225.27,225.3,224.86,225.03,137507
2016-10-04T12:15:00+05:30,225.15,225.21,223.71,224.15,171749
2016-10-04T12:30:00+05:30,224.12,224.33,222.45,222.98,279668
2016-10-04T12:45:00+05:30,222.95,224.19,222.82,223.45,309726
2016-10-04T13:00:00+05:30,223.45,224.09,223.33,223.74,64952
2016-10-04T13:15:00+05:30,223.74,223.77,223.21,223.39,31158
2016-10-04T13:30:00+05:30,223.21,223.74,223.04,223.07,101252
2016-10-04T13:45:00+05:30,223.21,223.51,222.53,223.04,275705
2016-10-04T14:00:00+05:30,223.04,223.51,223.01,223.3,41840
2016-10-04T14:15:00+05:30,223.45,223.45,222.21,222.98,123514
2016-10-04T14:30:00+05:30,223.04,223.89,219.97,223.18,843266
2016-10-04T14:45:00+05:30,223.18,223.51,222.36,223.1,283769
2016-10-04T15:00:00+05:30,222.98,223.86,221.74,223.86,452057
2016-10-04T15:15:00+05:30,223.97,225.98,223.8,224.09,755781
2016-10-05T09:15:00+05:30,225.57,225.86,223.89,224.22,168912
2016-10-05T09:30:00+05:30,224.09,224.22,222.33,223.07,101059
2016-10-05T09:45:00+05:30,223.07,223.45,221.74,223.33,78585
2016-10-05T10:00:00+05:30,223.45,223.97,222.82,223.45,133479
2016-10-05T10:15:00+05:30,223.48,223.48,222.18,223.21,118036
2016-10-05T10:30:00+05:30,223.3,223.62,222.8,223.18,100758
2016-10-05T10:45:00+05:30,223.18,223.54,223.16,223.18,69621
2016-10-05T11:00:00+05:30,223.24,223.59,223.07,223.51,173554
2016-10-05T11:15:00+05:30,223.51,223.54,223.18,223.33,64784
2016-10-05T11:30:00+05:30,223.33,223.54,223.27,223.51,130006
2016-10-05T11:45:00+05:30,223.51,223.51,222.95,223.04,37576
2016-10-05T12:00:00+05:30,222.95,223.04,221.3,222.47,102681
2016-10-05T12:15:00+05:30,222.42,222.45,221.24,221.8,58718
2016-10-05T12:30:00+05:30,221.8,222.45,221.66,222.01,52432
2016-10-05T12:45:00+05:30,222.04,222.15,221.47,222.01,62254
2016-10-05T13:00:00+05:30,221.95,223.39,221.44,223.39,122272
2016-10-05T13:15:00+05:30,223.33,223.33,222.45,222.71,10612
2016-10-05T13:30:00+05:30,222.8,223.56,222.74,223.39,98680
2016-10-05T13:45:00+05:30,223.3,223.51,222.98,223.36,22193
2016-10-05T14:00:00+05:30,223.45,223.51,222.5,222.68,29224
2016-10-05T14:15:00+05:30,222.71,223.33,222.71,223.16,25373
2016-10-05T14:30:00+05:30,223.24,223.45,223.04,223.33,37476
2016-10-05T14:45:00+05:30,223.21,223.33,222.92,222.95,68573
2016-10-05T15:00:00+05:30,223.01,223.21,222.45,222.8,148684
2016-10-05T15:15:00+05:30,222.8,223.42,221.8,222.89,589270
2016-10-06T09:15:00+05:30,224.03,224.15,221.47,222.04,106543
2016-10-06T09:30:00+05:30,221.77,222.39,221.6,222.33,32100
2016-10-06T09:45:00+05:30,222.33,226.59,222.15,225.92,269149
2016-10-06T10:00:00+05:30,225.92,226.33,225.38,225.77,92887
2016-10-06T10:15:00+05:30,225.86,226.18,225.6,225.86,53731
2016-10-06T10:30:00+05:30,225.86,229.15,225.63,229.15,388437
2016-10-06T10:45:00+05:30,229.18,229.32,227.48,227.86,283621
2016-10-06T11:00:00+05:30,227.97,228.8,227.18,227.18,322465
2016-10-06T11:15:00+05:30,227.18,227.97,227.15,227.45,134974
2016-10-06T11:30:00+05:30,227.45,227.91,226.59,227.42,243478
2016-10-06T11:45:00+05:30,227.42,229.38,227.3,228.54,183345
2016-10-06T12:00:00+05:30,228.62,228.8,227.91,228.74,94037
