datetime,open,high,low,close,volume
2016-10-03T09:15:00+05:30,94.81,96.05,94.81,95.97,630553
2016-10-03T09:30:00+05:30,95.97,96.56,95.84,96.52,702418
2016-10-03T09:45:00+05:30,96.47,96.65,96.0,96.16,604560
2016-10-03T10:00:00+05:30,96.18,97.47,96.06,97.42,1530268
2016-10-03T10:15:00+05:30,97.48,97.91,97.21,97.45,981565
2016-10-03T10:30:00+05:30,97.48,97.78,97.36,97.65,309409
2016-10-03T10:45:00+05:30,97.63,98.06,97.61,97.94,516142
2016-10-03T11:00:00+05:30,97.95,98.05,97.84,97.87,350583
2016-10-03T11:15:00+05:30,97.87,97.99,97.39,97.59,474048
2016-10-03T11:30:00+05:30,97.53,97.66,97.42,97.51,254971
2016-10-03T11:45:00+05:30,97.51,97.6,97.36,97.48,255913
2016-10-03T12:00:00+05:30,97.47,98.0,97.45,97.82,565014
2016-10-03T12:15:00+05:30,97.82,98.79,97.82,98.55,943390
2016-10-03T12:30:00+05:30,98.55,98.93,98.45,98.55,502930
2016-10-03T12:45:00+05:30,98.56,98.58,98.28,98.37,393232
2016-10-03T13:00:00+05:30,98.37,98.55,98.34,98.37,433663
2016-10-03T13:15:00+05:30,98.31,98.45,98.13,98.31,352659
2016-10-03T13:30:00+05:30,98.31,98.34,97.95,98.06,293728
2016-10-03T13:45:00+05:30,98.06,98.16,97.95,98.06,284004
2016-10-03T14:00:00+05:30,98.03,98.28,98.0,98.19,382147
2016-10-03T14:15:00+05:30,98.19,98.37,98.18,98.33,457366
2016-10-03T14:30:00+05:30,98.33,98.53,98.29,98.47,776926
2016-10-03T14:45:00+05:30,98.47,99.02,98.47,99.02,998008
2016-10-03T15:00:00+05:30,99.02,99.04,97.27,97.33,9900076
2016-10-03T15:15:00+05:30,97.33,97.59,96.55,97.59,9321936
2016-10-04T09:15:00+05:30,97.19,97.49,96.41,97.07,596176
2016-10-04T09:30:00+05:30,97.05,97.07,96.29,96.46,310570
2016-10-04T09:45:00+05:30,96.49,96.83,96.34,96.74,203856
2016-10-04T10:00:00+05:30,96.73,96.77,96.29,96.33,164892
2016-10-04T10:15:00+05:30,96.35,96.51,96.15,96.41,212392
2016-10-04T10:30:00+05:30,96.46,96.73,96.45,96.58,167889
2016-10-04T10:45:00+05:30,96.58,97.11,96.56,96.95,280866
2016-10-04T11:00:00+05:30,96.95,97.07,96.86,96.95,208860
2016-10-04T11:15:00+05:30,96.91,97.13,96.89,96.98,219096
2016-10-04T11:30:00+05:30,96.98,97.13,96.74,96.87,345756
2016-10-04T11:45:00+05:30,96.87,96.89,96.62,96.65,168886
2016-10-04T12:00:00+05:30,96.67,96.89,96.65,96.75,185989
2016-10-04T12:15:00+05:30,96.77,96.77,96.47,96.52,146427
2016-10-04T12:30:00+05:30,96.52,96.87,96.52,96.83,250806
2016-10-04T12:45:00+05:30,96.83,97.39,96.79,97.25,323136
2016-10-04T13:00:00+05:30,97.25,97.25,96.85,96.95,217246
2016-10-04T13:15:00+05:30,96.95,97.15,96.73,96.99,309300
2016-10-04T13:30:00+05:30,96.99,96.99,96.51,96.58,226456
2016-10-04T13:45:00+05:30,96.56,96.73,96.53,96.68,248245
2016-10-04T14:00:00+05:30,96.68,96.85,96.45,96.49,421656
2016-10-04T14:15:00+05:30,96.53,96.89,96.45,96.75,367447
2016-10-04T14:30:00+05:30,96.85,97.13,96.45,96.81,300796
2016-10-04T14:45:00+05:30,96.81,96.96,96.71,96.77,261942
2016-10-04T15:00:00+05:30,96.77,97.27,96.74,97.2,477750
2016-10-04T15:15:00+05:30,97.25,97.78,97.15,97.31,757104
2016-10-05T09:15:00+05:30,98.86,98.86,97.85,98.41,871026
2016-10-05T09:30:00+05:30,98.4,98.67,98.01,98.33,554268
2016-10-05T09:45:00+05:30,98.29,98.37,98.03,98.29,198904
