datetime,open,high,low,close,volume
2016-10-03T09:15:00+05:30,170.37,171.8,169.61,171.8,1125
2016-10-03T09:30:00+05:30,171.83,172.19,171.8,171.86,610
2016-10-03T09:45:00+05:30,171.6,172.0,171.59,171.62,1500
2016-10-03T10:00:00+05:30,171.61,171.63,171.6,171.6,255
2016-10-03T10:15:00+05:30,171.6,171.6,170.41,170.41,1310
2016-10-03T10:30:00+05:30,170.59,170.75,170.11,170.52,395
2016-10-03T10:45:00+05:30,170.21,170.39,169.03,169.6,4570
2016-10-03T11:00:00+05:30,169.6,169.99,169.6,169.99,330
2016-10-03T11:15:00+05:30,170.2,170.2,170.2,170.2,100
2016-10-03T11:30:00+05:30,170.0,170.4,170.0,170.2,835
2016-10-03T11:45:00+05:30,170.2,170.2,170.0,170.2,140
2016-10-03T12:00:00+05:30,170.01,170.19,170.0,170.16,1105
2016-10-03T12:15:00+05:30,170.16,171.0,170.0,170.49,6120
2016-10-03T12:30:00+05:30,170.58,171.78,170.2,171.78,4015
2016-10-03T12:45:00+05:30,171.76,172.0,171.41,171.66,3980
2016-10-03T13:00:00+05:30,171.68,171.75,171.6,171.63,2360
2016-10-03T13:15:00+05:30,171.63,171.75,171.4,171.4,2330
2016-10-03T13:30:00+05:30,171.6,171.63,170.87,171.4,1985
2016-10-03T13:45:00+05:30,171.4,171.4,171.03,171.4,5645
2016-10-03T14:00:00+05:30,171.4,171.4,170.51,170.79,2525
2016-10-03T14:15:00+05:30,170.8,171.4,170.8,171.39,2015
2016-10-03T14:30:00+05:30,171.39,171.4,171.2,171.2,3100
2016-10-03T14:45:00+05:30,171.2,171.6,171.2,171.4,6685
2016-10-03T15:00:00+05:30,171.4,172.73,171.32,172.73,27360
2016-10-03T15:15:00+05:30,172.73,173.99,172.7,172.95,48255
2016-10-04T09:15:00+05:30,171.71,172.8,171.71,172.61,740
2016-10-04T09:30:00+05:30,172.31,173.95,171.04,173.92,6100
2016-10-04T09:45:00+05:30,173.89,173.91,173.35,173.38,2310
2016-10-04T10:00:00+05:30,173.7,173.79,173.29,173.32,1630
2016-10-04T10:15:00+05:30,173.21,173.63,173.2,173.6,1180
2016-10-04T10:30:00+05:30,174.0,178.0,174.0,178.0,49990
2016-10-04T10:45:00+05:30,177.81,181.4,177.81,179.89,75035
2016-10-04T11:00:00+05:30,179.8,179.8,178.01,178.07,8085
2016-10-04T11:15:00+05:30,178.07,178.31,176.6,176.61,10545
2016-10-04T11:30:00+05:30,176.62,178.0,176.6,177.8,7160
