datetime,open,high,low,close,volume
2016-10-03T09:15:00+05:30,25.25,25.25,24.9,25.1,123875
2016-10-03T09:30:00+05:30,25.15,25.4,25.1,25.3,244662
2016-10-03T09:45:00+05:30,25.3,25.45,25.3,25.35,142459
2016-10-03T10:00:00+05:30,25.35,25.45,25.35,25.45,90034
2016-10-03T10:15:00+05:30,25.45,25.5,25.4,25.5,88881
2016-10-03T10:30:00+05:30,25.5,25.5,25.45,25.5,43396
2016-10-03T10:45:00+05:30,25.45,25.6,25.45,25.55,76273
2016-10-03T11:00:00+05:30,25.55,25.55,25.5,25.5,35624
2016-10-03T11:15:00+05:30,25.45,25.55,25.45,25.5,50874
2016-10-03T11:30:00+05:30,25.45,25.5,25.35,25.45,194093
2016-10-03T11:45:00+05:30,25.35,25.45,25.35,25.4,107545
2016-10-03T12:00:00+05:30,25.4,25.45,25.35,25.45,19794
2016-10-03T12:15:00+05:30,25.4,25.45,25.35,25.45,37594
2016-10-03T12:30:00+05:30,25.4,25.45,25.4,25.45,9440
2016-10-03T12:45:00+05:30,25.4,25.5,25.4,25.5,24972
2016-10-03T13:00:00+05:30,25.5,25.7,25.45,25.6,316949
2016-10-03T13:15:00+05:30,25.6,25.85,25.55,25.65,518453
2016-10-03T13:30:00+05:30,25.7,25.8,25.6,25.75,90759
2016-10-03T13:45:00+05:30,25.75,25.75,25.7,25.75,41101
2016-10-03T14:00:00+05:30,25.75,25.75,25.65,25.7,51206
2016-10-03T14:15:00+05:30,25.7,25.75,25.65,25.75,74219
2016-10-03T14:30:00+05:30,25.65,25.75,25.65,25.75,96117
2016-10-03T14:45:00+05:30,25.75,25.9,25.7,25.75,178131
2016-10-03T15:00:00+05:30,25.75,25.8,25.65,25.7,180238
2016-10-03T15:15:00+05:30,25.65,25.75,25.6,25.65,325498
2016-10-04T09:15:00+05:30,25.65,25.9,25.6,25.85,115698
2016-10-04T09:30:00+05:30,25.85,25.85,25.75,25.75,30420
2016-10-04T09:45:00+05:30,25.75,25.8,25.65,25.75,85676
2016-10-04T10:00:00+05:30,25.75,25.75,25.65,25.75,48489
