datetime,open,high,low,close,volume
2016-10-03T09:15:00+05:30,35.6,36.03,35.5,35.95,567207
2016-10-03T09:30:00+05:30,35.97,35.97,35.68,35.87,205971
2016-10-03T09:45:00+05:30,35.9,36.0,35.77,35.88,368871
2016-10-03T10:00:00+05:30,35.9,35.98,35.88,35.92,213654
2016-10-03T10:15:00+05:30,35.92,35.98,35.88,35.93,70275
2016-10-03T10:30:00+05:30,35.97,36.03,35.93,36.02,131208
2016-10-03T10:45:00+05:30,36.03,36.4,36.03,36.32,513561
2016-10-03T11:00:00+05:30,36.3,36.4,36.23,36.32,183594
2016-10-03T11:15:00+05:30,36.33,36.38,36.28,36.28,245130
2016-10-03T11:30:00+05:30,36.28,36.28,36.12,36.22,204129
2016-10-03T11:45:00+05:30,36.22,36.37,36.18,36.35,211239
2016-10-03T12:00:00+05:30,36.33,36.37,36.22,36.28,135807
2016-10-03T12:15:00+05:30,36.28,36.33,36.25,36.28,77733
2016-10-03T12:30:00+05:30,36.28,36.33,36.23,36.28,110625
2016-10-03T12:45:00+05:30,36.28,36.3,36.1,36.27,172887
2016-10-03T13:00:00+05:30,36.25,36.38,36.18,36.22,283182
2016-10-03T13:15:00+05:30,36.25,36.27,36.18,36.18,59733
2016-10-03T13:30:00+05:30,36.18,36.28,36.18,36.23,34518
2016-10-03T13:45:00+05:30,36.2,36.28,36.2,36.2,71658
2016-10-03T14:00:00+05:30,36.2,36.22,36.05,36.07,66987
2016-10-03T14:15:00+05:30,36.05,36.17,36.03,36.12,36489
2016-10-03T14:30:00+05:30,36.12,36.15,36.0,36.07,218892
2016-10-03T14:45:00+05:30,36.07,36.2,36.05,36.17,106422
2016-10-03T15:00:00+05:30,36.15,36.17,36.03,36.17,334092
2016-10-03T15:15:00+05:30,36.15,36.22,36.03,36.12,409797
2016-10-04T09:15:00+05:30,36.42,36.5,36.22,36.38,343731
2016-10-04T09:30:00+05:30,36.38,36.4,36.0,36.12,461010
2016-10-04T09:45:00+05:30,36.1,36.1,35.85,35.93,234483
2016-10-04T10:00:00+05:30,35.92,36.1,35.87,35.87,148626
2016-10-04T10:15:00+05:30,35.88,36.03,35.8,35.95,181140
2016-10-04T10:30:00+05:30,35.97,36.17,35.87,36.17,705984
2016-10-04T10:45:00+05:30,36.17,36.48,36.17,36.3,314595
2016-10-04T11:00:00+05:30,36.27,36.73,36.23,36.63,762282
2016-10-04T11:15:00+05:30,36.65,36.73,36.52,36.65,318804
2016-10-04T11:30:00+05:30,36.63,36.67,36.43,36.48,184698
2016-10-04T11:45:00+05:30,36.5,36.6,36.43,36.58,138891
2016-10-04T12:00:00+05:30,36.62,36.65,36.47,36.53,114429
2016-10-04T12:15:00+05:30,36.52,36.55,36.3,36.35,182016
