datetime,open,high,low,close,volume
2016-10-03T09:15:00+05:30,123.96,124.58,123.75,124.04,106924
2016-10-03T09:30:00+05:30,124.17,124.92,123.79,124.75,95286
2016-10-03T09:45:00+05:30,124.75,125.12,124.37,125.0,205037
2016-10-03T10:00:00+05:30,125.0,125.08,124.67,124.96,33220
2016-10-03T10:15:00+05:30,124.83,125.58,124.67,125.42,57448
2016-10-03T10:30:00+05:30,125.42,125.54,125.25,125.42,21096
2016-10-03T10:45:00+05:30,125.42,125.62,125.37,125.46,48707
2016-10-03T11:00:00+05:30,125.54,125.62,125.29,125.29,34049
2016-10-03T11:15:00+05:30,125.25,125.29,124.58,124.87,45692
2016-10-03T11:30:00+05:30,125.0,125.37,124.62,125.21,23564
2016-10-03T11:45:00+05:30,125.21,125.33,124.92,125.12,41755
2016-10-03T12:00:00+05:30,125.12,125.42,124.83,125.17,88592
2016-10-03T12:15:00+05:30,125.12,125.37,124.92,125.17,123268
2016-10-03T12:30:00+05:30,125.12,125.58,125.08,125.46,40128
2016-10-03T12:45:00+05:30,125.42,125.5,124.58,124.87,170666
2016-10-03T13:00:00+05:30,124.96,125.33,124.92,125.04,110552
2016-10-03T13:15:00+05:30,125.08,125.33,125.0,125.17,80718
2016-10-03T13:30:00+05:30,125.12,125.5,125.08,125.42,33433
2016-10-03T13:45:00+05:30,125.33,125.46,125.08,125.42,20741
2016-10-03T14:00:00+05:30,125.46,125.62,125.21,125.21,27176
2016-10-03T14:15:00+05:30,125.21,125.75,125.12,125.58,44610
2016-10-03T14:30:00+05:30,125.58,125.79,125.46,125.54,63651
2016-10-03T14:45:00+05:30,125.54,126.29,125.29,126.25,343114
2016-10-03T15:00:00+05:30,126.33,126.37,125.12,125.58,378017
2016-10-03T15:15:00+05:30,125.58,125.75,125.25,125.5,217802
2016-10-04T09:15:00+05:30,125.67,126.0,125.5,125.83,71771
2016-10-04T09:30:00+05:30,125.83,126.25,125.75,126.25,53516
2016-10-04T09:45:00+05:30,126.25,126.25,126.0,126.08,23636
2016-10-04T10:00:00+05:30,126.08,126.12,125.71,125.87,57388
2016-10-04T10:15:00+05:30,125.83,126.08,125.67,125.92,62193
2016-10-04T10:30:00+05:30,125.92,126.17,125.83,126.08,26520
2016-10-04T10:45:00+05:30,126.08,126.37,126.04,126.21,40322
2016-10-04T11:00:00+05:30,126.25,126.33,126.04,126.21,29824
2016-10-04T11:15:00+05:30,126.25,126.25,125.92,126.04,19950
2016-10-04T11:30:00+05:30,126.04,126.12,125.83,126.04,25908
2016-10-04T11:45:00+05:30,126.08,126.12,125.96,126.0,11669
2016-10-04T12:00:00+05:30,126.0,126.08,125.79,125.79,22606
2016-10-04T12:15:00+05:30,125.79,125.83,125.58,125.71,20454
2016-10-04T12:30:00+05:30,125.75,126.08,125.58,126.04,20109
2016-10-04T12:45:00+05:30,126.08,126.25,126.0,126.17,15461
2016-10-04T13:00:00+05:30,126.21,126.21,125.92,125.96,10396
2016-10-04T13:15:00+05:30,125.96,126.04,125.79,125.83,15266
2016-10-04T13:30:00+05:30,125.87,125.92,125.37,125.42,39891
2016-10-04T13:45:00+05:30,125.42,125.83,125.37,125.75,1657631
2016-10-04T14:00:00+05:30,125.75,125.87,125.67,125.83,65488
2016-10-04T14:15:00+05:30,125.75,126.17,125.71,126.0,145550
2016-10-04T14:30:00+05:30,125.96,126.46,125.71,126.42,292112
2016-10-04T14:45:00+05:30,126.37,126.92,126.37,126.58,119111
2016-10-04T15:00:00+05:30,126.5,127.17,125.96,127.08,298935
2016-10-04T15:15:00+05:30,127.08,127.37,126.04,126.87,445764
2016-10-05T09:15:00+05:30,127.71,127.79,126.92,127.62,223480
2016-10-05T09:30:00+05:30,127.71,127.96,127.33,127.75,168441
2016-10-05T09:45:00+05:30,127.79,128.08,127.58,128.08,99323
2016-10-05T10:00:00+05:30,128.08,128.17,127.58,127.92,197905
2016-10-05T10:15:00+05:30,127.92,128.04,127.29,127.79,205709
2016-10-05T10:30:00+05:30,127.79,127.87,126.46,126.67,218823
2016-10-05T10:45:00+05:30,126.67,126.67,126.54,126.58,80855
2016-10-05T11:00:00+05:30,126.58,126.67,126.42,126.42,81591
2016-10-05T11:15:00+05:30,126.42,126.42,126.17,126.25,124035
2016-10-05T11:30:00+05:30,126.25,126.25,126.0,126.04,92182
2016-10-05T11:45:00+05:30,126.04,126.12,125.79,126.0,198654
2016-10-05T12:00:00+05:30,125.96,126.0,125.33,125.42,179390
2016-10-05T12:15:00+05:30,125.33,125.42,125.29,125.42,88660
2016-10-05T12:30:00+05:30,125.37,126.33,125.33,126.25,145403
2016-10-05T12:45:00+05:30,126.21,126.46,125.96,126.37,66698
2016-10-05T13:00:00+05:30,126.33,127.33,126.33,127.17,190188
2016-10-05T13:15:00+05:30,127.17,127.21,126.75,126.87,40686
2016-10-05T13:30:00+05:30,126.92,127.29,126.71,127.17,36393
2016-10-05T13:45:00+05:30,127.29,127.29,126.67,126.71,42271
2016-10-05T14:00:00+05:30,126.71,127.21,126.67,126.71,164168
2016-10-05T14:15:00+05:30,126.71,127.17,126.71,127.08,74172
2016-10-05T14:30:00+05:30,127.17,127.17,126.71,126.79,93516
2016-10-05T14:45:00+05:30,126.79,126.92,126.75,126.79,83877
2016-10-05T15:00:00+05:30,126.87,127.33,126.75,127.21,203985
2016-10-05T15:15:00+05:30,127.21,127.46,126.75,127.04,359546
2016-10-06T09:15:00+05:30,127.67,127.67,126.92,127.08,149281
2016-10-06T09:30:00+05:30,127.08,127.96,127.08,127.75,192688
2016-10-06T09:45:00+05:30,127.75,127.75,127.42,127.62,40144
2016-10-06T10:00:00+05:30,127.62,127.75,127.37,127.62,63654
2016-10-06T10:15:00+05:30,127.58,127.62,127.42,127.58,46804
2016-10-06T10:30:00+05:30,127.5,127.54,127.21,127.25,42147
2016-10-06T10:45:00+05:30,127.25,127.42,127.21,127.33,51179
2016-10-06T11:00:00+05:30,127.33,127.37,126.83,126.96,170754
2016-10-06T11:15:00+05:30,126.96,128.21,126.83,127.5,423550
2016-10-06T11:30:00+05:30,127.5,127.67,127.33,127.54,83123
2016-10-06T11:45:00+05:30,127.5,127.58,127.46,127.58,55399
2016-10-06T12:00:00+05:30,127.54,127.83,127.42,127.5,56174
2016-10-06T12:15:00+05:30,127.5,127.71,127.46,127.62,45332
2016-10-06T12:30:00+05:30,127.58,127.71,127.42,127.5,80847
2016-10-06T12:45:00+05:30,127.5,127.83,127.0,127.0,294994
2016-10-06T13:00:00+05:30,127.04,127.54,127.0,127.54,55626
2016-10-06T13:15:00+05:30,127.5,127.58,127.37,127.37,73234
2016-10-06T13:30:00+05:30,127.37,127.37,126.17,126.21,207615
2016-10-06T13:45:00+05:30,126.21,126.29,125.62,125.62,247837
2016-10-06T14:00:00+05:30,125.67,125.67,124.87,125.0,256015
2016-10-06T14:15:00+05:30,125.04,125.12,124.54,125.0,219320
2016-10-06T14:30:00+05:30,125.0,125.12,124.37,124.62,490374
2016-10-06T14:45:00+05:30,124.62,124.67,123.75,124.08,346066
2016-10-06T15:00:00+05:30,124.08,124.17,123.83,123.92,851524
2016-10-06T15:15:00+05:30,123.96,124.96,123.87,124.12,536593
2016-10-07T09:15:00+05:30,124.17,125.12,124.0,124.54,310163
2016-10-07T09:30:00+05:30,124.54,124.67,123.67,123.79,123714
2016-10-07T09:45:00+05:30,123.79,124.08,123.67,124.04,48663
2016-10-07T10:00:00+05:30,124.08,124.58,124.0,124.46,59678
2016-10-07T10:15:00+05:30,124.46,124.83,124.37,124.79,41322
2016-10-07T10:30:00+05:30,124.79,124.96,124.67,124.79,41174
2016-10-07T10:45:00+05:30,124.79,124.83,124.0,124.17,124163
2016-10-07T11:00:00+05:30,124.17,124.54,124.12,124.42,53923
2016-10-07T11:15:00+05:30,124.42,124.54,124.21,124.54,39794
2016-10-07T11:30:00+05:30,124.5,124.75,124.37,124.58,42808
2016-10-07T11:45:00+05:30,124.58,124.67,124.42,124.62,42765
2016-10-07T12:00:00+05:30,124.58,124.67,124.17,124.42,64335
2016-10-07T12:15:00+05:30,124.33,124.71,124.29,124.67,60701
2016-10-07T12:30:00+05:30,124.71,124.87,124.5,124.58,62823
2016-10-07T12:45:00+05:30,124.58,124.75,124.46,124.58,68428
2016-10-07T13:00:00+05:30,124.54,124.62,124.17,124.21,48462
2016-10-07T13:15:00+05:30,124.21,124.29,124.08,124.17,42245
2016-10-07T13:30:00+05:30,124.12,124.62,124.12,124.37,57594
2016-10-07T13:45:00+05:30,124.42,124.75,124.25,124.42,82915
2016-10-07T14:00:00+05:30,124.46,124.62,123.67,123.67,298838
2016-10-07T14:15:00+05:30,123.58,124.0,123.17,123.37,228027
2016-10-07T14:30:00+05:30,123.37,123.58,123.08,123.54,159009
2016-10-07T14:45:00+05:30,123.54,123.79,123.37,123.75,87161
2016-10-07T15:00:00+05:30,123.75,123.96,123.54,123.67,258103
2016-10-07T15:15:00+05:30,123.67,123.71,123.17,123.58,377650
2016-10-10T09:15:00+05:30,124.0,124.54,123.83,124.17,61044
2016-10-10T09:30:00+05:30,124.12,124.17,123.5,123.71,57859
2016-10-10T09:45:00+05:30,123.75,123.75,123.25,123.33,53827
2016-10-10T10:00:00+05:30,123.33,123.5,123.33,123.42,20996
2016-10-10T10:15:00+05:30,123.42,123.62,123.33,123.58,38733
2016-10-10T10:30:00+05:30,123.54,123.54,123.29,123.33,34327
2016-10-10T10:45:00+05:30,123.33,123.46,123.25,123.33,13350
2016-10-10T11:00:00+05:30,123.33,123.67,123.29,123.42,68032
2016-10-10T11:15:00+05:30,123.37,123.5,123.33,123.46,42964
2016-10-10T11:30:00+05:30,123.5,123.54,123.17,123.33,46848
2016-10-10T11:45:00+05:30,123.33,123.37,123.21,123.29,22647
2016-10-10T12:00:00+05:30,123.29,123.37,123.17,123.17,30190
2016-10-10T12:15:00+05:30,123.25,123.42,122.29,122.42,172562
2016-10-10T12:30:00+05:30,122.37,122.83,121.75,121.75,388379
2016-10-10T12:45:00+05:30,121.75,122.67,121.75,122.58,301606
2016-10-10T13:00:00+05:30,122.62,122.67,122.25,122.46,80991
2016-10-10T13:15:00+05:30,122.46,122.71,122.46,122.58,69316
2016-10-10T13:30:00+05:30,122.67,122.67,122.12,122.12,786835
2016-10-10T13:45:00+05:30,122.25,122.25,121.75,121.79,499208
2016-10-10T14:00:00+05:30,121.79,122.04,121.58,122.04,328695
2016-10-10T14:15:00+05:30,121.96,122.08,121.79,122.08,345781
2016-10-10T14:30:00+05:30,122.0,122.08,121.79,121.96,93602
2016-10-10T14:45:00+05:30,122.0,122.25,121.87,121.87,416816
2016-10-10T15:00:00+05:30,121.87,122.92,121.79,122.46,1554966
2016-10-10T15:15:00+05:30,122.37,122.42,121.87,122.21,225888
2016-10-13T09:15:00+05:30,122.5,122.5,120.87,121.87,259633
2016-10-13T09:30:00+05:30,121.92,122.17,121.46,121.5,105101
2016-10-13T09:45:00+05:30,121.5,121.75,121.42,121.75,106549
2016-10-13T10:00:00+05:30,121.75,122.04,121.54,121.67,142297
2016-10-13T10:15:00+05:30,121.62,121.83,121.62,121.71,56847
2016-10-13T10:30:00+05:30,121.71,121.92,121.67,121.71,80050
2016-10-13T10:45:00+05:30,121.71,121.75,121.5,121.67,104861
2016-10-13T11:00:00+05:30,121.67,121.71,121.0,121.0,169851
2016-10-13T11:15:00+05:30,121.0,121.12,120.71,121.0,256800
2016-10-13T11:30:00+05:30,120.96,121.0,120.79,120.96,1937474
2016-10-13T11:45:00+05:30,120.96,121.33,120.67,121.04,503458
2016-10-13T12:00:00+05:30,121.08,121.08,119.42,119.71,575997
2016-10-13T12:15:00+05:30,119.75,120.0,119.67,119.96,95376
2016-10-13T12:30:00+05:30,119.96,120.58,119.71,120.5,184496
2016-10-13T12:45:00+05:30,120.5,120.54,119.92,120.33,106842
2016-10-13T13:00:00+05:30,120.37,120.83,120.29,120.75,1142487
2016-10-13T13:15:00+05:30,120.79,121.08,120.21,120.75,249951
2016-10-13T13:30:00+05:30,120.83,120.83,120.42,120.79,224181
2016-10-13T13:45:00+05:30,120.83,120.96,120.58,120.79,122981
2016-10-13T14:00:00+05:30,120.79,120.96,120.62,120.83,114728
2016-10-13T14:15:00+05:30,120.92,121.0,120.62,120.79,96382
2016-10-13T14:30:00+05:30,120.79,120.83,120.42,120.83,104523
2016-10-13T14:45:00+05:30,120.83,120.87,120.29,120.83,122862
2016-10-13T15:00:00+05:30,120.83,120.87,120.42,120.62,372649
2016-10-13T15:15:00+05:30,120.62,120.83,120.42,120.62,383158
2016-10-14T09:15:00+05:30,121.08,121.08,120.08,120.83,104461
2016-10-14T09:30:00+05:30,120.83,120.92,120.17,120.67,218830
2016-10-14T09:45:00+05:30,120.67,120.92,120.37,120.79,291329
2016-10-14T10:00:00+05:30,120.87,120.87,120.42,120.62,52842
2016-10-14T10:15:00+05:30,120.62,120.75,120.33,120.46,33796
2016-10-14T10:30:00+05:30,120.46,120.54,120.21,120.46,52571
2016-10-14T10:45:00+05:30,120.46,120.54,120.12,120.21,55550
2016-10-14T11:00:00+05:30,120.21,120.21,119.58,120.04,459652
2016-10-14T11:15:00+05:30,120.0,120.17,120.0,120.12,61739
2016-10-14T11:30:00+05:30,120.04,120.12,120.0,120.08,37871
2016-10-14T11:45:00+05:30,120.08,120.17,120.08,120.08,10221
2016-10-14T12:00:00+05:30,120.08,120.12,120.0,120.0,74945
2016-10-14T12:15:00+05:30,120.0,120.12,120.0,120.0,48637
2016-10-14T12:30:00+05:30,120.0,120.5,120.0,120.46,192769
2016-10-14T12:45:00+05:30,120.46,120.79,120.37,120.67,251574
2016-10-14T13:00:00+05:30,120.62,120.67,120.42,120.42,109908
2016-10-14T13:15:00+05:30,120.42,120.5,120.17,120.33,117759
2016-10-14T13:30:00+05:30,120.33,120.75,120.25,120.71,387893
2016-10-14T13:45:00+05:30,120.67,121.25,120.67,121.25,201603
2016-10-14T14:00:00+05:30,121.17,121.33,120.42,120.79,202628
2016-10-14T14:15:00+05:30,120.79,120.87,120.42,120.79,105077
2016-10-14T14:30:00+05:30,120.79,121.0,120.75,120.83,88665
2016-10-14T14:45:00+05:30,120.87,120.96,120.83,120.83,42191
2016-10-14T15:00:00+05:30,120.83,120.87,120.83,120.83,382771
2016-10-14T15:15:00+05:30,120.87,120.96,120.71,120.83,323215
2016-10-17T09:15:00+05:30,122.5,123.83,122.29,122.46,686592
2016-10-17T09:30:00+05:30,122.46,122.54,122.0,122.21,183971
2016-10-17T09:45:00+05:30,122.21,122.29,122.0,122.21,106662
2016-10-17T10:00:00+05:30,122.17,122.29,122.08,122.25,117417
2016-10-17T10:15:00+05:30,122.29,122.58,122.12,122.46,181135
2016-10-17T10:30:00+05:30,122.46,122.5,122.25,122.5,57685
2016-10-17T10:45:00+05:30,122.5,122.54,122.33,122.42,89505
2016-10-17T11:00:00+05:30,122.42,122.54,122.33,122.33,71726
2016-10-17T11:15:00+05:30,122.33,122.54,122.29,122.5,3738831
2016-10-17T11:30:00+05:30,122.5,122.58,122.42,122.5,57589
2016-10-17T11:45:00+05:30,122.5,122.71,122.37,122.71,382316
2016-10-17T12:00:00+05:30,122.71,122.92,122.29,122.5,327309
2016-10-17T12:15:00+05:30,122.54,122.75,121.75,122.37,849413
2016-10-17T12:30:00+05:30,122.42,122.71,122.29,122.62,203591
2016-10-17T12:45:00+05:30,122.67,122.67,122.5,122.5,124401
2016-10-17T13:00:00+05:30,122.54,122.62,122.5,122.54,121754
2016-10-17T13:15:00+05:30,122.58,122.71,122.46,122.71,169013
2016-10-17T13:30:00+05:30,122.67,123.17,122.5,122.79,331998
2016-10-17T13:45:00+05:30,122.83,122.83,122.5,122.71,120234
2016-10-17T14:00:00+05:30,122.75,122.83,122.67,122.71,71518
2016-10-17T14:15:00+05:30,122.75,122.83,122.5,122.5,46036
2016-10-17T14:30:00+05:30,122.54,122.67,122.5,122.5,36434
2016-10-17T14:45:00+05:30,122.54,122.75,122.5,122.58,184056
2016-10-17T15:00:00+05:30,122.58,122.71,122.58,122.71,459220
2016-10-17T15:15:00+05:30,122.67,123.42,122.62,122.92,730143
2016-10-18T09:15:00+05:30,123.33,123.5,122.62,123.04,285129
