datetime,open,high,low,close,volume
2016-10-03T09:15:00+05:30,7.02,7.08,6.98,7.02,19311
2016-10-03T09:30:00+05:30,7.05,7.12,7.03,7.08,116391
2016-10-03T09:45:00+05:30,7.12,7.2,7.05,7.05,267129
2016-10-03T10:00:00+05:30,7.05,7.08,7.05,7.08,3816
2016-10-03T10:15:00+05:30,7.05,7.08,7.05,7.08,1140
2016-10-03T10:30:00+05:30,7.12,7.13,7.07,7.08,52347
2016-10-03T10:45:00+05:30,7.08,7.15,7.08,7.13,17883
2016-10-03T11:00:00+05:30,7.1,7.17,7.1,7.13,81216
2016-10-03T11:15:00+05:30,7.13,7.23,7.13,7.23,55347
2016-10-03T11:30:00+05:30,7.23,7.25,7.18,7.18,130092
2016-10-03T11:45:00+05:30,7.17,7.18,7.17,7.17,6714
2016-10-03T12:00:00+05:30,7.18,7.18,7.17,7.17,12150
2016-10-03T12:15:00+05:30,7.17,7.17,7.17,7.17,1800
2016-10-03T12:30:00+05:30,7.17,7.17,7.17,7.17,1200
2016-10-03T12:45:00+05:30,7.17,7.2,7.17,7.18,2058
2016-10-03T13:00:00+05:30,7.18,7.18,7.18,7.18,6000
2016-10-03T13:15:00+05:30,7.2,7.2,7.17,7.18,9747
2016-10-03T13:30:00+05:30,7.18,7.23,7.18,7.22,27519
2016-10-03T13:45:00+05:30,7.2,7.22,7.2,7.22,4287
2016-10-03T14:00:00+05:30,7.22,7.23,7.2,7.2,9195
2016-10-03T14:15:00+05:30,7.23,7.23,7.2,7.23,17223
2016-10-03T14:30:00+05:30,7.23,7.23,7.22,7.23,36753
2016-10-03T14:45:00+05:30,7.23,7.38,7.18,7.33,300516
2016-10-03T15:00:00+05:30,7.3,7.33,7.28,7.3,42072
2016-10-03T15:15:00+05:30,7.3,7.32,7.27,7.28,84465
2016-10-04T09:15:00+05:30,7.5,7.5,7.4,7.4,96186
2016-10-04T09:30:00+05:30,7.4,7.42,7.35,7.38,34296
2016-10-04T09:45:00+05:30,7.38,7.52,7.37,7.37,284580
2016-10-04T10:00:00+05:30,7.37,7.4,7.37,7.37,250260
2016-10-04T10:15:00+05:30,7.37,7.38,7.37,7.37,20946
2016-10-04T10:30:00+05:30,7.37,7.37,7.35,7.35,27582
2016-10-04T10:45:00+05:30,7.35,7.45,7.32,7.43,523401
2016-10-04T11:00:00+05:30,7.4,7.4,7.3,7.32,106134
2016-10-04T11:15:00+05:30,7.32,7.32,7.32,7.32,3810
2016-10-04T11:30:00+05:30,7.3,7.32,7.3,7.3,25347
2016-10-04T11:45:00+05:30,7.3,7.37,7.3,7.32,37233
2016-10-04T12:00:00+05:30,7.33,7.37,7.32,7.32,11466
2016-10-04T12:15:00+05:30,7.32,7.33,7.32,7.33,5805
2016-10-04T12:30:00+05:30,7.35,7.35,7.33,7.33,3600
2016-10-04T12:45:00+05:30,7.33,7.35,7.32,7.33,9693
2016-10-04T13:00:00+05:30,7.35,7.35,7.32,7.32,36534
2016-10-04T13:15:00+05:30,7.32,7.35,7.32,7.32,16839
2016-10-04T13:30:00+05:30,7.32,7.33,7.32,7.33,8508
2016-10-04T13:45:00+05:30,7.33,7.33,7.32,7.33,5196
2016-10-04T14:00:00+05:30,7.32,7.35,7.32,7.33,52653
2016-10-04T14:15:00+05:30,7.32,7.33,7.3,7.3,14166
2016-10-04T14:30:00+05:30,7.32,7.33,7.25,7.3,787473
2016-10-04T14:45:00+05:30,7.3,7.32,7.3,7.32,4983
2016-10-04T15:00:00+05:30,7.3,7.33,7.3,7.32,30492
2016-10-04T15:15:00+05:30,7.32,7.32,7.25,7.28,97272
2016-10-05T09:15:00+05:30,7.28,7.42,7.23,7.33,24927
2016-10-05T09:30:00+05:30,7.3,7.32,7.25,7.25,4560
2016-10-05T09:45:00+05:30,7.25,7.28,7.23,7.27,6534
2016-10-05T10:00:00+05:30,7.28,7.3,7.27,7.27,11106
2016-10-05T10:15:00+05:30,7.3,7.3,7.27,7.27,843
2016-10-05T10:30:00+05:30,7.27,7.27,7.27,7.27,3723
2016-10-05T10:45:00+05:30,7.27,7.32,7.27,7.28,6600
2016-10-05T11:00:00+05:30,7.28,7.28,7.27,7.27,5961
2016-10-05T11:15:00+05:30,7.27,7.3,7.27,7.3,16623
2016-10-05T11:30:00+05:30,7.3,7.32,7.3,7.32,3150
2016-10-05T11:45:00+05:30,7.3,7.3,7.3,7.3,1680
2016-10-05T12:00:00+05:30,7.3,7.33,7.3,7.3,11493
2016-10-05T12:15:00+05:30,7.33,7.33,7.32,7.32,294
2016-10-05T12:30:00+05:30,7.33,7.33,7.3,7.3,4500
2016-10-05T12:45:00+05:30,7.3,7.33,7.3,7.33,14115
2016-10-05T13:00:00+05:30,7.33,7.33,7.33,7.33,1827
2016-10-05T13:15:00+05:30,7.33,7.35,7.32,7.33,5292
2016-10-05T13:30:00+05:30,7.3,7.3,7.3,7.3,15003
2016-10-05T13:45:00+05:30,7.32,7.32,7.32,7.32,708
2016-10-05T14:00:00+05:30,7.32,7.33,7.32,7.33,4050
2016-10-05T14:15:00+05:30,7.32,7.32,7.3,7.3,6102
2016-10-05T14:30:00+05:30,7.3,7.33,7.3,7.32,27171
2016-10-05T14:45:00+05:30,7.3,7.32,7.28,7.32,35502
2016-10-05T15:00:00+05:30,7.3,7.3,7.28,7.3,26985
2016-10-05T15:15:00+05:30,7.28,7.33,7.27,7.3,59889
2016-10-06T09:15:00+05:30,7.33,7.42,7.32,7.4,56748
2016-10-06T09:30:00+05:30,7.4,7.57,7.4,7.43,414210
2016-10-06T09:45:00+05:30,7.43,7.43,7.42,7.43,6831
2016-10-06T10:00:00+05:30,7.42,7.47,7.37,7.4,53814
2016-10-06T10:15:00+05:30,7.38,7.38,7.37,7.37,32079
2016-10-06T10:30:00+05:30,7.37,7.38,7.37,7.37,12792
2016-10-06T10:45:00+05:30,7.37,7.38,7.37,7.38,5250
2016-10-06T11:00:00+05:30,7.38,7.4,7.37,7.4,10200
2016-10-06T11:15:00+05:30,7.37,7.43,7.37,7.4,33825
2016-10-06T11:30:00+05:30,7.4,7.4,7.37,7.4,18975
2016-10-06T11:45:00+05:30,7.38,7.42,7.38,7.4,1827
2016-10-06T12:00:00+05:30,7.42,7.42,7.42,7.42,11199
2016-10-06T12:15:00+05:30,7.37,7.42,7.37,7.42,5727
2016-10-06T12:30:00+05:30,7.4,8.2,7.4,8.05,3174375
2016-10-06T12:45:00+05:30,8.05,8.1,7.88,7.93,676893
2016-10-06T13:00:00+05:30,7.93,7.93,7.88,7.9,130197
2016-10-06T13:15:00+05:30,7.92,7.93,7.87,7.87,111597
2016-10-06T13:30:00+05:30,7.87,7.98,7.83,7.9,219741
2016-10-06T13:45:00+05:30,7.88,7.93,7.83,7.85,126099
2016-10-06T14:00:00+05:30,7.83,7.93,7.75,7.87,192495
2016-10-06T14:15:00+05:30,7.87,7.88,7.8,7.82,104607
2016-10-06T14:30:00+05:30,7.83,7.85,7.8,7.8,61050
2016-10-06T14:45:00+05:30,7.8,7.82,7.7,7.75,143127
2016-10-06T15:00:00+05:30,7.75,7.95,7.73,7.9,953484
2016-10-06T15:15:00+05:30,7.88,7.92,7.87,7.9,490863
2016-10-07T09:15:00+05:30,7.92,8.08,7.83,7.98,370050
2016-10-07T09:30:00+05:30,7.98,8.02,7.87,7.92,147282
2016-10-07T09:45:00+05:30,7.88,7.93,7.88,7.88,49725
2016-10-07T10:00:00+05:30,7.88,8.0,7.85,7.93,100503
2016-10-07T10:15:00+05:30,7.95,8.0,7.88,7.9,62724
2016-10-07T10:30:00+05:30,7.9,7.92,7.78,7.78,53256
2016-10-07T10:45:00+05:30,7.78,7.78,7.73,7.77,27825
2016-10-07T11:00:00+05:30,7.75,7.82,7.75,7.82,15624
2016-10-07T11:15:00+05:30,7.83,7.83,7.78,7.78,20868
