datetime,open,high,low,close,volume
2016-10-03T09:15:00+05:30,120.5,121.45,120.5,121.3,93854
2016-10-03T09:30:00+05:30,121.3,122.6,121.0,122.25,169403
2016-10-03T09:45:00+05:30,122.2,122.8,122.0,122.35,124980
2016-10-03T10:00:00+05:30,122.4,123.0,122.35,122.95,117121
2016-10-03T10:15:00+05:30,122.9,123.1,122.7,123.0,66032
2016-10-03T10:30:00+05:30,123.0,123.15,122.5,122.8,59195
2016-10-03T10:45:00+05:30,122.75,123.0,122.6,122.85,34730
2016-10-03T11:00:00+05:30,123.0,123.15,122.8,122.85,39202
2016-10-03T11:15:00+05:30,122.85,122.95,122.3,122.35,67165
2016-10-03T11:30:00+05:30,122.4,122.5,121.95,122.0,139150
2016-10-03T11:45:00+05:30,121.95,122.0,121.6,121.6,55937
2016-10-03T12:00:00+05:30,121.65,121.75,121.35,121.4,45877
2016-10-03T12:15:00+05:30,121.35,121.95,121.2,121.85,156909
2016-10-03T12:30:00+05:30,121.7,121.85,121.4,121.75,34824
2016-10-03T12:45:00+05:30,121.75,121.75,121.55,121.75,25752
2016-10-03T13:00:00+05:30,121.7,122.0,121.7,121.9,24338
2016-10-03T13:15:00+05:30,121.85,122.05,121.8,121.9,19152
2016-10-03T13:30:00+05:30,121.9,122.0,121.85,121.95,31405
2016-10-03T13:45:00+05:30,121.9,122.0,121.9,121.95,60397
2016-10-03T14:00:00+05:30,121.95,122.0,121.85,121.9,46718
2016-10-03T14:15:00+05:30,121.9,122.0,121.85,121.95,105216
2016-10-03T14:30:00+05:30,122.0,122.1,121.8,121.95,89638
2016-10-03T14:45:00+05:30,121.95,122.1,121.85,121.95,176642
2016-10-03T15:00:00+05:30,121.95,122.7,121.9,122.35,417451
2016-10-03T15:15:00+05:30,122.35,122.9,121.95,122.35,364838
2016-10-04T09:15:00+05:30,123.2,124.1,122.1,123.9,168841
2016-10-04T09:30:00+05:30,123.85,124.2,123.75,123.95,209058
2016-10-04T09:45:00+05:30,123.95,125.5,123.95,124.6,720599
2016-10-04T10:00:00+05:30,124.6,125.6,124.5,124.6,289826
2016-10-04T10:15:00+05:30,124.65,124.8,124.3,124.4,96492
2016-10-04T10:30:00+05:30,124.4,124.65,123.8,124.5,148155
2016-10-04T10:45:00+05:30,124.6,124.75,124.45,124.75,78716
2016-10-04T11:00:00+05:30,124.8,125.3,124.6,125.15,91075
2016-10-04T11:15:00+05:30,125.15,125.25,124.85,124.95,79370
2016-10-04T11:30:00+05:30,124.95,125.8,124.85,125.15,328568
2016-10-04T11:45:00+05:30,125.1,125.25,124.9,125.15,87550
