datetime,open,high,low,close,volume
2016-10-03T09:15:00+05:30,342.5,348.2,342.5,347.53,178260
2016-10-03T09:30:00+05:30,347.5,351.25,347.13,349.13,685090
2016-10-03T09:45:00+05:30,349.23,350.05,348.88,349.63,66446
2016-10-03T10:00:00+05:30,349.85,349.85,349.25,349.53,55008
2016-10-03T10:15:00+05:30,349.7,352.0,349.5,351.63,49150
2016-10-03T10:30:00+05:30,351.58,352.0,350.0,350.78,45470
2016-10-03T10:45:00+05:30,350.83,353.75,350.53,352.3,88748
2016-10-03T11:00:00+05:30,352.3,355.5,352.28,354.53,147436
2016-10-03T11:15:00+05:30,354.63,354.98,353.93,354.95,270900
2016-10-03T11:30:00+05:30,354.98,358.25,354.25,357.5,1001954
2016-10-03T11:45:00+05:30,357.5,358.3,356.88,358.0,265982
2016-10-03T12:00:00+05:30,357.85,361.38,357.55,358.03,274286
2016-10-03T12:15:00+05:30,358.18,360.15,357.85,359.63,92940
2016-10-03T12:30:00+05:30,359.68,360.0,358.98,359.55,36478
2016-10-03T12:45:00+05:30,359.7,360.0,358.53,358.95,80604
2016-10-03T13:00:00+05:30,358.95,359.48,358.83,359.45,33172
2016-10-03T13:15:00+05:30,359.45,360.3,359.25,359.53,50340
2016-10-03T13:30:00+05:30,359.7,360.48,359.3,359.65,35688
2016-10-03T13:45:00+05:30,359.5,360.13,359.25,359.33,37000
2016-10-03T14:00:00+05:30,359.33,360.15,359.25,359.28,23740
2016-10-03T14:15:00+05:30,359.38,359.95,358.08,359.8,38334
2016-10-03T14:30:00+05:30,359.65,361.95,358.68,360.58,142140
2016-10-03T14:45:00+05:30,360.5,361.98,360.3,361.28,79272
2016-10-03T15:00:00+05:30,361.4,363.08,360.5,362.38,168056
2016-10-03T15:15:00+05:30,362.1,363.35,362.1,362.13,169736
2016-10-04T09:15:00+05:30,363.0,366.98,363.0,365.8,248984
2016-10-04T09:30:00+05:30,365.8,370.0,365.5,368.0,338886
2016-10-04T09:45:00+05:30,367.88,368.45,366.5,367.55,781536
2016-10-04T10:00:00+05:30,367.73,367.98,367.25,367.6,216458
2016-10-04T10:15:00+05:30,367.73,368.75,367.6,368.0,81256
2016-10-04T10:30:00+05:30,368.03,368.5,367.18,367.5,734356
2016-10-04T10:45:00+05:30,367.55,367.55,365.65,366.85,96898
2016-10-04T11:00:00+05:30,366.83,367.25,366.05,366.98,46300
2016-10-04T11:15:00+05:30,367.08,367.18,366.2,366.2,42800
2016-10-04T11:30:00+05:30,366.2,366.23,364.23,364.6,77032
2016-10-04T11:45:00+05:30,364.73,366.75,364.55,364.9,41840
2016-10-04T12:00:00+05:30,364.95,365.75,364.5,365.03,24124
2016-10-04T12:15:00+05:30,365.2,365.25,363.05,364.63,47444
2016-10-04T12:30:00+05:30,364.63,365.18,364.28,364.7,17508
2016-10-04T12:45:00+05:30,364.7,365.83,364.6,365.65,27656
2016-10-04T13:00:00+05:30,365.53,365.78,365.0,365.15,20960
2016-10-04T13:15:00+05:30,365.23,365.58,364.6,365.1,37832
2016-10-04T13:30:00+05:30,365.03,366.5,365.03,366.23,58668
2016-10-04T13:45:00+05:30,366.23,367.93,366.05,367.65,67108
2016-10-04T14:00:00+05:30,367.65,367.65,366.3,366.5,63490
2016-10-04T14:15:00+05:30,366.73,368.0,365.78,367.9,96328
2016-10-04T14:30:00+05:30,367.9,368.5,365.0,366.85,62522
2016-10-04T14:45:00+05:30,366.98,367.9,366.7,367.58,49846
2016-10-04T15:00:00+05:30,367.63,370.5,367.05,369.73,220372
2016-10-04T15:15:00+05:30,369.95,371.75,369.0,369.7,273790
2016-10-05T09:15:00+05:30,370.5,372.0,368.5,368.78,98686
2016-10-05T09:30:00+05:30,368.78,368.88,364.35,365.03,66882
2016-10-05T09:45:00+05:30,365.0,365.98,364.83,365.83,58106
2016-10-05T10:00:00+05:30,365.83,366.38,365.8,366.03,40700
2016-10-05T10:15:00+05:30,366.0,369.5,365.75,369.2,68106
2016-10-05T10:30:00+05:30,368.78,369.0,367.0,367.58,38708
2016-10-05T10:45:00+05:30,367.55,369.55,367.55,369.13,36212
2016-10-05T11:00:00+05:30,369.1,371.0,369.08,370.83,54774
2016-10-05T11:15:00+05:30,370.9,374.0,370.63,373.75,190058
2016-10-05T11:30:00+05:30,374.0,374.5,372.15,373.5,103912
2016-10-05T11:45:00+05:30,373.53,374.0,371.7,372.5,53410
2016-10-05T12:00:00+05:30,372.48,372.48,370.53,370.68,40614
2016-10-05T12:15:00+05:30,370.68,370.68,367.75,368.0,42166
