datetime,open,high,low,close,volume
2016-10-03T09:15:00+05:30,832.4,835.8,831.0,832.6,973
2016-10-03T09:30:00+05:30,832.65,834.9,832.5,834.15,803
2016-10-03T09:45:00+05:30,833.05,833.05,831.05,831.05,756
2016-10-03T10:00:00+05:30,831.7,832.0,830.05,830.55,421
2016-10-03T10:15:00+05:30,832.0,834.45,831.25,831.25,505
2016-10-03T10:30:00+05:30,831.85,833.4,831.2,831.2,355
2016-10-03T10:45:00+05:30,831.6,835.0,831.6,834.8,1707
2016-10-03T11:00:00+05:30,834.7,838.0,834.7,838.0,1312
2016-10-03T11:15:00+05:30,838.0,838.95,835.1,836.75,966
2016-10-03T11:30:00+05:30,836.7,839.0,836.1,838.45,1332
2016-10-03T11:45:00+05:30,837.7,837.7,836.1,836.15,759
2016-10-03T12:00:00+05:30,836.35,836.55,836.1,836.1,596
2016-10-03T12:15:00+05:30,836.1,836.35,835.0,835.9,559
2016-10-03T12:30:00+05:30,836.0,837.35,835.6,836.8,1167
2016-10-03T12:45:00+05:30,837.0,838.8,836.55,838.45,1651
2016-10-03T13:00:00+05:30,838.45,838.8,838.0,838.05,412
2016-10-03T13:15:00+05:30,838.0,838.65,836.55,837.35,771
2016-10-03T13:30:00+05:30,837.1,838.55,836.55,838.4,587
2016-10-03T13:45:00+05:30,838.0,838.55,837.1,838.5,441
2016-10-03T14:00:00+05:30,838.5,838.5,834.05,834.05,4838
2016-10-03T14:15:00+05:30,834.1,835.9,830.7,832.6,1092
2016-10-03T14:30:00+05:30,832.6,835.0,832.05,834.0,1021
2016-10-03T14:45:00+05:30,834.7,836.0,833.45,833.75,3115
2016-10-03T15:00:00+05:30,833.75,839.0,833.65,838.9,9502
2016-10-03T15:15:00+05:30,838.9,842.0,831.0,838.05,15971
2016-10-04T09:15:00+05:30,833.05,839.55,830.5,835.0,1594
2016-10-04T09:30:00+05:30,836.25,837.4,836.0,836.3,469
2016-10-04T09:45:00+05:30,836.25,836.6,832.0,832.0,698
2016-10-04T10:00:00+05:30,833.7,839.75,832.0,839.6,1421
2016-10-04T10:15:00+05:30,839.55,840.0,835.4,836.8,2238
2016-10-04T10:30:00+05:30,836.4,838.95,835.95,838.25,530
2016-10-04T10:45:00+05:30,838.85,839.4,835.75,839.4,692
2016-10-04T11:00:00+05:30,839.4,849.7,839.0,845.45,9880
2016-10-04T11:15:00+05:30,845.25,850.0,843.05,847.95,16447
2016-10-04T11:30:00+05:30,848.0,848.65,846.15,846.15,6453
2016-10-04T11:45:00+05:30,846.0,846.8,842.0,842.0,4815
2016-10-04T12:00:00+05:30,842.5,845.0,842.0,844.8,874
2016-10-04T12:15:00+05:30,844.8,844.8,835.0,839.0,15061
2016-10-04T12:30:00+05:30,838.75,838.75,835.4,836.75,764
2016-10-04T12:45:00+05:30,836.15,839.4,835.7,836.9,5249
2016-10-04T13:00:00+05:30,837.0,839.8,837.0,838.25,1131
2016-10-04T13:15:00+05:30,838.1,838.95,836.6,837.7,945
2016-10-04T13:30:00+05:30,837.5,838.6,835.0,835.7,2906
2016-10-04T13:45:00+05:30,835.3,837.9,835.25,836.75,547
2016-10-04T14:00:00+05:30,836.65,836.95,835.1,836.55,912
2016-10-04T14:15:00+05:30,836.0,836.95,835.25,835.4,1126
2016-10-04T14:30:00+05:30,836.55,839.0,835.55,837.65,1194
2016-10-04T14:45:00+05:30,837.55,837.55,835.0,835.5,23014
2016-10-04T15:00:00+05:30,835.5,843.75,835.0,843.55,10659
2016-10-04T15:15:00+05:30,843.55,843.55,838.05,839.85,17401
2016-10-05T09:15:00+05:30,840.0,840.95,831.7,837.95,1899
2016-10-05T09:30:00+05:30,838.0,839.0,833.1,836.95,746
2016-10-05T09:45:00+05:30,836.05,838.0,834.0,834.0,934
2016-10-05T10:00:00+05:30,835.1,836.3,834.0,834.0,318
2016-10-05T10:15:00+05:30,834.05,835.35,833.9,835.35,1144
2016-10-05T10:30:00+05:30,835.05,837.5,835.0,836.05,425
2016-10-05T10:45:00+05:30,837.3,837.3,836.05,836.05,41
2016-10-05T11:00:00+05:30,836.7,837.6,836.1,836.1,126
2016-10-05T11:15:00+05:30,837.3,837.5,836.7,836.7,156
2016-10-05T11:30:00+05:30,837.4,837.55,829.1,829.1,2747
2016-10-05T11:45:00+05:30,829.7,829.85,820.65,827.9,5020
2016-10-05T12:00:00+05:30,827.55,828.05,823.35,827.35,4594
2016-10-05T12:15:00+05:30,827.3,827.4,824.65,826.0,1630
2016-10-05T12:30:00+05:30,826.0,826.65,825.75,826.45,565
2016-10-05T12:45:00+05:30,826.4,827.45,826.4,827.4,1024
2016-10-05T13:00:00+05:30,827.45,831.85,827.4,830.4,1210
2016-10-05T13:15:00+05:30,829.85,831.65,828.0,830.95,1236
2016-10-05T13:30:00+05:30,830.7,832.0,828.05,830.45,1282
2016-10-05T13:45:00+05:30,830.5,832.5,830.5,832.2,1039
2016-10-05T14:00:00+05:30,832.25,832.45,830.55,832.0,599
2016-10-05T14:15:00+05:30,832.0,832.2,831.9,831.95,841
2016-10-05T14:30:00+05:30,831.0,832.0,831.0,831.9,942
2016-10-05T14:45:00+05:30,831.95,834.8,830.7,830.7,1908
2016-10-05T15:00:00+05:30,830.95,832.75,830.0,830.65,6626
2016-10-05T15:15:00+05:30,830.8,830.9,825.6,830.9,3456
2016-10-06T09:15:00+05:30,834.45,837.95,826.65,831.5,1151
2016-10-06T09:30:00+05:30,832.4,832.95,822.0,826.8,4506
2016-10-06T09:45:00+05:30,826.8,828.3,823.25,826.3,2595
2016-10-06T10:00:00+05:30,826.3,830.5,826.05,828.95,2078
2016-10-06T10:15:00+05:30,828.8,832.0,827.35,831.85,1420
2016-10-06T10:30:00+05:30,831.95,834.7,831.0,833.35,1779
2016-10-06T10:45:00+05:30,833.8,833.85,832.65,833.85,641
2016-10-06T11:00:00+05:30,833.8,833.8,833.0,833.0,124
2016-10-06T11:15:00+05:30,831.65,832.75,831.65,832.4,389
2016-10-06T11:30:00+05:30,832.3,833.85,831.65,832.0,1160
2016-10-06T11:45:00+05:30,831.9,832.9,829.1,832.85,566
2016-10-06T12:00:00+05:30,832.05,832.9,832.0,832.05,1094
2016-10-06T12:15:00+05:30,833.0,833.5,830.2,830.2,2946
2016-10-06T12:30:00+05:30,831.0,833.95,831.0,832.05,1077
2016-10-06T12:45:00+05:30,832.1,832.1,829.75,831.0,1245
2016-10-06T13:00:00+05:30,831.4,831.4,829.1,831.05,338
2016-10-06T13:15:00+05:30,831.7,831.7,830.05,830.05,377
2016-10-06T13:30:00+05:30,831.9,831.9,825.9,825.95,1515
2016-10-06T13:45:00+05:30,825.75,826.0,825.0,825.0,2013
2016-10-06T14:00:00+05:30,825.65,826.0,824.95,825.5,1313
2016-10-06T14:15:00+05:30,824.95,824.95,820.65,823.0,3772
2016-10-06T14:30:00+05:30,822.95,822.95,821.0,821.1,1255
2016-10-06T14:45:00+05:30,821.7,822.9,820.65,820.65,1644
2016-10-06T15:00:00+05:30,820.5,825.9,820.5,825.6,2934
2016-10-06T15:15:00+05:30,825.35,826.0,821.3,825.15,5549
2016-10-07T09:15:00+05:30,828.75,828.8,825.2,828.7,167
