datetime,open,high,low,close,volume
2016-10-03T09:15:00+05:30,121.6,121.6,120.75,121.25,288337
2016-10-03T09:30:00+05:30,121.3,122.0,121.1,121.85,230427
2016-10-03T09:45:00+05:30,121.95,124.1,121.9,123.55,623280
2016-10-03T10:00:00+05:30,123.6,123.8,123.25,123.4,206679
2016-10-03T10:15:00+05:30,123.45,123.7,123.25,123.5,112265
2016-10-03T10:30:00+05:30,123.5,123.55,122.75,123.4,137595
2016-10-03T10:45:00+05:30,123.35,123.6,123.25,123.4,68711
2016-10-03T11:00:00+05:30,123.4,123.6,123.2,123.4,147538
2016-10-03T11:15:00+05:30,123.55,123.65,123.2,123.25,175371
2016-10-03T11:30:00+05:30,123.45,123.45,122.8,123.0,209029
2016-10-03T11:45:00+05:30,123.0,123.3,122.6,122.9,177336
2016-10-03T12:00:00+05:30,122.9,123.05,122.6,122.9,111970
2016-10-03T12:15:00+05:30,122.9,123.05,122.75,123.05,101276
2016-10-03T12:30:00+05:30,122.85,123.1,122.8,123.0,156777
2016-10-03T12:45:00+05:30,123.0,123.15,122.8,123.05,99031
2016-10-03T13:00:00+05:30,123.05,123.3,123.05,123.2,43164
2016-10-03T13:15:00+05:30,123.2,123.35,123.1,123.25,70977
2016-10-03T13:30:00+05:30,123.25,123.6,123.2,123.45,76364
2016-10-03T13:45:00+05:30,123.4,123.6,123.3,123.6,89296
2016-10-03T14:00:00+05:30,123.6,123.7,123.35,123.4,60848
2016-10-03T14:15:00+05:30,123.45,123.7,123.45,123.6,53763
2016-10-03T14:30:00+05:30,123.55,123.7,123.4,123.5,79281
2016-10-03T14:45:00+05:30,123.55,123.7,123.25,123.45,200304
2016-10-03T15:00:00+05:30,123.45,124.2,123.45,124.2,454336
2016-10-03T15:15:00+05:30,124.35,124.4,123.6,123.9,274759
2016-10-04T09:15:00+05:30,124.5,126.7,123.7,126.05,1105077
2016-10-04T09:30:00+05:30,126.05,126.85,126.0,126.65,322401
2016-10-04T09:45:00+05:30,126.65,128.15,126.5,127.75,574896
2016-10-04T10:00:00+05:30,127.75,128.75,127.05,127.3,652427
2016-10-04T10:15:00+05:30,127.25,127.4,126.6,126.9,309208
2016-10-04T10:30:00+05:30,126.85,127.55,126.25,127.3,237398
2016-10-04T10:45:00+05:30,127.35,127.4,127.1,127.3,62824
2016-10-04T11:00:00+05:30,127.3,128.0,127.2,128.0,179174
2016-10-04T11:15:00+05:30,128.0,128.15,127.35,127.4,147305
2016-10-04T11:30:00+05:30,127.4,128.3,127.3,127.8,193617
2016-10-04T11:45:00+05:30,127.75,127.85,127.5,127.7,65428
2016-10-04T12:00:00+05:30,127.6,127.8,127.4,127.6,55959
2016-10-04T12:15:00+05:30,127.6,127.6,127.0,127.25,83602
2016-10-04T12:30:00+05:30,127.3,127.55,127.05,127.35,155502
2016-10-04T12:45:00+05:30,127.4,127.75,127.15,127.45,133394
2016-10-04T13:00:00+05:30,127.45,127.95,127.25,127.65,189497
2016-10-04T13:15:00+05:30,127.7,127.85,127.5,127.7,52031
2016-10-04T13:30:00+05:30,127.7,127.7,127.25,127.4,143906
2016-10-04T13:45:00+05:30,127.45,127.9,127.25,127.6,171529
2016-10-04T14:00:00+05:30,127.6,127.8,127.0,127.0,228426
2016-10-04T14:15:00+05:30,127.1,127.6,126.9,127.15,220621
2016-10-04T14:30:00+05:30,127.3,128.5,126.1,127.45,618639
2016-10-04T14:45:00+05:30,127.5,128.4,127.45,128.0,230861
2016-10-04T15:00:00+05:30,127.95,129.6,127.5,129.45,607917
2016-10-04T15:15:00+05:30,129.4,130.5,129.2,129.35,591670
2016-10-05T09:15:00+05:30,130.9,132.35,130.25,131.65,1126342
2016-10-05T09:30:00+05:30,131.75,131.75,130.4,130.95,758148
2016-10-05T09:45:00+05:30,130.85,131.1,129.5,130.5,807318
2016-10-05T10:00:00+05:30,130.5,130.75,129.1,129.95,563968
2016-10-05T10:15:00+05:30,129.85,130.4,129.75,130.15,537033
2016-10-05T10:30:00+05:30,130.25,131.0,130.15,130.9,222192
2016-10-05T10:45:00+05:30,130.9,131.5,130.9,131.2,244869
2016-10-05T11:00:00+05:30,131.2,132.0,131.15,131.95,357363
2016-10-05T11:15:00+05:30,131.95,132.0,131.4,131.5,246058
2016-10-05T11:30:00+05:30,131.5,131.9,131.45,131.7,226104
2016-10-05T11:45:00+05:30,131.65,131.9,131.55,131.75,126898
2016-10-05T12:00:00+05:30,131.8,131.8,131.0,131.4,257529
2016-10-05T12:15:00+05:30,131.5,131.5,131.15,131.4,84951
2016-10-05T12:30:00+05:30,131.4,131.95,131.1,131.65,234109
2016-10-05T12:45:00+05:30,131.75,132.9,131.65,132.75,391032
2016-10-05T13:00:00+05:30,132.8,133.65,132.7,133.45,456312
2016-10-05T13:15:00+05:30,133.45,133.55,133.0,133.35,240887
2016-10-05T13:30:00+05:30,133.2,134.0,133.2,133.9,389429
2016-10-05T13:45:00+05:30,133.85,133.95,133.65,133.8,160635
2016-10-05T14:00:00+05:30,133.8,133.85,132.65,132.8,210903
2016-10-05T14:15:00+05:30,132.85,133.8,132.75,133.3,366319
