datetime,open,high,low,close,volume
2016-10-03T09:15:00+05:30,46.9,47.05,46.6,46.75,384004
2016-10-03T09:30:00+05:30,46.75,47.3,46.55,47.2,716022
2016-10-03T09:45:00+05:30,47.25,47.65,47.2,47.45,871541
2016-10-03T10:00:00+05:30,47.4,47.5,47.2,47.25,358519
2016-10-03T10:15:00+05:30,47.25,47.45,47.2,47.3,278189
2016-10-03T10:30:00+05:30,47.3,47.45,47.25,47.4,192337
2016-10-03T10:45:00+05:30,47.3,47.6,47.3,47.5,193632
2016-10-03T11:00:00+05:30,47.5,47.6,47.45,47.55,439875
2016-10-03T11:15:00+05:30,47.55,47.7,47.35,47.65,335989
2016-10-03T11:30:00+05:30,47.65,47.65,47.35,47.5,277374
2016-10-03T11:45:00+05:30,47.45,47.55,47.35,47.55,133957
2016-10-03T12:00:00+05:30,47.5,47.65,47.45,47.65,179368
2016-10-03T12:15:00+05:30,47.65,47.9,47.6,47.8,433087
2016-10-03T12:30:00+05:30,47.75,48.05,47.75,48.0,468074
2016-10-03T12:45:00+05:30,48.05,48.4,47.9,48.25,607895
2016-10-03T13:00:00+05:30,48.3,48.4,48.1,48.15,174347
2016-10-03T13:15:00+05:30,48.2,48.25,48.05,48.05,99405
2016-10-03T13:30:00+05:30,48.1,48.25,48.0,48.1,305447
2016-10-03T13:45:00+05:30,48.1,48.3,47.95,47.95,257573
2016-10-03T14:00:00+05:30,47.95,48.1,47.8,48.1,219216
2016-10-03T14:15:00+05:30,48.05,48.15,48.0,48.15,52930
2016-10-03T14:30:00+05:30,48.1,48.15,47.9,48.05,91981
2016-10-03T14:45:00+05:30,48.05,48.2,48.0,48.15,127300
2016-10-03T15:00:00+05:30,48.1,48.2,47.85,48.05,358295
2016-10-03T15:15:00+05:30,48.05,48.15,47.95,48.05,491547
2016-10-04T09:15:00+05:30,48.4,48.75,48.15,48.45,481488
2016-10-04T09:30:00+05:30,48.55,48.55,48.25,48.35,578586
2016-10-04T09:45:00+05:30,48.3,48.35,48.1,48.2,294106
2016-10-04T10:00:00+05:30,48.2,48.3,48.15,48.2,162383
2016-10-04T10:15:00+05:30,48.2,48.65,48.15,48.5,259906
2016-10-04T10:30:00+05:30,48.5,48.75,48.45,48.75,512502
2016-10-04T10:45:00+05:30,48.75,49.15,48.7,48.85,918530
2016-10-04T11:00:00+05:30,48.8,49.1,48.75,48.95,200605
2016-10-04T11:15:00+05:30,48.95,49.15,48.85,49.05,388818
2016-10-04T11:30:00+05:30,49.1,49.1,48.75,48.95,328726
2016-10-04T11:45:00+05:30,48.95,48.95,48.75,48.8,120464
2016-10-04T12:00:00+05:30,48.8,48.9,48.7,48.75,145846
2016-10-04T12:15:00+05:30,48.75,48.8,48.15,48.25,747115
2016-10-04T12:30:00+05:30,48.3,48.4,48.15,48.3,134526
2016-10-04T12:45:00+05:30,48.35,48.55,48.3,48.5,106027
2016-10-04T13:00:00+05:30,48.5,48.55,48.3,48.35,185316
2016-10-04T13:15:00+05:30,48.35,48.8,48.35,48.65,183603
2016-10-04T13:30:00+05:30,48.65,48.8,48.55,48.65,108455
2016-10-04T13:45:00+05:30,48.6,48.8,48.6,48.7,88185
2016-10-04T14:00:00+05:30,48.7,48.9,48.55,48.55,379628
2016-10-04T14:15:00+05:30,48.6,48.75,48.3,48.7,286876
2016-10-04T14:30:00+05:30,48.7,48.9,48.4,48.6,248604
2016-10-04T14:45:00+05:30,48.6,48.75,48.6,48.65,132208
2016-10-04T15:00:00+05:30,48.65,48.85,48.6,48.85,255745
2016-10-04T15:15:00+05:30,48.8,48.95,48.75,48.8,510313
2016-10-05T09:15:00+05:30,49.5,49.75,49.1,49.25,1068848
2016-10-05T09:30:00+05:30,49.3,49.3,48.85,49.15,439798
2016-10-05T09:45:00+05:30,49.1,49.2,48.9,49.0,185672
2016-10-05T10:00:00+05:30,49.0,49.05,48.8,48.9,225988
2016-10-05T10:15:00+05:30,48.9,48.9,48.45,48.8,376902
2016-10-05T10:30:00+05:30,48.85,48.85,48.6,48.65,106419
2016-10-05T10:45:00+05:30,48.7,48.8,48.55,48.65,76726
2016-10-05T11:00:00+05:30,48.65,48.9,48.65,48.85,92848
2016-10-05T11:15:00+05:30,48.85,49.0,48.8,48.9,132745
2016-10-05T11:30:00+05:30,48.9,48.95,48.8,48.9,115002
2016-10-05T11:45:00+05:30,48.95,48.95,48.8,48.8,92597
2016-10-05T12:00:00+05:30,48.8,48.85,48.5,48.7,234490
2016-10-05T12:15:00+05:30,48.7,48.8,48.65,48.7,79938
2016-10-05T12:30:00+05:30,48.7,48.8,48.55,48.65,79667
2016-10-05T12:45:00+05:30,48.65,48.75,48.6,48.7,43195
2016-10-05T13:00:00+05:30,48.75,48.85,48.75,48.75,82168
2016-10-05T13:15:00+05:30,48.8,48.9,48.7,48.8,67030
2016-10-05T13:30:00+05:30,48.85,49.1,48.8,48.9,204696
2016-10-05T13:45:00+05:30,48.95,49.0,48.85,48.95,124449
2016-10-05T14:00:00+05:30,48.95,48.95,48.65,48.65,76385
2016-10-05T14:15:00+05:30,48.7,48.8,48.65,48.75,81938
2016-10-05T14:30:00+05:30,48.75,48.85,48.6,48.75,122366
2016-10-05T14:45:00+05:30,48.65,48.75,48.6,48.7,83930
2016-10-05T15:00:00+05:30,48.7,48.8,48.65,48.8,206267
2016-10-05T15:15:00+05:30,48.8,48.8,48.4,48.65,633414
2016-10-06T09:15:00+05:30,48.9,49.0,48.65,48.9,287793
2016-10-06T09:30:00+05:30,48.85,48.9,48.75,48.9,136092
2016-10-06T09:45:00+05:30,48.9,48.95,48.7,48.7,89513
2016-10-06T10:00:00+05:30,48.7,48.75,48.6,48.65,125240
2016-10-06T10:15:00+05:30,48.65,48.75,48.5,48.55,150663
2016-10-06T10:30:00+05:30,48.6,48.75,48.6,48.75,125536
2016-10-06T10:45:00+05:30,48.75,48.75,48.6,48.6,23842
2016-10-06T11:00:00+05:30,48.6,48.65,48.5,48.6,67082
2016-10-06T11:15:00+05:30,48.65,48.65,48.4,48.4,62184
2016-10-06T11:30:00+05:30,48.45,48.75,48.4,48.65,95682
2016-10-06T11:45:00+05:30,48.7,48.7,48.55,48.55,60725
2016-10-06T12:00:00+05:30,48.55,48.65,48.55,48.65,26302
2016-10-06T12:15:00+05:30,48.65,49.05,48.6,48.95,380235
2016-10-06T12:30:00+05:30,48.95,49.0,48.75,48.95,308852
2016-10-06T12:45:00+05:30,48.9,48.95,48.75,48.8,179287
2016-10-06T13:00:00+05:30,48.8,48.85,48.75,48.85,58681
2016-10-06T13:15:00+05:30,48.85,48.85,48.55,48.6,129400
2016-10-06T13:30:00+05:30,48.65,48.65,48.3,48.45,261595
2016-10-06T13:45:00+05:30,48.4,48.55,48.35,48.35,95999
2016-10-06T14:00:00+05:30,48.35,48.35,47.95,48.2,339582
2016-10-06T14:15:00+05:30,48.2,48.2,48.0,48.2,150812
2016-10-06T14:30:00+05:30,48.15,48.25,47.8,47.85,139335
2016-10-06T14:45:00+05:30,47.85,47.95,47.6,47.75,160346
2016-10-06T15:00:00+05:30,47.7,48.0,47.65,47.9,291497
2016-10-06T15:15:00+05:30,47.95,48.1,47.9,47.95,292506
2016-10-07T09:15:00+05:30,48.1,48.5,48.0,48.3,384992
2016-10-07T09:30:00+05:30,48.3,48.4,47.9,48.1,216886
2016-10-07T09:45:00+05:30,48.0,48.2,47.95,47.95,121564
2016-10-07T10:00:00+05:30,47.95,48.25,47.95,48.2,149806
2016-10-07T10:15:00+05:30,48.2,48.3,48.2,48.2,114713
2016-10-07T10:30:00+05:30,48.2,48.4,48.15,48.25,159324
2016-10-07T10:45:00+05:30,48.25,48.6,48.15,48.55,214911
2016-10-07T11:00:00+05:30,48.5,48.7,48.4,48.5,367395
2016-10-07T11:15:00+05:30,48.5,48.5,48.25,48.35,147978
2016-10-07T11:30:00+05:30,48.35,48.45,48.2,48.4,174256
