datetime,open,high,low,close,volume
2016-10-03T09:15:00+05:30,750.0,754.45,750.0,751.85,158103
2016-10-03T09:30:00+05:30,752.0,760.0,751.1,759.9,170647
2016-10-03T09:45:00+05:30,759.95,760.3,756.75,757.5,82514
2016-10-03T10:00:00+05:30,757.15,759.7,757.15,759.5,45729
2016-10-03T10:15:00+05:30,759.25,760.0,758.35,758.4,34887
2016-10-03T10:30:00+05:30,758.6,759.0,756.6,758.5,45165
2016-10-03T10:45:00+05:30,758.25,761.0,757.7,760.2,65686
2016-10-03T11:00:00+05:30,760.2,760.35,758.25,758.85,39768
2016-10-03T11:15:00+05:30,758.8,758.85,757.5,757.75,40175
2016-10-03T11:30:00+05:30,758.0,758.25,755.0,755.0,52134
2016-10-03T11:45:00+05:30,755.3,756.85,753.25,755.5,90534
2016-10-03T12:00:00+05:30,755.5,756.4,752.3,756.4,161125
2016-10-03T12:15:00+05:30,756.5,756.7,754.3,755.65,70046
2016-10-03T12:30:00+05:30,755.95,756.6,755.4,755.85,26794
2016-10-03T12:45:00+05:30,755.8,756.5,755.4,755.7,15258
2016-10-03T13:00:00+05:30,755.75,756.5,755.55,756.05,17537
2016-10-03T13:15:00+05:30,756.15,758.2,755.4,756.8,74818
2016-10-03T13:30:00+05:30,756.8,759.0,756.0,757.4,75171
2016-10-03T13:45:00+05:30,757.5,757.5,756.0,756.0,39879
2016-10-03T14:00:00+05:30,756.0,756.9,755.0,755.9,58791
2016-10-03T14:15:00+05:30,755.65,757.95,755.6,757.7,40580
2016-10-03T14:30:00+05:30,757.7,758.1,756.5,757.85,59447
2016-10-03T14:45:00+05:30,757.95,758.3,756.85,757.35,54523
2016-10-03T15:00:00+05:30,757.3,757.55,756.0,756.4,142508
2016-10-03T15:15:00+05:30,756.5,758.6,756.4,757.05,193303
2016-10-04T09:15:00+05:30,762.0,764.6,759.25,764.1,169523
2016-10-04T09:30:00+05:30,764.05,765.3,763.0,764.0,112180
2016-10-04T09:45:00+05:30,764.0,765.9,763.1,765.2,64983
2016-10-04T10:00:00+05:30,765.2,768.5,764.2,768.35,114674
2016-10-04T10:15:00+05:30,768.05,773.0,768.05,770.6,224127
2016-10-04T10:30:00+05:30,770.55,770.8,768.1,769.45,63117
2016-10-04T10:45:00+05:30,769.25,769.4,767.3,767.7,51638
2016-10-04T11:00:00+05:30,767.65,767.9,767.2,767.5,28381
2016-10-04T11:15:00+05:30,767.5,768.5,764.95,766.9,115424
2016-10-04T11:30:00+05:30,766.85,766.9,762.2,763.0,136670
2016-10-04T11:45:00+05:30,763.0,765.0,762.7,763.35,105056
2016-10-04T12:00:00+05:30,763.4,765.5,763.15,763.55,76791
2016-10-04T12:15:00+05:30,763.6,764.4,762.5,764.25,38786
2016-10-04T12:30:00+05:30,764.1,764.5,763.4,764.1,88664
2016-10-04T12:45:00+05:30,764.4,764.95,763.85,764.45,30463
2016-10-04T13:00:00+05:30,764.45,764.7,763.0,763.3,32550
2016-10-04T13:15:00+05:30,763.35,763.7,762.3,762.3,45596
2016-10-04T13:30:00+05:30,762.4,762.95,761.5,761.9,42519
2016-10-04T13:45:00+05:30,761.8,766.5,761.4,765.75,117755
2016-10-04T14:00:00+05:30,765.8,765.8,762.8,763.6,193014
2016-10-04T14:15:00+05:30,763.35,764.5,762.05,763.85,58911
2016-10-04T14:30:00+05:30,764.2,766.0,761.6,764.65,201310
2016-10-04T14:45:00+05:30,764.7,765.25,763.05,763.1,89867
2016-10-04T15:00:00+05:30,763.4,765.05,762.55,764.95,158415
2016-10-04T15:15:00+05:30,764.95,765.45,763.75,764.3,196320
2016-10-05T09:15:00+05:30,768.5,768.5,763.5,765.75,112829
2016-10-05T09:30:00+05:30,765.8,766.05,764.4,765.0,90636
2016-10-05T09:45:00+05:30,765.0,765.1,764.0,764.7,46190
2016-10-05T10:00:00+05:30,764.75,765.25,764.05,764.45,76998
2016-10-05T10:15:00+05:30,764.4,764.4,761.25,763.0,102723
2016-10-05T10:30:00+05:30,763.0,764.0,762.1,763.0,55681
2016-10-05T10:45:00+05:30,763.0,765.0,762.9,764.0,61611
2016-10-05T11:00:00+05:30,764.1,765.75,764.0,765.0,171704
2016-10-05T11:15:00+05:30,765.0,767.9,764.65,766.9,198910
2016-10-05T11:30:00+05:30,766.9,767.5,766.15,766.5,59538
2016-10-05T11:45:00+05:30,766.5,766.6,765.0,765.4,53823
2016-10-05T12:00:00+05:30,765.5,765.5,764.6,765.1,36162
2016-10-05T12:15:00+05:30,764.95,765.05,763.8,764.4,47799
2016-10-05T12:30:00+05:30,764.65,764.65,763.15,763.45,58539
2016-10-05T12:45:00+05:30,763.45,763.8,762.55,763.4,40697
2016-10-05T13:00:00+05:30,763.3,765.25,763.0,764.85,56099
2016-10-05T13:15:00+05:30,765.3,765.7,763.85,764.3,32796
2016-10-05T13:30:00+05:30,764.3,764.95,763.75,763.8,38891
2016-10-05T13:45:00+05:30,763.8,765.0,763.15,763.35,38430
2016-10-05T14:00:00+05:30,763.35,763.75,762.0,762.1,46610
2016-10-05T14:15:00+05:30,762.2,762.7,759.45,761.5,92710
2016-10-05T14:30:00+05:30,761.55,761.75,760.0,760.35,53775
2016-10-05T14:45:00+05:30,760.9,761.0,759.25,760.2,63293
