datetime,open,high,low,close,volume
2024-11-13T10:00:00+05:30,420.0,420.05,391.0,398.35,18571625
2024-11-13T10:15:00+05:30,398.5,407.45,398.0,400.7,4377525
2024-11-13T10:30:00+05:30,400.75,435.0,400.6,434.8,10609909
2024-11-13T10:45:00+05:30,434.4,444.0,421.1,434.65,8603936
2024-11-13T11:00:00+05:30,434.4,447.0,431.05,444.3,6352068
2024-11-13T11:15:00+05:30,444.3,448.0,438.8,441.95,3230250
2024-11-13T11:30:00+05:30,441.95,449.0,440.0,442.1,2903251
2024-11-13T11:45:00+05:30,442.25,447.5,441.2,447.5,1964536
2024-11-13T12:00:00+05:30,447.25,447.55,440.65,441.4,2162252
2024-11-13T12:15:00+05:30,441.55,443.2,435.35,439.15,2279987
2024-11-13T12:30:00+05:30,439.45,443.5,437.7,441.35,1452659
2024-11-13T12:45:00+05:30,441.4,443.0,427.3,428.8,1347001
2024-11-13T13:00:00+05:30,428.65,438.5,423.35,436.8,2777017
2024-11-13T13:15:00+05:30,437.2,444.0,436.4,443.25,2807227
2024-11-13T13:30:00+05:30,443.25,447.8,442.1,445.85,2406895
2024-11-13T13:45:00+05:30,445.8,449.0,443.25,443.95,1703792
2024-11-13T14:00:00+05:30,443.95,446.0,441.1,444.0,2088040
2024-11-13T14:15:00+05:30,444.0,447.0,433.2,439.15,3266704
2024-11-13T14:30:00+05:30,439.2,445.9,438.0,445.65,2377448
2024-11-13T14:45:00+05:30,445.65,448.65,442.05,444.85,2222450
2024-11-13T15:00:00+05:30,445.0,462.8,443.6,461.8,7188138
2024-11-13T15:15:00+05:30,461.45,465.8,452.1,464.0,5203300
2024-11-14T09:15:00+05:30,473.4,489.4,468.1,470.75,9182661
2024-11-14T09:30:00+05:30,470.65,472.7,430.25,433.0,9377158
2024-11-14T09:45:00+05:30,433.25,451.7,433.0,446.55,5406273
2024-11-14T10:00:00+05:30,446.7,461.0,442.2,457.5,4017424
2024-11-14T10:15:00+05:30,457.5,459.7,443.1,448.1,2481457
2024-11-14T10:30:00+05:30,447.8,449.7,442.0,447.15,1701844
2024-11-14T10:45:00+05:30,447.15,447.8,444.45,446.55,931259
2024-11-14T11:00:00+05:30,446.5,446.55,440.2,441.1,1198058
2024-11-14T11:15:00+05:30,441.0,445.8,440.05,443.95,1169093
2024-11-14T11:30:00+05:30,444.0,445.7,443.05,444.2,684379
2024-11-14T11:45:00+05:30,444.2,445.0,442.85,444.1,413473
2024-11-14T12:00:00+05:30,444.0,444.9,443.2,444.25,420315
2024-11-14T12:15:00+05:30,444.0,444.25,440.1,440.3,552164
2024-11-14T12:30:00+05:30,440.3,441.85,436.1,439.35,1276548
2024-11-14T12:45:00+05:30,439.5,440.8,439.05,439.75,452468
2024-11-14T13:00:00+05:30,439.6,440.8,439.15,439.4,363345
2024-11-14T13:15:00+05:30,439.25,440.7,431.05,433.35,1701421
2024-11-14T13:30:00+05:30,433.35,435.0,427.35,433.15,1853703
2024-11-14T13:45:00+05:30,433.1,438.4,432.0,434.35,937586
2024-11-14T14:00:00+05:30,434.25,435.6,427.6,429.25,1558749
2024-11-14T14:15:00+05:30,429.25,436.3,429.2,435.95,1363839
2024-11-14T14:30:00+05:30,435.75,444.0,435.0,438.45,2210744
2024-11-14T14:45:00+05:30,438.2,442.35,434.2,436.7,1299149
2024-11-14T15:00:00+05:30,436.5,439.7,434.05,435.1,1802296
2024-11-14T15:15:00+05:30,435.05,436.0,418.6,421.6,3181768
2024-11-18T09:15:00+05:30,416.0,432.95,415.75,430.1,4067577
2024-11-18T09:30:00+05:30,430.15,438.7,428.35,430.6,2357036
2024-11-18T09:45:00+05:30,430.6,432.6,428.0,429.85,1418537
2024-11-18T10:00:00+05:30,429.9,432.6,429.7,430.8,610125
2024-11-18T10:15:00+05:30,430.55,431.0,425.15,426.8,1004945
2024-11-18T10:30:00+05:30,426.75,427.0,422.0,422.65,1084757
2024-11-18T10:45:00+05:30,422.9,423.7,420.7,421.6,863748
2024-11-18T11:00:00+05:30,421.55,425.0,420.5,421.65,637233
2024-11-18T11:15:00+05:30,421.65,423.35,421.55,422.3,373053
2024-11-18T11:30:00+05:30,422.25,422.5,413.3,414.5,1353783
2024-11-18T11:45:00+05:30,414.4,419.45,411.8,418.75,1107887
2024-11-18T12:00:00+05:30,418.55,429.65,418.1,424.55,2075034
2024-11-18T12:15:00+05:30,424.8,427.95,421.05,426.25,743033
2024-11-18T12:30:00+05:30,426.05,431.7,423.5,426.5,1506436
