datetime,open,high,low,close,volume
2016-10-03T09:15:00+05:30,60.33,61.77,60.33,61.33,64910
2016-10-03T09:30:00+05:30,61.5,61.84,61.41,61.84,48100
2016-10-03T09:45:00+05:30,61.8,61.84,61.5,61.79,31290
2016-10-03T10:00:00+05:30,61.7,61.8,61.19,61.64,29010
2016-10-03T10:15:00+05:30,61.57,61.65,61.45,61.6,6980
2016-10-03T10:30:00+05:30,61.6,61.7,61.52,61.7,27440
2016-10-03T10:45:00+05:30,61.68,61.7,61.55,61.6,12320
2016-10-03T11:00:00+05:30,61.6,61.84,61.3,61.56,43230
2016-10-03T11:15:00+05:30,61.59,61.6,61.0,61.25,14250
2016-10-03T11:30:00+05:30,61.01,61.46,60.98,61.2,18650
2016-10-03T11:45:00+05:30,61.1,61.35,61.05,61.14,10400
2016-10-03T12:00:00+05:30,61.35,61.48,61.26,61.48,2410
2016-10-03T12:15:00+05:30,61.48,61.68,61.48,61.65,10940
2016-10-03T12:30:00+05:30,61.65,61.69,61.3,61.3,12390
2016-10-03T12:45:00+05:30,61.52,61.58,61.24,61.24,3800
2016-10-03T13:00:00+05:30,61.4,61.8,61.3,61.47,26300
2016-10-03T13:15:00+05:30,61.5,61.77,61.4,61.61,4340
2016-10-03T13:30:00+05:30,61.54,61.63,61.49,61.5,1780
2016-10-03T13:45:00+05:30,61.33,61.66,61.33,61.44,2920
2016-10-03T14:00:00+05:30,61.5,61.5,61.31,61.33,5870
2016-10-03T14:15:00+05:30,61.3,61.45,61.3,61.45,5010
2016-10-03T14:30:00+05:30,61.45,61.47,61.3,61.47,3730
2016-10-03T14:45:00+05:30,61.32,61.45,60.94,61.25,38040
2016-10-03T15:00:00+05:30,61.29,61.41,60.83,61.19,52440
2016-10-03T15:15:00+05:30,61.19,61.6,61.11,61.3,87710
2016-10-04T09:15:00+05:30,61.89,61.95,61.16,61.42,75060
2016-10-04T09:30:00+05:30,61.5,61.63,61.43,61.6,24520
2016-10-04T09:45:00+05:30,61.64,61.68,61.22,61.4,34730
2016-10-04T10:00:00+05:30,61.3,61.4,61.04,61.32,13910
2016-10-04T10:15:00+05:30,61.39,61.4,61.22,61.4,6930
2016-10-04T10:30:00+05:30,61.35,61.38,61.13,61.38,10290
2016-10-04T10:45:00+05:30,61.35,61.55,61.19,61.4,14140
2016-10-04T11:00:00+05:30,61.37,61.6,61.37,61.59,6300
2016-10-04T11:15:00+05:30,61.56,61.69,61.25,61.35,8080
2016-10-04T11:30:00+05:30,61.35,61.49,61.1,61.49,8680
2016-10-04T11:45:00+05:30,61.36,61.48,61.12,61.12,3540
2016-10-04T12:00:00+05:30,61.31,61.38,61.16,61.3,3170
2016-10-04T12:15:00+05:30,61.19,61.3,61.1,61.12,4460
2016-10-04T12:30:00+05:30,61.11,61.27,60.96,60.96,16570
2016-10-04T12:45:00+05:30,60.9,61.18,60.89,61.12,5860
2016-10-04T13:00:00+05:30,61.11,61.64,61.11,61.6,16070
2016-10-04T13:15:00+05:30,61.6,61.6,61.2,61.52,8450
2016-10-04T13:30:00+05:30,61.4,61.4,61.2,61.35,2470
2016-10-04T13:45:00+05:30,61.2,61.3,61.1,61.3,2960
2016-10-04T14:00:00+05:30,61.3,61.3,61.14,61.17,4110
2016-10-04T14:15:00+05:30,61.19,61.36,61.16,61.33,59870
2016-10-04T14:30:00+05:30,61.33,61.6,61.32,61.37,16460
2016-10-04T14:45:00+05:30,61.36,61.47,61.3,61.3,9020
2016-10-04T15:00:00+05:30,61.3,61.4,61.05,61.25,37010
2016-10-04T15:15:00+05:30,61.3,61.4,61.04,61.21,46040
2016-10-05T09:15:00+05:30,61.5,61.68,61.31,61.44,11860
2016-10-05T09:30:00+05:30,61.53,61.7,61.29,61.49,15990
2016-10-05T09:45:00+05:30,61.49,61.49,61.4,61.45,20270
2016-10-05T10:00:00+05:30,61.45,63.4,61.45,62.88,434880
2016-10-05T10:15:00+05:30,62.84,63.35,62.56,62.77,178290
2016-10-05T10:30:00+05:30,62.96,63.3,62.8,63.2,63560
2016-10-05T10:45:00+05:30,63.2,63.4,62.9,63.2,49480
2016-10-05T11:00:00+05:30,63.03,63.2,62.8,62.92,22690
2016-10-05T11:15:00+05:30,62.92,62.97,62.87,62.9,11940
2016-10-05T11:30:00+05:30,62.96,62.97,62.81,62.97,31580
2016-10-05T11:45:00+05:30,62.91,63.2,62.91,63.11,29220
2016-10-05T12:00:00+05:30,63.01,63.01,62.64,62.7,20640
2016-10-05T12:15:00+05:30,62.7,62.7,62.33,62.48,22050
2016-10-05T12:30:00+05:30,62.48,62.7,62.11,62.41,27080
2016-10-05T12:45:00+05:30,62.41,62.5,62.2,62.34,3800
2016-10-05T13:00:00+05:30,62.34,62.7,62.34,62.69,7080
2016-10-05T13:15:00+05:30,62.7,62.7,62.52,62.56,7190
2016-10-05T13:30:00+05:30,62.56,62.81,62.23,62.8,15430
2016-10-05T13:45:00+05:30,62.8,63.1,62.61,63.05,46980
2016-10-05T14:00:00+05:30,63.0,63.2,62.8,62.83,21270
2016-10-05T14:15:00+05:30,62.9,63.0,62.84,63.0,3300
2016-10-05T14:30:00+05:30,62.95,63.9,62.95,63.25,191610
2016-10-05T14:45:00+05:30,63.5,64.8,63.4,64.6,553930
2016-10-05T15:00:00+05:30,64.54,64.87,63.88,63.88,265320
2016-10-05T15:15:00+05:30,63.89,63.98,63.25,63.98,256870
2016-10-06T09:15:00+05:30,64.4,64.4,63.16,64.1,113030
2016-10-06T09:30:00+05:30,63.9,64.1,63.71,63.75,30250
2016-10-06T09:45:00+05:30,63.77,63.91,63.52,63.64,21560
2016-10-06T10:00:00+05:30,63.79,63.79,63.45,63.55,28220
2016-10-06T10:15:00+05:30,63.55,63.62,63.2,63.26,30110
2016-10-06T10:30:00+05:30,63.31,63.59,63.25,63.42,19830
2016-10-06T10:45:00+05:30,63.36,63.65,63.36,63.6,26660
2016-10-06T11:00:00+05:30,63.58,63.6,63.5,63.55,5480
2016-10-06T11:15:00+05:30,63.6,63.68,63.55,63.55,19650
2016-10-06T11:30:00+05:30,63.5,63.63,63.43,63.44,5930
2016-10-06T11:45:00+05:30,63.5,63.58,63.5,63.51,2070
2016-10-06T12:00:00+05:30,63.4,63.49,63.0,63.16,23490
2016-10-06T12:15:00+05:30,63.28,63.6,63.09,63.6,17240
2016-10-06T12:30:00+05:30,63.47,63.55,63.4,63.4,1680
2016-10-06T12:45:00+05:30,63.44,63.6,63.41,63.5,5190
2016-10-06T13:00:00+05:30,63.4,63.4,63.1,63.12,3910
2016-10-06T13:15:00+05:30,63.14,63.48,63.0,63.1,22140
2016-10-06T13:30:00+05:30,63.1,63.1,62.45,62.65,51920
2016-10-06T13:45:00+05:30,62.69,62.75,62.5,62.75,33750
2016-10-06T14:00:00+05:30,62.63,62.7,61.8,61.9,98290
2016-10-06T14:15:00+05:30,62.02,62.1,61.9,62.08,41070
2016-10-06T14:30:00+05:30,62.1,62.19,61.64,62.0,66710
2016-10-06T14:45:00+05:30,61.9,62.19,61.5,61.61,48330
2016-10-06T15:00:00+05:30,61.55,62.36,61.55,62.11,58670
2016-10-06T15:15:00+05:30,62.12,62.35,61.91,62.11,123000
2016-10-07T09:15:00+05:30,62.3,62.6,61.71,62.52,28410
2016-10-07T09:30:00+05:30,62.5,62.54,61.76,62.2,25350
2016-10-07T09:45:00+05:30,62.2,62.26,61.93,61.93,11230
2016-10-07T10:00:00+05:30,61.88,62.72,61.82,62.4,28320
2016-10-07T10:15:00+05:30,62.46,62.68,62.1,62.12,11900
2016-10-07T10:30:00+05:30,62.1,62.51,62.1,62.3,7660
2016-10-07T10:45:00+05:30,62.3,62.51,62.11,62.5,8510
2016-10-07T11:00:00+05:30,62.53,63.0,62.47,62.63,41400
2016-10-07T11:15:00+05:30,62.56,62.6,62.13,62.2,21760
2016-10-07T11:30:00+05:30,62.2,62.25,62.11,62.11,9500
2016-10-07T11:45:00+05:30,62.08,62.13,62.01,62.07,12980
2016-10-07T12:00:00+05:30,62.07,62.22,61.81,61.91,10740
2016-10-07T12:15:00+05:30,61.93,62.0,61.83,61.88,18720
2016-10-07T12:30:00+05:30,61.88,62.21,61.75,62.21,20480
2016-10-07T12:45:00+05:30,62.02,62.19,62.0,62.0,13640
2016-10-07T13:00:00+05:30,61.9,61.9,61.61,61.67,13810
2016-10-07T13:15:00+05:30,61.64,61.83,61.61,61.75,5450
2016-10-07T13:30:00+05:30,61.69,62.0,61.65,62.0,5730
2016-10-07T13:45:00+05:30,61.88,62.12,61.75,61.93,18760
2016-10-07T14:00:00+05:30,61.95,62.0,61.82,61.94,2970
2016-10-07T14:15:00+05:30,62.0,62.29,61.8,61.82,16040
2016-10-07T14:30:00+05:30,61.85,61.9,61.61,61.61,14520
2016-10-07T14:45:00+05:30,61.62,61.78,61.61,61.7,17740
2016-10-07T15:00:00+05:30,61.7,61.8,61.63,61.63,19690
2016-10-07T15:15:00+05:30,61.66,61.79,61.45,61.64,72940
2016-10-10T09:15:00+05:30,61.81,62.9,61.79,61.9,81490
2016-10-10T09:30:00+05:30,62.1,62.7,62.1,62.4,70460
2016-10-10T09:45:00+05:30,62.4,62.59,62.31,62.5,15030
2016-10-10T10:00:00+05:30,62.31,62.38,62.21,62.3,5620
2016-10-10T10:15:00+05:30,62.3,62.9,62.2,62.6,30230
2016-10-10T10:30:00+05:30,62.6,62.6,62.26,62.54,7670
2016-10-10T10:45:00+05:30,62.47,62.9,62.47,62.8,28060
2016-10-10T11:00:00+05:30,62.8,62.84,62.64,62.75,5950
2016-10-10T11:15:00+05:30,62.75,62.8,62.63,62.63,6250
2016-10-10T11:30:00+05:30,62.64,62.8,62.64,62.8,3200
2016-10-10T11:45:00+05:30,62.7,62.72,62.61,62.61,4300
2016-10-10T12:00:00+05:30,62.61,62.61,62.6,62.6,2470
2016-10-10T12:15:00+05:30,62.52,62.65,62.37,62.65,9760
2016-10-10T12:30:00+05:30,62.5,62.5,62.31,62.38,4470
2016-10-10T12:45:00+05:30,62.37,62.48,62.28,62.28,6170
2016-10-10T13:00:00+05:30,62.3,62.45,62.26,62.44,5400
2016-10-10T13:15:00+05:30,62.38,62.41,62.35,62.35,10650
2016-10-10T13:30:00+05:30,62.35,62.4,62.25,62.4,3970
2016-10-10T13:45:00+05:30,62.25,62.25,62.2,62.2,5100
2016-10-10T14:00:00+05:30,62.29,62.5,62.21,62.3,2760
2016-10-10T14:15:00+05:30,62.28,62.28,62.09,62.2,16570
2016-10-10T14:30:00+05:30,62.22,62.29,62.1,62.1,8140
2016-10-10T14:45:00+05:30,62.15,62.18,62.0,62.0,19390
2016-10-10T15:00:00+05:30,62.1,62.16,61.9,61.91,15170
2016-10-10T15:15:00+05:30,61.9,62.15,61.61,61.93,56930
2016-10-13T09:15:00+05:30,61.7,61.89,61.0,61.01,26340
2016-10-13T09:30:00+05:30,60.95,62.0,60.51,61.42,53560
