datetime,open,high,low,close,volume
2016-10-03T09:15:00+05:30,75.5,76.0,75.4,75.9,317811
2016-10-03T09:30:00+05:30,75.85,76.65,75.75,76.2,232176
2016-10-03T09:45:00+05:30,76.2,76.3,76.1,76.2,69534
2016-10-03T10:00:00+05:30,76.2,76.25,76.15,76.15,65036
2016-10-03T10:15:00+05:30,76.15,76.3,76.05,76.15,54677
2016-10-03T10:30:00+05:30,76.1,76.25,76.0,76.1,33940
2016-10-03T10:45:00+05:30,76.05,76.1,75.95,76.05,40381
2016-10-03T11:00:00+05:30,76.0,76.1,75.9,75.95,44386
2016-10-03T11:15:00+05:30,76.0,76.05,75.8,75.85,58325
2016-10-03T11:30:00+05:30,75.95,76.25,75.8,76.0,93922
2016-10-03T11:45:00+05:30,76.0,76.4,75.95,76.15,188374
2016-10-03T12:00:00+05:30,76.2,76.3,76.05,76.15,88769
2016-10-03T12:15:00+05:30,76.15,76.4,76.1,76.3,112164
2016-10-03T12:30:00+05:30,76.25,76.45,76.2,76.45,57858
2016-10-03T12:45:00+05:30,76.4,76.5,76.1,76.25,68373
2016-10-03T13:00:00+05:30,76.25,76.5,76.1,76.3,137667
2016-10-03T13:15:00+05:30,76.3,76.35,76.2,76.35,44899
2016-10-03T13:30:00+05:30,76.35,76.5,76.25,76.45,64174
2016-10-03T13:45:00+05:30,76.45,76.55,76.35,76.45,55918
2016-10-03T14:00:00+05:30,76.55,76.6,76.4,76.4,174980
2016-10-03T14:15:00+05:30,76.4,76.8,76.35,76.8,166931
2016-10-03T14:30:00+05:30,76.8,76.8,76.35,76.6,152325
2016-10-03T14:45:00+05:30,76.6,76.6,76.3,76.3,129496
2016-10-03T15:00:00+05:30,76.35,76.6,76.05,76.4,237843
2016-10-03T15:15:00+05:30,76.4,76.6,76.4,76.45,218574
2016-10-04T09:15:00+05:30,76.9,77.5,76.5,77.45,237711
2016-10-04T09:30:00+05:30,77.5,77.7,77.4,77.6,195299
2016-10-04T09:45:00+05:30,77.55,77.9,77.4,77.65,246158
2016-10-04T10:00:00+05:30,77.65,77.7,77.2,77.2,264248
2016-10-04T10:15:00+05:30,77.2,77.5,77.1,77.35,148446
2016-10-04T10:30:00+05:30,77.35,77.5,77.25,77.4,254700
2016-10-04T10:45:00+05:30,77.45,77.6,77.4,77.5,75858
2016-10-04T11:00:00+05:30,77.5,77.75,77.4,77.65,64554
2016-10-04T11:15:00+05:30,77.7,77.8,77.6,77.75,109616
2016-10-04T11:30:00+05:30,77.75,77.75,77.35,77.4,99974
2016-10-04T11:45:00+05:30,77.4,77.7,77.35,77.45,83140
2016-10-04T12:00:00+05:30,77.55,77.55,77.35,77.5,66209
2016-10-04T12:15:00+05:30,77.5,77.6,77.45,77.6,39489
2016-10-04T12:30:00+05:30,77.6,77.7,77.45,77.5,46108
2016-10-04T12:45:00+05:30,77.5,77.7,77.45,77.7,48826
2016-10-04T13:00:00+05:30,77.7,77.7,77.55,77.55,31417
2016-10-04T13:15:00+05:30,77.6,77.65,77.55,77.55,44821
2016-10-04T13:30:00+05:30,77.6,77.65,77.55,77.6,33884
2016-10-04T13:45:00+05:30,77.6,77.75,77.45,77.6,76313
2016-10-04T14:00:00+05:30,77.6,77.7,77.5,77.55,56192
2016-10-04T14:15:00+05:30,77.5,78.2,77.45,77.9,578061
2016-10-04T14:30:00+05:30,77.9,78.15,77.55,77.85,276143
2016-10-04T14:45:00+05:30,77.85,77.95,77.35,77.45,237625
2016-10-04T15:00:00+05:30,77.4,77.9,77.05,77.8,580448
