datetime,open,high,low,close,volume
2016-10-03T09:15:00+05:30,420.0,424.55,420.0,424.15,107561
2016-10-03T09:30:00+05:30,424.0,425.0,423.1,424.6,56655
2016-10-03T09:45:00+05:30,424.7,424.8,422.5,422.85,29345
2016-10-03T10:00:00+05:30,422.85,423.1,420.5,420.8,45091
2016-10-03T10:15:00+05:30,420.95,422.0,420.85,421.9,27239
2016-10-03T10:30:00+05:30,421.85,421.9,420.75,421.05,21483
2016-10-03T10:45:00+05:30,421.25,421.25,420.7,420.9,17052
2016-10-03T11:00:00+05:30,420.9,422.3,420.7,422.25,209782
2016-10-03T11:15:00+05:30,422.25,422.5,421.0,421.55,19702
2016-10-03T11:30:00+05:30,421.55,422.25,421.05,421.95,21952
2016-10-03T11:45:00+05:30,422.0,422.25,420.6,421.0,65868
2016-10-03T12:00:00+05:30,421.0,421.15,420.7,421.0,56946
2016-10-03T12:15:00+05:30,420.75,421.2,420.7,420.75,16746
2016-10-03T12:30:00+05:30,420.75,421.75,420.7,420.95,42431
2016-10-03T12:45:00+05:30,420.8,421.1,420.7,420.85,21243
2016-10-03T13:00:00+05:30,420.85,421.45,420.7,421.0,31358
2016-10-03T13:15:00+05:30,420.85,421.05,420.6,420.8,11191
2016-10-03T13:30:00+05:30,420.8,420.95,418.2,418.7,101554
2016-10-03T13:45:00+05:30,418.8,420.2,418.55,419.9,45379
2016-10-03T14:00:00+05:30,419.7,420.45,419.4,420.0,30541
2016-10-03T14:15:00+05:30,419.9,420.6,419.7,420.0,114040
2016-10-03T14:30:00+05:30,420.0,421.25,419.8,420.0,127268
2016-10-03T14:45:00+05:30,419.95,421.25,419.9,421.2,94554
2016-10-03T15:00:00+05:30,421.05,421.5,420.2,420.4,141986
2016-10-03T15:15:00+05:30,420.4,421.55,419.9,420.7,296207
2016-10-04T09:15:00+05:30,424.65,424.65,423.0,423.35,124358
2016-10-04T09:30:00+05:30,423.35,425.7,422.25,425.65,117286
2016-10-04T09:45:00+05:30,425.65,428.4,425.25,428.25,134911
2016-10-04T10:00:00+05:30,428.25,428.6,427.1,427.25,92336
2016-10-04T10:15:00+05:30,427.25,428.5,427.1,428.45,51134
2016-10-04T10:30:00+05:30,428.45,428.55,427.75,428.25,69143
2016-10-04T10:45:00+05:30,428.25,428.5,427.6,428.0,44534
2016-10-04T11:00:00+05:30,428.0,428.15,426.8,427.15,64680
2016-10-04T11:15:00+05:30,427.1,427.25,426.85,427.0,32276
2016-10-04T11:30:00+05:30,427.0,427.0,426.35,426.5,30851
2016-10-04T11:45:00+05:30,426.5,427.25,426.35,427.0,33602
2016-10-04T12:00:00+05:30,427.0,427.1,426.6,426.65,33567
2016-10-04T12:15:00+05:30,426.65,431.9,426.65,429.5,169077
2016-10-04T12:30:00+05:30,429.5,430.0,428.65,429.25,55322
2016-10-04T12:45:00+05:30,429.1,429.9,429.0,429.7,35854
2016-10-04T13:00:00+05:30,429.7,430.7,429.65,429.95,39733
2016-10-04T13:15:00+05:30,429.95,430.0,429.55,429.95,31930
2016-10-04T13:30:00+05:30,429.9,430.85,429.75,430.85,38409
2016-10-04T13:45:00+05:30,430.75,430.95,430.45,430.8,43561
2016-10-04T14:00:00+05:30,430.5,430.9,429.05,429.1,37731
2016-10-04T14:15:00+05:30,429.1,429.3,424.7,425.85,443545
2016-10-04T14:30:00+05:30,425.85,428.7,425.65,428.0,126813
2016-10-04T14:45:00+05:30,427.9,429.25,427.85,428.45,55600
2016-10-04T15:00:00+05:30,428.5,429.5,428.45,428.7,96253
2016-10-04T15:15:00+05:30,428.7,429.25,428.0,428.7,142389
2016-10-05T09:15:00+05:30,431.1,433.0,427.55,428.0,98486
2016-10-05T09:30:00+05:30,427.95,428.1,425.3,426.85,88154
2016-10-05T09:45:00+05:30,426.7,427.2,425.4,426.55,57555
2016-10-05T10:00:00+05:30,426.55,427.15,425.0,425.45,51428
2016-10-05T10:15:00+05:30,425.45,426.0,424.65,425.1,52111
2016-10-05T10:30:00+05:30,425.25,425.25,424.0,424.9,26090
2016-10-05T10:45:00+05:30,424.9,425.8,424.0,424.8,23796
2016-10-05T11:00:00+05:30,424.7,426.0,424.65,425.35,39562
2016-10-05T11:15:00+05:30,425.25,425.75,425.0,425.3,16531
2016-10-05T11:30:00+05:30,425.15,425.85,425.1,425.85,11402
2016-10-05T11:45:00+05:30,425.6,426.1,425.15,425.95,17445
2016-10-05T12:00:00+05:30,425.85,426.25,424.7,424.85,24849
2016-10-05T12:15:00+05:30,424.9,424.9,424.0,424.1,41525
2016-10-05T12:30:00+05:30,424.15,425.5,424.15,424.85,20301
2016-10-05T12:45:00+05:30,425.0,425.6,424.5,425.1,22338
2016-10-05T13:00:00+05:30,425.0,426.0,423.25,423.55,110746
2016-10-05T13:15:00+05:30,423.6,424.0,423.4,424.0,23100
2016-10-05T13:30:00+05:30,424.0,424.25,423.75,423.8,81774
2016-10-05T13:45:00+05:30,423.8,424.4,423.6,424.2,136922
2016-10-05T14:00:00+05:30,424.0,424.2,423.65,423.9,93918
2016-10-05T14:15:00+05:30,423.95,424.25,423.75,424.0,103970
2016-10-05T14:30:00+05:30,423.95,424.25,423.6,423.95,32863
2016-10-05T14:45:00+05:30,423.95,424.25,423.5,424.0,32448
2016-10-05T15:00:00+05:30,424.0,426.0,423.75,425.85,122646
2016-10-05T15:15:00+05:30,425.8,426.8,423.85,425.3,146165
2016-10-06T09:15:00+05:30,425.0,428.65,424.4,427.0,122581
2016-10-06T09:30:00+05:30,426.9,427.4,425.0,425.0,42328
2016-10-06T09:45:00+05:30,425.2,425.25,424.25,425.2,38835
2016-10-06T10:00:00+05:30,425.2,425.7,425.0,425.5,24981
2016-10-06T10:15:00+05:30,425.3,425.5,424.5,424.75,16999
2016-10-06T10:30:00+05:30,424.9,425.0,422.3,424.15,47397
2016-10-06T10:45:00+05:30,424.1,424.15,423.25,424.0,19040
2016-10-06T11:00:00+05:30,423.95,425.1,423.75,424.5,37445
2016-10-06T11:15:00+05:30,424.5,424.55,423.0,423.95,41085
2016-10-06T11:30:00+05:30,423.85,424.4,423.1,424.15,39043
2016-10-06T11:45:00+05:30,424.0,424.15,422.6,423.95,67371
2016-10-06T12:00:00+05:30,423.95,424.0,423.25,424.0,15221
2016-10-06T12:15:00+05:30,424.0,424.45,423.45,423.7,31535
2016-10-06T12:30:00+05:30,423.6,424.15,423.6,424.0,123700
2016-10-06T12:45:00+05:30,424.0,424.5,423.9,424.25,229302
2016-10-06T13:00:00+05:30,424.25,424.55,423.9,423.9,37317
2016-10-06T13:15:00+05:30,424.0,424.15,423.6,423.95,11438
2016-10-06T13:30:00+05:30,423.9,424.05,423.7,424.0,105159
2016-10-06T13:45:00+05:30,424.0,424.05,423.35,423.6,47018
2016-10-06T14:00:00+05:30,423.75,424.05,422.0,424.0,62304
2016-10-06T14:15:00+05:30,424.0,424.0,422.65,423.6,65853
2016-10-06T14:30:00+05:30,423.6,423.65,421.25,421.65,56772
2016-10-06T14:45:00+05:30,421.5,421.9,420.45,421.7,60544
2016-10-06T15:00:00+05:30,421.7,422.25,420.8,421.5,82156
2016-10-06T15:15:00+05:30,421.4,421.7,419.15,420.75,133412
2016-10-07T09:15:00+05:30,421.9,423.15,420.6,422.4,68793
2016-10-07T09:30:00+05:30,422.5,424.4,422.4,423.4,227008
2016-10-07T09:45:00+05:30,423.3,423.75,421.55,422.05,57998
2016-10-07T10:00:00+05:30,422.0,424.0,422.0,423.85,49579
2016-10-07T10:15:00+05:30,423.9,424.0,422.9,423.05,25652
2016-10-07T10:30:00+05:30,423.0,423.75,422.95,423.05,30722
2016-10-07T10:45:00+05:30,423.0,423.55,422.9,423.1,29303
2016-10-07T11:00:00+05:30,423.05,423.45,422.9,423.1,44948
2016-10-07T11:15:00+05:30,423.05,423.2,422.45,422.8,62879
2016-10-07T11:30:00+05:30,422.6,422.85,421.55,421.6,37633
2016-10-07T11:45:00+05:30,421.6,422.4,420.95,421.85,47524
2016-10-07T12:00:00+05:30,421.8,423.0,421.6,422.85,30147
2016-10-07T12:15:00+05:30,422.7,424.0,422.45,423.3,29001
2016-10-07T12:30:00+05:30,423.2,423.5,422.0,422.9,18566
2016-10-07T12:45:00+05:30,422.9,423.2,421.5,421.8,25770
2016-10-07T13:00:00+05:30,421.8,422.4,421.5,421.95,29542
2016-10-07T13:15:00+05:30,421.95,423.0,421.4,421.55,69880
2016-10-07T13:30:00+05:30,421.55,422.2,421.25,421.35,36701
2016-10-07T13:45:00+05:30,421.45,422.0,420.65,420.8,32331
2016-10-07T14:00:00+05:30,421.0,421.0,419.45,419.8,61202
2016-10-07T14:15:00+05:30,419.65,419.85,418.5,419.15,53815
2016-10-07T14:30:00+05:30,419.15,419.15,417.2,418.1,69280
2016-10-07T14:45:00+05:30,418.1,418.6,417.35,417.95,31458
2016-10-07T15:00:00+05:30,417.95,421.0,417.8,419.1,177914
2016-10-07T15:15:00+05:30,419.25,420.9,418.55,419.75,213897
2016-10-10T09:15:00+05:30,421.5,421.5,417.0,417.9,67993
2016-10-10T09:30:00+05:30,417.85,418.4,417.15,418.05,40181
2016-10-10T09:45:00+05:30,418.1,420.4,418.05,419.3,57114
2016-10-10T10:00:00+05:30,419.4,421.85,419.1,421.8,38168
2016-10-10T10:15:00+05:30,421.9,424.8,421.7,423.5,82720
2016-10-10T10:30:00+05:30,423.5,423.5,422.0,422.35,20031
2016-10-10T10:45:00+05:30,422.4,422.75,421.5,421.5,14635
2016-10-10T11:00:00+05:30,421.6,422.65,420.75,422.05,38626
2016-10-10T11:15:00+05:30,422.15,422.5,421.1,421.2,17747
2016-10-10T11:30:00+05:30,421.3,421.5,420.75,420.95,22028
2016-10-10T11:45:00+05:30,420.95,421.25,420.2,420.65,25206
2016-10-10T12:00:00+05:30,420.65,421.0,420.55,420.9,20115
2016-10-10T12:15:00+05:30,420.95,422.5,420.95,421.75,46409
2016-10-10T12:30:00+05:30,421.8,421.9,420.8,421.5,19384
2016-10-10T12:45:00+05:30,421.5,422.0,421.35,421.8,18230
2016-10-10T13:00:00+05:30,421.7,422.0,421.45,421.85,14812
2016-10-10T13:15:00+05:30,421.85,421.9,421.15,421.3,15971
2016-10-10T13:30:00+05:30,421.3,421.5,421.0,421.1,15856
2016-10-10T13:45:00+05:30,421.2,421.8,420.75,421.0,58929
2016-10-10T14:00:00+05:30,421.05,422.4,421.0,421.75,55930
2016-10-10T14:15:00+05:30,421.7,423.0,421.3,422.75,22669
2016-10-10T14:30:00+05:30,422.75,423.0,421.5,421.85,28792
2016-10-10T14:45:00+05:30,422.15,422.85,421.5,421.6,16477
2016-10-10T15:00:00+05:30,421.65,422.55,421.0,421.75,150635
2016-10-10T15:15:00+05:30,421.8,422.15,421.0,421.85,88593
2016-10-13T09:15:00+05:30,421.7,423.55,418.4,421.8,272195
2016-10-13T09:30:00+05:30,421.8,422.55,421.2,421.6,80905
2016-10-13T09:45:00+05:30,421.55,424.7,421.55,424.4,138706
2016-10-13T10:00:00+05:30,424.35,424.4,422.5,423.3,75416
2016-10-13T10:15:00+05:30,423.4,423.4,421.8,422.0,63576
2016-10-13T10:30:00+05:30,422.0,424.3,421.95,424.1,82224
2016-10-13T10:45:00+05:30,424.0,424.5,423.5,424.5,67822
2016-10-13T11:00:00+05:30,424.5,424.6,423.4,424.0,93455
2016-10-13T11:15:00+05:30,424.0,424.05,422.45,423.0,114053
2016-10-13T11:30:00+05:30,423.0,423.35,421.55,421.85,56091
2016-10-13T11:45:00+05:30,421.9,423.6,421.55,422.8,52355
2016-10-13T12:00:00+05:30,422.9,422.9,420.25,421.0,49733
2016-10-13T12:15:00+05:30,421.0,421.8,420.65,421.8,40654
2016-10-13T12:30:00+05:30,421.8,422.25,421.0,421.45,44969
2016-10-13T12:45:00+05:30,421.5,421.75,419.95,421.25,83777
2016-10-13T13:00:00+05:30,421.25,422.15,420.8,422.05,40513
2016-10-13T13:15:00+05:30,421.95,423.25,421.95,422.7,58178
2016-10-13T13:30:00+05:30,422.8,422.8,421.55,421.95,61337
2016-10-13T13:45:00+05:30,421.9,422.25,421.7,421.95,52520
2016-10-13T14:00:00+05:30,421.95,422.25,421.1,421.9,170508
2016-10-13T14:15:00+05:30,421.95,422.4,417.5,419.4,237333
2016-10-13T14:30:00+05:30,419.4,420.35,418.3,420.0,61143
2016-10-13T14:45:00+05:30,420.0,420.6,419.9,420.1,42011
2016-10-13T15:00:00+05:30,420.2,422.7,420.2,422.3,205833
2016-10-13T15:15:00+05:30,422.3,423.5,421.05,422.2,226207
