datetime,open,high,low,close,volume
2016-10-03T09:15:00+05:30,398.0,399.7,395.1,396.5,48099
2016-10-03T09:30:00+05:30,396.5,399.95,396.05,398.55,54590
2016-10-03T09:45:00+05:30,398.55,400.4,398.55,399.3,39800
2016-10-03T10:00:00+05:30,399.2,399.75,398.35,399.15,36000
2016-10-03T10:15:00+05:30,399.15,401.35,398.85,401.0,134589
2016-10-03T10:30:00+05:30,401.0,401.0,399.85,399.95,19434
2016-10-03T10:45:00+05:30,399.8,400.75,399.6,400.5,12138
2016-10-03T11:00:00+05:30,400.5,401.35,400.5,400.95,20534
2016-10-03T11:15:00+05:30,400.85,402.55,400.55,401.3,106784
2016-10-03T11:30:00+05:30,401.3,401.95,401.25,401.8,30847
2016-10-03T11:45:00+05:30,401.8,402.15,401.1,401.4,17116
2016-10-03T12:00:00+05:30,401.4,403.6,401.4,403.1,37525
2016-10-03T12:15:00+05:30,403.1,403.2,402.15,402.35,11281
2016-10-03T12:30:00+05:30,402.35,403.7,401.95,403.7,12381
2016-10-03T12:45:00+05:30,403.7,403.8,402.75,403.0,9433
2016-10-03T13:00:00+05:30,403.05,403.2,402.4,402.75,44363
2016-10-03T13:15:00+05:30,402.75,403.0,401.8,402.8,60412
2016-10-03T13:30:00+05:30,402.85,403.3,402.4,403.05,38128
2016-10-03T13:45:00+05:30,403.2,405.75,403.0,404.3,61646
2016-10-03T14:00:00+05:30,404.55,407.3,404.3,405.5,60737
2016-10-03T14:15:00+05:30,405.1,406.25,404.0,404.85,44734
2016-10-03T14:30:00+05:30,405.0,406.35,404.4,406.0,36237
2016-10-03T14:45:00+05:30,406.0,408.55,405.55,406.0,62586
2016-10-03T15:00:00+05:30,405.8,407.0,405.5,406.95,46132
2016-10-03T15:15:00+05:30,406.85,407.65,406.05,406.6,86798
2016-10-04T09:15:00+05:30,407.35,407.9,405.2,406.15,27605
2016-10-04T09:30:00+05:30,406.2,406.35,405.25,405.3,12528
2016-10-04T09:45:00+05:30,405.4,406.4,404.95,406.3,22567
2016-10-04T10:00:00+05:30,406.35,407.5,405.65,406.35,22003
2016-10-04T10:15:00+05:30,406.25,406.4,405.3,405.7,14279
2016-10-04T10:30:00+05:30,405.7,406.45,405.5,405.85,10519
2016-10-04T10:45:00+05:30,405.95,406.0,405.05,405.5,12343
2016-10-04T11:00:00+05:30,405.5,406.65,405.45,406.4,8168
2016-10-04T11:15:00+05:30,406.4,406.4,404.25,404.6,12736
2016-10-04T11:30:00+05:30,404.6,404.75,402.85,403.15,8900
2016-10-04T11:45:00+05:30,403.15,403.5,400.6,400.95,26168
2016-10-04T12:00:00+05:30,401.0,402.4,400.95,401.6,18113
2016-10-04T12:15:00+05:30,401.6,402.2,401.0,401.35,17443
2016-10-04T12:30:00+05:30,401.35,402.9,401.35,402.65,13080
2016-10-04T12:45:00+05:30,402.6,403.5,402.6,403.0,10606
2016-10-04T13:00:00+05:30,403.0,403.15,401.65,402.0,9547
2016-10-04T13:15:00+05:30,402.0,402.6,402.0,402.15,5325
2016-10-04T13:30:00+05:30,402.1,402.55,402.0,402.3,13908
2016-10-04T13:45:00+05:30,402.3,403.15,402.0,403.1,15156
2016-10-04T14:00:00+05:30,403.1,403.15,402.55,402.65,19630
2016-10-04T14:15:00+05:30,402.4,403.75,402.0,403.4,36222
2016-10-04T14:30:00+05:30,403.4,404.25,402.0,402.2,17357
2016-10-04T14:45:00+05:30,402.2,404.2,402.05,404.05,33336
2016-10-04T15:00:00+05:30,404.0,404.2,403.1,403.75,41670
2016-10-04T15:15:00+05:30,403.65,408.2,403.25,406.55,354663
2016-10-05T09:15:00+05:30,406.7,408.85,404.15,404.7,43218
2016-10-05T09:30:00+05:30,404.75,405.2,402.05,402.5,24871
2016-10-05T09:45:00+05:30,402.5,402.9,402.0,402.8,25053
2016-10-05T10:00:00+05:30,402.8,403.05,402.1,402.35,12017
2016-10-05T10:15:00+05:30,402.4,402.4,400.7,402.25,24897
2016-10-05T10:30:00+05:30,402.25,402.85,401.35,402.6,11268
2016-10-05T10:45:00+05:30,402.65,403.0,402.55,402.6,10637
2016-10-05T11:00:00+05:30,402.75,403.9,402.6,403.65,17275
2016-10-05T11:15:00+05:30,403.65,403.75,402.8,403.0,6324
2016-10-05T11:30:00+05:30,403.0,403.5,402.7,403.25,12598
2016-10-05T11:45:00+05:30,403.4,404.1,403.0,404.05,11916
2016-10-05T12:00:00+05:30,404.05,404.05,403.1,403.25,2564
2016-10-05T12:15:00+05:30,403.35,403.5,403.0,403.1,2530
2016-10-05T12:30:00+05:30,403.1,403.55,402.5,402.7,9894
2016-10-05T12:45:00+05:30,402.95,403.9,402.7,403.5,20302
2016-10-05T13:00:00+05:30,403.55,405.25,403.1,405.2,27426
2016-10-05T13:15:00+05:30,405.2,405.5,403.05,403.1,31536
2016-10-05T13:30:00+05:30,403.25,405.5,403.05,403.6,80256
2016-10-05T13:45:00+05:30,403.9,405.5,403.5,404.3,40352
2016-10-05T14:00:00+05:30,404.3,405.5,403.3,404.95,93244
2016-10-05T14:15:00+05:30,404.95,405.8,404.95,405.15,49615
2016-10-05T14:30:00+05:30,405.15,407.15,405.0,405.6,58129
2016-10-05T14:45:00+05:30,405.9,407.6,405.65,406.6,32135
2016-10-05T15:00:00+05:30,406.8,407.1,405.85,406.45,31609
2016-10-05T15:15:00+05:30,406.1,406.3,405.0,405.9,54607
2016-10-06T09:15:00+05:30,406.5,408.9,404.5,408.2,47712
2016-10-06T09:30:00+05:30,408.45,408.65,406.45,407.25,28876
2016-10-06T09:45:00+05:30,407.35,408.5,406.55,407.75,36583
2016-10-06T10:00:00+05:30,407.75,408.25,403.2,405.55,53575
2016-10-06T10:15:00+05:30,405.8,405.9,403.35,405.3,20789
2016-10-06T10:30:00+05:30,405.25,407.0,405.05,406.55,16767
2016-10-06T10:45:00+05:30,406.6,407.0,406.35,406.5,6301
2016-10-06T11:00:00+05:30,406.5,407.75,406.1,407.3,22664
2016-10-06T11:15:00+05:30,407.5,408.75,406.5,406.55,80800
2016-10-06T11:30:00+05:30,406.55,406.85,406.3,406.65,4489
2016-10-06T11:45:00+05:30,406.7,406.95,406.65,406.8,5419
2016-10-06T12:00:00+05:30,406.8,407.25,405.95,407.05,12099
2016-10-06T12:15:00+05:30,407.25,407.7,406.7,406.7,10167
2016-10-06T12:30:00+05:30,407.0,407.9,405.2,406.0,55884
2016-10-06T12:45:00+05:30,406.0,406.0,403.15,404.3,63777
2016-10-06T13:00:00+05:30,404.3,405.0,402.5,403.05,69769
2016-10-06T13:15:00+05:30,403.05,404.5,402.5,403.4,31362
2016-10-06T13:30:00+05:30,403.35,403.35,399.45,400.0,49602
2016-10-06T13:45:00+05:30,400.25,401.5,399.55,399.55,27137
2016-10-06T14:00:00+05:30,399.5,399.55,395.1,398.55,73204
2016-10-06T14:15:00+05:30,398.6,399.75,397.65,397.75,14789
2016-10-06T14:30:00+05:30,397.7,398.8,397.25,398.0,13929
2016-10-06T14:45:00+05:30,398.0,398.3,395.4,396.6,39588
2016-10-06T15:00:00+05:30,396.3,399.75,396.2,399.5,52097
2016-10-06T15:15:00+05:30,399.5,400.2,397.1,398.85,65034
2016-10-07T09:15:00+05:30,399.9,400.95,398.4,399.8,22910
2016-10-07T09:30:00+05:30,399.8,400.6,397.0,397.0,35039
2016-10-07T09:45:00+05:30,397.2,397.25,392.55,394.6,75969
2016-10-07T10:00:00+05:30,394.45,397.0,394.45,395.05,62291
2016-10-07T10:15:00+05:30,395.1,395.9,392.85,394.65,99067
2016-10-07T10:30:00+05:30,394.7,395.3,393.3,395.3,205299
2016-10-07T10:45:00+05:30,395.3,395.35,394.15,394.15,5883
2016-10-07T11:00:00+05:30,394.15,395.7,393.0,393.2,37788
2016-10-07T11:15:00+05:30,393.2,394.25,392.3,393.75,42026
2016-10-07T11:30:00+05:30,393.55,395.45,393.45,394.95,32385
2016-10-07T11:45:00+05:30,394.8,395.2,393.5,394.55,71319
2016-10-07T12:00:00+05:30,394.55,395.25,394.45,395.1,92942
2016-10-07T12:15:00+05:30,395.1,395.5,395.0,395.1,5744
2016-10-07T12:30:00+05:30,395.1,396.65,394.55,396.2,74753
2016-10-07T12:45:00+05:30,396.0,396.6,395.5,395.75,41307
2016-10-07T13:00:00+05:30,395.95,395.95,395.45,395.5,20146
2016-10-07T13:15:00+05:30,395.5,396.3,395.5,396.0,8867
2016-10-07T13:30:00+05:30,396.0,396.5,395.6,395.6,76380
2016-10-07T13:45:00+05:30,395.95,396.15,395.05,395.05,21756
2016-10-07T14:00:00+05:30,395.0,396.05,394.3,395.75,23486
2016-10-07T14:15:00+05:30,395.5,396.0,395.35,395.4,71234
2016-10-07T14:30:00+05:30,395.4,395.7,394.4,395.7,21309
2016-10-07T14:45:00+05:30,395.8,397.0,395.45,395.8,15370
2016-10-07T15:00:00+05:30,395.8,396.7,395.1,395.6,81412
2016-10-07T15:15:00+05:30,395.6,396.2,392.55,395.3,168070
2016-10-10T09:15:00+05:30,395.3,400.5,395.0,399.9,50269
2016-10-10T09:30:00+05:30,400.1,400.55,399.75,399.8,47084
2016-10-10T09:45:00+05:30,400.0,400.0,398.75,399.0,28616
2016-10-10T10:00:00+05:30,399.0,401.9,398.75,401.9,29168
2016-10-10T10:15:00+05:30,401.85,402.55,401.1,402.05,62465
2016-10-10T10:30:00+05:30,402.0,402.0,401.05,401.6,23197
2016-10-10T10:45:00+05:30,401.6,403.35,401.6,403.1,42386
2016-10-10T11:00:00+05:30,403.1,403.75,402.75,403.0,28397
2016-10-10T11:15:00+05:30,403.0,405.8,402.8,405.3,127671
2016-10-10T11:30:00+05:30,405.35,408.6,405.1,405.4,186456
2016-10-10T11:45:00+05:30,405.4,407.1,405.35,406.4,52959
2016-10-10T12:00:00+05:30,406.6,406.6,404.55,405.4,57565
2016-10-10T12:15:00+05:30,405.5,405.5,404.6,404.65,16123
2016-10-10T12:30:00+05:30,404.7,404.8,403.7,404.55,87162
2016-10-10T12:45:00+05:30,404.5,406.5,404.3,405.95,54195
2016-10-10T13:00:00+05:30,405.85,405.9,401.0,402.45,84899
2016-10-10T13:15:00+05:30,402.45,403.2,401.35,403.15,22818
2016-10-10T13:30:00+05:30,402.95,403.9,401.55,403.8,38565
2016-10-10T13:45:00+05:30,403.75,403.75,402.7,403.05,10561
2016-10-10T14:00:00+05:30,403.1,404.85,402.9,404.5,22914
2016-10-10T14:15:00+05:30,404.5,404.7,403.55,403.65,20738
2016-10-10T14:30:00+05:30,403.55,404.5,402.05,403.8,38292
2016-10-10T14:45:00+05:30,403.7,404.5,403.25,403.7,24579
2016-10-10T15:00:00+05:30,403.75,403.8,402.35,402.35,47144
2016-10-10T15:15:00+05:30,402.6,404.8,402.4,403.7,112718
2016-10-13T09:15:00+05:30,403.5,404.05,398.05,398.6,216958
2016-10-13T09:30:00+05:30,398.6,400.7,398.55,400.0,75569
2016-10-13T09:45:00+05:30,399.9,400.35,396.2,397.95,144090
2016-10-13T10:00:00+05:30,397.9,398.3,394.55,395.9,66145
2016-10-13T10:15:00+05:30,395.7,395.9,390.05,390.2,199664
2016-10-13T10:30:00+05:30,390.3,390.7,389.05,390.5,211631
2016-10-13T10:45:00+05:30,390.55,390.6,389.15,390.45,590950
2016-10-13T11:00:00+05:30,390.45,390.55,389.8,390.3,90779
2016-10-13T11:15:00+05:30,390.3,390.55,390.15,390.5,161306
2016-10-13T11:30:00+05:30,390.45,390.5,387.1,388.75,210714
2016-10-13T11:45:00+05:30,388.75,389.2,387.6,388.5,1243146
2016-10-13T12:00:00+05:30,388.5,388.9,387.95,388.75,88395
2016-10-13T12:15:00+05:30,388.75,389.25,388.5,388.95,200138
2016-10-13T12:30:00+05:30,388.95,389.0,386.4,387.85,99843
2016-10-13T12:45:00+05:30,387.85,388.05,386.85,387.0,33022
2016-10-13T13:00:00+05:30,387.0,387.25,385.5,386.4,42987
2016-10-13T13:15:00+05:30,386.4,388.25,386.3,387.1,37278
2016-10-13T13:30:00+05:30,387.1,387.1,385.55,386.4,19643
2016-10-13T13:45:00+05:30,386.4,387.85,386.3,387.15,107166
2016-10-13T14:00:00+05:30,387.4,388.5,386.55,388.25,51936
2016-10-13T14:15:00+05:30,388.45,389.0,386.7,388.35,92697
2016-10-13T14:30:00+05:30,388.4,388.6,387.15,388.25,119461
2016-10-13T14:45:00+05:30,388.25,388.35,387.5,388.25,92591
2016-10-13T15:00:00+05:30,388.25,389.0,387.8,388.15,186800
2016-10-13T15:15:00+05:30,388.1,389.0,387.45,388.2,385347
2016-10-14T09:15:00+05:30,392.4,392.4,386.65,386.75,110390
2016-10-14T09:30:00+05:30,387.0,387.0,385.8,386.75,28544
2016-10-14T09:45:00+05:30,386.45,386.9,381.4,382.25,623128
2016-10-14T10:00:00+05:30,382.25,383.0,382.05,382.7,80594
2016-10-14T10:15:00+05:30,382.9,382.9,382.5,382.65,21097
2016-10-14T10:30:00+05:30,382.5,382.7,381.25,381.55,29469
2016-10-14T10:45:00+05:30,381.95,382.4,380.15,382.0,34836
2016-10-14T11:00:00+05:30,381.9,383.15,381.3,383.0,132417
2016-10-14T11:15:00+05:30,383.0,383.25,382.4,383.25,81954
2016-10-14T11:30:00+05:30,383.25,383.5,383.0,383.0,220476
2016-10-14T11:45:00+05:30,383.15,383.2,381.6,382.45,44922
2016-10-14T12:00:00+05:30,382.75,383.1,382.7,382.75,114762
2016-10-14T12:15:00+05:30,382.8,383.4,382.75,383.0,84699
2016-10-14T12:30:00+05:30,383.0,383.9,382.0,383.4,209758
2016-10-14T12:45:00+05:30,383.4,384.45,383.05,384.45,583251
2016-10-14T13:00:00+05:30,384.3,384.7,383.8,384.35,17076
2016-10-14T13:15:00+05:30,384.05,384.75,383.95,384.5,16113
2016-10-14T13:30:00+05:30,384.65,385.25,384.5,385.0,32199
2016-10-14T13:45:00+05:30,385.05,385.25,384.0,384.5,32888
2016-10-14T14:00:00+05:30,384.4,385.05,384.0,384.8,39283
2016-10-14T14:15:00+05:30,384.75,385.0,384.5,385.0,103485
2016-10-14T14:30:00+05:30,385.0,385.05,384.5,384.7,132828
2016-10-14T14:45:00+05:30,384.85,387.0,384.85,386.4,184995
2016-10-14T15:00:00+05:30,386.35,386.45,385.0,385.6,56908
2016-10-14T15:15:00+05:30,385.7,385.95,384.7,385.25,96764
2016-10-17T09:15:00+05:30,385.25,385.3,380.3,383.0,366911
2016-10-17T09:30:00+05:30,383.3,384.75,382.75,384.25,32887
2016-10-17T09:45:00+05:30,384.25,384.75,383.5,384.75,12875
2016-10-17T10:00:00+05:30,384.75,384.9,383.0,383.6,40944
2016-10-17T10:15:00+05:30,383.55,384.75,383.45,384.7,26252
2016-10-17T10:30:00+05:30,384.7,384.85,383.4,383.75,65813
2016-10-17T10:45:00+05:30,383.95,384.85,383.45,384.5,8028
2016-10-17T11:00:00+05:30,384.75,385.75,384.65,385.3,63186
2016-10-17T11:15:00+05:30,385.3,385.85,385.15,385.85,29980
2016-10-17T11:30:00+05:30,385.75,386.95,385.75,386.65,102640
2016-10-17T11:45:00+05:30,386.8,387.45,386.0,386.35,133906
2016-10-17T12:00:00+05:30,386.45,386.5,385.15,386.25,108362
2016-10-17T12:15:00+05:30,386.0,386.7,385.5,386.5,68297
2016-10-17T12:30:00+05:30,386.4,389.0,386.25,387.8,58707
2016-10-17T12:45:00+05:30,387.8,388.35,387.05,387.4,23173
2016-10-17T13:00:00+05:30,387.4,388.2,387.0,388.0,16178
2016-10-17T13:15:00+05:30,388.0,388.15,387.1,387.2,6544
2016-10-17T13:30:00+05:30,387.1,387.5,386.75,387.05,20074
2016-10-17T13:45:00+05:30,387.05,387.3,387.0,387.05,6887
2016-10-17T14:00:00+05:30,387.2,388.2,386.5,387.2,21502
2016-10-17T14:15:00+05:30,387.2,387.95,385.55,386.5,98302
2016-10-17T14:30:00+05:30,386.65,387.0,385.55,385.6,79357
2016-10-17T14:45:00+05:30,385.55,386.45,384.15,386.2,93786
2016-10-17T15:00:00+05:30,386.25,386.5,384.8,386.25,68984
2016-10-17T15:15:00+05:30,386.15,387.2,384.95,386.1,95264
2016-10-18T09:15:00+05:30,389.9,390.25,386.6,387.15,91523
2016-10-18T09:15:00+05:30,389.9,390.25,386.6,387.15,91523
2016-10-18T09:30:00+05:30,387.15,387.5,386.55,387.05,22716
2016-10-18T09:45:00+05:30,386.85,387.35,385.3,385.55,17855
2016-10-18T10:00:00+05:30,385.55,386.45,385.55,386.4,14902
2016-10-18T10:15:00+05:30,386.4,387.0,385.95,386.9,15082
2016-10-18T10:30:00+05:30,386.95,386.95,385.0,385.55,18006
2016-10-18T10:45:00+05:30,385.6,386.2,385.0,386.2,19058
2016-10-18T11:00:00+05:30,386.15,387.15,385.3,386.6,45807
2016-10-18T11:15:00+05:30,386.6,386.75,386.1,386.65,14299
2016-10-18T11:30:00+05:30,386.65,386.75,385.55,386.65,30764
2016-10-18T11:45:00+05:30,386.4,387.5,386.4,386.7,33941
2016-10-18T12:00:00+05:30,386.75,387.2,386.55,386.9,10046
2016-10-18T12:15:00+05:30,386.95,388.4,386.9,388.2,23671
2016-10-18T12:30:00+05:30,388.2,388.5,387.5,387.65,13467
2016-10-18T12:45:00+05:30,387.65,388.95,387.5,388.5,41991
2016-10-18T13:00:00+05:30,388.3,388.95,388.0,388.15,18415
2016-10-18T13:15:00+05:30,388.1,388.25,388.0,388.05,8878
