datetime,open,high,low,close,volume
2016-10-03T09:15:00+05:30,139.0,139.9,138.8,139.55,255862
2016-10-03T09:30:00+05:30,139.5,141.5,139.2,141.5,377599
2016-10-03T09:45:00+05:30,141.4,141.8,141.0,141.1,192853
2016-10-03T10:00:00+05:30,141.15,141.65,141.15,141.65,74884
2016-10-03T10:15:00+05:30,141.6,142.4,141.55,142.05,198335
2016-10-03T10:30:00+05:30,142.0,142.25,141.4,141.5,151957
2016-10-03T10:45:00+05:30,141.65,143.35,141.55,143.0,368386
2016-10-03T11:00:00+05:30,143.0,143.15,142.35,142.75,293953
2016-10-03T11:15:00+05:30,142.75,142.8,141.95,142.1,181018
2016-10-03T11:30:00+05:30,142.1,142.3,141.3,142.0,170210
2016-10-03T11:45:00+05:30,142.05,142.15,141.65,142.0,60652
2016-10-03T12:00:00+05:30,142.0,142.2,141.7,142.2,73349
2016-10-03T12:15:00+05:30,142.3,142.4,142.0,142.2,64850
2016-10-03T12:30:00+05:30,142.2,142.6,142.0,142.6,114472
2016-10-03T12:45:00+05:30,142.65,142.75,142.3,142.75,68268
2016-10-03T13:00:00+05:30,142.7,143.15,142.5,143.05,171801
2016-10-03T13:15:00+05:30,143.05,143.8,142.9,143.3,188239
2016-10-03T13:30:00+05:30,143.25,143.4,143.1,143.4,55315
2016-10-03T13:45:00+05:30,143.4,143.5,143.15,143.25,66883
2016-10-03T14:00:00+05:30,143.25,143.5,142.7,143.0,102057
2016-10-03T14:15:00+05:30,143.0,143.0,142.65,142.9,109411
2016-10-03T14:30:00+05:30,142.9,143.15,142.7,142.9,86789
2016-10-03T14:45:00+05:30,142.9,143.2,142.85,143.1,73012
2016-10-03T15:00:00+05:30,143.1,143.6,143.1,143.2,261495
2016-10-03T15:15:00+05:30,143.2,143.3,142.6,143.2,345325
2016-10-04T09:15:00+05:30,144.0,144.7,143.1,143.9,530854
2016-10-04T09:30:00+05:30,143.9,144.1,142.5,143.0,213296
2016-10-04T09:45:00+05:30,142.9,143.4,142.85,143.35,132708
2016-10-04T10:00:00+05:30,143.4,143.7,142.95,143.2,280348
2016-10-04T10:15:00+05:30,143.1,143.55,142.8,143.05,131423
2016-10-04T10:30:00+05:30,143.05,143.95,142.9,143.85,277625
2016-10-04T10:45:00+05:30,143.85,144.2,143.6,143.8,173218
2016-10-04T11:00:00+05:30,143.9,144.0,143.65,143.8,65645
2016-10-04T11:15:00+05:30,143.85,143.95,143.65,143.9,30526
2016-10-04T11:30:00+05:30,143.85,144.2,143.5,144.2,131538
2016-10-04T11:45:00+05:30,144.15,144.15,143.6,143.85,57523
2016-10-04T12:00:00+05:30,143.85,143.95,143.65,143.8,52066
2016-10-04T12:15:00+05:30,143.85,143.95,143.5,143.9,110532
2016-10-04T12:30:00+05:30,143.9,143.9,143.55,143.85,81783
2016-10-04T12:45:00+05:30,143.85,145.0,143.8,144.9,435350
2016-10-04T13:00:00+05:30,144.85,145.2,144.1,144.25,234651
2016-10-04T13:15:00+05:30,144.25,144.8,144.15,144.8,113025
2016-10-04T13:30:00+05:30,144.8,145.55,144.55,144.8,451947
2016-10-04T13:45:00+05:30,144.85,144.85,144.4,144.65,265671
2016-10-04T14:00:00+05:30,144.6,144.75,144.05,144.05,208909
2016-10-04T14:15:00+05:30,144.05,144.25,143.1,143.95,282088
