datetime,open,high,low,close,volume
2016-10-03T09:00:00+05:30,432.24,435.5,431.06,432.91,10658
2016-10-03T09:15:00+05:30,432.36,438.83,432.36,434.63,86219
2016-10-03T09:30:00+05:30,434.32,436.58,433.51,435.4,81998
2016-10-03T09:45:00+05:30,435.4,435.66,433.87,433.87,54353
2016-10-03T10:00:00+05:30,433.87,435.02,433.65,434.54,17846
2016-10-03T10:15:00+05:30,434.54,435.66,433.84,435.66,41426
2016-10-03T10:30:00+05:30,435.66,435.98,434.22,434.28,13231
2016-10-03T10:45:00+05:30,434.41,436.1,434.28,434.63,27686
2016-10-03T11:00:00+05:30,434.63,435.02,433.93,434.22,36596
2016-10-03T11:15:00+05:30,434.22,434.8,432.69,433.7,36326
2016-10-03T11:30:00+05:30,433.74,434.82,433.29,434.03,22776
2016-10-03T11:45:00+05:30,433.93,434.89,433.77,434.66,16865
2016-10-03T12:00:00+05:30,434.66,434.99,434.37,434.85,11625
2016-10-03T12:15:00+05:30,434.85,435.02,434.57,434.85,14124
2016-10-03T12:30:00+05:30,434.82,434.92,434.28,434.8,8247
2016-10-03T12:45:00+05:30,434.82,434.85,434.06,434.32,8120
2016-10-03T13:00:00+05:30,434.28,434.85,433.77,434.82,38934
2016-10-03T13:15:00+05:30,434.82,435.05,433.39,434.66,35030
2016-10-03T13:30:00+05:30,434.66,435.33,434.41,435.3,18657
2016-10-03T13:45:00+05:30,435.3,435.33,433.32,434.41,64744
2016-10-03T14:00:00+05:30,434.41,434.85,432.62,432.62,49138
2016-10-03T14:15:00+05:30,432.59,434.92,432.36,434.35,40547
2016-10-03T14:30:00+05:30,434.32,435.02,434.22,435.02,29226
2016-10-03T14:45:00+05:30,435.02,436.04,433.77,434.47,97915
2016-10-03T15:00:00+05:30,434.41,435.66,434.35,434.89,143583
2016-10-03T15:15:00+05:30,434.89,435.5,433.74,434.99,198138
2016-10-04T09:00:00+05:30,436.58,436.58,424.11,427.79,112183
2016-10-04T09:15:00+05:30,428.08,434.82,428.08,433.03,134269
2016-10-04T09:30:00+05:30,432.91,433.41,430.06,430.73,69039
2016-10-04T09:45:00+05:30,431.02,431.21,429.42,430.38,51761
2016-10-04T10:00:00+05:30,430.35,431.18,429.67,430.44,52783
2016-10-04T10:15:00+05:30,430.48,430.7,428.85,429.1,55029
2016-10-04T10:30:00+05:30,429.48,430.22,427.06,430.19,78803
2016-10-04T10:45:00+05:30,430.19,430.82,429.1,430.48,59064
2016-10-04T11:00:00+05:30,430.48,430.77,429.93,429.96,41867
2016-10-04T11:15:00+05:30,429.9,430.1,429.77,430.06,15610
2016-10-04T11:30:00+05:30,430.06,430.15,429.29,429.52,20101
2016-10-04T11:45:00+05:30,429.52,430.1,429.39,429.77,18489
2016-10-04T12:00:00+05:30,429.74,429.87,429.42,429.74,19760
2016-10-04T12:15:00+05:30,429.52,429.52,427.18,429.04,58449
2016-10-04T12:30:00+05:30,429.0,430.29,428.14,428.23,53857
2016-10-04T12:45:00+05:30,428.23,429.74,427.7,428.78,75261
